* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2025 10:40:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 SDP L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.653	-144.8291
20.600000	102.693	-145.3856
20.900000	102.735	-145.9960
21.200001	102.775	-146.6378
21.400000	102.799	-147.0884
21.799999	102.841	-148.0399
22.000000	102.858	-148.5293
22.400000	102.888	-149.4972
22.700001	102.914	-150.1933
23.000000	102.950	-150.8685
23.299999	102.999	-151.5490
23.600000	103.058	-152.2665
24.000000	103.140	-153.3037
24.299999	103.192	-154.1148
24.700001	103.233	-155.1396
25.000000	103.244	-155.7896
25.400000	103.242	-156.4393
25.799999	103.243	-156.8878
26.200001	103.259	-157.2821
26.500000	103.278	-157.6348
26.900000	103.303	-158.2381
27.200001	103.316	-158.7749
27.600000	103.325	-159.5341
28.000000	103.331	-160.2721
28.500000	103.349	-161.1279
29.000000	103.380	-161.9455
29.500000	103.409	-162.7517
30.000000	103.426	-163.5267
30.400000	103.433	-164.1172
30.700001	103.438	-164.5529
31.100000	103.445	-165.1418
31.500000	103.452	-165.7454
32.000000	103.460	-166.4940
32.500000	103.468	-167.1938
33.000000	103.477	-167.8394
33.500000	103.485	-168.4694
34.000000	103.488	-169.1187
34.500000	103.484	-169.7877
35.000000	103.477	-170.4567
35.500000	103.474	-171.1118
36.000000	103.479	-171.7487
36.500000	103.488	-172.3657
37.000000	103.496	-172.9634
37.500000	103.499	-173.5476
38.200001	103.489	-174.3509
38.700001	103.474	-174.9068
39.500000	103.449	-175.7487
40.000000	103.439	-176.2559
40.599998	103.430	-176.8609
41.200001	103.419	-177.4578
41.799999	103.403	-178.0462
42.500000	103.382	-178.7551
43.099998	103.361	-179.3888
43.700001	103.340	179.9980
44.400002	103.328	179.3440
45.000000	103.327	178.7985
45.500000	103.323	178.3404
46.200001	103.297	177.7430
46.799999	103.263	177.2928
47.500000	103.223	176.7582
48.200001	103.185	176.1563
48.700001	103.161	175.7166
49.400002	103.140	175.1163
50.000000	103.129	174.6008
50.799999	103.102	173.9583
51.500000	103.068	173.5156
52.200001	103.039	173.1245
53.000000	103.006	172.6124
53.799999	102.963	172.0626
54.500000	102.925	171.5976
55.200001	102.893	171.1320
56.000000	102.862	170.5999
57.000000	102.823	169.9680
58.000000	102.780	169.3718
59.000000	102.736	168.7436
60.000000	102.684	168.1155
60.799999	102.644	167.7120
61.500000	102.616	167.3854
62.200001	102.586	167.0228
63.000000	102.543	166.5777
64.000000	102.492	166.0184
65.000000	102.453	165.4894
66.000000	102.427	165.0121
67.000000	102.386	164.5391
68.000000	102.317	164.1339
69.000000	102.252	163.7145
70.000000	102.195	163.2022
71.000000	102.142	162.7964
72.000000	102.085	162.5459
73.000000	102.020	162.4526
74.000000	101.984	162.2891
75.000000	101.959	161.6810
76.199997	101.882	160.8384
77.500000	101.803	160.2330
