* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2025 10:43:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 SDP R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.134	-142.2798
20.600000	102.173	-143.0150
20.900000	102.217	-143.7691
21.200001	102.265	-144.4648
21.400000	102.300	-144.8957
21.799999	102.376	-145.7092
22.000000	102.414	-146.1085
22.400000	102.476	-146.9173
22.700001	102.504	-147.5269
23.000000	102.512	-148.1146
23.299999	102.505	-148.6554
23.600000	102.494	-149.1411
24.000000	102.494	-149.7433
24.299999	102.517	-150.2227
24.700001	102.580	-150.9917
25.000000	102.642	-151.6898
25.400000	102.729	-152.7377
25.799999	102.801	-153.8036
26.200001	102.854	-154.7660
26.500000	102.883	-155.3855
26.900000	102.913	-156.0926
27.200001	102.930	-156.5705
27.600000	102.949	-157.1925
28.000000	102.963	-157.8285
28.500000	102.974	-158.6387
29.000000	102.987	-159.4296
29.500000	103.009	-160.1892
30.000000	103.042	-160.9555
30.400000	103.070	-161.6089
30.700001	103.090	-162.1278
31.100000	103.109	-162.8346
31.500000	103.120	-163.5082
32.000000	103.128	-164.2330
32.500000	103.142	-164.8411
33.000000	103.158	-165.4442
33.500000	103.155	-166.1190
34.000000	103.129	-166.8192
34.500000	103.103	-167.4815
35.000000	103.112	-168.1649
35.500000	103.145	-168.9467
36.000000	103.156	-169.6554
36.500000	103.117	-169.8459
37.000000	103.073	-169.2155
37.500000	103.107	-168.0998
38.200001	103.305	-167.4093
38.700001	103.432	-168.2683
39.500000	103.416	-171.0532
40.000000	103.309	-172.6843
40.599998	103.202	-174.0647
41.200001	103.170	-175.0498
41.799999	103.171	-175.8568
42.500000	103.165	-176.4847
43.099998	103.157	-176.8395
43.700001	103.119	-177.3529
44.400002	102.972	-178.2130
45.000000	102.788	-178.7789
45.500000	102.685	-179.0113
46.200001	102.723	-179.4424
46.799999	102.855	179.7254
47.500000	102.958	178.6484
48.200001	102.967	178.1231
48.700001	102.956	177.9787
49.400002	102.934	177.5452
50.000000	102.891	176.8237
50.799999	102.815	175.8796
51.500000	102.783	175.3929
52.200001	102.787	175.0801
53.000000	102.787	174.7007
53.799999	102.765	174.2362
54.500000	102.742	173.7392
55.200001	102.718	173.1566
56.000000	102.681	172.4696
57.000000	102.618	171.8187
58.000000	102.579	171.3977
59.000000	102.564	170.8359
60.000000	102.532	170.1815
60.799999	102.501	169.7562
61.500000	102.477	169.4348
62.200001	102.453	169.1188
63.000000	102.425	168.7357
64.000000	102.390	168.1921
65.000000	102.350	167.5918
66.000000	102.304	166.9549
67.000000	102.253	166.3635
68.000000	102.205	165.9198
69.000000	102.157	165.5265
70.000000	102.104	165.0651
71.000000	102.058	164.5448
72.000000	102.021	164.0043
73.000000	101.967	163.5610
74.000000	101.905	163.2582
75.000000	101.855	162.9290
76.199997	101.798	162.4431
77.500000	101.730	161.9585
78.800003	101.662	161.4861
80.000000	101.603	161.0421
81.199997	101.544	160.6318
82.500000	101.479	160.2041
83.800003	101.414	159.7677
85.000000	101.356	159.3950
86.199997	101.298	159.0582
87.500000	101.233	158.6991
88.500000	101.183	158.4072
90.000000	101.119	157.9408
91.199997	101.065	157.5775
92.500000	100.986	157.2974
93.800003	100.911	157.0385
95.000000	100.856	156.7365
96.199997	100.798	156.4466
