* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 6, 2026 10:50:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Sancai R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.446	-138.6447
20.600000	101.492	-139.2813
20.900000	101.542	-139.9871
21.200001	101.591	-140.7157
21.400000	101.622	-141.2086
21.799999	101.682	-142.1891
22.000000	101.711	-142.6647
22.400000	101.769	-143.5651
22.700001	101.816	-144.1937
23.000000	101.865	-144.7941
23.299999	101.916	-145.3828
23.600000	101.966	-145.9735
24.000000	102.026	-146.7708
24.299999	102.063	-147.3690
24.700001	102.105	-148.1520
25.000000	102.131	-148.7256
25.400000	102.165	-149.4840
25.799999	102.199	-150.2541
26.200001	102.234	-151.0411
26.500000	102.259	-151.6306
26.900000	102.293	-152.3902
27.200001	102.321	-152.9291
27.600000	102.363	-153.6107
28.000000	102.411	-154.2753
28.500000	102.469	-155.1196
29.000000	102.513	-155.9768
29.500000	102.536	-156.8054
30.000000	102.546	-157.5810
30.400000	102.554	-158.1755
30.700001	102.560	-158.6172
31.100000	102.572	-159.2075
31.500000	102.587	-159.7984
32.000000	102.610	-160.5332
32.500000	102.634	-161.2645
33.000000	102.655	-161.9873
33.500000	102.671	-162.6818
34.000000	102.687	-163.3418
34.500000	102.708	-163.9964
35.000000	102.728	-164.6744
35.500000	102.738	-165.3505
36.000000	102.735	-165.9699
36.500000	102.730	-166.5372
37.000000	102.729	-167.1388
37.500000	102.725	-167.8418
38.200001	102.703	-168.8764
38.700001	102.691	-169.4915
39.500000	102.721	-170.2886
40.000000	102.757	-170.8201
40.599998	102.776	-171.4946
41.200001	102.764	-172.0704
41.799999	102.746	-172.5308
42.500000	102.739	-173.1095
43.099998	102.732	-173.7230
43.700001	102.720	-174.3755
44.400002	102.708	-175.0834
45.000000	102.707	-175.6365
45.500000	102.710	-176.0836
46.200001	102.704	-176.6990
46.799999	102.683	-177.1938
47.500000	102.658	-177.7971
48.200001	102.645	-178.6385
48.700001	102.631	-179.3867
49.400002	102.589	179.6881
50.000000	102.556	179.2853
50.799999	102.558	179.1306
51.500000	102.574	178.8934
52.200001	102.560	178.4447
53.000000	102.523	177.8345
53.799999	102.495	177.1992
54.500000	102.473	176.6705
55.200001	102.449	176.2000
56.000000	102.416	175.6997
57.000000	102.383	175.0698
58.000000	102.360	174.3978
59.000000	102.327	173.7441
60.000000	102.284	173.1643
60.799999	102.252	172.6955
61.500000	102.225	172.2684
62.200001	102.197	171.8485
63.000000	102.163	171.3999
64.000000	102.123	170.8645
65.000000	102.085	170.3114
66.000000	102.046	169.7792
67.000000	102.007	169.2882
68.000000	101.960	168.8306
69.000000	101.913	168.3900
70.000000	101.870	167.9045
71.000000	101.824	167.3921
72.000000	101.773	166.9159
73.000000	101.725	166.4928
74.000000	101.681	166.1071
75.000000	101.637	165.7091
76.199997	101.571	165.1807
77.500000	101.505	164.6861
78.800003	101.459	164.2370
80.000000	101.402	163.8146
81.199997	101.346	163.3852
82.500000	101.280	162.9263
83.800003	101.199	162.5276
85.000000	101.164	162.0605
86.199997	101.176	161.4899
87.500000	101.123	161.0154
88.500000	101.038	161.0087
90.000000	100.953	161.0324
91.199997	100.890	160.8984
92.500000	100.821	160.7056
93.800003	100.777	160.4404
95.000000	100.745	160.1103
96.199997	100.707	159.6935
97.500000	100.661	159.2502
98.800003	100.610	158.8939
100.000000	100.555	158.5210
101.500000	100.481	158.0756
103.000000	100.411	157.7408
104.400002	100.346	157.4479
106.000000	100.273	157.1368
107.500000	100.206	156.8723
109.000000	100.139	156.5998
110.599998	100.068	156.3154
112.000000	100.004	156.0850
113.800003	99.921	155.8327
115.000000	99.868	155.6742
117.199997	99.774	155.3493
118.000000	99.740	155.2308
120.599998	99.625	154.8971
122.000000	99.565	154.7315
124.099998	99.481	154.4943
125.000000	99.445	154.3963
126.500000	99.384	154.2372
128.000000	99.320	154.0901
131.500000	99.176	153.8130
132.000000	99.156	153.7799
134.000000	99.076	153.6346
136.000000	98.997	153.4818
138.000000	98.918	153.3505
140.000000	98.836	153.2159
143.000000	98.700	153.2024
145.000000	98.613	153.2163
147.500000	98.525	153.3483
150.000000	98.448	153.4479
152.500000	98.431	153.4768
155.000000	98.433	153.4101
157.500000	98.381	153.2635
160.000000	98.302	153.0612
162.500000	98.217	152.8383
165.000000	98.128	152.7017
167.500000	98.040	152.5735
170.000000	97.951	152.4628
172.500000	97.860	152.4416
175.000000	97.774	152.4264
177.500000	97.691	152.3668
180.000000	97.605	152.3506
182.500000	97.518	152.3510
185.000000	97.436	152.3818
187.500000	97.358	152.4402
190.000000	97.283	152.4853
192.500000	97.207	152.5226
195.000000	97.130	152.5728
197.500000	97.055	152.6225
200.000000	96.982	152.6783
203.000000	96.898	152.7761
206.000000	96.818	152.8631
209.000000	96.737	152.9546
212.000000	96.656	153.0608
214.000000	96.603	153.1411
218.000000	96.498	153.3185
220.000000	96.449	153.4126
224.000000	96.353	153.6080
227.000000	96.281	153.7621
230.000000	96.211	153.9232
233.000000	96.139	154.0978
236.000000	96.066	154.2759
240.000000	95.974	154.5069
243.000000	95.904	154.7220
247.000000	95.814	155.0530
250.000000	95.750	155.2729
254.000000	95.666	155.5959
258.000000	95.583	155.9727
262.000000	95.508	156.4194
265.000000	95.469	156.7588
269.000000	95.433	157.1223
272.000000	95.405	157.2937
276.000000	95.356	157.4385
280.000000	95.296	157.5739
285.000000	95.211	157.7959
290.000000	95.124	158.0753
295.000000	95.039	158.3993
300.000000	94.956	158.7443
304.000000	94.892	159.0186
307.000000	94.845	159.2300
311.000000	94.784	159.5223
315.000000	94.723	159.8282
320.000000	94.651	160.2169
325.000000	94.583	160.6120
330.000000	94.517	161.0176
335.000000	94.455	161.4208
340.000000	94.395	161.8187
345.000000	94.336	162.2167
350.000000	94.278	162.6182
355.000000	94.220	163.0170
360.000000	94.164	163.4190
365.000000	94.110	163.8264
370.000000	94.058	164.2353
375.000000	94.008	164.6466
382.000000	93.941	165.2307
387.000000	93.894	165.6455
395.000000	93.823	166.3109
400.000000	93.781	166.7268
406.000000	93.732	167.2303
412.000000	93.684	167.7330
418.000000	93.638	168.2332
425.000000	93.588	168.8112
431.000000	93.547	169.3085
437.000000	93.507	169.8041
444.000000	93.462	170.3792
450.000000	93.426	170.8735
455.000000	93.397	171.2904
462.000000	93.359	171.8666
468.000000	93.327	172.3623
475.000000	93.292	172.9415
482.000000	93.258	173.5162
487.000000	93.235	173.9248
494.000000	93.206	174.4959
500.000000	93.182	174.9825
508.000000	93.151	175.6233
515.000000	93.126	176.1827
522.000000	93.102	176.7410
530.000000	93.078	177.3748
538.000000	93.055	178.0059
545.000000	93.035	178.5598
552.000000	93.017	179.1148
560.000000	93.001	179.7422
570.000000	92.983	-179.4769
580.000000	92.965	-178.6991
590.000000	92.950	-177.9258
600.000000	92.937	-177.1556
608.000000	92.928	-176.5426
615.000000	92.922	-176.0062
622.000000	92.917	-175.4699
630.000000	92.913	-174.8603
640.000000	92.910	-174.1077
650.000000	92.912	-173.3550
660.000000	92.914	-172.5951
670.000000	92.918	-171.8397
680.000000	92.924	-171.0962
690.000000	92.933	-170.3577
700.000000	92.943	-169.6171
710.000000	92.957	-168.8771
720.000000	92.973	-168.1413
730.000000	92.991	-167.4083
740.000000	93.012	-166.6766
750.000000	93.034	-165.9478
762.000000	93.066	-165.0759
775.000000	93.104	-164.1411
788.000000	93.146	-163.2145
800.000000	93.187	-162.3664
812.000000	93.229	-161.5244
825.000000	93.278	-160.6235
838.000000	93.331	-159.7354
850.000000	93.384	-158.9345
862.000000	93.442	-158.1449
875.000000	93.509	-157.3036
885.000000	93.565	-156.6730
900.000000	93.654	-155.7568
912.000000	93.730	-155.0532
925.000000	93.816	-154.3211
938.000000	93.906	-153.6254
950.000000	93.993	-153.0191
962.000000	94.083	-152.4553
975.000000	94.182	-151.8861
988.000000	94.281	-151.3626
1000.000000	94.371	-150.9199
1015.000000	94.480	-150.4047
1030.000000	94.585	-149.8998
1044.000000	94.684	-149.4178
1060.000000	94.804	-148.8611
1075.000000	94.926	-148.3778
1090.000000	95.055	-147.9666
1106.000000	95.195	-147.6205
1120.000000	95.317	-147.3891
1138.000000	95.470	-147.1738
1150.000000	95.568	-147.0747
1172.000000	95.742	-146.9668
1180.000000	95.803	-146.9489
1206.000000	95.994	-146.9634
1220.000000	96.091	-147.0123
1241.000000	96.234	-147.1297
1250.000000	96.294	-147.1943
1265.000000	96.394	-147.3213
1280.000000	96.493	-147.4710
1315.000000	96.714	-147.9007
1320.000000	96.744	-147.9714
1340.000000	96.862	-148.2786
1360.000000	96.975	-148.6281
1380.000000	97.082	-149.0229
1400.000000	97.184	-149.4687
1430.000000	97.325	-150.2396
1450.000000	97.409	-150.8307
1475.000000	97.502	-151.6703
1500.000000	97.577	-152.6285
1525.000000	97.629	-153.7133
1550.000000	97.651	-154.9342
1575.000000	97.635	-156.2856
1600.000000	97.565	-157.7467
1625.000000	97.425	-159.2661
1650.000000	97.201	-160.7362
1675.000000	96.881	-161.9769
