* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jan 31, 2026 2:08:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Symp L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.669	-143.6721
20.600000	102.706	-144.2904
20.900000	102.746	-144.9599
21.200001	102.787	-145.6415
21.400000	102.814	-146.1044
21.799999	102.869	-147.0479
22.000000	102.896	-147.5216
22.400000	102.947	-148.4467
22.700001	102.982	-149.1009
23.000000	103.016	-149.7137
23.299999	103.049	-150.2942
23.600000	103.083	-150.8634
24.000000	103.126	-151.6465
24.299999	103.155	-152.2679
24.700001	103.185	-153.1277
25.000000	103.203	-153.7661
25.400000	103.229	-154.5665
25.799999	103.267	-155.3010
26.200001	103.317	-156.0054
26.500000	103.355	-156.5355
26.900000	103.390	-157.2291
27.200001	103.396	-157.6953
27.600000	103.379	-158.1693
28.000000	103.352	-158.4568
28.500000	103.348	-158.7367
29.000000	103.393	-159.3093
29.500000	103.453	-160.3955
30.000000	103.484	-161.7896
30.400000	103.483	-162.8398
30.700001	103.478	-163.4794
31.100000	103.481	-164.1209
31.500000	103.502	-164.6112
32.000000	103.542	-165.2063
32.500000	103.569	-165.8851
33.000000	103.572	-166.6032
33.500000	103.564	-167.2945
34.000000	103.562	-167.9663
34.500000	103.569	-168.6526
35.000000	103.577	-169.3427
35.500000	103.581	-169.9942
36.000000	103.580	-170.5908
36.500000	103.577	-171.1555
37.000000	103.572	-171.7133
37.500000	103.566	-172.2666
38.200001	103.560	-173.0281
38.700001	103.560	-173.5800
39.500000	103.557	-174.5012
40.000000	103.548	-175.0723
40.599998	103.529	-175.7055
41.200001	103.513	-176.2730
41.799999	103.503	-176.8099
42.500000	103.500	-177.4581
43.099998	103.495	-178.0466
43.700001	103.484	-178.6392
44.400002	103.463	-179.3002
45.000000	103.445	-179.8451
45.500000	103.431	179.7022
46.200001	103.412	179.0751
46.799999	103.395	178.5658
47.500000	103.373	178.0091
48.200001	103.339	177.4802
48.700001	103.306	177.1232
49.400002	103.262	176.6399
50.000000	103.239	176.1865
50.799999	103.226	175.4681
51.500000	103.215	174.8228
52.200001	103.196	174.2798
53.000000	103.170	173.7621
53.799999	103.138	173.2472
54.500000	103.110	172.7823
55.200001	103.083	172.3263
56.000000	103.050	171.8399
57.000000	102.999	171.3250
58.000000	102.955	170.8035
59.000000	102.918	170.1201
60.000000	102.874	169.4476
60.799999	102.841	168.9965
61.500000	102.813	168.6086
62.200001	102.780	168.2054
63.000000	102.738	167.7554
64.000000	102.689	167.2384
65.000000	102.644	166.7517
66.000000	102.594	166.2825
67.000000	102.545	165.8024
68.000000	102.499	165.3372
69.000000	102.458	164.9350
70.000000	102.413	164.5455
71.000000	102.357	164.1172
72.000000	102.297	163.6578
73.000000	102.247	163.2026
74.000000	102.203	162.8096
75.000000	102.155	162.4890
76.199997	102.090	162.0643
77.500000	102.014	161.5281
78.800003	101.952	161.0332
80.000000	101.897	160.6406
81.199997	101.841	160.2668
82.500000	101.779	159.8575
83.800003	101.708	159.4808
85.000000	101.645	159.0535
86.199997	101.591	158.4995
87.500000	101.516	158.1812
88.500000	101.459	158.1160
90.000000	101.385	157.8206
91.199997	101.337	157.5471
92.500000	101.273	157.3674
93.800003	101.210	157.2120
95.000000	101.169	156.9857
96.199997	101.122	156.7496
97.500000	101.050	156.4555
98.800003	100.973	156.1414
100.000000	100.916	155.8823
101.500000	100.846	155.5705
103.000000	100.764	155.3068
104.400002	100.691	155.0717
106.000000	100.598	154.7626
107.500000	100.515	154.4860
109.000000	100.455	154.2996
110.599998	100.410	154.1400
112.000000	100.366	153.9643
113.800003	100.306	154.0840
115.000000	100.275	154.1921
117.199997	100.215	153.6686
118.000000	100.179	153.4170
120.599998	100.055	152.9500
122.000000	100.001	152.7581
124.099998	99.910	152.5549
125.000000	99.870	152.4614
126.500000	99.806	152.2963
128.000000	99.743	152.1534
131.500000	99.600	151.8765
132.000000	99.580	151.8408
134.000000	99.503	151.6867
136.000000	99.429	151.5448
138.000000	99.359	151.4276
140.000000	99.288	151.3415
143.000000	99.168	151.3166
145.000000	99.090	151.2802
147.500000	99.005	151.0888
150.000000	98.922	150.9755
152.500000	98.829	150.9068
155.000000	98.743	150.8475
157.500000	98.656	150.8077
160.000000	98.566	150.7887
162.500000	98.472	150.7821
165.000000	98.381	150.7674
167.500000	98.294	150.7556
170.000000	98.208	150.7812
172.500000	98.123	150.8398
175.000000	98.041	150.9106
177.500000	97.958	150.9708
180.000000	97.875	151.0204
182.500000	97.793	151.0345
185.000000	97.712	151.0832
187.500000	97.639	151.2133
190.000000	97.569	151.3253
192.500000	97.498	151.3938
195.000000	97.426	151.4471
197.500000	97.356	151.4859
200.000000	97.288	151.5310
203.000000	97.205	151.6680
206.000000	97.125	151.7850
209.000000	97.045	151.9133
212.000000	96.965	152.0546
214.000000	96.913	152.1473
