* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2025 10:56:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 TWS E R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.100	-142.4608
20.600000	102.142	-143.1161
20.900000	102.190	-143.7833
21.200001	102.242	-144.4288
21.400000	102.276	-144.8612
21.799999	102.342	-145.7596
22.000000	102.370	-146.2264
22.400000	102.411	-147.1663
22.700001	102.432	-147.8450
23.000000	102.452	-148.4874
23.299999	102.480	-149.1092
23.600000	102.520	-149.7491
24.000000	102.592	-150.6991
24.299999	102.649	-151.4998
24.700001	102.711	-152.6232
25.000000	102.740	-153.4232
25.400000	102.756	-154.3087
25.799999	102.764	-154.9320
26.200001	102.781	-155.3610
26.500000	102.805	-155.6490
26.900000	102.846	-156.1056
27.200001	102.875	-156.5397
27.600000	102.905	-157.2247
28.000000	102.922	-157.9662
28.500000	102.939	-158.8805
29.000000	102.959	-159.7472
29.500000	102.983	-160.5788
30.000000	103.002	-161.3758
30.400000	103.012	-161.9823
30.700001	103.018	-162.4228
31.100000	103.027	-163.0055
31.500000	103.037	-163.5991
32.000000	103.052	-164.3627
32.500000	103.067	-165.1283
33.000000	103.081	-165.8640
33.500000	103.093	-166.5493
34.000000	103.101	-167.1815
34.500000	103.105	-167.7796
35.000000	103.109	-168.3865
35.500000	103.112	-169.0422
36.000000	103.111	-169.7454
36.500000	103.107	-170.4479
37.000000	103.105	-171.1038
37.500000	103.113	-171.7140
38.200001	103.128	-172.5560
38.700001	103.130	-173.1561
39.500000	103.109	-174.0293
40.000000	103.094	-174.5127
40.599998	103.084	-175.0903
41.200001	103.078	-175.7007
41.799999	103.065	-176.3035
42.500000	103.038	-176.9294
43.099998	103.017	-177.4301
43.700001	103.009	-178.0006
44.400002	103.019	-178.8585
45.000000	103.026	-179.7024
45.500000	103.017	179.6570
46.200001	102.983	179.0712
46.799999	102.954	178.8339
47.500000	102.934	178.5118
48.200001	102.910	177.8600
48.700001	102.878	177.2739
49.400002	102.834	176.5306
50.000000	102.816	176.0350
50.799999	102.804	175.4893
51.500000	102.782	175.0901
52.200001	102.756	174.6996
53.000000	102.722	174.1429
53.799999	102.682	173.5822
54.500000	102.655	173.1691
55.200001	102.636	172.7337
56.000000	102.605	172.1819
57.000000	102.564	171.4536
58.000000	102.522	170.6827
59.000000	102.475	170.0478
60.000000	102.427	169.4561
60.799999	102.380	168.9933
61.500000	102.347	168.5944
62.200001	102.324	168.1578
63.000000	102.298	167.6692
64.000000	102.260	167.2139
65.000000	102.220	166.7086
66.000000	102.138	165.9886
67.000000	102.052	165.5184
68.000000	102.050	165.0613
69.000000	102.020	164.4129
70.000000	101.943	164.2849
71.000000	101.914	164.0970
72.000000	101.875	163.2495
73.000000	101.809	162.3558
74.000000	101.749	161.9532
75.000000	101.699	162.0117
76.199997	101.636	161.9314
77.500000	101.542	161.3687
78.800003	101.494	161.2341
80.000000	101.515	160.9939
81.199997	101.409	159.9722
82.500000	101.204	159.2787
83.800003	101.167	159.2605
85.000000	101.207	159.0395
86.199997	101.181	158.4237
87.500000	101.075	157.7350
88.500000	100.968	157.5394
90.000000	100.810	157.3036
91.199997	100.719	156.7505
92.500000	100.699	156.4147
93.800003	100.693	156.2816
95.000000	100.628	156.0914
96.199997	100.546	155.8085
97.500000	100.469	155.6644
98.800003	100.336	155.7953
100.000000	100.183	155.9147
101.500000	100.074	155.1398
103.000000	99.985	154.9106
104.400002	99.890	155.4044
106.000000	99.843	156.1831
107.500000	99.885	157.6019
109.000000	99.970	158.0330
110.599998	100.046	157.3167
112.000000	100.169	157.0703
113.800003	100.242	156.2386
115.000000	100.185	155.5377
117.199997	100.042	154.5186
118.000000	99.988	154.1570
120.599998	99.796	153.3471
122.000000	99.673	153.1472
124.099998	99.441	152.8895
125.000000	99.352	152.6849
126.500000	99.264	152.0609
128.000000	99.246	151.4931
131.500000	99.159	151.9380
132.000000	99.122	152.0244
134.000000	99.004	152.0856
136.000000	99.103	153.7497
138.000000	99.073	154.6608
140.000000	98.761	152.2554
143.000000	98.594	151.0325
145.000000	98.517	151.9654
147.500000	98.456	152.2094
150.000000	98.562	152.2575
152.500000	98.453	151.4971
155.000000	98.346	150.9478
157.500000	98.255	150.8494
160.000000	98.147	150.6342
162.500000	98.053	150.5887
165.000000	97.949	150.5564
167.500000	97.834	150.5571
170.000000	97.725	150.7138
172.500000	97.628	150.9657
175.000000	97.534	150.9393
177.500000	97.447	150.8763
180.000000	97.366	150.9166
182.500000	97.283	150.9880
185.000000	97.196	151.2223
187.500000	97.108	151.5063
190.000000	97.031	151.7883
192.500000	96.965	152.0597
195.000000	96.907	152.3192
197.500000	96.858	152.5810
200.000000	96.824	152.7990
203.000000	96.802	152.8949
206.000000	96.770	152.8884
209.000000	96.728	152.8385
212.000000	96.680	152.8184
214.000000	96.644	152.8083
218.000000	96.560	152.7422
220.000000	96.508	152.7211
224.000000	96.404	152.7354
227.000000	96.334	152.7803
230.000000	96.265	152.8209
233.000000	96.195	152.8857
236.000000	96.128	152.9799
240.000000	96.036	153.0986
243.000000	95.965	153.1977
247.000000	95.874	153.4408
250.000000	95.805	153.6589
254.000000	95.713	153.8147
258.000000	95.631	154.0175
262.000000	95.552	154.2227
265.000000	95.487	154.3903
269.000000	95.403	154.6504
272.000000	95.349	154.8824
276.000000	95.276	155.1609
280.000000	95.193	155.4525
285.000000	95.097	155.8459
290.000000	95.011	156.2374
295.000000	94.934	156.6361
300.000000	94.853	156.8868
304.000000	94.787	157.2409
307.000000	94.741	157.4993
311.000000	94.684	157.7416
315.000000	94.627	158.0231
320.000000	94.552	158.4118
325.000000	94.479	158.8230
330.000000	94.409	159.2122
335.000000	94.341	159.6026
340.000000	94.278	160.0029
345.000000	94.219	160.4180
350.000000	94.161	160.8388
355.000000	94.101	161.2414
360.000000	94.042	161.6392
365.000000	93.985	162.0395
370.000000	93.932	162.4561
375.000000	93.879	162.8800
382.000000	93.808	163.4372
387.000000	93.762	163.8388
395.000000	93.690	164.4979
400.000000	93.647	164.9240
406.000000	93.595	165.4231
412.000000	93.545	165.9252
418.000000	93.498	166.4388
425.000000	93.448	167.0131
431.000000	93.407	167.5048
437.000000	93.367	167.9975
444.000000	93.321	168.5989
450.000000	93.281	169.1106
455.000000	93.251	169.4855
462.000000	93.211	170.0257
468.000000	93.178	170.5054
475.000000	93.140	171.0724
482.000000	93.105	171.6457
487.000000	93.081	172.0429
494.000000	93.049	172.6080
500.000000	93.025	173.1009
508.000000	92.994	173.7342
515.000000	92.969	174.2889
522.000000	92.945	174.8386
530.000000	92.917	175.4581
538.000000	92.892	176.0769
545.000000	92.872	176.6071
552.000000	92.854	177.1384
560.000000	92.832	177.7618
570.000000	92.810	178.5318
580.000000	92.791	179.2963
590.000000	92.774	-179.9453
600.000000	92.760	-179.1800
608.000000	92.751	-178.5833
615.000000	92.744	-178.0632
622.000000	92.738	-177.5378
630.000000	92.732	-176.9425
640.000000	92.728	-176.1967
650.000000	92.725	-175.4543
660.000000	92.724	-174.7272
670.000000	92.725	-174.0016
680.000000	92.730	-173.2734
690.000000	92.736	-172.5468
700.000000	92.745	-171.8308
710.000000	92.757	-171.1093
720.000000	92.771	-170.3837
730.000000	92.787	-169.6659
740.000000	92.805	-168.9545
750.000000	92.825	-168.2415
762.000000	92.853	-167.4044
775.000000	92.889	-166.5048
788.000000	92.927	-165.6095
800.000000	92.966	-164.7875
812.000000	93.004	-163.9728
825.000000	93.049	-163.0991
838.000000	93.098	-162.2407
850.000000	93.149	-161.4622
862.000000	93.201	-160.7159
875.000000	93.262	-159.9262
885.000000	93.313	-159.3234
900.000000	93.394	-158.4463
912.000000	93.463	-157.7681
925.000000	93.543	-157.0662
938.000000	93.627	-156.3975
950.000000	93.708	-155.8069
962.000000	93.789	-155.2568
975.000000	93.879	-154.7078
988.000000	93.970	-154.2070
1000.000000	94.053	-153.7826
1015.000000	94.152	-153.2980
1030.000000	94.244	-152.8153
1044.000000	94.329	-152.3235
1060.000000	94.433	-151.7241
1075.000000	94.542	-151.1737
1090.000000	94.664	-150.6836
1106.000000	94.802	-150.2643
1120.000000	94.923	-149.9874
1138.000000	95.076	-149.7320
1150.000000	95.175	-149.6127
1172.000000	95.351	-149.4728
1180.000000	95.413	-149.4462
1206.000000	95.607	-149.4424
1220.000000	95.706	-149.4849
1241.000000	95.851	-149.6000
1250.000000	95.912	-149.6677
1265.000000	96.014	-149.8003
1280.000000	96.114	-149.9540
1315.000000	96.340	-150.4018
1320.000000	96.370	-150.4780
1340.000000	96.491	-150.8138
1360.000000	96.605	-151.1893
1380.000000	96.713	-151.6049
1400.000000	96.816	-152.0695
1430.000000	96.959	-152.8756
1450.000000	97.045	-153.4894
1475.000000	97.142	-154.3521
1500.000000	97.222	-155.3284
1525.000000	97.282	-156.4301
1550.000000	97.316	-157.6614
1575.000000	97.316	-159.0174
1600.000000	97.273	-160.4972
1625.000000	97.174	-162.0818
1650.000000	97.004	-163.7168
1675.000000	96.751	-165.2958
1700.000000	96.400	-166.6411
1725.000000	95.945	-167.4923
1750.000000	95.399	-167.5107
1775.000000	94.802	-166.3315
1800.000000	94.229	-163.7192
1825.000000	93.779	-159.7311
1850.000000	93.542	-154.8333
1875.000000	93.550	-149.7849
1900.000000	93.768	-145.2710
1925.000000	94.125	-141.6642
1950.000000	94.549	-139.0209
1975.000000	94.990	-137.2209
2000.000000	95.419	-136.1016
2030.000000	95.896	-135.4319
2060.000000	96.321	-135.2784
2090.000000	96.695	-135.4635
2120.000000	97.021	-135.8676
2140.000000	97.216	-136.2225
2180.000000	97.560	-137.0769
2200.000000	97.710	-137.5584
2240.000000	97.973	-138.5908
