* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2025 10:37:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Type E L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.787	-143.5844
20.600000	102.827	-144.1829
20.900000	102.872	-144.8350
21.200001	102.918	-145.5164
21.400000	102.946	-145.9878
21.799999	102.994	-146.9445
22.000000	103.016	-147.4112
22.400000	103.059	-148.2882
22.700001	103.101	-148.9046
23.000000	103.155	-149.5237
23.299999	103.217	-150.1894
23.600000	103.281	-150.9262
24.000000	103.347	-151.9886
24.299999	103.375	-152.7742
24.700001	103.384	-153.6800
25.000000	103.379	-154.2033
25.400000	103.379	-154.7200
25.799999	103.399	-155.1631
26.200001	103.433	-155.6896
26.500000	103.459	-156.1814
26.900000	103.480	-156.9309
27.200001	103.486	-157.5081
27.600000	103.488	-158.2303
28.000000	103.497	-158.8854
28.500000	103.528	-159.6797
29.000000	103.569	-160.5248
29.500000	103.600	-161.3960
30.000000	103.615	-162.2065
30.400000	103.624	-162.7877
30.700001	103.631	-163.1986
31.100000	103.644	-163.7432
31.500000	103.657	-164.3069
32.000000	103.671	-165.0375
32.500000	103.681	-165.7672
33.000000	103.690	-166.4713
33.500000	103.698	-167.1484
34.000000	103.706	-167.8064
34.500000	103.711	-168.4494
35.000000	103.712	-169.0782
35.500000	103.711	-169.6947
36.000000	103.709	-170.3022
36.500000	103.707	-170.9001
37.000000	103.704	-171.4851
37.500000	103.703	-172.0574
38.200001	103.702	-172.8572
38.700001	103.701	-173.4408
39.500000	103.689	-174.3581
40.000000	103.676	-174.8804
40.599998	103.662	-175.4541
41.200001	103.653	-176.0199
41.799999	103.644	-176.6112
42.500000	103.633	-177.3110
43.099998	103.623	-177.8905
43.700001	103.611	-178.4288
44.400002	103.586	-178.9568
45.000000	103.563	-179.3327
45.500000	103.549	-179.6671
46.200001	103.534	179.7148
46.799999	103.517	179.0768
47.500000	103.494	178.3556
48.200001	103.477	177.7049
48.700001	103.461	177.2615
49.400002	103.423	176.6971
50.000000	103.387	176.2985
50.799999	103.360	175.7917
51.500000	103.352	175.2544
52.200001	103.339	174.6698
53.000000	103.311	174.0566
53.799999	103.279	173.5038
54.500000	103.250	173.0481
55.200001	103.223	172.6127
56.000000	103.197	172.1021
57.000000	103.159	171.4071
58.000000	103.107	170.7764
59.000000	103.057	170.3342
60.000000	103.020	169.8795
60.799999	102.984	169.3910
61.500000	102.945	168.9386
62.200001	102.906	168.5286
63.000000	102.869	168.1113
64.000000	102.827	167.5936
65.000000	102.785	167.0827
66.000000	102.755	166.6024
67.000000	102.719	166.1074
68.000000	102.657	165.6384
69.000000	102.593	165.1868
70.000000	102.539	164.7295
71.000000	102.487	164.3275
72.000000	102.430	163.9056
73.000000	102.363	163.3824
74.000000	102.297	162.9531
75.000000	102.262	162.6840
76.199997	102.232	162.3055
77.500000	102.166	161.8050
78.800003	102.095	161.2218
80.000000	102.050	160.7110
81.199997	102.011	160.4078
82.500000	101.941	160.1986
83.800003	101.853	159.8818
85.000000	101.794	159.4299
86.199997	101.741	159.0405
87.500000	101.668	158.7724
88.500000	101.607	158.5326
90.000000	101.534	157.9087
91.199997	101.484	157.4045
92.500000	101.431	157.1484
93.800003	101.370	156.9786
95.000000	101.298	156.7459
96.199997	101.223	156.5108
97.500000	101.139	156.2595
98.800003	101.047	156.0283
100.000000	100.984	155.8586
101.500000	100.941	155.5712
103.000000	100.880	155.2855
104.400002	100.806	155.0008
106.000000	100.714	154.5192
107.500000	100.631	154.1845
109.000000	100.557	154.1599
110.599998	100.463	154.3555
112.000000	100.366	154.6082
113.800003	100.284	154.9894
115.000000	100.265	155.2251
117.199997	100.254	155.1887
118.000000	100.241	155.0017
120.599998	100.158	154.4215
122.000000	100.112	154.1948
124.099998	100.064	154.0347
125.000000	100.037	153.9590
126.500000	99.980	153.7729
128.000000	99.931	153.4727
131.500000	99.806	152.7994
132.000000	99.795	152.7268
134.000000	99.765	151.9207
136.000000	99.769	149.4526
138.000000	99.676	149.2157
140.000000	99.523	151.3013
143.000000	99.378	151.7699
145.000000	99.304	151.6606
147.500000	99.222	151.5646
150.000000	99.102	151.5363
152.500000	99.001	151.5160
155.000000	98.912	151.3629
157.500000	98.823	151.4086
160.000000	98.750	151.6229
162.500000	98.691	151.7899
165.000000	98.628	151.7769
167.500000	98.550	151.6755
170.000000	98.465	151.5831
172.500000	98.386	151.4797
175.000000	98.303	151.4007
177.500000	98.213	151.4004
180.000000	98.127	151.4276
182.500000	98.049	151.4546
185.000000	97.967	151.4988
187.500000	97.884	151.5391
190.000000	97.804	151.5923
192.500000	97.726	151.6650
195.000000	97.651	151.7421
197.500000	97.577	151.8394
200.000000	97.506	151.9530
203.000000	97.426	152.0663
206.000000	97.351	152.2047
209.000000	97.270	152.3627
212.000000	97.192	152.4763
214.000000	97.142	152.5462
218.000000	97.040	152.7355
220.000000	96.990	152.8285
224.000000	96.898	153.0498
227.000000	96.831	153.2430
230.000000	96.757	153.4197
233.000000	96.683	153.6106
236.000000	96.613	153.8135
240.000000	96.522	154.0789
243.000000	96.455	154.2863
247.000000	96.373	154.5495
250.000000	96.315	154.7947
254.000000	96.250	155.1414
258.000000	96.184	155.4740
262.000000	96.092	155.6859
265.000000	96.039	155.8668
269.000000	95.973	156.1949
272.000000	95.916	156.4135
276.000000	95.849	156.7464
280.000000	95.795	157.1382
285.000000	95.715	157.4851
290.000000	95.634	157.8889
295.000000	95.566	158.3135
300.000000	95.497	158.6119
304.000000	95.427	158.8962
307.000000	95.382	159.1797
311.000000	95.328	159.5073
315.000000	95.277	159.8025
320.000000	95.216	160.1912
325.000000	95.153	160.6182
330.000000	95.089	161.0437
335.000000	95.027	161.4235
340.000000	94.967	161.7932
345.000000	94.911	162.1898
350.000000	94.857	162.5928
355.000000	94.805	163.0251
360.000000	94.753	163.4602
365.000000	94.702	163.8818
370.000000	94.653	164.2951
375.000000	94.605	164.7083
382.000000	94.542	165.2952
387.000000	94.499	165.7187
395.000000	94.434	166.3992
400.000000	94.394	166.8176
406.000000	94.347	167.3307
412.000000	94.303	167.8350
418.000000	94.260	168.3325
425.000000	94.214	168.9130
431.000000	94.176	169.4108
437.000000	94.138	169.9127
444.000000	94.097	170.4836
450.000000	94.061	170.9513
455.000000	94.035	171.3811
462.000000	94.001	171.9870
468.000000	93.971	172.4760
475.000000	93.939	173.0193
482.000000	93.913	173.6086
487.000000	93.894	174.0247
494.000000	93.867	174.5887
500.000000	93.845	175.0655
508.000000	93.822	175.7198
515.000000	93.803	176.2850
522.000000	93.781	176.8328
530.000000	93.758	177.4523
538.000000	93.739	178.0716
545.000000	93.725	178.5977
552.000000	93.712	179.1286
560.000000	93.699	179.7637
570.000000	93.683	-179.4552
580.000000	93.671	-178.6884
590.000000	93.659	-177.9261
600.000000	93.652	-177.1616
608.000000	93.647	-176.5689
615.000000	93.643	-176.0528
622.000000	93.641	-175.5377
630.000000	93.641	-174.9471
640.000000	93.644	-174.2016
650.000000	93.647	-173.4539
660.000000	93.651	-172.7347
670.000000	93.658	-172.0143
680.000000	93.667	-171.2894
690.000000	93.680	-170.5710
700.000000	93.694	-169.8671
710.000000	93.710	-169.1520
720.000000	93.729	-168.4357
730.000000	93.749	-167.7289
740.000000	93.772	-167.0290
750.000000	93.797	-166.3264
762.000000	93.830	-165.4813
775.000000	93.870	-164.5819
788.000000	93.914	-163.6899
800.000000	93.956	-162.8787
812.000000	93.999	-162.0748
825.000000	94.048	-161.2097
838.000000	94.100	-160.3513
850.000000	94.154	-159.5582
862.000000	94.209	-158.8121
875.000000	94.272	-158.0203
885.000000	94.324	-157.4158
900.000000	94.407	-156.5288
912.000000	94.479	-155.8398
925.000000	94.560	-155.1141
938.000000	94.644	-154.4100
950.000000	94.725	-153.7794
962.000000	94.810	-153.1615
975.000000	94.908	-152.5091
988.000000	95.011	-151.8858
1000.000000	95.113	-151.3472
1015.000000	95.248	-150.7391
1030.000000	95.386	-150.2297
1044.000000	95.514	-149.8422
1060.000000	95.658	-149.4768
1075.000000	95.790	-149.1949
1090.000000	95.919	-148.9681
1106.000000	96.053	-148.7802
1120.000000	96.167	-148.6579
1138.000000	96.310	-148.5603
1150.000000	96.403	-148.5314
1172.000000	96.568	-148.5419
1180.000000	96.625	-148.5664
1206.000000	96.803	-148.7234
1220.000000	96.892	-148.8503
1241.000000	97.019	-149.0894
1250.000000	97.071	-149.2102
1265.000000	97.158	-149.4380
1280.000000	97.240	-149.6944
1315.000000	97.406	-150.3836
1320.000000	97.426	-150.4909
1340.000000	97.496	-150.9357
1360.000000	97.546	-151.4006
1380.000000	97.576	-151.8661
1400.000000	97.582	-152.2911
1430.000000	97.545	-152.7486
1450.000000	97.494	-152.8418
1475.000000	97.416	-152.6130
1500.000000	97.350	-151.9540
1525.000000	97.328	-150.9360
1550.000000	97.370	-149.7458
1575.000000	97.475	-148.6085
1600.000000	97.625	-147.6805
1625.000000	97.798	-147.0233
1650.000000	97.978	-146.6246
