* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2025 10:39:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Type E R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.274	-140.6042
20.600000	102.324	-141.3183
20.900000	102.374	-142.1198
21.200001	102.417	-142.9192
21.400000	102.442	-143.4275
21.799999	102.492	-144.3515
22.000000	102.519	-144.7675
22.400000	102.583	-145.5506
22.700001	102.634	-146.1475
23.000000	102.683	-146.7897
23.299999	102.721	-147.4816
23.600000	102.745	-148.1993
24.000000	102.759	-149.1279
24.299999	102.766	-149.7639
24.700001	102.789	-150.5269
25.000000	102.822	-151.0682
25.400000	102.887	-151.8089
25.799999	102.961	-152.5970
26.200001	103.026	-153.3950
26.500000	103.063	-153.9582
26.900000	103.099	-154.6269
27.200001	103.120	-155.0735
27.600000	103.145	-155.6433
28.000000	103.167	-156.2420
28.500000	103.187	-157.0658
29.000000	103.197	-157.9204
29.500000	103.206	-158.7276
30.000000	103.227	-159.4750
30.400000	103.252	-160.0610
30.700001	103.273	-160.5088
31.100000	103.300	-161.1187
31.500000	103.321	-161.7314
32.000000	103.339	-162.4783
32.500000	103.352	-163.1995
33.000000	103.364	-163.9099
33.500000	103.372	-164.6162
34.000000	103.377	-165.3028
34.500000	103.381	-165.9514
35.000000	103.389	-166.5638
35.500000	103.399	-167.1599
36.000000	103.409	-167.7567
36.500000	103.415	-168.3592
37.000000	103.416	-168.9672
37.500000	103.414	-169.5773
38.200001	103.408	-170.4099
38.700001	103.405	-170.9723
39.500000	103.409	-171.8543
40.000000	103.412	-172.4342
40.599998	103.410	-173.1551
41.200001	103.403	-173.8594
41.799999	103.396	-174.5077
42.500000	103.385	-175.1419
43.099998	103.373	-175.5840
43.700001	103.362	-176.0684
44.400002	103.334	-176.8845
45.000000	103.282	-177.6968
45.500000	103.233	-178.2508
46.200001	103.207	-178.7232
46.799999	103.237	-179.0554
47.500000	103.276	-179.6283
48.200001	103.265	179.6577
48.700001	103.234	179.1634
49.400002	103.189	178.5553
50.000000	103.168	178.1202
50.799999	103.167	177.6412
51.500000	103.167	177.2520
52.200001	103.149	176.8442
53.000000	103.115	176.3380
53.799999	103.092	175.7413
54.500000	103.078	175.1693
55.200001	103.055	174.6606
56.000000	103.021	174.1837
57.000000	102.970	173.5627
58.000000	102.918	172.9226
59.000000	102.898	172.3135
60.000000	102.883	171.6304
60.799999	102.849	171.1394
61.500000	102.816	170.7639
62.200001	102.783	170.3809
63.000000	102.746	169.9310
64.000000	102.706	169.3854
65.000000	102.667	168.9238
66.000000	102.635	168.5796
67.000000	102.600	168.1218
68.000000	102.542	167.5507
69.000000	102.490	167.0411
70.000000	102.453	166.5510
71.000000	102.403	166.0885
72.000000	102.346	165.6657
73.000000	102.290	165.3044
74.000000	102.247	165.0306
75.000000	102.213	164.6475
76.199997	102.149	163.9790
77.500000	102.072	163.3365
78.800003	102.024	162.8452
80.000000	101.987	162.5612
81.199997	101.943	162.3439
82.500000	101.876	161.9050
83.800003	101.804	161.3909
85.000000	101.737	160.9754
86.199997	101.661	160.6150
87.500000	101.579	160.2294
88.500000	101.529	159.9219
90.000000	101.480	159.3771
91.199997	101.434	159.0986
92.500000	101.369	158.9593
93.800003	101.297	158.7625
95.000000	101.234	158.5294
96.199997	101.171	158.2752
97.500000	101.099	158.0077
98.800003	101.015	157.9203
100.000000	100.960	157.9314
101.500000	100.942	157.4570
103.000000	100.906	156.8697
104.400002	100.852	156.5168
106.000000	100.775	156.1690
107.500000	100.698	155.9242
109.000000	100.632	155.7458
110.599998	100.571	155.5841
112.000000	100.508	155.3735
113.800003	100.405	154.9957
115.000000	100.335	154.8657
117.199997	100.236	154.7888
118.000000	100.210	154.6833
120.599998	100.102	154.2224
122.000000	100.037	154.1707
124.099998	99.994	153.9731
125.000000	99.978	153.7979
126.500000	99.928	153.6530
128.000000	99.875	153.5864
131.500000	99.768	153.3968
132.000000	99.743	153.3529
134.000000	99.651	153.0854
136.000000	99.605	152.1324
138.000000	99.560	151.4409
140.000000	99.442	152.2416
143.000000	99.312	152.4778
145.000000	99.248	152.2515
147.500000	99.180	152.3237
150.000000	99.054	152.3651
152.500000	98.940	152.0434
155.000000	98.865	152.0332
157.500000	98.796	152.2765
160.000000	98.727	152.2828
162.500000	98.656	152.2157
165.000000	98.577	152.1522
167.500000	98.498	152.0225
170.000000	98.432	151.9408
172.500000	98.354	151.9814
175.000000	98.262	151.9706
177.500000	98.172	151.8258
180.000000	98.087	151.8026
182.500000	98.003	151.8965
185.000000	97.922	151.9030
187.500000	97.848	151.8263
190.000000	97.773	151.8250
192.500000	97.696	151.8776
195.000000	97.619	151.9400
197.500000	97.540	151.9895
200.000000	97.464	152.0460
203.000000	97.381	152.1728
206.000000	97.304	152.2872
209.000000	97.224	152.3876
212.000000	97.141	152.5484
214.000000	97.087	152.6483
218.000000	96.978	152.8257
220.000000	96.926	152.9496
224.000000	96.819	153.2845
227.000000	96.748	153.3672
230.000000	96.688	153.4321
233.000000	96.623	153.6379
236.000000	96.555	153.8009
240.000000	96.466	153.9845
243.000000	96.395	154.1917
247.000000	96.306	154.5074
250.000000	96.243	154.7735
254.000000	96.174	155.2863
258.000000	96.093	155.7316
262.000000	96.001	155.9302
265.000000	95.946	156.0508
269.000000	95.906	156.4626
272.000000	95.878	156.7895
276.000000	95.826	157.1302
280.000000	95.761	157.2244
285.000000	95.674	157.4452
290.000000	95.584	157.7051
295.000000	95.499	157.9530
300.000000	95.417	158.2599
304.000000	95.360	158.5255
307.000000	95.318	158.7804
311.000000	95.268	159.1888
315.000000	95.228	159.5631
320.000000	95.164	159.9346
325.000000	95.090	160.2602
330.000000	95.024	160.5939
335.000000	94.959	160.9631
340.000000	94.894	161.3369
345.000000	94.832	161.7417
350.000000	94.772	162.1469
355.000000	94.715	162.5402
360.000000	94.660	162.9190
365.000000	94.606	163.2927
370.000000	94.555	163.7108
375.000000	94.506	164.1740
382.000000	94.439	164.7469
387.000000	94.392	165.1498
395.000000	94.319	165.8150
400.000000	94.277	166.2370
406.000000	94.229	166.7262
412.000000	94.182	167.2160
418.000000	94.135	167.7111
425.000000	94.084	168.3029
431.000000	94.042	168.8068
437.000000	94.002	169.2963
444.000000	93.960	169.8426
450.000000	93.928	170.2954
455.000000	93.895	170.7368
462.000000	93.850	171.3513
468.000000	93.818	171.8438
475.000000	93.785	172.4090
482.000000	93.750	172.9969
487.000000	93.728	173.4077
494.000000	93.698	173.9606
500.000000	93.674	174.4412
508.000000	93.642	175.1094
515.000000	93.614	175.6799
522.000000	93.588	176.2390
530.000000	93.565	176.8596
538.000000	93.543	177.4762
545.000000	93.525	178.0177
552.000000	93.509	178.5657
560.000000	93.490	179.1988
570.000000	93.469	179.9830
580.000000	93.451	-179.2352
590.000000	93.437	-178.4640
600.000000	93.423	-177.6983
608.000000	93.415	-177.0828
615.000000	93.409	-176.5396
622.000000	93.404	-176.0033
630.000000	93.399	-175.4044
640.000000	93.393	-174.6688
650.000000	93.390	-173.9322
660.000000	93.393	-173.1637
670.000000	93.399	-172.4112
680.000000	93.406	-171.6643
690.000000	93.415	-170.9219
700.000000	93.427	-170.1827
710.000000	93.440	-169.4547
720.000000	93.454	-168.7203
730.000000	93.471	-167.9867
740.000000	93.491	-167.2704
750.000000	93.515	-166.5613
762.000000	93.545	-165.6757
775.000000	93.582	-164.7348
788.000000	93.624	-163.8114
800.000000	93.665	-162.9622
