* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2025 10:45:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Velvet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.756	-144.0835
20.600000	102.795	-144.7892
20.900000	102.832	-145.5412
21.200001	102.863	-146.2596
21.400000	102.881	-146.7084
21.799999	102.917	-147.5269
22.000000	102.936	-147.9042
22.400000	102.983	-148.6423
22.700001	103.027	-149.2372
23.000000	103.074	-149.9164
23.299999	103.121	-150.7017
23.600000	103.160	-151.5800
24.000000	103.193	-152.8061
24.299999	103.204	-153.6729
24.700001	103.211	-154.6341
25.000000	103.220	-155.1731
25.400000	103.251	-155.6900
25.799999	103.302	-156.1003
26.200001	103.361	-156.5386
26.500000	103.398	-156.9271
26.900000	103.430	-157.5208
27.200001	103.441	-158.0018
27.600000	103.447	-158.6662
28.000000	103.452	-159.3510
28.500000	103.468	-160.2367
29.000000	103.491	-161.1198
29.500000	103.516	-161.9301
30.000000	103.544	-162.6426
30.400000	103.566	-163.1782
30.700001	103.582	-163.5886
31.100000	103.600	-164.1696
31.500000	103.610	-164.7895
32.000000	103.616	-165.5844
32.500000	103.620	-166.3522
33.000000	103.626	-167.0608
33.500000	103.634	-167.7051
34.000000	103.640	-168.2970
34.500000	103.643	-168.8601
35.000000	103.645	-169.4306
35.500000	103.650	-170.0471
36.000000	103.655	-170.7206
36.500000	103.655	-171.4084
37.000000	103.646	-172.0392
37.500000	103.632	-172.5847
38.200001	103.618	-173.3166
38.700001	103.606	-173.9007
39.500000	103.584	-174.8235
40.000000	103.582	-175.2961
40.599998	103.594	-175.8281
41.200001	103.590	-176.4299
41.799999	103.553	-177.0735
42.500000	103.514	-177.8770
43.099998	103.517	-178.6943
43.700001	103.531	-179.3773
44.400002	103.566	-179.3596
45.000000	103.657	-178.8124
45.500000	103.757	-178.6500
46.200001	103.788	-179.4987
46.799999	103.653	179.2320
47.500000	103.437	178.0829
48.200001	103.348	177.3668
48.700001	103.355	176.8391
49.400002	103.361	176.0591
50.000000	103.326	175.5532
50.799999	103.269	175.0790
51.500000	103.242	174.6068
52.200001	103.229	174.0886
53.000000	103.215	173.5773
53.799999	103.190	173.0948
54.500000	103.155	172.6290
55.200001	103.119	172.1476
56.000000	103.086	171.6213
57.000000	103.050	170.9852
58.000000	103.006	170.3411
59.000000	102.958	169.7380
60.000000	102.914	169.1889
60.799999	102.877	168.7374
61.500000	102.840	168.3424
62.200001	102.805	167.9824
63.000000	102.770	167.6012
64.000000	102.723	167.0945
65.000000	102.673	166.5308
66.000000	102.626	165.9257
67.000000	102.575	165.3985
68.000000	102.531	164.9807
69.000000	102.496	164.6293
70.000000	102.469	164.3032
71.000000	102.426	163.8675
72.000000	102.357	163.3671
73.000000	102.293	162.8804
74.000000	102.241	162.4852
75.000000	102.196	162.1808
76.199997	102.130	161.7505
77.500000	102.061	161.3058
78.800003	102.006	160.8995
80.000000	101.933	160.5683
81.199997	101.863	160.1807
82.500000	101.798	159.6594
83.800003	101.741	159.2406
85.000000	101.687	158.8889
86.199997	101.625	158.5661
87.500000	101.557	158.2525
88.500000	101.508	157.9883
90.000000	101.436	157.5491
91.199997	101.370	157.2712
92.500000	101.304	157.0487
93.800003	101.250	156.7299
95.000000	101.191	156.3927
96.199997	101.124	156.1125
97.500000	101.060	155.8188
98.800003	101.001	155.4842
100.000000	100.944	155.2131
101.500000	100.871	154.9783
103.000000	100.791	154.8016
104.400002	100.711	154.6766
106.000000	100.635	154.5150
107.500000	100.581	154.2402
109.000000	100.518	153.9030
110.599998	100.429	153.6228
112.000000	100.347	153.6094
113.800003	100.275	153.5670
115.000000	100.241	153.3833
117.199997	100.182	153.2470
118.000000	100.152	153.2322
120.599998	100.034	152.9256
122.000000	99.969	152.6691
124.099998	99.879	152.3003
125.000000	99.840	152.1751
126.500000	99.776	152.0331
128.000000	99.717	151.9192
131.500000	99.574	151.6906
132.000000	99.552	151.6496
134.000000	99.485	151.4917
136.000000	99.459	150.6375
138.000000	99.400	149.8009
140.000000	99.278	150.7051
143.000000	99.121	151.3396
145.000000	99.069	151.4807
147.500000	99.047	151.5041
150.000000	99.002	151.5579
152.500000	98.888	151.3042
155.000000	98.799	151.0402
157.500000	98.717	150.9099
160.000000	98.621	150.8177
162.500000	98.527	150.7969
165.000000	98.440	150.7520
167.500000	98.354	150.7161
170.000000	98.267	150.6997
172.500000	98.169	150.6743
175.000000	98.076	150.6633
177.500000	97.995	150.7004
180.000000	97.917	150.7646
182.500000	97.834	150.8525
185.000000	97.753	150.9316
187.500000	97.679	150.9853
190.000000	97.602	151.0241
192.500000	97.524	151.0718
195.000000	97.448	151.1445
197.500000	97.374	151.2438
200.000000	97.302	151.3530
203.000000	97.223	151.5032
206.000000	97.146	151.6438
209.000000	97.065	151.7887
212.000000	96.990	151.9636
214.000000	96.943	152.0790
218.000000	96.844	152.2429
220.000000	96.795	152.3183
224.000000	96.704	152.5237
227.000000	96.635	152.7015
230.000000	96.565	152.8815
233.000000	96.497	153.0594
236.000000	96.432	153.2386
240.000000	96.344	153.5083
243.000000	96.277	153.7023
247.000000	96.192	153.9706
250.000000	96.129	154.1823
254.000000	96.042	154.4506
258.000000	95.965	154.7054
262.000000	95.898	154.9964
265.000000	95.839	155.2628
269.000000	95.759	155.5752
272.000000	95.701	155.7965
276.000000	95.622	156.1130
280.000000	95.557	156.3414
285.000000	95.474	156.7091
290.000000	95.396	157.1009
295.000000	95.325	157.5219
300.000000	95.248	157.9925
304.000000	95.181	158.3495
307.000000	95.135	158.6144
311.000000	95.078	158.9492
315.000000	95.025	159.2853
320.000000	94.963	159.7462
325.000000	94.905	160.1625
330.000000	94.850	160.5568
335.000000	94.795	160.9716
340.000000	94.741	161.3792
345.000000	94.693	161.7829
350.000000	94.645	162.1768
355.000000	94.582	162.5601
360.000000	94.523	162.9550
365.000000	94.470	163.3386
370.000000	94.422	163.7490
375.000000	94.375	164.1883
382.000000	94.312	164.7880
387.000000	94.268	165.1899
395.000000	94.200	165.8427
400.000000	94.159	166.2466
406.000000	94.111	166.7444
412.000000	94.065	167.2435
418.000000	94.023	167.7439
425.000000	93.977	168.3327
431.000000	93.939	168.8272
437.000000	93.901	169.3306
444.000000	93.862	169.9227
450.000000	93.830	170.4355
