* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2025 10:47:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 Velvet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.161	-141.5715
20.600000	102.211	-142.1189
20.900000	102.268	-142.7341
21.200001	102.323	-143.3953
21.400000	102.357	-143.8615
21.799999	102.415	-144.8334
22.000000	102.440	-145.3245
22.400000	102.487	-146.2879
22.700001	102.523	-146.9887
23.000000	102.562	-147.6805
23.299999	102.604	-148.3760
23.600000	102.646	-149.0797
24.000000	102.696	-150.0111
24.299999	102.728	-150.6764
24.700001	102.765	-151.4817
25.000000	102.793	-152.0191
25.400000	102.833	-152.6740
25.799999	102.878	-153.3078
26.200001	102.921	-153.9584
26.500000	102.950	-154.4602
26.900000	102.981	-155.1344
27.200001	103.001	-155.6369
27.600000	103.027	-156.3064
28.000000	103.053	-156.9899
28.500000	103.083	-157.8727
29.000000	103.105	-158.7525
29.500000	103.122	-159.5773
30.000000	103.140	-160.3398
30.400000	103.158	-160.9328
30.700001	103.171	-161.3825
31.100000	103.186	-161.9922
31.500000	103.197	-162.6012
32.000000	103.205	-163.3354
32.500000	103.214	-164.0312
33.000000	103.226	-164.7092
33.500000	103.238	-165.3931
34.000000	103.248	-166.0834
34.500000	103.253	-166.7634
35.000000	103.257	-167.4206
35.500000	103.261	-168.0584
36.000000	103.268	-168.6860
36.500000	103.275	-169.3036
37.000000	103.280	-169.9026
37.500000	103.286	-170.4806
38.200001	103.292	-171.2776
38.700001	103.292	-171.8555
39.500000	103.281	-172.7806
40.000000	103.270	-173.3426
40.599998	103.258	-174.0018
41.200001	103.246	-174.6448
41.799999	103.235	-175.2541
42.500000	103.228	-175.9201
43.099998	103.226	-176.4858
43.700001	103.222	-177.0571
44.400002	103.212	-177.6967
45.000000	103.203	-178.2179
45.500000	103.194	-178.6544
46.200001	103.171	-179.2771
46.799999	103.146	-179.8046
47.500000	103.124	179.5516
48.200001	103.104	178.8177
48.700001	103.082	178.2842
49.400002	103.038	177.6720
50.000000	103.005	177.3180
50.799999	102.985	176.9085
51.500000	102.980	176.4238
52.200001	102.969	175.8265
53.000000	102.946	175.1727
53.799999	102.920	174.6508
54.500000	102.900	174.2370
55.200001	102.875	173.7741
56.000000	102.835	173.2053
57.000000	102.789	172.5188
58.000000	102.752	171.8484
59.000000	102.711	171.2614
60.000000	102.673	170.6986
60.799999	102.640	170.2346
61.500000	102.609	169.8571
62.200001	102.582	169.4865
63.000000	102.549	169.0352
64.000000	102.505	168.4446
65.000000	102.463	167.8904
66.000000	102.430	167.4019
67.000000	102.391	166.8949
68.000000	102.330	166.4179
69.000000	102.270	165.9768
70.000000	102.219	165.5040
71.000000	102.176	165.0939
72.000000	102.132	164.7644
73.000000	102.075	164.4456
74.000000	102.010	164.0787
75.000000	101.959	163.6500
76.199997	101.917	163.0500
77.500000	101.863	162.4344
78.800003	101.806	161.9606
80.000000	101.751	161.5572
81.199997	101.691	161.0934
82.500000	101.617	160.6238
83.800003	101.548	160.2808
85.000000	101.492	159.9126
86.199997	101.432	159.5166
87.500000	101.366	159.1479
88.500000	101.317	158.8597
90.000000	101.244	158.3928
91.199997	101.179	158.1086
92.500000	101.117	157.8532
93.800003	101.060	157.5643
95.000000	101.004	157.2749
96.199997	100.947	156.9549
97.500000	100.880	156.5622
98.800003	100.809	156.3196
100.000000	100.762	156.2110
101.500000	100.700	155.8898
103.000000	100.629	155.5514
104.400002	100.557	155.2937
106.000000	100.472	154.9854
107.500000	100.409	154.7343
109.000000	100.347	154.5507
110.599998	100.260	154.2068
112.000000	100.176	153.8401
113.800003	100.077	153.5313
115.000000	100.005	153.4381
117.199997	99.853	153.4937
118.000000	99.802	153.6040
120.599998	99.730	154.1663
122.000000	99.744	154.1836
124.099998	99.749	153.6428
125.000000	99.720	153.3951
126.500000	99.644	153.0888
128.000000	99.574	152.8774
131.500000	99.461	152.7121
132.000000	99.436	152.6572
134.000000	99.278	152.5859
136.000000	98.927	153.1724
138.000000	98.834	153.0869
140.000000	99.048	151.9118
143.000000	99.033	151.4411
145.000000	98.961	151.2526
147.500000	98.882	151.0446
150.000000	98.792	151.0140
152.500000	98.703	150.9946
155.000000	98.610	150.9265
157.500000	98.516	150.8735
160.000000	98.421	150.8192
162.500000	98.325	150.7866
165.000000	98.235	150.8062
167.500000	98.155	150.8295
170.000000	98.078	150.8219
172.500000	98.002	150.8575
175.000000	97.918	150.8528
177.500000	97.839	150.8543
180.000000	97.757	150.8665
182.500000	97.674	150.8810
185.000000	97.597	150.9077
187.500000	97.526	150.9075
190.000000	97.450	150.9407
192.500000	97.368	151.0113
195.000000	97.288	151.0952
197.500000	97.211	151.1888
200.000000	97.136	151.2646
203.000000	97.052	151.3505
206.000000	96.971	151.4923
209.000000	96.892	151.5996
212.000000	96.814	151.6764
214.000000	96.759	151.7663
218.000000	96.655	151.9490
220.000000	96.605	152.0193
224.000000	96.504	152.2260
227.000000	96.436	152.4239
230.000000	96.367	152.5943
233.000000	96.296	152.7338
236.000000	96.228	152.8939
240.000000	96.142	153.1612
243.000000	96.075	153.4164
247.000000	95.981	153.7150
250.000000	95.908	153.9031
254.000000	95.822	154.1669
258.000000	95.747	154.4171
262.000000	95.687	154.8812
265.000000	95.631	155.0917
269.000000	95.576	155.1907
272.000000	95.550	155.4275
276.000000	95.484	155.7785
280.000000	95.406	156.0345
285.000000	95.321	156.3099
290.000000	95.237	156.6623
295.000000	95.164	156.9810
300.000000	95.077	157.2971
