* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 8, 2026 9:26:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 VelvetW L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.222	-146.9424
20.600000	103.256	-147.5502
20.900000	103.294	-148.2210
21.200001	103.333	-148.9176
21.400000	103.360	-149.3962
21.799999	103.412	-150.3785
22.000000	103.437	-150.8741
22.400000	103.484	-151.8510
22.700001	103.516	-152.5559
23.000000	103.544	-153.2282
23.299999	103.569	-153.8660
23.600000	103.592	-154.4722
24.000000	103.621	-155.2461
24.299999	103.644	-155.8172
24.700001	103.675	-156.5928
25.000000	103.698	-157.1951
25.400000	103.723	-158.0165
25.799999	103.739	-158.8194
26.200001	103.749	-159.5533
26.500000	103.757	-160.0450
26.900000	103.773	-160.6445
27.200001	103.790	-161.0867
27.600000	103.817	-161.7161
28.000000	103.840	-162.4095
28.500000	103.855	-163.3197
29.000000	103.860	-164.1908
29.500000	103.870	-164.9940
30.000000	103.889	-165.7765
30.400000	103.906	-166.4123
30.700001	103.915	-166.8880
31.100000	103.922	-167.5000
31.500000	103.925	-168.0726
32.000000	103.930	-168.7504
32.500000	103.937	-169.4318
33.000000	103.942	-170.1375
33.500000	103.940	-170.8383
34.000000	103.931	-171.4951
34.500000	103.922	-172.0975
35.000000	103.914	-172.6682
35.500000	103.910	-173.2414
36.000000	103.908	-173.8437
36.500000	103.905	-174.4792
37.000000	103.899	-175.1261
37.500000	103.892	-175.7529
38.200001	103.881	-176.5688
38.700001	103.871	-177.1073
39.500000	103.851	-177.8796
40.000000	103.841	-178.3188
40.599998	103.836	-178.8776
41.200001	103.831	-179.5351
41.799999	103.815	179.7548
42.500000	103.783	179.0058
43.099998	103.760	178.4584
43.700001	103.743	177.9268
44.400002	103.720	177.2770
45.000000	103.692	176.7300
45.500000	103.669	176.3017
46.200001	103.641	175.7247
46.799999	103.621	175.2235
47.500000	103.596	174.6339
48.200001	103.567	174.0739
48.700001	103.546	173.6996
49.400002	103.519	173.1870
50.000000	103.496	172.7360
50.799999	103.458	172.1328
51.500000	103.422	171.6341
52.200001	103.389	171.1536
53.000000	103.354	170.5986
53.799999	103.318	170.0474
54.500000	103.284	169.5804
55.200001	103.248	169.1177
56.000000	103.208	168.5861
57.000000	103.159	167.9494
58.000000	103.111	167.3836
59.000000	103.067	166.8330
60.000000	103.020	166.2312
60.799999	102.979	165.7480
61.500000	102.942	165.3629
62.200001	102.903	165.0127
63.000000	102.858	164.6263
64.000000	102.802	164.1329
65.000000	102.748	163.6414
66.000000	102.694	163.1675
67.000000	102.639	162.7152
68.000000	102.585	162.2706
69.000000	102.532	161.8279
70.000000	102.478	161.4044
71.000000	102.423	160.9879
72.000000	102.367	160.5706
73.000000	102.313	160.1695
74.000000	102.260	159.7961
75.000000	102.205	159.4494
76.199997	102.139	159.0634
77.500000	102.070	158.6511
78.800003	101.999	158.1883
80.000000	101.932	157.7639
81.199997	101.869	157.3634
82.500000	101.799	156.9706
83.800003	101.726	156.6054
85.000000	101.660	156.2832
86.199997	101.597	155.9738
87.500000	101.529	155.6188
88.500000	101.473	155.3430
90.000000	101.390	154.9589
91.199997	101.323	154.6863
92.500000	101.254	154.3984
93.800003	101.185	154.1120
95.000000	101.121	153.8521
96.199997	101.056	153.6000
97.500000	100.987	153.3592
98.800003	100.925	153.1037
100.000000	100.866	152.8340
101.500000	100.779	152.6061
103.000000	100.692	152.4418
104.400002	100.612	152.2500
106.000000	100.521	152.0804
107.500000	100.438	151.9826
109.000000	100.360	151.8639
110.599998	100.283	151.7737
112.000000	100.217	151.7536
