* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 8, 2026 9:32:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 VelvetW R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.483	-148.6806
20.600000	103.513	-149.2937
20.900000	103.551	-149.9649
21.200001	103.592	-150.6622
21.400000	103.620	-151.1432
21.799999	103.674	-152.1308
22.000000	103.697	-152.6233
22.400000	103.735	-153.5643
22.700001	103.757	-154.2088
23.000000	103.777	-154.7993
23.299999	103.798	-155.3546
23.600000	103.822	-155.9039
24.000000	103.858	-156.6732
24.299999	103.884	-157.2919
24.700001	103.914	-158.1547
25.000000	103.933	-158.8025
25.400000	103.955	-159.6280
25.799999	103.979	-160.3940
26.200001	104.006	-161.1120
26.500000	104.026	-161.6310
26.900000	104.047	-162.2999
27.200001	104.057	-162.7757
27.600000	104.064	-163.3618
28.000000	104.071	-163.8985
28.500000	104.088	-164.5620
29.000000	104.114	-165.3148
29.500000	104.135	-166.1951
30.000000	104.139	-167.1357
30.400000	104.131	-167.8601
30.700001	104.123	-168.3635
31.100000	104.114	-168.9810
31.500000	104.110	-169.5567
32.000000	104.111	-170.2535
32.500000	104.115	-170.9430
33.000000	104.118	-171.6220
33.500000	104.118	-172.2905
34.000000	104.118	-172.9585
34.500000	104.115	-173.6310
35.000000	104.109	-174.2950
35.500000	104.101	-174.9291
36.000000	104.093	-175.5225
36.500000	104.086	-176.0841
37.000000	104.081	-176.6342
37.500000	104.072	-177.1874
38.200001	104.053	-177.9633
38.700001	104.036	-178.5068
39.500000	104.012	-179.3672
40.000000	104.001	-179.9153
40.599998	103.987	179.4258
41.200001	103.970	178.8003
41.799999	103.951	178.2228
42.500000	103.930	177.5764
43.099998	103.909	177.0178
43.700001	103.887	176.4600
44.400002	103.860	175.8290
45.000000	103.837	175.3062
45.500000	103.816	174.8770
46.200001	103.783	174.2775
46.799999	103.755	173.7600
47.500000	103.729	173.1578
48.200001	103.708	172.5865
48.700001	103.693	172.2183
49.400002	103.668	171.7521
50.000000	103.643	171.3462
50.799999	103.601	170.7204
51.500000	103.559	170.1553
52.200001	103.525	169.6768
53.000000	103.503	169.1870
53.799999	103.470	168.6491
54.500000	103.421	168.1724
55.200001	103.373	167.7076
56.000000	103.332	167.1283
