* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 6, 2026 10:47:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 XWB L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.437	-148.5333
20.600000	103.471	-149.1745
20.900000	103.504	-149.8676
21.200001	103.535	-150.5628
21.400000	103.555	-151.0255
21.799999	103.595	-151.9465
22.000000	103.616	-152.4025
22.400000	103.656	-153.2977
22.700001	103.686	-153.9495
23.000000	103.713	-154.5821
23.299999	103.739	-155.1977
23.600000	103.764	-155.8020
24.000000	103.794	-156.6041
24.299999	103.816	-157.2103
24.700001	103.842	-158.0241
25.000000	103.860	-158.6292
25.400000	103.883	-159.4093
25.799999	103.908	-160.1475
26.200001	103.936	-160.8521
26.500000	103.956	-161.3718
26.900000	103.974	-162.0627
27.200001	103.977	-162.5722
27.600000	103.967	-163.2126
28.000000	103.947	-163.7838
28.500000	103.931	-164.4252
29.000000	103.943	-165.1069
29.500000	103.979	-165.9484
30.000000	104.014	-166.9239
30.400000	104.031	-167.6986
30.700001	104.036	-168.2246
31.100000	104.040	-168.8324
31.500000	104.044	-169.3600
32.000000	104.051	-169.9912
32.500000	104.052	-170.6532
33.000000	104.046	-171.3380
33.500000	104.036	-172.0107
34.000000	104.031	-172.6647
34.500000	104.029	-173.3131
35.000000	104.027	-173.9555
35.500000	104.021	-174.5772
36.000000	104.013	-175.1727
36.500000	104.004	-175.7525
37.000000	103.994	-176.3250
37.500000	103.984	-176.8870
38.200001	103.969	-177.6495
38.700001	103.960	-178.1873
39.500000	103.942	-179.0565
40.000000	103.929	-179.6006
40.599998	103.911	179.7586
41.200001	103.891	179.1424
41.799999	103.870	178.5597
42.500000	103.845	177.9147
43.099998	103.825	177.3677
43.700001	103.804	176.8146
44.400002	103.776	176.1788
45.000000	103.750	175.6578
45.500000	103.729	175.2385
46.200001	103.700	174.6583
46.799999	103.676	174.1584
47.500000	103.647	173.5803
48.200001	103.617	173.0366
48.700001	103.595	172.6769
49.400002	103.566	172.1866
50.000000	103.542	171.7448
50.799999	103.506	171.1254
51.500000	103.471	170.5993
52.200001	103.435	170.1088
53.000000	103.396	169.5751
53.799999	103.357	169.0485
54.500000	103.322	168.5903
55.200001	103.285	168.1429
56.000000	103.242	167.6398
57.000000	103.183	167.0087
58.000000	103.128	166.4223
59.000000	103.084	165.8745
60.000000	103.037	165.3371
60.799999	102.994	164.9254
61.500000	102.956	164.5585
62.200001	102.917	164.1836
63.000000	102.873	163.7734
64.000000	102.824	163.2958
65.000000	102.775	162.8199
66.000000	102.721	162.3516
67.000000	102.663	161.9050
68.000000	102.603	161.4761
69.000000	102.546	161.0615
70.000000	102.492	160.6512
71.000000	102.437	160.2474
72.000000	102.382	159.8613
73.000000	102.327	159.4821
74.000000	102.272	159.1112
75.000000	102.217	158.7593
76.199997	102.151	158.3429
77.500000	102.079	157.9089
78.800003	102.007	157.4846
80.000000	101.938	157.1095
81.199997	101.871	156.7684
82.500000	101.802	156.3988
83.800003	101.732	156.0181
85.000000	101.666	155.6870
86.199997	101.600	155.3790
87.500000	101.529	155.0652
