* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 6, 2026 10:48:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-N3 XWB R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.779	-149.7260
20.600000	103.809	-150.3578
20.900000	103.840	-151.0372
21.200001	103.870	-151.7184
21.400000	103.891	-152.1739
21.799999	103.933	-153.0897
22.000000	103.954	-153.5489
22.400000	103.996	-154.4634
22.700001	104.027	-155.1401
23.000000	104.056	-155.8042
23.299999	104.083	-156.4525
23.600000	104.108	-157.0825
24.000000	104.137	-157.8917
24.299999	104.157	-158.4754
24.700001	104.182	-159.2270
25.000000	104.199	-159.7762
25.400000	104.220	-160.4993
25.799999	104.238	-161.2214
26.200001	104.252	-161.9459
26.500000	104.261	-162.4884
26.900000	104.270	-163.2050
27.200001	104.276	-163.7343
27.600000	104.285	-164.4288
28.000000	104.296	-165.1135
28.500000	104.311	-165.9582
29.000000	104.325	-166.7842
29.500000	104.335	-167.5777
30.000000	104.341	-168.3315
30.400000	104.344	-168.9108
30.700001	104.346	-169.3369
31.100000	104.347	-169.9008
31.500000	104.347	-170.4646
32.000000	104.345	-171.1697
32.500000	104.341	-171.8694
33.000000	104.336	-172.5552
33.500000	104.331	-173.2229
34.000000	104.326	-173.8740
34.500000	104.321	-174.5134
35.000000	104.316	-175.1448
35.500000	104.310	-175.7681
36.000000	104.303	-176.3798
36.500000	104.294	-176.9762
37.000000	104.284	-177.5550
37.500000	104.274	-178.1162
38.200001	104.257	-178.8758
38.700001	104.244	-179.4044
39.500000	104.223	179.7595
40.000000	104.209	179.2365
40.599998	104.189	178.6115
41.200001	104.167	178.0006
41.799999	104.143	177.4087
42.500000	104.113	176.7394
43.099998	104.089	176.1832
43.700001	104.067	175.6347
44.400002	104.043	174.9919
45.000000	104.016	174.4600
45.500000	103.989	174.0494
46.200001	103.953	173.4881
46.799999	103.927	172.9617
47.500000	103.896	172.3494
48.200001	103.879	171.8719
48.700001	103.884	171.5774
49.400002	103.892	171.0714
50.000000	103.866	170.5409
50.799999	103.779	169.9113
51.500000	103.706	169.4767
52.200001	103.661	169.0120
53.000000	103.626	168.4242
53.799999	103.589	167.8848
54.500000	103.551	167.4646
55.200001	103.509	167.0669
56.000000	103.467	166.6026
57.000000	103.419	165.9855
58.000000	103.364	165.4147
59.000000	103.314	164.8767
60.000000	103.267	164.3335
60.799999	103.231	163.9071
61.500000	103.197	163.5324
62.200001	103.161	163.1601
63.000000	103.119	162.7471
64.000000	103.065	162.2533
65.000000	103.009	161.7831
66.000000	102.951	161.3142
67.000000	102.893	160.8552
68.000000	102.841	160.4104
69.000000	102.786	159.9622
70.000000	102.726	159.5373
