* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 20, 2025 3:23:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Azla L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.285	-170.0486
20.600000	101.289	-170.7912
20.900000	101.292	-171.6005
21.200001	101.293	-172.4290
21.400000	101.293	-172.9914
21.799999	101.292	-174.1268
22.000000	101.290	-174.6879
22.400000	101.285	-175.7648
22.700001	101.281	-176.5194
23.000000	101.280	-177.2338
23.299999	101.279	-177.9283
23.600000	101.278	-178.6270
24.000000	101.268	-179.5918
24.299999	101.250	179.6632
24.700001	101.213	178.6777
25.000000	101.179	177.9740
25.400000	101.136	177.1032
25.799999	101.109	176.2876
26.200001	101.101	175.4748
26.500000	101.103	174.8425
26.900000	101.105	173.9708
27.200001	101.101	173.3163
27.600000	101.085	172.4787
28.000000	101.059	171.6985
28.500000	101.020	170.7772
29.000000	100.979	169.8597
29.500000	100.932	168.9324
30.000000	100.883	168.0341
30.400000	100.847	167.3538
30.700001	100.825	166.8594
31.100000	100.800	166.2022
31.500000	100.776	165.5328
32.000000	100.742	164.6855
32.500000	100.699	163.8604
33.000000	100.653	163.0787
33.500000	100.609	162.3254
34.000000	100.565	161.5756
34.500000	100.520	160.8321
35.000000	100.471	160.1238
35.500000	100.424	159.4657
36.000000	100.380	158.8315
36.500000	100.337	158.1768
37.000000	100.288	157.4905
37.500000	100.234	156.8074
38.200001	100.163	155.9155
38.700001	100.127	155.3076
39.500000	100.076	154.3386
40.000000	100.031	153.7591
40.599998	99.960	153.0991
41.200001	99.877	152.4373
41.799999	99.798	151.7677
42.500000	99.741	151.0050
43.099998	99.713	150.3533
43.700001	99.657	149.8052
44.400002	99.523	149.6378
45.000000	99.415	149.8578
45.500000	99.375	149.8586
46.200001	99.363	148.9606
46.799999	99.325	147.6004
47.500000	99.241	146.2658
