* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 20, 2025 3:26:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Azla R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.265	-173.1437
20.600000	101.269	-173.8883
20.900000	101.269	-174.6884
21.200001	101.266	-175.4832
21.400000	101.264	-176.0083
21.799999	101.258	-177.0483
22.000000	101.255	-177.5627
22.400000	101.246	-178.5762
22.700001	101.237	-179.3171
23.000000	101.224	179.9632
23.299999	101.209	179.2650
23.600000	101.193	178.5835
24.000000	101.173	177.6832
24.299999	101.159	176.9995
24.700001	101.144	176.0635
25.000000	101.131	175.3471
25.400000	101.110	174.3973
25.799999	101.084	173.4925
26.200001	101.056	172.6643
26.500000	101.034	172.0960
26.900000	101.007	171.3889
27.200001	100.987	170.8754
27.600000	100.959	170.1851
28.000000	100.929	169.4740
28.500000	100.885	168.5630
29.000000	100.840	167.6517
29.500000	100.797	166.7565
30.000000	100.757	165.8817
30.400000	100.725	165.2009
30.700001	100.699	164.7057
31.100000	100.663	164.0686
31.500000	100.626	163.4543
32.000000	100.579	162.7014
32.500000	100.533	161.9467
33.000000	100.486	161.1890
33.500000	100.438	160.4452
34.000000	100.389	159.7292
34.500000	100.342	159.0364
35.000000	100.297	158.3489
35.500000	100.252	157.6565
36.000000	100.206	156.9700
36.500000	100.158	156.3139
37.000000	100.111	155.7022
37.500000	100.064	155.1231
38.200001	99.996	154.3223
38.700001	99.942	153.7486
39.500000	99.854	152.8519
40.000000	99.804	152.2980
40.599998	99.748	151.6266
41.200001	99.687	150.9725
41.799999	99.624	150.3522
42.500000	99.553	149.6100
43.099998	99.493	148.9471
43.700001	99.436	148.3661
44.400002	99.390	147.8659
45.000000	99.367	147.4490
45.500000	99.337	147.0098
46.200001	99.249	146.2952
46.799999	99.147	145.6967
47.500000	99.041	145.0493
48.200001	98.967	144.4771
48.700001	98.932	144.1491
49.400002	98.899	143.7347
50.000000	98.861	143.2870
50.799999	98.761	142.5466
51.500000	98.651	141.9338
52.200001	98.565	141.3874
53.000000	98.496	140.7749
53.799999	98.425	140.2291
54.500000	98.354	139.8124
55.200001	98.278	139.3836
56.000000	98.194	138.8548
57.000000	98.098	138.1986
58.000000	98.005	137.6812
59.000000	97.932	137.2152
60.000000	97.860	136.5740
60.799999	97.787	136.0673
61.500000	97.720	135.6923
62.200001	97.652	135.3351
63.000000	97.565	134.9539
64.000000	97.461	134.5197
65.000000	97.372	134.0198
66.000000	97.293	133.5475
67.000000	97.227	133.0518
68.000000	97.142	132.4799
69.000000	97.045	132.0369
70.000000	96.956	131.7152
71.000000	96.868	131.3428
72.000000	96.778	130.8777
73.000000	96.713	130.6031
74.000000	96.669	130.4395
75.000000	96.580	129.9700
76.199997	96.410	128.4565
77.500000	96.215	127.3047
78.800003	96.212	127.8969
80.000000	96.164	128.1612
81.199997	96.046	128.0170
82.500000	95.956	127.4449
83.800003	95.858	126.9552
