* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 27, 2025 8:50:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Epro L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.372	-170.3409
20.600000	101.380	-171.1567
20.900000	101.386	-172.0452
21.200001	101.388	-172.9280
21.400000	101.388	-173.5014
21.799999	101.386	-174.5898
22.000000	101.385	-175.0991
22.400000	101.383	-176.0523
22.700001	101.382	-176.7284
23.000000	101.381	-177.3944
23.299999	101.378	-178.0679
23.600000	101.371	-178.7569
24.000000	101.356	-179.6941
24.299999	101.342	179.6021
24.700001	101.324	178.6803
25.000000	101.314	178.0052
25.400000	101.305	177.1221
25.799999	101.297	176.2520
26.200001	101.284	175.3971
26.500000	101.269	174.7715
26.900000	101.241	173.9625
27.200001	101.216	173.3711
27.600000	101.181	172.5910
28.000000	101.148	171.8101
28.500000	101.111	170.8397
29.000000	101.081	169.9064
29.500000	101.059	169.0242
30.000000	101.042	168.1662
30.400000	101.024	167.4746
30.700001	101.004	166.9524
31.100000	100.967	166.2651
31.500000	100.922	165.6056
32.000000	100.865	164.8280
32.500000	100.814	164.0782
33.000000	100.772	163.3258
33.500000	100.734	162.5649
34.000000	100.696	161.8044
34.500000	100.657	161.0502
35.000000	100.613	160.3137
35.500000	100.563	159.6249
36.000000	100.511	159.0076
36.500000	100.463	158.4376
37.000000	100.422	157.8524
37.500000	100.380	157.2113
38.200001	100.313	156.2645
38.700001	100.264	155.6113
39.500000	100.190	154.6257
40.000000	100.142	154.0445
40.599998	100.078	153.3907
41.200001	100.017	152.7213
41.799999	99.959	151.9318
42.500000	99.877	150.9206
43.099998	99.797	150.2057
43.700001	99.732	149.7216
44.400002	99.685	149.2585
45.000000	99.645	148.7834
45.500000	99.600	148.3368
46.200001	99.524	147.7092
46.799999	99.463	147.1704
47.500000	99.400	146.4800
48.200001	99.332	145.7094
48.700001	99.274	145.1638
49.400002	99.186	144.5185
50.000000	99.121	144.1042
50.799999	99.058	143.6183
51.500000	99.004	143.1663
52.200001	98.941	142.7237
53.000000	98.872	142.1988
53.799999	98.802	141.5782
54.500000	98.730	141.0541
55.200001	98.662	140.6214
56.000000	98.595	140.1221
57.000000	98.506	139.3970
58.000000	98.409	138.6813
59.000000	98.307	138.0416
60.000000	98.208	137.6102
60.799999	98.142	137.2552
61.500000	98.075	136.8199
62.200001	98.001	136.3182
63.000000	97.924	135.6700
64.000000	97.829	134.8306
65.000000	97.728	134.3864
66.000000	97.654	134.1793
67.000000	97.572	133.8365
68.000000	97.483	133.4247
69.000000	97.394	132.9303
70.000000	97.299	132.4523
71.000000	97.218	132.0123
72.000000	97.142	131.6077
73.000000	97.058	131.3438
74.000000	96.973	131.0007
75.000000	96.880	130.3532
76.199997	96.770	129.6793
77.500000	96.673	129.5437
78.800003	96.560	129.3131
80.000000	96.462	128.8088
81.199997	96.401	128.6224
82.500000	96.283	128.3907
83.800003	96.198	128.0892
85.000000	96.328	128.2468
86.199997	96.394	127.8753
87.500000	96.130	126.7937
88.500000	95.917	126.0392
90.000000	95.741	125.4109
91.199997	95.594	125.2559
92.500000	95.461	124.6866
93.800003	95.361	124.1198
95.000000	95.291	124.1207
96.199997	95.244	124.1565
97.500000	95.236	124.2674
98.800003	95.264	124.3904
100.000000	95.243	124.2859
101.500000	95.126	123.9662
103.000000	95.013	123.3925
104.400002	94.963	122.8149
106.000000	94.934	122.7495
107.500000	94.861	122.3135
109.000000	94.725	121.7632
110.599998	94.574	121.9122
112.000000	94.442	121.7222
113.800003	94.251	120.9759
115.000000	94.208	120.8445
117.199997	94.193	120.6187
118.000000	94.158	120.4570
120.599998	94.034	119.8653
122.000000	93.968	119.6616
124.099998	93.882	119.3900
125.000000	93.844	119.3127
126.500000	93.775	119.1550
128.000000	93.702	118.9153
131.500000	93.542	118.6050
132.000000	93.519	118.5833
134.000000	93.432	118.4038
136.000000	93.348	118.1405
138.000000	93.270	117.9570
140.000000	93.210	117.8066
143.000000	93.104	117.6499
145.000000	93.035	117.4950
147.500000	92.952	117.2239
150.000000	92.861	116.8795
152.500000	92.771	116.8253
155.000000	92.697	116.8647
157.500000	92.627	116.8306
160.000000	92.570	116.7932
162.500000	92.522	116.6684
165.000000	92.468	116.4623
167.500000	92.402	116.2162
170.000000	92.336	116.0290
172.500000	92.271	115.9072
175.000000	92.203	115.7651
177.500000	92.137	115.5818
180.000000	92.074	115.4290
182.500000	92.015	115.2978
185.000000	91.964	115.2340
187.500000	91.915	115.2055
190.000000	91.860	115.0519
192.500000	91.806	114.9151
195.000000	91.754	114.8617
197.500000	91.709	114.8233
200.000000	91.674	114.7943
203.000000	91.631	114.5764
206.000000	91.588	114.4532
209.000000	91.564	114.4503
212.000000	91.540	114.3781
214.000000	91.517	114.2842
218.000000	91.475	114.1133
220.000000	91.458	114.0370
224.000000	91.420	113.8969
227.000000	91.396	113.7842
230.000000	91.375	113.6684
233.000000	91.356	113.5732
236.000000	91.340	113.4951
240.000000	91.319	113.4142
243.000000	91.310	113.3795
247.000000	91.306	113.2366
250.000000	91.309	113.0551
254.000000	91.299	112.8523
258.000000	91.298	112.7120
262.000000	91.295	112.5068
265.000000	91.283	112.3352
269.000000	91.274	112.1364
272.000000	91.279	112.0130
276.000000	91.286	111.8721
280.000000	91.293	111.6611
285.000000	91.305	111.3939
290.000000	91.319	111.1591
295.000000	91.335	110.9265
300.000000	91.352	110.6863
304.000000	91.369	110.4805
307.000000	91.382	110.3282
311.000000	91.400	110.1241
315.000000	91.421	109.9081
320.000000	91.454	109.6372
325.000000	91.489	109.3506
330.000000	91.525	109.0380
335.000000	91.563	108.7344
340.000000	91.600	108.4238
345.000000	91.634	108.0862
350.000000	91.670	107.7414
355.000000	91.715	107.4346
360.000000	91.763	107.1147
365.000000	91.811	106.7764
370.000000	91.856	106.4224
375.000000	91.900	106.0486
382.000000	91.964	105.5320
387.000000	92.012	105.1641
395.000000	92.089	104.5575
400.000000	92.137	104.1721
406.000000	92.196	103.7108
412.000000	92.256	103.2420
418.000000	92.319	102.7561
425.000000	92.393	102.1635
431.000000	92.453	101.6453
437.000000	92.513	101.1283
444.000000	92.584	100.5184
450.000000	92.646	99.9881
455.000000	92.697	99.5588
462.000000	92.771	98.9380
468.000000	92.836	98.3806
475.000000	92.910	97.7043
482.000000	92.980	97.0041
487.000000	93.028	96.4935
494.000000	93.093	95.7729
500.000000	93.145	95.1537
508.000000	93.212	94.3205
515.000000	93.268	93.5934
522.000000	93.322	92.8674
530.000000	93.380	92.0459
538.000000	93.436	91.2372
545.000000	93.484	90.5407
552.000000	93.527	89.8404
560.000000	93.572	89.0316
570.000000	93.625	88.0468
