* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 27, 2025 8:52:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Epro R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.389	-173.3962
20.600000	101.384	-174.1679
20.900000	101.372	-174.9842
21.200001	101.357	-175.7683
21.400000	101.347	-176.2688
21.799999	101.338	-177.2298
22.000000	101.339	-177.7014
22.400000	101.349	-178.6546
22.700001	101.359	-179.3887
23.000000	101.365	179.8658
23.299999	101.364	179.1238
23.600000	101.355	178.4024
24.000000	101.334	177.4890
24.299999	101.315	176.8369
24.700001	101.290	175.9875
25.000000	101.273	175.3481
25.400000	101.251	174.4806
25.799999	101.228	173.6055
26.200001	101.203	172.7464
26.500000	101.184	172.1242
26.900000	101.159	171.3278
27.200001	101.141	170.7508
27.600000	101.115	169.9981
28.000000	101.087	169.2552
28.500000	101.048	168.3356
29.000000	101.006	167.4308
29.500000	100.961	166.5482
30.000000	100.918	165.6898
30.400000	100.884	165.0169
30.700001	100.860	164.5176
31.100000	100.827	163.8580
31.500000	100.793	163.2094
32.000000	100.749	162.4235
32.500000	100.706	161.6657
33.000000	100.665	160.9183
33.500000	100.625	160.1635
34.000000	100.582	159.4094
34.500000	100.533	158.6840
35.000000	100.483	158.0032
35.500000	100.432	157.3558
36.000000	100.381	156.7214
36.500000	100.330	156.0916
37.000000	100.280	155.4652
37.500000	100.234	154.8390
38.200001	100.173	153.9709
38.700001	100.126	153.3811
39.500000	100.045	152.4908
40.000000	99.989	151.9271
40.599998	99.916	151.2277
41.200001	99.852	150.5215
41.799999	99.816	149.7701
42.500000	99.796	148.7665
43.099998	99.759	147.9209
43.700001	99.687	147.3136
44.400002	99.584	146.9745
45.000000	99.500	146.7838
45.500000	99.436	146.5193
46.200001	99.350	145.8697
46.799999	99.279	145.1440
47.500000	99.213	144.4099
48.200001	99.204	143.9432
48.700001	99.229	143.6078
49.400002	99.238	142.9232
50.000000	99.159	142.2933
50.799999	98.971	141.8081
51.500000	98.831	141.5281
52.200001	98.738	141.0019
53.000000	98.650	140.2620
53.799999	98.575	139.7043
54.500000	98.515	139.3000
55.200001	98.444	138.8558
56.000000	98.358	138.2875
57.000000	98.272	137.5950
58.000000	98.205	137.0221
59.000000	98.097	136.5796
60.000000	97.974	136.2363
60.799999	97.907	135.7255
61.500000	97.850	135.1114
62.200001	97.787	134.5546
63.000000	97.712	134.0013
64.000000	97.581	133.3773
65.000000	97.454	133.1265
66.000000	97.400	132.9698
67.000000	97.360	132.5882
68.000000	97.301	132.0570
69.000000	97.214	131.4475
70.000000	97.110	130.9341
71.000000	97.014	130.5026
72.000000	96.934	130.0802
73.000000	96.860	129.6606
74.000000	96.772	129.2026
75.000000	96.663	128.8340
76.199997	96.555	128.6646
77.500000	96.461	128.2958
78.800003	96.342	128.0855
80.000000	96.245	127.9274
81.199997	96.089	127.0962
82.500000	95.989	126.5184
83.800003	96.020	126.5266
85.000000	95.764	125.9531
86.199997	95.382	125.5785
87.500000	95.435	124.9162
88.500000	95.556	124.3516
90.000000	95.547	124.2964
91.199997	95.460	124.0518
92.500000	95.365	123.8013
93.800003	95.257	123.5429
95.000000	95.150	123.1778
96.199997	95.058	122.8886
97.500000	94.987	122.6579
98.800003	94.908	122.5000
100.000000	94.810	122.5189
101.500000	94.712	122.3223
103.000000	94.646	122.1130
104.400002	94.575	121.9150
106.000000	94.575	121.5743
107.500000	94.680	122.1650
109.000000	94.631	122.1547
110.599998	94.451	120.9575
112.000000	94.333	120.4829
113.800003	94.221	120.4271
115.000000	94.189	120.3397
117.199997	94.069	119.9284
118.000000	93.995	119.7049
120.599998	93.839	119.0872
122.000000	93.778	118.8025
124.099998	93.678	118.5388
125.000000	93.629	118.4345
126.500000	93.552	118.2149
128.000000	93.486	118.0207
131.500000	93.345	117.6265
132.000000	93.324	117.5723
134.000000	93.237	117.3365
136.000000	93.152	117.1587
138.000000	93.077	116.9833
140.000000	93.008	116.8224
