* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Oct 6, 2025 6:51:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Noble L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.684	-170.4317
20.600000	101.692	-171.1824
20.900000	101.696	-171.9971
21.200001	101.698	-172.8190
21.400000	101.698	-173.3689
21.799999	101.698	-174.4680
22.000000	101.697	-175.0128
22.400000	101.693	-176.0797
22.700001	101.687	-176.8498
23.000000	101.680	-177.5876
23.299999	101.670	-178.2925
23.600000	101.659	-178.9706
24.000000	101.645	-179.8552
24.299999	101.635	179.4759
24.700001	101.620	178.5563
25.000000	101.606	177.8483
25.400000	101.580	176.9105
25.799999	101.552	176.0273
26.200001	101.529	175.2282
26.500000	101.520	174.6715
26.900000	101.520	173.9352
27.200001	101.524	173.3513
27.600000	101.524	172.5093
28.000000	101.507	171.6257
28.500000	101.455	170.5681
29.000000	101.388	169.6471
29.500000	101.331	168.8276
30.000000	101.290	168.0015
30.400000	101.262	167.2980
30.700001	101.240	166.7563
31.100000	101.207	166.0446
31.500000	101.171	165.3683
32.000000	101.127	164.5702
32.500000	101.084	163.7936
33.000000	101.042	163.0213
33.500000	101.000	162.2653
34.000000	100.960	161.5381
34.500000	100.921	160.8353
35.000000	100.880	160.1511
35.500000	100.832	159.4900
36.000000	100.780	158.8504
36.500000	100.729	158.2087
37.000000	100.683	157.5380
37.500000	100.639	156.8454
38.200001	100.578	155.9221
38.700001	100.534	155.3351
39.500000	100.457	154.4628
40.000000	100.402	153.9098
40.599998	100.338	153.2216
41.200001	100.285	152.5037
41.799999	100.237	151.7920
42.500000	100.166	151.1096
43.099998	100.096	150.6516
43.700001	100.027	150.0385
44.400002	99.920	148.8319
45.000000	99.787	147.6644
45.500000	99.679	146.9919
46.200001	99.618	146.6888
46.799999	99.655	146.6017
47.500000	99.681	146.2343
48.200001	99.595	145.7921
48.700001	99.497	145.6040
49.400002	99.392	145.3475
50.000000	99.353	144.8426
50.799999	99.309	143.8069
51.500000	99.247	143.0070
52.200001	99.181	142.4873
53.000000	99.114	141.9881
53.799999	99.038	141.4109
54.500000	98.961	140.8869
55.200001	98.889	140.3958
56.000000	98.824	139.8968
57.000000	98.772	139.2987
58.000000	98.705	138.5981
59.000000	98.591	137.8779
60.000000	98.470	137.2273
60.799999	98.392	136.7596
61.500000	98.332	136.3940
62.200001	98.269	136.0650
63.000000	98.192	135.7086
64.000000	98.097	135.2122
65.000000	98.009	134.6798
66.000000	97.928	134.2233
67.000000	97.847	133.7783
68.000000	97.753	133.3211
69.000000	97.659	132.8597
70.000000	97.571	132.3618
71.000000	97.485	131.9208
72.000000	97.411	131.5476
73.000000	97.337	131.1523
74.000000	97.252	130.7295
75.000000	97.165	130.3175
76.199997	97.066	129.8489
77.500000	96.966	129.3598
78.800003	96.862	128.8797
80.000000	96.766	128.5024
81.199997	96.686	128.2619
82.500000	96.626	127.8451
83.800003	96.509	127.2410
85.000000	96.388	126.8799
86.199997	96.299	126.4988
87.500000	96.206	126.1607
88.500000	96.129	125.9440
90.000000	96.069	125.2487
91.199997	96.028	124.6069
92.500000	95.897	124.6130
93.800003	95.757	124.6175
95.000000	95.685	124.3386
96.199997	95.613	124.1832
97.500000	95.617	123.4901
98.800003	95.883	122.1655
100.000000	96.006	121.0759
101.500000	95.548	121.9311
103.000000	95.168	122.6121
104.400002	95.063	122.2805
106.000000	94.983	122.2033
107.500000	94.905	122.2444
109.000000	94.775	122.3278
110.599998	94.662	122.1469
112.000000	94.637	121.6782
113.800003	94.573	121.4171
115.000000	94.464	121.8855
117.199997	94.423	122.1446
118.000000	94.428	121.5712
120.599998	94.273	120.0707
122.000000	94.174	119.6196
124.099998	94.096	119.4825
125.000000	94.073	119.4060
126.500000	94.051	119.2343
128.000000	94.012	119.0496
131.500000	93.793	118.8246
132.000000	93.768	118.7771
134.000000	93.693	118.5067
136.000000	93.697	118.4684
138.000000	93.613	118.3696
140.000000	93.459	118.1150
143.000000	93.335	117.8196
145.000000	93.278	117.6004
147.500000	93.179	117.2776
150.000000	93.086	117.1383
152.500000	93.016	116.9794
155.000000	92.959	116.9362
157.500000	92.872	116.7297
160.000000	92.780	116.5756
162.500000	92.704	116.3763
165.000000	92.629	116.1813
167.500000	92.560	116.0958
170.000000	92.488	116.0493
172.500000	92.409	115.9568
175.000000	92.347	115.7438
177.500000	92.301	115.7167
180.000000	92.257	115.9348
182.500000	92.215	116.1897
185.000000	92.157	115.7744
187.500000	92.087	115.4294
190.000000	92.034	115.2803
192.500000	91.989	115.1877
195.000000	91.947	115.0727
197.500000	91.909	114.8732
200.000000	91.871	114.6637
203.000000	91.837	114.7141
206.000000	91.807	114.7205
209.000000	91.765	114.6297
212.000000	91.726	114.5248
214.000000	91.705	114.4431
218.000000	91.662	114.2958
220.000000	91.640	114.2557
224.000000	91.607	114.2377
227.000000	91.606	114.2766
230.000000	91.591	114.0956
233.000000	91.560	113.8673
236.000000	91.538	113.6970
240.000000	91.523	113.5013
243.000000	91.512	113.4247
247.000000	91.493	113.3179
250.000000	91.485	113.2018
254.000000	91.482	112.9844
258.000000	91.476	112.9499
262.000000	91.452	112.8672
265.000000	91.433	112.7692
269.000000	91.413	112.5370
272.000000	91.398	112.2628
276.000000	91.421	112.1272
280.000000	91.471	112.0862
285.000000	91.500	111.8866
290.000000	91.511	111.7278
295.000000	91.522	111.5330
300.000000	91.548	111.2324
304.000000	91.575	110.9834
307.000000	91.597	110.8497
311.000000	91.623	110.6534
315.000000	91.649	110.4199
320.000000	91.676	110.1599
325.000000	91.696	109.9102
330.000000	91.709	109.6195
335.000000	91.747	109.2838
340.000000	91.802	108.9206
345.000000	91.850	108.6287
350.000000	91.894	108.3544
355.000000	91.930	108.0850
360.000000	91.971	107.7990
365.000000	92.018	107.4549
370.000000	92.067	107.1267
375.000000	92.120	106.7692
382.000000	92.184	106.2844
387.000000	92.240	105.8599
395.000000	92.334	105.1658
400.000000	92.392	104.7429
406.000000	92.460	104.2195
412.000000	92.522	103.6985
418.000000	92.577	103.1830
425.000000	92.640	102.5269
431.000000	92.700	101.9677
437.000000	92.760	101.4327
444.000000	92.827	100.7828
450.000000	92.884	100.1938
455.000000	92.933	99.7368
462.000000	92.998	99.0995
468.000000	93.053	98.5239
475.000000	93.117	97.8350
482.000000	93.178	97.1464
487.000000	93.222	96.6647
494.000000	93.283	95.9829
500.000000	93.334	95.3842
508.000000	93.398	94.5840
515.000000	93.453	93.8898
522.000000	93.506	93.2112
530.000000	93.565	92.4138
538.000000	93.621	91.6115
545.000000	93.669	90.9052
552.000000	93.714	90.2023
560.000000	93.761	89.4102
570.000000	93.816	88.4251
580.000000	93.865	87.4616
590.000000	93.910	86.4967
600.000000	93.952	85.5426
608.000000	93.982	84.8088
615.000000	94.006	84.1851
622.000000	94.028	83.5761
630.000000	94.051	82.8963
640.000000	94.078	82.0573
650.000000	94.102	81.2265
660.000000	94.123	80.4344
670.000000	94.140	79.6757
680.000000	94.155	78.9509
690.000000	94.168	78.2430
700.000000	94.179	77.5653
710.000000	94.188	76.9256
720.000000	94.195	76.3134
730.000000	94.201	75.7333
740.000000	94.206	75.1887
750.000000	94.211	74.6781
762.000000	94.214	74.1115
