* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Oct 6, 2025 6:55:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Noble R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.745	-173.1915
20.600000	101.745	-173.9281
20.900000	101.740	-174.7161
21.200001	101.733	-175.4998
21.400000	101.729	-176.0202
21.799999	101.722	-177.0595
22.000000	101.719	-177.5772
22.400000	101.711	-178.5983
22.700001	101.703	-179.3412
23.000000	101.692	179.9411
23.299999	101.681	179.2456
23.600000	101.669	178.5616
24.000000	101.652	177.6432
24.299999	101.638	176.9385
24.700001	101.616	175.9862
25.000000	101.597	175.2843
25.400000	101.570	174.4036
25.799999	101.550	173.6043
26.200001	101.542	172.8606
26.500000	101.542	172.3043
26.900000	101.541	171.5242
27.200001	101.532	170.9054
27.600000	101.502	170.0644
28.000000	101.453	169.2567
28.500000	101.379	168.3434
29.000000	101.315	167.5045
29.500000	101.268	166.6559
30.000000	101.230	165.7667
30.400000	101.199	165.0557
30.700001	101.174	164.5424
31.100000	101.141	163.8918
31.500000	101.108	163.2672
32.000000	101.066	162.4921
32.500000	101.019	161.7124
33.000000	100.967	160.9466
33.500000	100.916	160.2109
34.000000	100.868	159.4982
34.500000	100.825	158.7949
35.000000	100.780	158.1041
35.500000	100.733	157.4409
36.000000	100.684	156.8090
36.500000	100.635	156.1909
37.000000	100.586	155.5662
37.500000	100.536	154.9345
38.200001	100.463	154.0705
38.700001	100.414	153.4716
39.500000	100.337	152.4996
40.000000	100.284	151.8926
40.599998	100.216	151.2140
41.200001	100.157	150.5884
41.799999	100.105	149.9695
