* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Oct 6, 2025 7:04:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Prism L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.914	-171.0844
20.600000	101.920	-171.8216
20.900000	101.924	-172.6172
21.200001	101.928	-173.4205
21.400000	101.930	-173.9601
21.799999	101.931	-175.0442
22.000000	101.930	-175.5826
22.400000	101.924	-176.6349
22.700001	101.918	-177.3945
23.000000	101.910	-178.1293
23.299999	101.901	-178.8462
23.600000	101.892	-179.5529
24.000000	101.878	179.5141
24.299999	101.867	178.8239
24.700001	101.852	177.9247
25.000000	101.841	177.2685
25.400000	101.829	176.4091
25.799999	101.819	175.5508
26.200001	101.806	174.6825
26.500000	101.790	174.0298
26.900000	101.761	173.1760
27.200001	101.735	172.5599
27.600000	101.697	171.7761
28.000000	101.662	171.0222
28.500000	101.625	170.0893
29.000000	101.591	169.1512
29.500000	101.555	168.2292
30.000000	101.518	167.3483
30.400000	101.489	166.6699
30.700001	101.467	166.1672
31.100000	101.437	165.4962
31.500000	101.404	164.8241
32.000000	101.360	163.9974
32.500000	101.314	163.2019
33.000000	101.269	162.4380
33.500000	101.225	161.6947
34.000000	101.180	160.9669
34.500000	101.135	160.2572
35.000000	101.090	159.5656
35.500000	101.046	158.8846
36.000000	101.002	158.2067
36.500000	100.956	157.5315
37.000000	100.908	156.8667
37.500000	100.857	156.2220
38.200001	100.789	155.3560
38.700001	100.745	154.7478
39.500000	100.674	153.7681
40.000000	100.624	153.1725
40.599998	100.560	152.5038
41.200001	100.501	151.8590
41.799999	100.443	151.1933
42.500000	100.368	150.4270
43.099998	100.298	149.8386
43.700001	100.230	149.2628
44.400002	100.146	148.4962
45.000000	100.063	147.8192
45.500000	99.996	147.3338
46.200001	99.934	146.7713
46.799999	99.902	146.2853
47.500000	99.859	145.6697
48.200001	99.801	145.0406
48.700001	99.756	144.5545
49.400002	99.685	143.8169
50.000000	99.616	143.2472
50.799999	99.532	142.7231
51.500000	99.475	142.3540
52.200001	99.412	141.9106
53.000000	99.327	141.3307
53.799999	99.244	140.7336
54.500000	99.177	140.2217
55.200001	99.112	139.7471
56.000000	99.036	139.2377
57.000000	98.937	138.5989
58.000000	98.840	137.9548
59.000000	98.744	137.3441
60.000000	98.652	136.7905
60.799999	98.581	136.3391
61.500000	98.517	135.9321
62.200001	98.451	135.5342
63.000000	98.378	135.0835
64.000000	98.286	134.5102
65.000000	98.195	133.9645
66.000000	98.105	133.4631
67.000000	98.016	132.9890
68.000000	97.928	132.5256
69.000000	97.842	132.0714
70.000000	97.758	131.6186
71.000000	97.672	131.1731
72.000000	97.582	130.7681
73.000000	97.493	130.3870
74.000000	97.410	129.9839
75.000000	97.331	129.5861
76.199997	97.234	129.1711
77.500000	97.114	128.6865
78.800003	97.000	128.1520
80.000000	96.933	127.7603
81.199997	96.863	127.3669
82.500000	96.745	126.9954
83.800003	96.638	126.6000
85.000000	96.554	126.3166
86.199997	96.485	126.0936
87.500000	96.390	125.6693
88.500000	96.307	125.3045
90.000000	96.213	124.7158
91.199997	96.145	124.2619
92.500000	96.037	124.0312
93.800003	95.929	123.8795
95.000000	95.845	123.6246
96.199997	95.767	123.3407
97.500000	95.709	122.9322
98.800003	95.734	122.4853
100.000000	95.732	122.0699
101.500000	95.538	121.9967
103.000000	95.348	121.9170
104.400002	95.247	121.5742
106.000000	95.154	121.2244
107.500000	95.069	121.0739
109.000000	94.961	120.9497
110.599998	94.843	120.6926
112.000000	94.800	120.5905
113.800003	94.813	120.4982
115.000000	94.809	120.3380
117.199997	94.637	119.7193
118.000000	94.556	119.5753
120.599998	94.269	120.2457
122.000000	94.197	120.1188
124.099998	94.180	119.1998
125.000000	94.162	119.0470
126.500000	94.121	118.9313
128.000000	94.068	118.7540
131.500000	93.932	118.2397
132.000000	93.914	118.1998
134.000000	93.851	117.9536
136.000000	93.815	118.4630
138.000000	93.716	118.8004
140.000000	93.605	117.8755
143.000000	93.480	117.0958
145.000000	93.389	116.8564
147.500000	93.280	116.7345
150.000000	93.217	116.5856
152.500000	93.166	116.4763
155.000000	93.086	116.2162
157.500000	92.994	115.9969
160.000000	92.917	115.8024
162.500000	92.851	115.6882
165.000000	92.786	115.5598
167.500000	92.712	115.4050
170.000000	92.638	115.2695
172.500000	92.565	115.1959
175.000000	92.496	115.0204
177.500000	92.426	114.7547
180.000000	92.364	114.6283
182.500000	92.329	114.7146
185.000000	92.284	114.7545
187.500000	92.235	114.7005
190.000000	92.193	114.5939
192.500000	92.148	114.4697
195.000000	92.103	114.3647
197.500000	92.065	114.2509
200.000000	92.030	114.1332
203.000000	91.983	114.0347
206.000000	91.939	113.9270
209.000000	91.904	113.8946
212.000000	91.871	113.8331
214.000000	91.849	113.7537
218.000000	91.813	113.5812
220.000000	91.797	113.4774
224.000000	91.760	113.2948
227.000000	91.729	113.2447
230.000000	91.709	113.1917
233.000000	91.692	113.1057
236.000000	91.674	113.0176
240.000000	91.652	112.8214
243.000000	91.642	112.6939
247.000000	91.634	112.5869
250.000000	91.629	112.5068
254.000000	91.615	112.3466
258.000000	91.600	112.1520
262.000000	91.602	112.0138
265.000000	91.607	111.9634
269.000000	91.608	111.8703
272.000000	91.603	111.7554
276.000000	91.600	111.7057
280.000000	91.616	111.5902
285.000000	91.644	111.1428
290.000000	91.663	110.8646
295.000000	91.681	110.6005
300.000000	91.701	110.3486
304.000000	91.719	110.1558
307.000000	91.733	110.0071
311.000000	91.751	109.8124
315.000000	91.771	109.6179
320.000000	91.802	109.3326
325.000000	91.840	109.0126
330.000000	91.880	108.6812
335.000000	91.915	108.3771
340.000000	91.949	108.0646
345.000000	91.984	107.7650
350.000000	92.025	107.4713
355.000000	92.071	107.1414
360.000000	92.116	106.7946
365.000000	92.160	106.4351
370.000000	92.208	106.0749
375.000000	92.255	105.7123
382.000000	92.316	105.2072
387.000000	92.367	104.8372
395.000000	92.446	104.1827
400.000000	92.493	103.7993
406.000000	92.553	103.3324
412.000000	92.611	102.8525
418.000000	92.670	102.3347
425.000000	92.740	101.7071
431.000000	92.798	101.1770
437.000000	92.858	100.6655
444.000000	92.929	100.0702
450.000000	92.992	99.5356
455.000000	93.047	99.0645
462.000000	93.124	98.4086
468.000000	93.192	97.8383
475.000000	93.270	97.1349
482.000000	93.329	96.4322
487.000000	93.358	95.8785
494.000000	93.408	95.1007
500.000000	93.458	94.4839
508.000000	93.524	93.7213
515.000000	93.577	93.0192
522.000000	93.624	92.3088
530.000000	93.676	91.5361
538.000000	93.730	90.7631
545.000000	93.780	90.1010
552.000000	93.827	89.4248
560.000000	93.877	88.6255
570.000000	93.935	87.6105
580.000000	93.983	86.6102
590.000000	94.024	85.6324
600.000000	94.062	84.6854
608.000000	94.088	83.9510
615.000000	94.108	83.3191
622.000000	94.128	82.6999
630.000000	94.148	82.0088
640.000000	94.172	81.1749
650.000000	94.193	80.3747
660.000000	94.208	79.5906
670.000000	94.222	78.8361
680.000000	94.234	78.1154
690.000000	94.243	77.4287
700.000000	94.250	76.7743
710.000000	94.256	76.1571
720.000000	94.261	75.5773
730.000000	94.267	75.0261
740.000000	94.270	74.4935
750.000000	94.273	73.9843
762.000000	94.278	73.4340
775.000000	94.282	72.8821
788.000000	94.286	72.3793
800.000000	94.288	71.9601
812.000000	94.290	71.5851
825.000000	94.292	71.2257
838.000000	94.297	70.9061
850.000000	94.305	70.6442
862.000000	94.316	70.4163
875.000000	94.333	70.2025
885.000000	94.348	70.0580
900.000000	94.377	69.8700
912.000000	94.404	69.7365
925.000000	94.439	69.6069
938.000000	94.479	69.4902
950.000000	94.521	69.3878
962.000000	94.566	69.2923
975.000000	94.620	69.1900
988.000000	94.678	69.0831
1000.000000	94.735	68.9815
1015.000000	94.811	68.8476
1030.000000	94.890	68.6955
1044.000000	94.968	68.5346
1060.000000	95.060	68.3279
1075.000000	95.148	68.1106
1090.000000	95.239	67.8723
1106.000000	95.336	67.5934
1120.000000	95.422	67.3278
1138.000000	95.532	66.9649
1150.000000	95.606	66.7062
1172.000000	95.737	66.1908
1180.000000	95.784	65.9947
1206.000000	95.934	65.3282
1220.000000	96.012	64.9554
1241.000000	96.127	64.3810
1250.000000	96.177	64.1319
1265.000000	96.260	63.7177
1280.000000	96.343	63.3024
1315.000000	96.528	62.3325
1320.000000	96.554	62.1954
1340.000000	96.654	61.6533
1360.000000	96.751	61.1216
1380.000000	96.847	60.6033
1400.000000	96.940	60.0984
1430.000000	97.075	59.3602
1450.000000	97.164	58.8783
1475.000000	97.273	58.2891
1500.000000	97.381	57.7187
1525.000000	97.490	57.1642
1550.000000	97.599	56.6250
1575.000000	97.709	56.0942
1600.000000	97.818	55.5690
1625.000000	97.924	55.0486
1650.000000	98.029	54.5276
1675.000000	98.136	54.0014
1700.000000	98.243	53.4690
1725.000000	98.351	52.9274
1750.000000	98.460	52.3776
1775.000000	98.570	51.8169
1800.000000	98.680	51.2418
1825.000000	98.791	50.6540
1850.000000	98.902	50.0479
1875.000000	99.013	49.4182
1900.000000	99.123	48.7681
1925.000000	99.234	48.0966
1950.000000	99.343	47.4016
1975.000000	99.453	46.6810
2000.000000	99.562	45.9335
2030.000000	99.693	44.9981
2060.000000	99.822	44.0195
