* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Oct 6, 2025 7:06:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Prism R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.771	-173.5545
20.600000	101.771	-174.3013
20.900000	101.766	-175.0935
21.200001	101.759	-175.8736
21.400000	101.755	-176.3880
21.799999	101.747	-177.4097
22.000000	101.744	-177.9178
22.400000	101.738	-178.9245
22.700001	101.731	-179.6645
23.000000	101.723	179.6139
23.299999	101.712	178.9121
23.600000	101.701	178.2272
24.000000	101.683	177.3289
24.299999	101.669	176.6578
24.700001	101.648	175.7595
25.000000	101.629	175.0853
25.400000	101.602	174.1964
25.799999	101.573	173.3311
26.200001	101.546	172.4951
26.500000	101.527	171.8849
26.900000	101.503	171.0865
27.200001	101.485	170.4958
27.600000	101.460	169.7194
28.000000	101.431	168.9599
28.500000	101.393	168.0397
29.000000	101.351	167.1490
29.500000	101.308	166.2791
30.000000	101.264	165.4266
30.400000	101.228	164.7567
30.700001	101.202	164.2597
31.100000	101.169	163.6010
31.500000	101.136	162.9444
32.000000	101.095	162.1320
32.500000	101.051	161.3458
33.000000	101.006	160.6005
33.500000	100.959	159.8931
34.000000	100.912	159.2062
34.500000	100.863	158.5208
35.000000	100.815	157.8256
35.500000	100.766	157.1239
36.000000	100.718	156.4337
36.500000	100.671	155.7768
37.000000	100.625	155.1554
37.500000	100.578	154.5439
38.200001	100.499	153.6680
38.700001	100.428	153.0641
39.500000	100.315	152.2335
40.000000	100.266	151.7521
40.599998	100.228	151.0973
41.200001	100.188	150.3541
41.799999	100.134	149.6318
42.500000	100.062	148.8982
43.099998	100.003	148.3120
43.700001	99.942	147.7247
44.400002	99.868	147.0543
45.000000	99.805	146.4938
45.500000	99.752	146.0286
46.200001	99.680	145.3952
46.799999	99.624	144.8795
47.500000	99.563	144.2954
48.200001	99.493	143.7631
48.700001	99.439	143.4476
49.400002	99.368	143.0533
50.000000	99.321	142.6567
50.799999	99.264	141.9609
51.500000	99.205	141.2687
52.200001	99.128	140.6119
53.000000	99.023	139.9900
53.799999	98.920	139.4740
54.500000	98.846	139.0106
55.200001	98.778	138.5074
56.000000	98.698	137.9671
57.000000	98.603	137.3968
58.000000	98.519	136.7528
59.000000	98.417	136.0656
60.000000	98.310	135.5375
60.799999	98.236	135.1076
61.500000	98.170	134.6907
62.200001	98.104	134.3035
63.000000	98.035	133.8915
64.000000	97.949	133.3461
65.000000	97.853	132.8599
66.000000	97.766	132.4412
67.000000	97.679	131.9873
68.000000	97.585	131.5228
69.000000	97.496	131.0695
70.000000	97.413	130.6348
71.000000	97.329	130.2457
72.000000	97.243	129.8564
73.000000	97.155	129.4315
74.000000	97.070	129.0019
75.000000	96.988	128.6035
76.199997	96.886	128.1938
77.500000	96.767	127.8091
78.800003	96.659	127.4703
80.000000	96.575	127.1510
81.199997	96.496	126.7299
82.500000	96.397	126.1383
83.800003	96.298	125.6591
85.000000	96.208	125.2963
86.199997	96.117	124.9730
87.500000	96.030	124.6701
88.500000	95.961	124.4618
90.000000	95.845	124.1027
91.199997	95.761	123.7521
92.500000	95.674	123.3900
93.800003	95.584	123.0556
95.000000	95.504	122.8254
96.199997	95.411	122.6517
97.500000	95.361	122.3224
98.800003	95.454	122.1212
100.000000	95.498	121.7547
101.500000	95.202	121.4100
103.000000	94.912	121.2490
104.400002	94.803	121.1471
106.000000	94.754	120.8361
107.500000	94.709	120.4821
109.000000	94.628	120.2524
110.599998	94.511	120.0087
112.000000	94.380	120.1271
113.800003	94.293	120.3321
115.000000	94.285	120.4990
117.199997	94.035	120.3810
118.000000	93.901	119.0833
120.599998	93.914	118.2237
122.000000	93.932	118.8938
124.099998	93.885	117.7683
125.000000	93.911	117.1743
126.500000	93.886	116.7856
128.000000	93.795	117.1775
131.500000	93.587	117.5538
132.000000	93.570	117.4716
134.000000	93.511	117.1085
136.000000	93.433	116.8960
138.000000	93.350	116.7597
140.000000	93.279	116.6303
143.000000	93.167	116.4161
145.000000	93.096	116.3718
147.500000	93.023	116.3884
150.000000	92.935	116.1575
152.500000	92.849	115.6369
155.000000	92.766	115.6779
157.500000	92.698	115.6874
160.000000	92.624	115.4196
162.500000	92.546	115.1635
165.000000	92.482	115.0425
167.500000	92.418	114.9007
170.000000	92.353	114.8342
172.500000	92.296	114.8645
175.000000	92.238	114.8325
177.500000	92.186	114.6724
180.000000	92.135	114.4683
182.500000	92.065	114.3141
185.000000	92.007	114.2940
187.500000	91.965	114.1812
190.000000	91.918	114.0391
192.500000	91.881	113.9455
195.000000	91.847	113.8866
197.500000	91.805	113.8171
200.000000	91.771	113.7111
203.000000	91.761	113.7091
206.000000	91.810	113.9554
209.000000	91.758	113.7619
212.000000	91.645	113.3841
214.000000	91.606	113.2469
218.000000	91.566	113.0555
220.000000	91.550	112.9544
224.000000	91.505	112.7960
227.000000	91.480	112.7362
230.000000	91.472	112.6470
233.000000	91.463	112.5472
236.000000	91.451	112.4539
240.000000	91.440	112.3072
243.000000	91.435	112.2358
247.000000	91.431	112.1347
250.000000	91.423	111.9824
254.000000	91.406	111.7963
258.000000	91.388	111.5892
262.000000	91.394	111.4756
265.000000	91.403	111.3994
269.000000	91.409	111.2765
272.000000	91.413	111.2339
276.000000	91.426	111.2749
280.000000	91.441	111.0723
285.000000	91.450	110.6262
290.000000	91.463	110.3494
