* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 20, 2025 3:10:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Sancai L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.589	-170.9219
20.600000	101.594	-171.6756
20.900000	101.595	-172.4897
21.200001	101.592	-173.3080
21.400000	101.589	-173.8543
21.799999	101.580	-174.9428
22.000000	101.575	-175.4794
22.400000	101.565	-176.5216
22.700001	101.558	-177.2691
23.000000	101.552	-177.9903
23.299999	101.547	-178.6965
23.600000	101.542	-179.4017
24.000000	101.531	179.6439
24.299999	101.516	178.9198
24.700001	101.487	177.9670
25.000000	101.459	177.2819
25.400000	101.423	176.4226
25.799999	101.394	175.6103
26.200001	101.378	174.8052
26.500000	101.371	174.1846
26.900000	101.362	173.3295
27.200001	101.352	172.6805
27.600000	101.330	171.8358
28.000000	101.302	171.0389
28.500000	101.263	170.1104
29.000000	101.226	169.2185
29.500000	101.190	168.3267
30.000000	101.152	167.4317
30.400000	101.121	166.7228
30.700001	101.097	166.1993
31.100000	101.065	165.5153
31.500000	101.031	164.8499
32.000000	100.986	164.0490
32.500000	100.941	163.2804
33.000000	100.897	162.5305
33.500000	100.854	161.7840
34.000000	100.810	161.0390
34.500000	100.764	160.3048
35.000000	100.718	159.5882
35.500000	100.673	158.8878
36.000000	100.626	158.2009
36.500000	100.578	157.5296
37.000000	100.530	156.8778
37.500000	100.481	156.2454
38.200001	100.414	155.3840
38.700001	100.367	154.7791
39.500000	100.291	153.8198
40.000000	100.242	153.2264
40.599998	100.182	152.5315
41.200001	100.121	151.8667
41.799999	100.061	151.2314
42.500000	99.989	150.5131
43.099998	99.926	149.9067
43.700001	99.864	149.3030
44.400002	99.794	148.5998
45.000000	99.735	148.0099
45.500000	99.686	147.5387
46.200001	99.615	146.9066
46.799999	99.552	146.3704
47.500000	99.478	145.7437
48.200001	99.411	145.1303
48.700001	99.368	144.7030
49.400002	99.304	144.1419
50.000000	99.233	143.7521
50.799999	99.126	143.3857
51.500000	99.048	143.0229
52.200001	98.989	142.4233
53.000000	98.923	141.5604
53.799999	98.853	140.8155
54.500000	98.790	140.3225
55.200001	98.721	139.8840
56.000000	98.632	139.3705
57.000000	98.526	138.6899
58.000000	98.436	138.0133
59.000000	98.357	137.3484
60.000000	98.275	136.6893
60.799999	98.203	136.2585
61.500000	98.139	135.9610
62.200001	98.076	135.6494
63.000000	98.001	135.2036
64.000000	97.904	134.6137
65.000000	97.812	134.1252
66.000000	97.716	133.6704
67.000000	97.611	133.1852
68.000000	97.522	132.6619
69.000000	97.446	132.1674
70.000000	97.371	131.7742
71.000000	97.291	131.3906
72.000000	97.200	130.9725
73.000000	97.108	130.5396
74.000000	97.030	130.0854
75.000000	96.968	129.7233
76.199997	96.877	129.3441
77.500000	96.718	129.0439
78.800003	96.635	128.6910
80.000000	96.568	128.0944
81.199997	96.455	127.6413
82.500000	96.344	127.1321
83.800003	96.251	126.6800
85.000000	96.166	126.3270
86.199997	96.086	125.9620
87.500000	95.994	125.6255
88.500000	95.915	125.3766
90.000000	95.810	124.8999
91.199997	95.734	124.6101
92.500000	95.651	124.3631
93.800003	95.566	124.0303
95.000000	95.479	123.7083
96.199997	95.391	123.4103
97.500000	95.310	123.0769
98.800003	95.231	122.8520
100.000000	95.154	122.6323
101.500000	95.055	122.2850
103.000000	94.975	121.9493
104.400002	94.880	121.6337
106.000000	94.776	121.3855
107.500000	94.694	121.1701
109.000000	94.606	120.9733
110.599998	94.516	120.7305
112.000000	94.427	120.5293
113.800003	94.331	120.3374
115.000000	94.279	120.1014
117.199997	94.162	119.7394
118.000000	94.124	119.6169
120.599998	94.005	119.2851
122.000000	93.935	119.0947
124.099998	93.842	118.9969
125.000000	93.805	118.8537
126.500000	93.734	118.5698
128.000000	93.665	118.4421
131.500000	93.515	118.0712
132.000000	93.495	118.0279
134.000000	93.426	117.8043
136.000000	93.355	117.5091
138.000000	93.270	117.3690
140.000000	93.189	117.2424
143.000000	93.072	116.9899
145.000000	92.997	116.8932
147.500000	92.913	116.8135
150.000000	92.861	116.6276
152.500000	92.799	116.1202
155.000000	92.703	115.6595
157.500000	92.625	115.7913
160.000000	92.555	115.7784
162.500000	92.485	115.6738
165.000000	92.409	115.5172
167.500000	92.334	115.3734
170.000000	92.261	115.2359
172.500000	92.194	115.0771
175.000000	92.130	115.0094
177.500000	92.072	115.0259
180.000000	92.010	114.9896
182.500000	91.944	114.9274
185.000000	91.887	114.8304
187.500000	91.839	114.6694
190.000000	91.798	114.5225
192.500000	91.760	114.4573
195.000000	91.713	114.3419
197.500000	91.664	114.0937
200.000000	91.629	113.8452
203.000000	91.615	113.8430
206.000000	91.601	113.9120
209.000000	91.557	113.8178
212.000000	91.498	113.6831
214.000000	91.469	113.4875
218.000000	91.433	113.3293
220.000000	91.409	113.3062
224.000000	91.381	113.0846
227.000000	91.366	113.0404
230.000000	91.340	113.0101
233.000000	91.323	112.9104
236.000000	91.309	112.8367
240.000000	91.291	112.6893
243.000000	91.276	112.5977
247.000000	91.275	112.3968
250.000000	91.274	112.3192
254.000000	91.254	112.2236
258.000000	91.259	111.9641
262.000000	91.231	111.8795
265.000000	91.215	111.7663
269.000000	91.226	111.6509
272.000000	91.234	111.4865
276.000000	91.233	111.1913
280.000000	91.226	111.0273
285.000000	91.231	110.9398
290.000000	91.254	110.8076
295.000000	91.285	110.4548
300.000000	91.310	110.2544
304.000000	91.321	110.1605
307.000000	91.330	110.0483
311.000000	91.358	109.8195
315.000000	91.392	109.5397
320.000000	91.421	109.1254
325.000000	91.450	108.7490
330.000000	91.486	108.5787
335.000000	91.522	108.3491
340.000000	91.563	107.9306
345.000000	91.605	107.5071
350.000000	91.654	107.0654
355.000000	91.710	106.7948
360.000000	91.767	106.5668
365.000000	91.815	106.2276
370.000000	91.855	105.8356
375.000000	91.896	105.4126
382.000000	91.959	104.8502
387.000000	92.001	104.4592
395.000000	92.084	103.8222
400.000000	92.142	103.4096
406.000000	92.205	102.8566
412.000000	92.266	102.3364
418.000000	92.327	101.7810
425.000000	92.396	101.1686
431.000000	92.453	100.6346
437.000000	92.509	100.0860
444.000000	92.572	99.4357
450.000000	92.626	98.8683
455.000000	92.675	98.3861
462.000000	92.744	97.7052
468.000000	92.803	97.1083
475.000000	92.870	96.4143
482.000000	92.931	95.7256
487.000000	92.972	95.2400
494.000000	93.028	94.5654
500.000000	93.077	93.9840
508.000000	93.139	93.1482
515.000000	93.190	92.4323
522.000000	93.240	91.7058
530.000000	93.294	90.8876
538.000000	93.351	90.1315
545.000000	93.397	89.4619
552.000000	93.438	88.7496
560.000000	93.485	87.9338
570.000000	93.540	86.9303
580.000000	93.590	85.9821
590.000000	93.640	85.0441
600.000000	93.683	84.0837
608.000000	93.712	83.3451
615.000000	93.736	82.7148
622.000000	93.759	82.0943
630.000000	93.783	81.3941
640.000000	93.809	80.5436
650.000000	93.832	79.7255
660.000000	93.852	78.9180
670.000000	93.868	78.1386
680.000000	93.882	77.3963
690.000000	93.895	76.6836
700.000000	93.905	76.0043
710.000000	93.913	75.3617
720.000000	93.920	74.7523
730.000000	93.926	74.1745
740.000000	93.932	73.6352
750.000000	93.939	73.1338
762.000000	93.942	72.5459
775.000000	93.946	71.9630
788.000000	93.952	71.4344
800.000000	93.957	70.9933
