* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 20, 2025 3:13:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Sancai R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.365	-172.9232
20.600000	101.364	-173.6777
20.900000	101.360	-174.4826
21.200001	101.354	-175.2773
21.400000	101.350	-175.8002
21.799999	101.344	-176.8308
22.000000	101.341	-177.3377
22.400000	101.334	-178.3309
22.700001	101.327	-179.0551
23.000000	101.318	-179.7620
23.299999	101.307	179.5448
23.600000	101.295	178.8587
24.000000	101.277	177.9428
24.299999	101.262	177.2493
24.700001	101.242	176.3170
25.000000	101.225	175.6195
25.400000	101.200	174.7085
25.799999	101.175	173.8360
26.200001	101.149	173.0097
26.500000	101.130	172.4171
26.900000	101.104	171.6514
27.200001	101.084	171.0868
27.600000	101.055	170.3375
28.000000	101.024	169.5884
28.500000	100.984	168.6570
29.000000	100.943	167.7422
29.500000	100.903	166.8557
30.000000	100.863	166.0019
30.400000	100.831	165.3398
30.700001	100.807	164.8521
31.100000	100.772	164.2089
31.500000	100.736	163.5706
32.000000	100.689	162.7802
32.500000	100.640	162.0041
33.000000	100.593	161.2477
33.500000	100.547	160.5118
34.000000	100.503	159.7940
34.500000	100.459	159.0926
35.000000	100.413	158.4079
35.500000	100.364	157.7415
36.000000	100.313	157.0923
36.500000	100.263	156.4543
37.000000	100.213	155.8197
37.500000	100.165	155.1896
38.200001	100.098	154.3414
38.700001	100.051	153.7712
39.500000	99.978	152.8770
40.000000	99.929	152.3032
40.599998	99.864	151.6160
41.200001	99.800	150.9573
41.799999	99.741	150.3246
42.500000	99.669	149.6278
43.099998	99.601	149.0847
43.700001	99.534	148.5187
44.400002	99.453	147.6752
45.000000	99.366	146.8651
45.500000	99.286	146.3019
46.200001	99.205	145.7998
46.799999	99.176	145.4573
47.500000	99.145	144.9451
48.200001	99.083	144.4172
48.700001	99.033	144.0912
49.400002	98.976	143.6006
50.000000	98.928	143.0717
50.799999	98.841	142.3561
51.500000	98.757	141.8459
52.200001	98.681	141.3705
53.000000	98.602	140.7833
53.799999	98.523	140.2076
54.500000	98.458	139.7394
55.200001	98.393	139.2781
56.000000	98.316	138.7536
57.000000	98.221	138.1085
58.000000	98.129	137.4472
59.000000	98.031	136.8489
60.000000	97.938	136.3287
60.799999	97.862	135.9066
61.500000	97.792	135.5554
62.200001	97.726	135.2209
63.000000	97.657	134.8138
