* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Oct 9, 2025 9:22:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Sonic L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.815	-170.8307
20.600000	101.821	-171.5958
20.900000	101.822	-172.4150
21.200001	101.820	-173.2181
21.400000	101.818	-173.7378
21.799999	101.814	-174.7337
22.000000	101.814	-175.2112
22.400000	101.818	-176.1412
22.700001	101.824	-176.8358
23.000000	101.829	-177.5441
23.299999	101.831	-178.2722
23.600000	101.826	-179.0169
24.000000	101.809	179.9819
24.299999	101.791	179.2383
24.700001	101.762	178.2658
25.000000	101.741	177.5485
25.400000	101.711	176.6023
25.799999	101.682	175.6711
26.200001	101.650	174.7732
26.500000	101.627	174.1341
26.900000	101.597	173.3322
27.200001	101.579	172.7593
27.600000	101.560	172.0090
28.000000	101.543	171.2508
28.500000	101.520	170.2860
29.000000	101.488	169.3341
29.500000	101.449	168.4288
30.000000	101.409	167.5685
30.400000	101.378	166.8947
30.700001	101.354	166.3897
31.100000	101.322	165.7158
31.500000	101.289	165.0461
32.000000	101.246	164.2261
32.500000	101.203	163.4320
33.000000	101.159	162.6633
33.500000	101.115	161.9150
34.000000	101.070	161.1815
34.500000	101.024	160.4600
35.000000	100.979	159.7520
35.500000	100.933	159.0604
36.000000	100.887	158.3828
36.500000	100.839	157.7136
37.000000	100.787	157.0521
37.500000	100.734	156.4071
38.200001	100.662	155.5483
38.700001	100.616	154.9637
39.500000	100.548	154.0544
40.000000	100.503	153.4947
40.599998	100.443	152.8262
41.200001	100.380	152.1526
41.799999	100.320	151.4750
42.500000	100.255	150.7031
43.099998	100.199	150.0803
43.700001	100.137	149.4944
44.400002	100.060	148.8185
45.000000	99.994	148.2060
45.500000	99.944	147.6813
46.200001	99.882	147.0032
46.799999	99.832	146.5153
47.500000	99.761	145.9895
48.200001	99.658	145.4332
48.700001	99.569	145.0349
49.400002	99.459	144.5092
50.000000	99.404	144.0452
50.799999	99.370	143.3045
51.500000	99.334	142.5836
52.200001	99.273	141.9410
53.000000	99.207	141.4029
53.799999	99.168	140.9844
54.500000	99.126	140.6335
55.200001	99.046	140.3123
56.000000	98.930	139.9128
57.000000	98.809	139.1093
58.000000	98.727	138.1861
59.000000	98.650	137.5880
60.000000	98.548	137.2024
60.799999	98.463	136.8231
61.500000	98.396	136.3911
62.200001	98.335	135.9498
63.000000	98.269	135.5117
64.000000	98.187	134.9853
65.000000	98.097	134.4352
66.000000	98.006	133.9354
67.000000	97.917	133.4584
68.000000	97.828	132.9593
69.000000	97.742	132.4462
70.000000	97.656	131.9853
71.000000	97.573	131.5701
72.000000	97.490	131.1783
73.000000	97.415	130.8816
74.000000	97.362	130.5938
75.000000	97.292	130.1412
76.199997	97.136	129.7227
77.500000	96.999	129.4721
78.800003	96.924	128.6251
80.000000	96.831	127.7856
81.199997	96.718	127.4965
82.500000	96.630	127.4313
83.800003	96.554	127.1008
85.000000	96.478	126.6874
86.199997	96.394	126.3248
87.500000	96.294	126.0334
88.500000	96.220	125.7701
90.000000	96.117	125.3040
91.199997	96.022	125.0039
92.500000	95.931	124.7064
93.800003	95.853	124.3976
95.000000	95.760	124.1888
96.199997	95.672	123.9157
97.500000	95.563	123.8544
98.800003	95.311	124.4421
100.000000	95.109	125.1585
101.500000	95.148	123.9680
103.000000	95.164	122.9200
104.400002	95.127	122.5965
106.000000	95.075	122.0856
107.500000	94.990	121.9502
109.000000	94.912	121.8017
110.599998	94.849	121.4202
112.000000	94.780	121.1131
113.800003	94.684	120.8174
115.000000	94.619	120.6929
117.199997	94.495	120.3718
118.000000	94.456	120.2163
120.599998	94.344	119.8161
122.000000	94.267	119.5980
124.099998	94.161	119.3951
125.000000	94.127	119.3544
126.500000	94.077	119.2193
128.000000	94.025	118.9879
131.500000	93.864	118.4702
132.000000	93.840	118.3912
134.000000	93.764	118.1497
136.000000	93.700	118.0676
138.000000	93.621	117.9259
140.000000	93.550	117.7086
143.000000	93.449	117.4963
145.000000	93.378	117.3412
147.500000	93.305	117.1938
150.000000	93.242	117.0858
152.500000	93.155	116.8635
155.000000	93.076	116.6988
157.500000	93.001	116.5137
160.000000	92.922	116.3111
162.500000	92.846	116.1510
165.000000	92.774	116.0536
167.500000	92.709	115.9154
170.000000	92.645	115.7473
172.500000	92.586	115.6203
175.000000	92.523	115.5149
177.500000	92.463	115.3916
180.000000	92.409	115.2611
182.500000	92.354	115.1451
185.000000	92.301	115.0597
187.500000	92.254	114.9726
190.000000	92.208	114.8632
192.500000	92.162	114.7657
195.000000	92.120	114.6847
197.500000	92.081	114.6425
200.000000	92.044	114.6083
203.000000	92.001	114.4100
206.000000	91.962	114.2426
209.000000	91.929	114.1278
212.000000	91.898	114.0172
214.000000	91.880	113.9486
218.000000	91.844	113.8080
220.000000	91.828	113.7391
224.000000	91.796	113.5995
227.000000	91.776	113.4966
230.000000	91.759	113.3892
233.000000	91.745	113.2862
236.000000	91.730	113.1793
240.000000	91.712	113.0361
243.000000	91.701	112.9236
247.000000	91.692	112.7796
250.000000	91.687	112.6503
254.000000	91.676	112.4538
258.000000	91.666	112.2931
262.000000	91.662	112.1489
265.000000	91.665	112.0427
269.000000	91.671	111.8672
272.000000	91.676	111.7219
276.000000	91.690	111.5640
280.000000	91.705	111.3560
285.000000	91.718	111.0911
290.000000	91.734	110.8962
295.000000	91.759	110.6734
300.000000	91.785	110.4106
304.000000	91.805	110.1932
307.000000	91.817	110.0073
311.000000	91.835	109.7578
315.000000	91.857	109.5598
320.000000	91.894	109.2991
325.000000	91.934	108.9995
330.000000	91.972	108.6478
335.000000	92.014	108.2899
340.000000	92.059	107.9578
345.000000	92.101	107.6218
350.000000	92.142	107.2422
355.000000	92.183	106.8531
360.000000	92.226	106.4733
365.000000	92.270	106.1407
370.000000	92.319	105.8314
375.000000	92.372	105.4951
382.000000	92.438	104.9742
387.000000	92.486	104.5467
395.000000	92.567	103.8424
400.000000	92.616	103.4235
406.000000	92.674	102.9267
412.000000	92.734	102.4017
418.000000	92.794	101.8611
425.000000	92.863	101.2321
431.000000	92.922	100.6901
437.000000	92.981	100.1460
444.000000	93.051	99.4990
450.000000	93.110	98.9372
455.000000	93.156	98.4655
462.000000	93.219	97.7944
468.000000	93.273	97.2115
475.000000	93.336	96.5375
482.000000	93.399	95.8556
487.000000	93.443	95.3643
494.000000	93.503	94.6707
500.000000	93.554	94.0722
508.000000	93.618	93.2728
515.000000	93.673	92.5689
522.000000	93.725	91.8583
530.000000	93.782	91.0479
538.000000	93.836	90.2426
545.000000	93.880	89.5416
552.000000	93.921	88.8488
560.000000	93.968	88.0611
570.000000	94.020	87.0836
580.000000	94.068	86.1262
590.000000	94.111	85.1836
600.000000	94.150	84.2567
608.000000	94.178	83.5316
615.000000	94.202	82.9091
622.000000	94.223	82.3013
630.000000	94.245	81.6230
640.000000	94.270	80.7936
650.000000	94.292	79.9881
660.000000	94.310	79.2152
670.000000	94.326	78.4681
680.000000	94.340	77.7406
690.000000	94.351	77.0336
700.000000	94.360	76.3625
710.000000	94.367	75.7321
720.000000	94.373	75.1367
730.000000	94.377	74.5744
740.000000	94.381	74.0441
750.000000	94.384	73.5455
762.000000	94.390	72.9864
775.000000	94.396	72.4334
788.000000	94.403	71.9319
800.000000	94.408	71.5100
812.000000	94.411	71.1256
825.000000	94.416	70.7518
838.000000	94.423	70.4195
850.000000	94.433	70.1494
862.000000	94.445	69.9101
875.000000	94.463	69.6808
885.000000	94.479	69.5226
900.000000	94.509	69.3154
912.000000	94.539	69.1737
925.000000	94.575	69.0319
938.000000	94.617	68.8993
950.000000	94.659	68.7883
962.000000	94.706	68.6897
975.000000	94.761	68.5820
988.000000	94.820	68.4700
1000.000000	94.878	68.3611
1015.000000	94.955	68.2112
1030.000000	95.037	68.0457
1044.000000	95.116	67.8767
1060.000000	95.210	67.6675
1075.000000	95.300	67.4459
1090.000000	95.393	67.1971
1106.000000	95.492	66.9070
1120.000000	95.580	66.6308
1138.000000	95.693	66.2480
1150.000000	95.767	65.9763
1172.000000	95.902	65.4465
1180.000000	95.950	65.2447
1206.000000	96.103	64.5597
1220.000000	96.182	64.1762
1241.000000	96.299	63.5866
1250.000000	96.350	63.3322
1265.000000	96.435	62.9067
1280.000000	96.521	62.4790
1315.000000	96.713	61.4839
1320.000000	96.740	61.3426
1340.000000	96.845	60.7809
1360.000000	96.946	60.2312
1380.000000	97.044	59.6949
1400.000000	97.140	59.1705
1430.000000	97.282	58.4049
1450.000000	97.375	57.9108
1475.000000	97.490	57.3105
1500.000000	97.604	56.7284
1525.000000	97.717	56.1640
1550.000000	97.831	55.6129
1575.000000	97.944	55.0690
1600.000000	98.056	54.5309
1625.000000	98.165	53.9980
1650.000000	98.273	53.4670
1675.000000	98.382	52.9346
1700.000000	98.491	52.3968
1725.000000	98.602	51.8539
1750.000000	98.714	51.3045
1775.000000	98.827	50.7431
1800.000000	98.941	50.1675
