* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 20, 2025 3:16:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Stock L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.116	-172.2881
20.600000	101.119	-173.0309
20.900000	101.120	-173.8263
21.200001	101.121	-174.6201
21.400000	101.122	-175.1495
21.799999	101.125	-176.2100
22.000000	101.124	-176.7370
22.400000	101.118	-177.7637
22.700001	101.107	-178.4922
23.000000	101.092	-179.1782
23.299999	101.077	-179.8320
23.600000	101.064	179.5212
24.000000	101.049	178.6142
24.299999	101.038	177.8727
24.700001	101.015	176.8085
25.000000	100.989	175.9934
25.400000	100.945	174.9672
25.799999	100.900	174.0796
26.200001	100.870	173.3345
26.500000	100.861	172.8282
26.900000	100.860	172.1503
27.200001	100.862	171.6081
27.600000	100.854	170.8408
28.000000	100.829	170.0656
28.500000	100.782	169.1539
29.000000	100.733	168.3113
29.500000	100.692	167.4734
30.000000	100.656	166.5956
30.400000	100.624	165.8780
30.700001	100.599	165.3474
31.100000	100.565	164.6637
31.500000	100.530	164.0098
32.000000	100.487	163.2264
32.500000	100.444	162.4734
33.000000	100.399	161.7436
33.500000	100.355	161.0206
34.000000	100.310	160.2904
34.500000	100.261	159.5636
35.000000	100.209	158.8698
35.500000	100.159	158.2215
36.000000	100.112	157.5940
36.500000	100.066	156.9496
37.000000	100.016	156.2782
37.500000	99.962	155.6076
38.200001	99.890	154.7301
38.700001	99.848	154.1456
39.500000	99.785	153.2288
40.000000	99.736	152.6667
40.599998	99.668	152.0158
41.200001	99.599	151.3596
41.799999	99.535	150.6771
42.500000	99.462	149.9435
43.099998	99.406	149.4304
43.700001	99.354	148.9073
44.400002	99.264	148.1197
45.000000	99.146	147.4222
45.500000	99.046	146.9783
46.200001	98.967	146.5173
46.799999	98.956	146.0276
47.500000	98.945	145.2919
48.200001	98.905	144.6207
48.700001	98.874	144.2043
49.400002	98.833	143.5748
50.000000	98.782	142.9979
50.799999	98.688	142.3957
51.500000	98.601	142.0236
52.200001	98.512	141.6193
53.000000	98.402	141.0853
53.799999	98.306	140.5620
54.500000	98.246	140.1053
55.200001	98.196	139.6380
56.000000	98.137	139.1140
57.000000	98.050	138.4680
58.000000	97.953	137.7726
59.000000	97.867	136.8755
60.000000	97.764	135.9006
60.799999	97.655	135.4844
61.500000	97.570	135.4481
62.200001	97.514	135.4205
63.000000	97.465	135.1354
64.000000	97.377	134.5839
65.000000	97.240	134.0915
66.000000	97.070	133.7718
67.000000	96.981	133.4435
68.000000	96.968	132.7386
69.000000	96.920	132.1276
70.000000	96.843	131.8729
71.000000	96.750	131.6432
72.000000	96.636	131.3773
73.000000	96.549	130.9722
74.000000	96.503	130.3507
75.000000	96.488	130.1526
76.199997	96.493	129.6913
77.500000	96.226	128.4105
78.800003	96.028	128.2847
80.000000	95.988	128.1011
81.199997	95.903	127.9972
82.500000	95.836	127.5809
83.800003	95.780	127.0173
85.000000	95.693	126.6153
86.199997	95.588	126.2881
87.500000	95.485	125.9382
88.500000	95.417	125.7214
90.000000	95.311	125.3776
91.199997	95.217	125.0750
92.500000	95.135	124.6136
93.800003	95.059	124.1931
95.000000	94.988	123.9673
96.199997	94.910	123.7281
97.500000	94.816	123.3568
98.800003	94.730	123.0395
100.000000	94.659	122.8533
101.500000	94.549	122.7110
103.000000	94.455	122.4687
104.400002	94.381	122.1996
106.000000	94.274	121.8464
107.500000	94.156	121.5781
109.000000	94.060	121.4076
110.599998	94.003	121.1285
112.000000	93.966	121.2913
113.800003	93.928	121.8109
115.000000	93.901	121.3640
117.199997	93.757	120.7219
118.000000	93.725	120.6891
120.599998	93.697	119.9938
122.000000	93.648	119.9996
124.099998	93.498	119.5845
125.000000	93.433	119.3325
126.500000	93.347	119.1498
128.000000	93.276	119.0325
131.500000	93.109	118.4921
132.000000	93.087	118.3781
134.000000	92.999	117.6984
136.000000	92.980	115.9028
138.000000	92.934	115.3891
140.000000	92.799	116.9796
143.000000	92.642	117.4593
145.000000	92.570	117.1929
147.500000	92.489	117.0017
150.000000	92.423	116.6794
152.500000	92.363	116.4141
155.000000	92.320	116.3759
157.500000	92.254	116.4047
160.000000	92.183	116.3751
162.500000	92.106	116.3355
165.000000	92.021	116.1723
167.500000	91.945	115.9188
170.000000	91.887	115.7631
172.500000	91.825	115.7090
175.000000	91.749	115.7108
177.500000	91.694	115.5206
180.000000	91.648	115.3271
182.500000	91.599	115.1583
185.000000	91.536	115.1071
187.500000	91.490	115.0445
190.000000	91.443	114.9178
192.500000	91.385	114.8076
195.000000	91.341	114.7560
197.500000	91.320	114.8287
200.000000	91.307	114.8945
203.000000	91.265	114.7451
206.000000	91.212	114.5922
209.000000	91.171	114.4069
212.000000	91.144	114.2160
214.000000	91.128	114.1189
218.000000	91.106	114.0101
220.000000	91.096	113.9479
224.000000	91.069	113.8247
227.000000	91.044	113.6996
230.000000	91.016	113.5348
233.000000	90.997	113.3876
236.000000	90.982	113.2682
240.000000	90.959	113.0759
243.000000	90.945	112.9529
247.000000	90.942	112.7092
250.000000	90.938	112.5527
254.000000	90.899	112.4937
258.000000	90.882	112.4312
262.000000	90.898	112.2400
265.000000	90.905	112.0335
269.000000	90.907	111.8937
272.000000	90.891	111.9021
276.000000	90.904	111.7614
280.000000	90.931	111.3969
285.000000	90.944	111.1016
290.000000	90.963	110.8708
295.000000	90.978	110.6257
300.000000	91.014	110.4168
304.000000	91.046	110.2677
307.000000	91.064	110.0329
311.000000	91.082	109.6699
315.000000	91.101	109.4528
320.000000	91.142	109.1024
325.000000	91.176	108.7218
330.000000	91.203	108.5001
335.000000	91.230	108.2662
340.000000	91.264	107.9955
