* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 20, 2025 3:18:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Stock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.347	-173.7957
20.600000	101.345	-174.5277
20.900000	101.342	-175.3130
21.200001	101.338	-176.0983
21.400000	101.336	-176.6222
21.799999	101.333	-177.6711
22.000000	101.331	-178.1927
22.400000	101.325	-179.2161
22.700001	101.317	-179.9560
23.000000	101.307	179.3312
23.299999	101.295	178.6401
23.600000	101.282	177.9595
24.000000	101.264	177.0446
24.299999	101.249	176.3419
24.700001	101.226	175.3850
25.000000	101.205	174.6666
25.400000	101.175	173.7376
25.799999	101.143	172.8683
26.200001	101.116	172.0655
26.500000	101.097	171.4976
26.900000	101.075	170.7645
27.200001	101.058	170.2208
27.600000	101.032	169.4961
28.000000	101.001	168.7737
28.500000	100.958	167.8799
29.000000	100.916	166.9931
29.500000	100.877	166.1032
30.000000	100.837	165.2142
30.400000	100.803	164.5175
30.700001	100.777	164.0106
31.100000	100.740	163.3583
31.500000	100.702	162.7290
32.000000	100.655	161.9641
32.500000	100.606	161.2160
33.000000	100.559	160.4829
33.500000	100.515	159.7603
34.000000	100.473	159.0400
34.500000	100.430	158.3204
35.000000	100.383	157.6127
35.500000	100.331	156.9315
36.000000	100.276	156.2803
36.500000	100.222	155.6490
37.000000	100.169	155.0262
37.500000	100.119	154.4137
38.200001	100.054	153.5933
38.700001	100.010	153.0294
39.500000	99.939	152.1076
40.000000	99.886	151.5157
40.599998	99.816	150.8385
41.200001	99.751	150.2210
41.799999	99.696	149.6252
42.500000	99.625	148.9399
43.099998	99.553	148.3955
43.700001	99.484	147.8181
44.400002	99.413	146.9080
45.000000	99.337	146.0002
45.500000	99.262	145.3765
46.200001	99.177	144.8924
46.799999	99.139	144.6456
47.500000	99.099	144.2376
48.200001	99.038	143.6920
48.700001	98.995	143.2481
49.400002	98.939	142.5328
50.000000	98.880	141.9249
50.799999	98.779	141.3938
51.500000	98.698	141.1184
52.200001	98.628	140.7365
53.000000	98.543	140.1295
53.799999	98.460	139.5171
54.500000	98.393	139.0294
55.200001	98.327	138.5769
56.000000	98.251	138.0667
57.000000	98.158	137.4230
58.000000	98.070	136.8259
59.000000	97.971	136.2325
60.000000	97.863	135.7065
60.799999	97.793	135.2825
61.500000	97.736	134.8624
62.200001	97.673	134.4750
63.000000	97.599	134.1119
64.000000	97.507	133.6498
65.000000	97.418	133.1294
66.000000	97.339	132.5120
67.000000	97.248	131.9313
68.000000	97.151	131.6267
69.000000	97.060	131.3420
70.000000	96.962	130.8971
71.000000	96.877	130.4622
72.000000	96.800	130.1108
73.000000	96.719	129.8511
74.000000	96.662	129.6274
75.000000	96.606	129.4256
76.199997	96.440	129.4315
77.500000	96.246	129.2345
78.800003	96.200	128.0070
80.000000	96.177	127.2253
81.199997	96.095	126.9982
82.500000	95.979	126.5280
83.800003	95.886	125.9946
85.000000	95.804	125.6833
86.199997	95.711	125.2644
87.500000	95.598	124.9123
88.500000	95.520	124.7479
90.000000	95.417	124.3518
91.199997	95.337	123.9686
92.500000	95.255	123.7475
93.800003	95.177	123.5564
95.000000	95.095	123.2491
96.199997	95.008	122.9797
97.500000	94.922	122.7233
98.800003	94.831	122.4125
100.000000	94.757	122.1609
101.500000	94.676	121.8788
103.000000	94.588	121.6605
104.400002	94.510	121.4159
106.000000	94.417	121.1926
107.500000	94.337	121.0057
109.000000	94.251	120.6792
110.599998	94.146	120.4291
112.000000	94.064	120.3033
113.800003	93.986	120.0374
115.000000	93.935	119.8102
117.199997	93.836	119.4455
118.000000	93.799	119.3348
