* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Oct 7, 2025 7:40:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Unfilter L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.878	-171.3126
20.600000	101.882	-172.0524
20.900000	101.884	-172.8446
21.200001	101.883	-173.6379
21.400000	101.883	-174.1693
21.799999	101.881	-175.2398
22.000000	101.879	-175.7758
22.400000	101.872	-176.8336
22.700001	101.865	-177.6023
23.000000	101.856	-178.3444
23.299999	101.847	-179.0631
23.600000	101.839	-179.7670
24.000000	101.827	179.3013
24.299999	101.817	178.6018
24.700001	101.799	177.6738
25.000000	101.783	176.9905
25.400000	101.760	176.1073
25.799999	101.738	175.2531
26.200001	101.719	174.4113
26.500000	101.705	173.7779
26.900000	101.683	172.9289
27.200001	101.663	172.2967
27.600000	101.632	171.4772
28.000000	101.598	170.6974
28.500000	101.559	169.7738
29.000000	101.523	168.8781
29.500000	101.489	167.9875
30.000000	101.452	167.1034
30.400000	101.420	166.4070
30.700001	101.394	165.8914
31.100000	101.359	165.2110
31.500000	101.323	164.5390
32.000000	101.276	163.7193
32.500000	101.229	162.9339
33.000000	101.185	162.1808
33.500000	101.143	161.4433
34.000000	101.102	160.7092
34.500000	101.057	159.9830
35.000000	101.010	159.2764
35.500000	100.962	158.5929
36.000000	100.913	157.9265
36.500000	100.863	157.2714
37.000000	100.813	156.6266
37.500000	100.764	155.9911
38.200001	100.697	155.1123
38.700001	100.651	154.4976
39.500000	100.574	153.5618
40.000000	100.524	153.0026
40.599998	100.461	152.3337
41.200001	100.396	151.6623
41.799999	100.335	151.0086
42.500000	100.276	150.2776
43.099998	100.230	149.6691
43.700001	100.170	149.1048
44.400002	100.078	148.5616
45.000000	99.996	148.1620
45.500000	99.936	147.7927
46.200001	99.870	147.1118
46.799999	99.819	146.3944
47.500000	99.753	145.5667
48.200001	99.681	144.9272
48.700001	99.636	144.5883
49.400002	99.587	144.1244
50.000000	99.544	143.6187
50.799999	99.460	142.8715
51.500000	99.370	142.3212
52.200001	99.290	141.8495
53.000000	99.211	141.2694
53.799999	99.131	140.6714
54.500000	99.061	140.1919
55.200001	98.994	139.7341
56.000000	98.915	139.2090
57.000000	98.819	138.5561
58.000000	98.729	137.9235
59.000000	98.638	137.3240
60.000000	98.542	136.7654
60.799999	98.464	136.3303
61.500000	98.399	135.9408
62.200001	98.336	135.5460
63.000000	98.267	135.0825
64.000000	98.177	134.4743
65.000000	98.079	133.9467
66.000000	97.991	133.5507
67.000000	97.912	133.1526
68.000000	97.827	132.7173
69.000000	97.737	132.2608
70.000000	97.648	131.8053
71.000000	97.559	131.3822
72.000000	97.469	130.9639
73.000000	97.381	130.5551
74.000000	97.304	130.1966
75.000000	97.231	129.8730
76.199997	97.130	129.4370
77.500000	97.027	128.9229
78.800003	96.913	128.6492
80.000000	96.768	128.6601
81.199997	96.672	128.2880
82.500000	96.618	127.3385
83.800003	96.540	126.8217
85.000000	96.459	126.6245
86.199997	96.384	126.3425
87.500000	96.296	125.9421
88.500000	96.220	125.6429
90.000000	96.110	125.2376
91.199997	96.020	124.9689
92.500000	95.929	124.6548
93.800003	95.847	124.3274
95.000000	95.771	124.0641
96.199997	95.693	123.7415
97.500000	95.592	123.3459
98.800003	95.476	122.9487
100.000000	95.381	122.7436
101.500000	95.324	122.6932
103.000000	95.264	122.4834
104.400002	95.183	122.0993
106.000000	95.088	121.4845
107.500000	95.009	120.9587
109.000000	94.935	120.8740
110.599998	94.851	120.7600
112.000000	94.768	120.4939
113.800003	94.676	120.3709
115.000000	94.619	120.3630
117.199997	94.515	120.5483
118.000000	94.477	120.5734
120.599998	94.335	120.0793
122.000000	94.253	119.7659
124.099998	94.149	119.4820
