* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Oct 7, 2025 7:44:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Helios Unfilter R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.160	-173.1551
20.600000	102.161	-173.8954
20.900000	102.157	-174.6893
21.200001	102.152	-175.4815
21.400000	102.149	-176.0079
21.799999	102.142	-177.0559
22.000000	102.138	-177.5747
22.400000	102.131	-178.5927
22.700001	102.124	-179.3328
23.000000	102.115	179.9489
23.299999	102.105	179.2497
23.600000	102.093	178.5646
24.000000	102.073	177.6624
24.299999	102.055	176.9879
24.700001	102.030	176.0862
25.000000	102.011	175.4075
25.400000	101.985	174.5026
25.799999	101.961	173.6047
26.200001	101.938	172.7256
26.500000	101.922	172.0864
26.900000	101.899	171.2688
27.200001	101.881	170.6841
27.600000	101.855	169.9397
28.000000	101.826	169.2261
28.500000	101.786	168.3573
29.000000	101.743	167.4951
29.500000	101.698	166.6301
30.000000	101.653	165.7646
30.400000	101.618	165.0775
30.700001	101.591	164.5687
31.100000	101.556	163.9023
31.500000	101.521	163.2520
32.000000	101.475	162.4628
32.500000	101.429	161.6981
33.000000	101.382	160.9548
33.500000	101.336	160.2294
34.000000	101.289	159.5183
34.500000	101.242	158.8195
35.000000	101.194	158.1340
35.500000	101.144	157.4625
36.000000	101.094	156.8032
36.500000	101.045	156.1542
37.000000	100.997	155.5169
37.500000	100.947	154.8952
38.200001	100.878	154.0502
38.700001	100.827	153.4587
39.500000	100.744	152.5342
40.000000	100.694	151.9724
40.599998	100.637	151.3063
41.200001	100.577	150.6580
41.799999	100.510	150.0729
42.500000	100.434	149.4896
43.099998	100.380	148.9791
43.700001	100.330	148.3672
44.400002	100.260	147.5796
45.000000	100.191	146.9608
45.500000	100.136	146.5028
46.200001	100.066	145.8848
46.799999	100.004	145.3523
47.500000	99.926	144.7542
48.200001	99.846	144.1745
48.700001	99.786	143.7645
49.400002	99.700	143.2213
50.000000	99.634	142.7863
50.799999	99.565	142.1746
51.500000	99.508	141.5934
52.200001	99.445	141.0421
53.000000	99.366	140.4818
53.799999	99.287	139.9411
54.500000	99.217	139.4641
55.200001	99.149	138.9952
56.000000	99.072	138.4812
57.000000	98.975	137.8718
58.000000	98.878	137.2717
59.000000	98.783	136.6747
60.000000	98.692	136.0983
60.799999	98.618	135.6597
61.500000	98.554	135.2905
62.200001	98.490	134.9264
63.000000	98.416	134.5159
64.000000	98.323	134.0212
65.000000	98.232	133.5310
66.000000	98.141	133.0419
67.000000	98.049	132.5780
68.000000	97.960	132.1312
69.000000	97.873	131.6883
70.000000	97.785	131.2594
71.000000	97.700	130.8515
72.000000	97.618	130.4457
73.000000	97.535	130.0432
74.000000	97.451	129.6743
75.000000	97.368	129.3163
76.199997	97.268	128.8749
77.500000	97.162	128.4265
78.800003	97.059	127.9747
80.000000	96.968	127.5474
81.199997	96.874	127.1829
82.500000	96.775	126.9103
83.800003	96.681	126.5043
85.000000	96.588	126.1361
86.199997	96.498	125.8543
87.500000	96.405	125.5002
88.500000	96.335	125.1918
90.000000	96.230	124.7923
91.199997	96.146	124.4960
92.500000	96.059	124.1708
93.800003	95.972	123.9001
95.000000	95.892	123.6764
96.199997	95.815	123.4030
97.500000	95.732	123.1292
98.800003	95.651	122.9276
100.000000	95.577	122.7289
101.500000	95.485	122.3900
103.000000	95.391	122.0556
104.400002	95.313	121.7615
106.000000	95.220	121.3701
107.500000	95.124	121.0212
109.000000	95.041	120.8069
110.599998	94.963	120.6747
112.000000	94.896	120.4454
113.800003	94.806	120.1120
115.000000	94.743	119.9925
117.199997	94.639	119.8570
118.000000	94.598	119.7574
120.599998	94.456	119.4076
122.000000	94.385	119.2540
124.099998	94.287	119.0200
125.000000	94.248	118.9249
126.500000	94.184	118.7842
128.000000	94.115	118.6772
131.500000	93.965	118.4011
132.000000	93.948	118.3407
134.000000	93.880	118.1328
136.000000	93.803	117.9528
138.000000	93.721	117.8151
140.000000	93.653	117.6397
143.000000	93.560	117.3945
145.000000	93.498	117.2779
147.500000	93.417	117.1231
150.000000	93.345	116.9935
152.500000	93.269	116.7804
155.000000	93.193	116.5652
157.500000	93.121	116.4072
160.000000	93.054	116.2722
162.500000	92.983	116.1653
165.000000	92.908	116.0182
167.500000	92.841	115.8713
170.000000	92.777	115.8185
172.500000	92.707	115.7785
175.000000	92.644	115.6761
177.500000	92.591	115.5247
180.000000	92.539	115.3863
182.500000	92.490	115.2811
185.000000	92.441	115.1840
187.500000	92.394	115.0872
190.000000	92.352	115.0030
192.500000	92.310	114.9180
195.000000	92.271	114.8314
197.500000	92.240	114.7356
200.000000	92.211	114.6386
203.000000	92.161	114.5493
206.000000	92.119	114.4637
209.000000	92.086	114.3524
212.000000	92.057	114.2367
214.000000	92.037	114.1861
218.000000	92.001	114.0556
220.000000	91.986	113.9695
224.000000	91.958	113.8264
227.000000	91.936	113.7271
230.000000	91.917	113.6321
233.000000	91.900	113.5403
236.000000	91.883	113.4483
240.000000	91.866	113.3209
243.000000	91.859	113.2169
247.000000	91.855	113.0915
250.000000	91.858	112.9933
254.000000	91.855	112.8943
258.000000	91.853	112.7437
262.000000	91.852	112.5695
265.000000	91.853	112.4391
269.000000	91.862	112.2739
272.000000	91.872	112.1359
276.000000	91.882	111.9492
280.000000	91.889	111.7702
285.000000	91.904	111.5455
290.000000	91.919	111.2963
295.000000	91.940	111.0628
300.000000	91.965	110.8295
304.000000	91.986	110.6376
307.000000	92.002	110.4882
311.000000	92.024	110.2758
315.000000	92.049	110.0508
320.000000	92.084	109.7669
325.000000	92.122	109.4989
330.000000	92.164	109.2115
335.000000	92.204	108.9004
340.000000	92.244	108.6011
345.000000	92.282	108.2624
350.000000	92.323	107.8941
355.000000	92.374	107.6207
360.000000	92.426	107.3315
365.000000	92.475	106.9944
370.000000	92.524	106.6432
375.000000	92.573	106.2944
382.000000	92.646	105.8003
387.000000	92.700	105.4325
395.000000	92.787	104.8260
400.000000	92.839	104.4304
406.000000	92.905	103.9316
412.000000	92.972	103.4485
418.000000	93.037	102.9788
425.000000	93.112	102.4124
431.000000	93.174	101.9128
437.000000	93.235	101.4096
444.000000	93.309	100.7957
450.000000	93.373	100.2542
455.000000	93.432	99.8055
462.000000	93.513	99.1851
468.000000	93.577	98.6469
475.000000	93.651	98.0140
482.000000	93.723	97.3421
487.000000	93.772	96.8583
494.000000	93.839	96.1860
500.000000	93.896	95.6049
508.000000	93.972	94.8318
515.000000	94.036	94.1489
522.000000	94.098	93.4797
530.000000	94.165	92.7133
538.000000	94.231	91.9456
545.000000	94.289	91.2896
552.000000	94.346	90.6216
560.000000	94.408	89.8291
570.000000	94.482	88.8341
580.000000	94.550	87.8371
590.000000	94.611	86.8421
600.000000	94.665	85.8805
608.000000	94.704	85.1309
615.000000	94.736	84.4855
622.000000	94.766	83.8527
630.000000	94.797	83.1390
640.000000	94.837	82.2792
650.000000	94.873	81.4302
660.000000	94.904	80.5890
670.000000	94.932	79.7798
680.000000	94.956	79.0031
690.000000	94.977	78.2518
700.000000	94.995	77.5345
710.000000	95.011	76.8510
720.000000	95.024	76.1992
730.000000	95.036	75.5841
740.000000	95.046	75.0006
750.000000	95.055	74.4442
762.000000	95.068	73.8320
775.000000	95.082	73.2157
788.000000	95.094	72.6461
800.000000	95.104	72.1624
812.000000	95.112	71.7222
825.000000	95.121	71.2897
838.000000	95.130	70.9062
850.000000	95.141	70.5868
862.000000	95.157	70.2885
875.000000	95.178	70.0013
885.000000	95.196	69.8026
900.000000	95.227	69.5355
912.000000	95.256	69.3449
925.000000	95.293	69.1615
938.000000	95.334	68.9961
950.000000	95.377	68.8534
962.000000	95.423	68.7072
975.000000	95.477	68.5521
988.000000	95.536	68.3995
1000.000000	95.593	68.2575
1015.000000	95.669	68.0714
1030.000000	95.748	67.8699
1044.000000	95.825	67.6642
1060.000000	95.917	67.4139
1075.000000	96.006	67.1617
1090.000000	96.096	66.8861
1106.000000	96.192	66.5660
1120.000000	96.277	66.2624
1138.000000	96.386	65.8443
1150.000000	96.458	65.5504
1172.000000	96.587	64.9903
1180.000000	96.633	64.7786
1206.000000	96.778	64.0636
1220.000000	96.853	63.6682
1241.000000	96.964	63.0658
1250.000000	97.011	62.8055
1265.000000	97.093	62.3725
1280.000000	97.175	61.9391
1315.000000	97.357	60.9389
1320.000000	97.382	60.7979
1340.000000	97.481	60.2401
1360.000000	97.576	59.6914
1380.000000	97.669	59.1541
1400.000000	97.760	58.6317
1430.000000	97.892	57.8777
1450.000000	97.979	57.3943
1475.000000	98.087	56.8150
1500.000000	98.195	56.2552
1525.000000	98.303	55.7078
1550.000000	98.411	55.1731
1575.000000	98.519	54.6550
1600.000000	98.626	54.1463
1625.000000	98.731	53.6390
1650.000000	98.835	53.1338
1675.000000	98.940	52.6331
1700.000000	99.047	52.1277
1725.000000	99.155	51.6163
1750.000000	99.265	51.0948
1775.000000	99.376	50.5621
1800.000000	99.488	50.0171
1825.000000	99.601	49.4542
1850.000000	99.714	48.8730
1875.000000	99.829	48.2659
1900.000000	99.943	47.6343
1925.000000	100.057	46.9803
1950.000000	100.170	46.3019
1975.000000	100.283	45.5960
2000.000000	100.396	44.8612
2030.000000	100.531	43.9410
2060.000000	100.665	42.9758
2090.000000	100.796	41.9622
2120.000000	100.922	40.8989
2140.000000	101.002	40.1635
2180.000000	101.155	38.6285
2200.000000	101.227	37.8290
2240.000000	101.358	36.1705
2270.000000	101.446	34.8806
2300.000000	101.524	33.5567
2330.000000	101.591	32.2007
2360.000000	101.646	30.8206
2400.000000	101.701	28.9559
2430.000000	101.727	27.5465
2470.000000	101.742	25.6694
2500.000000	101.740	24.2711
2540.000000	101.719	22.4359
2580.000000	101.677	20.6505
2620.000000	101.616	18.9309
2650.000000	101.558	17.6937
2690.000000	101.468	16.1263
2720.000000	101.390	15.0181
2760.000000	101.277	13.6351
2800.000000	101.153	12.3648
2850.000000	100.989	10.9403
2900.000000	100.818	9.6999
2950.000000	100.645	8.6381
3000.000000	100.473	7.7489
3040.000000	100.338	7.1522
3070.000000	100.240	6.7661
3110.000000	100.115	6.3271
3150.000000	99.997	5.9646
3200.000000	99.860	5.6007
3250.000000	99.736	5.3198
3300.000000	99.623	5.1039
3350.000000	99.521	4.9454
3400.000000	99.428	4.8451
3450.000000	99.346	4.8061
3500.000000	99.277	4.8278
3550.000000	99.223	4.8983
3600.000000	99.187	5.0002
3650.000000	99.170	5.1133
3700.000000	99.173	5.2141
3750.000000	99.194	5.2812
3820.000000	99.254	5.2766
3870.000000	99.317	5.1736
3950.000000	99.446	4.7834
4000.000000	99.538	4.3662
4060.000000	99.655	3.6550
4120.000000	99.775	2.6856
4180.000000	99.889	1.4316
4250.000000	100.001	-0.4163
4310.000000	100.064	-2.3336
4370.000000	100.078	-4.5312
4440.000000	100.012	-7.3550
4500.000000	99.868	-9.8682
4550.000000	99.679	-11.9096
4620.000000	99.307	-14.4526
4680.000000	98.898	-16.1047
4750.000000	98.348	-17.1165
4820.000000	97.778	-16.8934
4870.000000	97.406	-15.9296
4940.000000	97.011	-13.6108
5000.000000	96.847	-11.1099
5080.000000	96.911	-8.0450
5150.000000	97.168	-6.5237
5220.000000	97.485	-6.5485
5300.000000	97.760	-8.2972
5380.000000	97.829	-11.1494
5450.000000	97.697	-13.8584
5520.000000	97.411	-16.2849
5600.000000	96.950	-18.3782
5700.000000	96.265	-19.7977
5800.000000	95.548	-19.9700
5900.000000	94.858	-19.1239
6000.000000	94.221	-17.5081
6080.000000	93.758	-15.8038
6150.000000	93.389	-14.0898
6220.000000	93.056	-12.2203
6300.000000	92.724	-9.9528
6400.000000	92.388	-7.0153
6500.000000	92.121	-4.0675
6600.000000	91.895	-1.2194
6700.000000	91.678	1.5029
6800.000000	91.449	4.4071
6900.000000	91.282	7.7638
7000.000000	91.204	10.7374
7100.000000	91.089	13.2389
7200.000000	90.904	16.1997
7300.000000	90.773	20.2478
7400.000000	90.836	24.8337
7500.000000	91.099	28.9855
7620.000000	91.586	32.8790
7750.000000	92.248	35.6970
7880.000000	93.011	36.9471
8000.000000	93.747	36.4502
8120.000000	94.436	34.0551
8250.000000	95.031	29.1191
8380.000000	95.313	22.0715
8500.000000	95.155	14.6868
8620.000000	94.549	7.9688
8750.000000	93.509	3.4185
8850.000000	92.667	2.3790
9000.000000	91.596	3.9136
9120.000000	91.076	7.5411
9250.000000	91.075	12.3278
