* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 3, 2026 12:16:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor AET07 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.331	-173.4589
20.600000	103.338	-173.9536
20.900000	103.343	-174.4916
21.200001	103.349	-175.0433
21.400000	103.352	-175.4201
21.799999	103.361	-176.1922
22.000000	103.365	-176.5821
22.400000	103.375	-177.3513
22.700001	103.383	-177.9057
23.000000	103.390	-178.4348
23.299999	103.398	-178.9409
23.600000	103.405	-179.4325
24.000000	103.412	179.9151
24.299999	103.414	179.4171
24.700001	103.413	178.7371
25.000000	103.410	178.2204
25.400000	103.406	177.5350
25.799999	103.409	176.8615
26.200001	103.421	176.1986
26.500000	103.432	175.7073
26.900000	103.446	175.0706
27.200001	103.450	174.6231
27.600000	103.445	174.0908
28.000000	103.432	173.6345
28.500000	103.414	173.1052
29.000000	103.405	172.4959
29.500000	103.399	171.7422
30.000000	103.395	170.9152
30.400000	103.398	170.2791
30.700001	103.407	169.8337
31.100000	103.430	169.2642
31.500000	103.457	168.6891
32.000000	103.479	167.9432
32.500000	103.478	167.2057
33.000000	103.464	166.5065
33.500000	103.451	165.8030
34.000000	103.441	165.0430
34.500000	103.421	164.2654
35.000000	103.391	163.5800
35.500000	103.362	163.0315
36.000000	103.347	162.5352
36.500000	103.341	161.9729
37.000000	103.330	161.3276
37.500000	103.311	160.6811
38.200001	103.292	159.8693
38.700001	103.289	159.3013
39.500000	103.274	158.3397
40.000000	103.253	157.7652
40.599998	103.232	157.1068
41.200001	103.224	156.3867
41.799999	103.215	155.6213
42.500000	103.205	154.8463
43.099998	103.219	154.2092
43.700001	103.237	153.3632
44.400002	103.195	152.2109
45.000000	103.108	151.5178
45.500000	103.050	151.2568
46.200001	103.039	150.9732
46.799999	103.053	150.4571
47.500000	103.030	149.6540
48.200001	102.977	148.9255
48.700001	102.947	148.4395
49.400002	102.921	147.7295
50.000000	102.907	147.1359
50.799999	102.902	146.4236
51.500000	102.894	145.8047
52.200001	102.869	145.1608
53.000000	102.840	144.3768
53.799999	102.825	143.4927
54.500000	102.806	142.7534
55.200001	102.773	142.1977
56.000000	102.733	141.6902
57.000000	102.709	140.7711
58.000000	102.717	139.3008
59.000000	102.692	137.8749
60.000000	102.615	137.1986
60.799999	102.559	136.8943
61.500000	102.517	136.4420
62.200001	102.475	135.8301
63.000000	102.434	135.1151
64.000000	102.391	134.3114
65.000000	102.347	133.5067
66.000000	102.302	132.6162
67.000000	102.263	131.7147
68.000000	102.224	130.8853
69.000000	102.174	130.1240
70.000000	102.119	129.3758
71.000000	102.065	128.6145
72.000000	102.017	127.8700
73.000000	101.975	127.1396
74.000000	101.929	126.3939
75.000000	101.873	125.6470
76.199997	101.805	124.7561
77.500000	101.735	123.7891
78.800003	101.663	122.8483
80.000000	101.596	121.9916
81.199997	101.541	121.0873
82.500000	101.481	120.1295
83.800003	101.409	119.2786
85.000000	101.342	118.5238
