* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 3, 2026 12:19:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor AET07 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.982	-173.3112
20.600000	102.995	-173.8123
20.900000	103.006	-174.3551
21.200001	103.013	-174.9004
21.400000	103.016	-175.2626
21.799999	103.020	-175.9786
22.000000	103.022	-176.3318
22.400000	103.028	-177.0347
22.700001	103.033	-177.5684
23.000000	103.040	-178.1145
23.299999	103.046	-178.6713
23.600000	103.051	-179.2279
24.000000	103.056	-179.9434
24.299999	103.061	179.5533
24.700001	103.072	178.9218
25.000000	103.083	178.4606
25.400000	103.095	177.8362
25.799999	103.098	177.1953
26.200001	103.090	176.5562
26.500000	103.081	176.0859
26.900000	103.076	175.4504
27.200001	103.081	174.9342
27.600000	103.100	174.1482
28.000000	103.120	173.2571
28.500000	103.127	172.1411
29.000000	103.110	171.2684
29.500000	103.089	170.7584
30.000000	103.088	170.4599
30.400000	103.099	170.1903
30.700001	103.106	169.9076
31.100000	103.107	169.4208
31.500000	103.095	168.8580
32.000000	103.075	168.1384
32.500000	103.064	167.4426
33.000000	103.066	166.7583
33.500000	103.069	166.0809
34.000000	103.066	165.4319
34.500000	103.056	164.8195
35.000000	103.044	164.2186
35.500000	103.033	163.6015
36.000000	103.023	162.9685
36.500000	103.015	162.3405
37.000000	103.010	161.7282
37.500000	103.005	161.1227
38.200001	102.995	160.2685
38.700001	102.982	159.6639
39.500000	102.959	158.7357
40.000000	102.949	158.1694
40.599998	102.940	157.4801
41.200001	102.927	156.7843
41.799999	102.910	156.1124
42.500000	102.890	155.3766
43.099998	102.877	154.7525
43.700001	102.865	154.0927
44.400002	102.843	153.2910
45.000000	102.818	152.6386
45.500000	102.800	152.1347
46.200001	102.786	151.4324
46.799999	102.775	150.8036
47.500000	102.754	150.1169
48.200001	102.733	149.5142
48.700001	102.722	149.0554
49.400002	102.697	148.2929
50.000000	102.663	147.5927
50.799999	102.624	146.7397
51.500000	102.612	146.0681
52.200001	102.602	145.4430
53.000000	102.572	144.7545
53.799999	102.528	143.9810
54.500000	102.500	143.2181
55.200001	102.496	142.4950
56.000000	102.493	141.9883
57.000000	102.463	142.0047
58.000000	102.432	141.5851
59.000000	102.354	139.9395
60.000000	102.277	138.3340
60.799999	102.264	137.4961
61.500000	102.250	136.9301
62.200001	102.218	136.4139
63.000000	102.179	135.7702
64.000000	102.144	134.8677
65.000000	102.105	134.0596
66.000000	102.058	133.2932
67.000000	102.006	132.4387
68.000000	101.961	131.5769
69.000000	101.923	130.7740
70.000000	101.882	130.0040
71.000000	101.840	129.2388
72.000000	101.796	128.4665
73.000000	101.747	127.7098
74.000000	101.702	126.9628
75.000000	101.659	126.2169
76.199997	101.603	125.3298
77.500000	101.540	124.3559
78.800003	101.477	123.4334
80.000000	101.420	122.6008
81.199997	101.363	121.7766
82.500000	101.292	120.9584
83.800003	101.206	120.1039
85.000000	101.152	119.2894
86.199997	101.149	118.5587
87.500000	101.112	117.6672
88.500000	101.031	116.9815
90.000000	100.931	115.9619
91.199997	100.869	115.1925
92.500000	100.798	114.4377
93.800003	100.730	113.7017
95.000000	100.672	113.0082
96.199997	100.611	112.2834
97.500000	100.544	111.5013
98.800003	100.480	110.7985
100.000000	100.413	110.1749
101.500000	100.318	109.2618
103.000000	100.244	108.2914
104.400002	100.207	107.6336
106.000000	100.187	106.7863
107.500000	100.113	105.9320
109.000000	99.986	105.3620
110.599998	99.893	104.6048
112.000000	99.851	103.8743
113.800003	99.852	103.1681
115.000000	99.889	102.8856
117.199997	99.742	101.8934
118.000000	99.647	101.4581
120.599998	99.469	100.1089
122.000000	99.396	99.5574
124.099998	99.284	98.6090
125.000000	99.247	98.1783
126.500000	99.187	97.5310
128.000000	99.118	96.9376
131.500000	98.962	95.4216
132.000000	98.939	95.1967
134.000000	98.845	94.3630
136.000000	98.750	93.5913
138.000000	98.654	92.8146
140.000000	98.560	92.0811
143.000000	98.430	91.0558
145.000000	98.344	90.3729
147.500000	98.225	89.6341
150.000000	98.103	88.8858
152.500000	98.002	88.1129
155.000000	97.902	87.3652
157.500000	97.799	86.6559
160.000000	97.698	85.9703
162.500000	97.597	85.2989
165.000000	97.496	84.6575
167.500000	97.397	84.0396
170.000000	97.300	83.4429
172.500000	97.205	82.8684
175.000000	97.112	82.3124
177.500000	97.019	81.7750
180.000000	96.929	81.2668
182.500000	96.841	80.7775
