* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 3, 2026 1:12:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor Coreir L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.326	-174.2025
20.600000	103.333	-174.7132
20.900000	103.340	-175.2704
21.200001	103.347	-175.8464
21.400000	103.353	-176.2433
21.799999	103.364	-177.0626
22.000000	103.370	-177.4765
22.400000	103.377	-178.2838
22.700001	103.382	-178.8524
23.000000	103.386	-179.3840
23.299999	103.392	-179.8881
23.600000	103.399	179.6178
24.000000	103.408	178.9451
24.299999	103.410	178.4213
24.700001	103.404	177.7097
25.000000	103.395	177.1844
25.400000	103.383	176.5166
25.799999	103.377	175.8835
26.200001	103.382	175.2556
26.500000	103.392	174.7677
26.900000	103.408	174.0859
27.200001	103.418	173.5615
27.600000	103.426	172.8754
28.000000	103.429	172.2330
28.500000	103.431	171.4972
29.000000	103.436	170.7911
29.500000	103.440	170.0626
30.000000	103.436	169.3032
30.400000	103.427	168.6905
30.700001	103.419	168.2364
31.100000	103.408	167.6403
31.500000	103.399	167.0511
32.000000	103.393	166.3185
32.500000	103.389	165.5931
33.000000	103.385	164.8844
33.500000	103.379	164.1973
34.000000	103.370	163.5283
34.500000	103.359	162.8688
35.000000	103.349	162.2089
35.500000	103.341	161.5420
36.000000	103.339	160.8690
36.500000	103.339	160.1982
37.000000	103.338	159.5408
37.500000	103.331	158.9065
38.200001	103.308	158.0615
38.700001	103.285	157.4724
39.500000	103.252	156.4975
40.000000	103.237	155.8637
40.599998	103.225	155.1175
41.200001	103.215	154.4169
41.799999	103.200	153.7501
42.500000	103.170	152.9747
43.099998	103.142	152.2778
43.700001	103.122	151.5330
44.400002	103.106	150.6695
45.000000	103.096	150.0226
45.500000	103.086	149.5272
46.200001	103.058	148.7704
46.799999	103.016	148.0664
47.500000	102.997	147.2727
48.200001	103.065	146.2994
48.700001	103.128	145.3730
49.400002	103.135	144.0960
50.000000	103.052	143.5216
50.799999	102.931	143.4767
51.500000	102.875	143.2834
52.200001	102.826	142.6125
53.000000	102.772	141.7198
53.799999	102.752	140.9355
54.500000	102.745	140.2760
55.200001	102.733	139.6301
56.000000	102.712	138.8669
57.000000	102.661	137.8739
58.000000	102.597	136.9662
59.000000	102.554	136.0507
60.000000	102.524	135.0857
60.799999	102.498	134.3209
61.500000	102.466	133.6635
62.200001	102.429	133.0139
63.000000	102.387	132.2694
64.000000	102.338	131.3389
65.000000	102.296	130.4487
66.000000	102.259	129.5724
67.000000	102.208	128.7107
68.000000	102.150	127.8660
69.000000	102.101	126.9938
70.000000	102.061	126.1421
71.000000	102.006	125.3327
72.000000	101.943	124.4074
73.000000	101.893	123.1431
74.000000	101.831	122.0322
75.000000	101.783	121.5756
76.199997	101.739	121.1259
77.500000	101.669	120.2934
78.800003	101.621	119.2970
80.000000	101.558	118.3696
81.199997	101.477	117.5044
82.500000	101.402	116.5842
83.800003	101.338	115.6451
85.000000	101.282	114.7969
86.199997	101.222	113.9948
87.500000	101.150	113.1363
88.500000	101.098	112.4359
90.000000	101.019	111.3529
91.199997	100.950	110.5508
92.500000	100.879	109.7357
93.800003	100.810	108.9464
95.000000	100.747	108.2053
96.199997	100.685	107.4475
97.500000	100.621	106.6402
98.800003	100.559	105.8606
100.000000	100.501	105.1410
