* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 3, 2026 1:15:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor Coreir R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.821	-173.4843
20.600000	102.828	-174.0034
20.900000	102.836	-174.5697
21.200001	102.844	-175.1473
21.400000	102.851	-175.5388
21.799999	102.866	-176.3345
22.000000	102.874	-176.7345
22.400000	102.886	-177.5215
22.700001	102.891	-178.0840
23.000000	102.892	-178.6101
23.299999	102.891	-179.0970
23.600000	102.891	-179.5535
24.000000	102.899	179.8479
24.299999	102.911	179.3735
24.700001	102.930	178.6778
25.000000	102.942	178.1190
25.400000	102.946	177.3838
25.799999	102.939	176.7374
26.200001	102.932	176.2080
26.500000	102.933	175.8457
26.900000	102.944	175.2991
27.200001	102.952	174.7773
27.600000	102.946	173.9208
28.000000	102.910	172.9879
28.500000	102.835	171.9883
29.000000	102.780	171.3633
29.500000	102.792	170.9788
30.000000	102.857	170.5255
30.400000	102.911	170.0164
30.700001	102.935	169.5809
31.100000	102.942	169.0056
31.500000	102.930	168.4890
32.000000	102.913	167.8982
32.500000	102.907	167.2672
33.000000	102.906	166.5566
33.500000	102.905	165.8313
34.000000	102.904	165.1543
34.500000	102.905	164.5164
35.000000	102.900	163.8788
35.500000	102.887	163.2376
36.000000	102.868	162.6156
36.500000	102.852	162.0175
37.000000	102.844	161.4244
37.500000	102.839	160.8257
38.200001	102.831	159.9976
38.700001	102.822	159.4185
39.500000	102.804	158.4833
40.000000	102.792	157.8922
40.599998	102.776	157.1941
41.200001	102.762	156.5094
41.799999	102.745	155.8268
42.500000	102.724	155.0253
43.099998	102.707	154.3257
43.700001	102.696	153.6268
44.400002	102.690	152.8799
45.000000	102.697	152.3084
45.500000	102.710	151.8160
46.200001	102.707	151.0335
46.799999	102.670	150.3653
47.500000	102.609	149.7173
48.200001	102.565	149.1104
48.700001	102.544	148.6254
49.400002	102.513	147.9218
50.000000	102.486	147.3546
50.799999	102.452	146.5993
51.500000	102.427	145.8828
52.200001	102.412	145.1157
53.000000	102.395	144.2950
53.799999	102.367	143.6967
54.500000	102.332	143.1642
55.200001	102.249	142.5602
56.000000	102.147	142.4370
57.000000	102.301	142.6879
58.000000	102.512	141.0502
59.000000	102.342	139.0840
60.000000	102.128	138.2319
60.799999	102.077	137.4736
61.500000	102.060	136.7214
62.200001	102.044	136.0923
63.000000	102.019	135.4681
64.000000	101.974	134.6931
65.000000	101.928	133.8684
66.000000	101.879	133.0005
67.000000	101.844	132.1121
68.000000	101.808	131.2297
69.000000	101.759	130.3790
70.000000	101.711	129.4167
71.000000	101.666	128.6918
72.000000	101.571	128.2725
73.000000	101.330	128.1147
74.000000	101.165	128.0787
75.000000	101.262	126.9104
76.199997	101.377	125.0435
77.500000	101.363	124.1240
78.800003	101.292	123.1433
80.000000	101.246	122.2154
81.199997	101.189	121.4472
82.500000	101.112	120.6065
83.800003	101.039	119.7814
85.000000	100.974	119.0766
86.199997	100.905	118.3722
87.500000	100.848	117.5179
88.500000	100.807	116.7684
90.000000	100.735	115.7580
91.199997	100.676	115.0104
92.500000	100.613	114.2242
93.800003	100.553	113.4796
95.000000	100.494	112.7798
96.199997	100.430	112.0402
97.500000	100.361	111.2702
98.800003	100.299	110.5339
100.000000	100.238	109.8710
