* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 18, 2026 11:30:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor Foam L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.560	-161.9417
20.600000	102.579	-162.5722
20.900000	102.597	-163.2515
21.200001	102.613	-163.9329
21.400000	102.624	-164.3873
21.799999	102.644	-165.2940
22.000000	102.653	-165.7441
22.400000	102.672	-166.6338
22.700001	102.687	-167.2922
23.000000	102.701	-167.9453
23.299999	102.716	-168.5935
23.600000	102.729	-169.2339
24.000000	102.745	-170.0659
24.299999	102.756	-170.6678
24.700001	102.772	-171.4450
25.000000	102.785	-172.0200
25.400000	102.799	-172.7940
25.799999	102.808	-173.5804
26.200001	102.809	-174.3617
26.500000	102.809	-174.9317
26.900000	102.814	-175.6736
27.200001	102.828	-176.2366
27.600000	102.857	-177.0353
28.000000	102.890	-177.9055
28.500000	102.916	-179.0235
29.000000	102.914	179.9924
29.500000	102.896	179.2579
30.000000	102.886	178.6971
30.400000	102.889	178.2412
30.700001	102.894	177.8409
31.100000	102.898	177.2205
31.500000	102.895	176.5404
32.000000	102.884	175.6953
32.500000	102.879	174.9061
33.000000	102.883	174.1548
33.500000	102.890	173.4075
34.000000	102.892	172.6599
34.500000	102.889	171.9236
35.000000	102.883	171.2008
35.500000	102.877	170.4847
36.000000	102.872	169.7740
36.500000	102.867	169.0735
37.000000	102.862	168.3840
37.500000	102.856	167.7011
38.200001	102.844	166.7522
38.700001	102.836	166.0826
39.500000	102.825	165.0273
40.000000	102.818	164.3757
40.599998	102.810	163.6028
41.200001	102.800	162.8417
41.799999	102.787	162.0892
42.500000	102.770	161.2192
43.099998	102.755	160.4832
43.700001	102.740	159.7544
44.400002	102.724	158.9074
45.000000	102.709	158.1933
45.500000	102.697	157.6143
46.200001	102.680	156.8137
46.799999	102.663	156.1166
47.500000	102.639	155.3076
48.200001	102.622	154.5249
48.700001	102.618	153.9536
49.400002	102.613	153.1040
50.000000	102.595	152.3819
50.799999	102.553	151.5512
51.500000	102.519	150.9074
52.200001	102.492	150.2208
53.000000	102.462	149.3701
53.799999	102.433	148.5260
54.500000	102.409	147.8149
55.200001	102.386	147.1207
56.000000	102.357	146.3463
57.000000	102.316	145.4189
58.000000	102.278	144.4786
59.000000	102.240	143.4620
60.000000	102.197	142.4703
60.799999	102.165	141.7177
61.500000	102.137	141.0658
62.200001	102.108	140.4207
63.000000	102.074	139.6935
64.000000	102.032	138.7945
65.000000	101.987	137.9167
66.000000	101.942	137.0459
67.000000	101.897	136.1777
68.000000	101.851	135.3254
69.000000	101.805	134.4724
70.000000	101.758	133.6117
71.000000	101.710	132.7774
72.000000	101.665	131.9829
73.000000	101.619	131.1932
74.000000	101.572	130.3977
75.000000	101.525	129.6054
76.199997	101.466	128.6628
77.500000	101.402	127.6681
78.800003	101.338	126.6885
80.000000	101.278	125.8008
81.199997	101.218	124.9182
82.500000	101.152	123.9708
83.800003	101.086	123.0570
85.000000	101.024	122.2244
86.199997	100.960	121.3929
87.500000	100.894	120.5042
88.500000	100.845	119.8239
90.000000	100.770	118.8232
91.199997	100.708	118.0344
92.500000	100.641	117.1994
93.800003	100.574	116.3834
95.000000	100.511	115.6342
96.199997	100.448	114.8911
97.500000	100.380	114.0891
98.800003	100.310	113.2499
100.000000	100.241	112.4917
101.500000	100.164	111.6808
103.000000	100.086	110.8839
104.400002	100.010	110.1248
106.000000	99.927	109.2556
107.500000	99.848	108.4235
109.000000	99.768	107.6094
110.599998	99.685	106.7891
112.000000	99.614	106.0884
113.800003	99.523	105.2020
115.000000	99.461	104.6127
117.199997	99.345	103.5467
118.000000	99.304	103.1808
120.599998	99.172	102.0179
122.000000	99.101	101.3575
124.099998	98.995	100.3869
125.000000	98.951	99.9948
126.500000	98.879	99.3768
128.000000	98.806	98.7762
131.500000	98.624	97.2778
132.000000	98.600	97.0777
134.000000	98.506	96.2844
136.000000	98.419	95.4882
138.000000	98.325	94.7657
140.000000	98.221	94.0081
143.000000	98.072	92.8734
145.000000	97.970	92.1869
147.500000	97.839	91.3112
150.000000	97.712	90.3520
152.500000	97.603	89.6778
155.000000	97.495	88.9879
157.500000	97.385	88.3106
160.000000	97.272	87.6265
162.500000	97.161	86.9141
165.000000	97.057	86.2495
167.500000	96.951	85.6417
170.000000	96.848	85.0658
172.500000	96.752	84.4984
175.000000	96.650	83.9203
177.500000	96.547	83.3699
180.000000	96.447	82.8602
182.500000	96.348	82.3571
185.000000	96.255	81.8678
187.500000	96.163	81.3909
190.000000	96.074	80.9181
192.500000	95.986	80.4691
195.000000	95.899	80.0497
197.500000	95.814	79.6490
200.000000	95.731	79.2738
203.000000	95.630	78.8263
206.000000	95.532	78.3944
209.000000	95.437	77.9841
212.000000	95.345	77.6066
214.000000	95.284	77.3711
218.000000	95.165	76.8979
220.000000	95.107	76.6611
224.000000	94.997	76.2429
227.000000	94.916	75.9545
230.000000	94.838	75.6841
233.000000	94.761	75.4295
236.000000	94.688	75.1772
240.000000	94.593	74.8665
243.000000	94.522	74.6629
247.000000	94.434	74.4185
250.000000	94.372	74.2452
254.000000	94.288	74.0021
258.000000	94.207	73.7829
262.000000	94.132	73.5756
265.000000	94.076	73.4328
269.000000	94.005	73.2691
272.000000	93.954	73.1590
276.000000	93.888	73.0297
280.000000	93.825	72.9244
285.000000	93.750	72.8067
290.000000	93.682	72.6939
295.000000	93.621	72.6003
300.000000	93.564	72.5127
304.000000	93.518	72.4580
307.000000	93.486	72.4198
311.000000	93.445	72.3739
315.000000	93.406	72.3348
320.000000	93.358	72.2857
325.000000	93.313	72.2549
330.000000	93.270	72.2416
335.000000	93.230	72.2384
340.000000	93.192	72.2446
345.000000	93.157	72.2760
350.000000	93.124	72.3268
355.000000	93.093	72.3337
360.000000	93.065	72.3566
365.000000	93.038	72.4003
370.000000	93.012	72.4537
375.000000	92.989	72.5146
382.000000	92.959	72.6192
387.000000	92.941	72.6988
395.000000	92.915	72.8264
400.000000	92.901	72.9144
406.000000	92.884	73.0398
412.000000	92.870	73.1682
418.000000	92.859	73.3006
425.000000	92.849	73.4536
431.000000	92.842	73.5787
437.000000	92.837	73.6993
444.000000	92.831	73.8189
450.000000	92.827	73.9120
455.000000	92.827	74.0073
462.000000	92.825	74.1302
468.000000	92.820	74.2278
475.000000	92.813	74.3422
482.000000	92.804	74.4651
487.000000	92.797	74.5587
494.000000	92.786	74.7047
500.000000	92.777	74.8411
508.000000	92.765	75.0211
515.000000	92.753	75.1950
522.000000	92.740	75.3846
530.000000	92.726	75.6226
538.000000	92.712	75.8700
545.000000	92.698	76.1060
552.000000	92.685	76.3505
560.000000	92.672	76.6240
570.000000	92.654	76.9918
580.000000	92.635	77.3943
590.000000	92.618	77.8281
600.000000	92.601	78.2872
608.000000	92.590	78.6587
615.000000	92.581	78.9886
622.000000	92.572	79.3243
630.000000	92.560	79.7141
640.000000	92.544	80.2111
650.000000	92.528	80.7308
660.000000	92.511	81.2764
670.000000	92.494	81.8480
680.000000	92.479	82.4434
690.000000	92.464	83.0607
700.000000	92.451	83.6979
710.000000	92.440	84.3488
720.000000	92.428	85.0215
730.000000	92.418	85.7172
740.000000	92.410	86.4314
750.000000	92.404	87.1656
762.000000	92.397	88.0669
775.000000	92.394	89.0701
788.000000	92.396	90.0973
800.000000	92.400	91.0647
812.000000	92.408	92.0517
825.000000	92.419	93.1377
838.000000	92.435	94.2393
850.000000	92.455	95.2713
862.000000	92.478	96.3181
875.000000	92.508	97.4607
