* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 18, 2026 11:33:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor Foam R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.633	-165.1678
20.600000	102.649	-165.7522
20.900000	102.664	-166.3833
21.200001	102.680	-167.0217
21.400000	102.691	-167.4517
21.799999	102.711	-168.3189
22.000000	102.721	-168.7517
22.400000	102.738	-169.6029
22.700001	102.750	-170.2218
23.000000	102.761	-170.8235
23.299999	102.772	-171.4119
23.600000	102.782	-171.9932
24.000000	102.794	-172.7656
24.299999	102.802	-173.3448
24.700001	102.812	-174.1132
25.000000	102.819	-174.6826
25.400000	102.828	-175.4280
25.799999	102.837	-176.1570
26.200001	102.847	-176.8723
26.500000	102.854	-177.4014
26.900000	102.861	-178.0980
27.200001	102.866	-178.6139
27.600000	102.870	-179.2932
28.000000	102.874	-179.9646
28.500000	102.879	179.2032
29.000000	102.884	178.3778
29.500000	102.888	177.5656
30.000000	102.891	176.7747
30.400000	102.894	176.1573
30.700001	102.895	175.6998
31.100000	102.898	175.0919
31.500000	102.900	174.4825
32.000000	102.901	173.7213
32.500000	102.899	172.9710
33.000000	102.896	172.2405
33.500000	102.894	171.5276
34.000000	102.892	170.8236
34.500000	102.889	170.1230
35.000000	102.886	169.4274
35.500000	102.881	168.7408
36.000000	102.875	168.0643
36.500000	102.870	167.3964
37.000000	102.865	166.7358
37.500000	102.859	166.0823
38.200001	102.850	165.1783
38.700001	102.843	164.5386
39.500000	102.830	163.5249
40.000000	102.820	162.9000
40.599998	102.807	162.1598
41.200001	102.795	161.4263
41.799999	102.784	160.6979
42.500000	102.770	159.8626
43.099998	102.758	159.1632
43.700001	102.744	158.4689
44.400002	102.726	157.6547
45.000000	102.711	156.9625
45.500000	102.699	156.3959
46.200001	102.684	155.6130
46.799999	102.667	154.9511
47.500000	102.645	154.1931
48.200001	102.624	153.4083
48.700001	102.610	152.8029
49.400002	102.586	151.9374
50.000000	102.562	151.2732
50.799999	102.538	150.5412
51.500000	102.527	149.9281
52.200001	102.509	149.2575
53.000000	102.479	148.4540
53.799999	102.449	147.6454
54.500000	102.426	146.9384
55.200001	102.402	146.2466
56.000000	102.374	145.4746
57.000000	102.339	144.5121
58.000000	102.305	143.5590
59.000000	102.269	142.6293
60.000000	102.229	141.7160
60.799999	102.197	140.9874
61.500000	102.170	140.3475
62.200001	102.143	139.7099
63.000000	102.110	138.9930
64.000000	102.068	138.1203
65.000000	102.028	137.2627
66.000000	101.990	136.4058
67.000000	101.949	135.5524
68.000000	101.907	134.7093
69.000000	101.864	133.8823
70.000000	101.821	133.0715
71.000000	101.777	132.2627
72.000000	101.731	131.4692
73.000000	101.686	130.6874
74.000000	101.640	129.8937
75.000000	101.593	129.1047
76.199997	101.539	128.1830
77.500000	101.482	127.2046
78.800003	101.420	126.2449
80.000000	101.363	125.3604
81.199997	101.307	124.4847
82.500000	101.246	123.5686
83.800003	101.184	122.6609
85.000000	101.127	121.8271
86.199997	101.071	121.0135
87.500000	101.008	120.1388
88.500000	100.959	119.4670
90.000000	100.887	118.4788
91.199997	100.828	117.7148
92.500000	100.764	116.8912
93.800003	100.701	116.0677
95.000000	100.641	115.3259
96.199997	100.581	114.6044
97.500000	100.516	113.8527
98.800003	100.448	113.1568
100.000000	100.386	112.5055
101.500000	100.315	111.5531
103.000000	100.244	110.6357
104.400002	100.175	109.8521
106.000000	100.095	108.9724
107.500000	100.020	108.1707
109.000000	99.945	107.3837
110.599998	99.865	106.5580
112.000000	99.795	105.8534
113.800003	99.705	104.9681
115.000000	99.645	104.3905
117.199997	99.536	103.3629
118.000000	99.498	102.9965
120.599998	99.377	101.8407
122.000000	99.315	101.2228
124.099998	99.219	100.3083
125.000000	99.179	99.9195
126.500000	99.115	99.2708
128.000000	99.051	98.6193
131.500000	98.888	97.1173
132.000000	98.863	96.9064
134.000000	98.765	96.0535
136.000000	98.670	95.2408
138.000000	98.574	94.4916
140.000000	98.480	93.7617
143.000000	98.344	92.7081
145.000000	98.255	92.0354
147.500000	98.143	91.2810
150.000000	98.035	90.6562
152.500000	97.922	89.7213
155.000000	97.810	88.8629
157.500000	97.705	88.1260
160.000000	97.601	87.4257
162.500000	97.498	86.7266
165.000000	97.395	86.0694
167.500000	97.292	85.4415
170.000000	97.193	84.8378
172.500000	97.098	84.2474
175.000000	97.004	83.6871
177.500000	96.911	83.1501
180.000000	96.820	82.6320
182.500000	96.730	82.1304
185.000000	96.642	81.6334
187.500000	96.558	81.1591
190.000000	96.475	80.7089
192.500000	96.393	80.2686
195.000000	96.312	79.8437
197.500000	96.231	79.4489
200.000000	96.152	79.0730
203.000000	96.064	78.5816
206.000000	95.979	78.1127
209.000000	95.892	77.6855
212.000000	95.808	77.2802
214.000000	95.752	77.0219
218.000000	95.643	76.5267
220.000000	95.589	76.2915
224.000000	95.485	75.8506
227.000000	95.411	75.5364
230.000000	95.338	75.2356
233.000000	95.266	74.9573
236.000000	95.198	74.6975
240.000000	95.110	74.3763
243.000000	95.047	74.1533
247.000000	94.967	73.9000
250.000000	94.909	73.7296
254.000000	94.831	73.4275
258.000000	94.756	73.1651
262.000000	94.686	72.9390
265.000000	94.636	72.7839
269.000000	94.572	72.5978
272.000000	94.526	72.4657
276.000000	94.466	72.3048
280.000000	94.410	72.1595
285.000000	94.344	71.9884
290.000000	94.282	71.8249
295.000000	94.223	71.6819
300.000000	94.166	71.5620
304.000000	94.124	71.4822
307.000000	94.095	71.4268
311.000000	94.057	71.3583
315.000000	94.020	71.2988
320.000000	93.978	71.2298
325.000000	93.939	71.1583
330.000000	93.902	71.1017
335.000000	93.870	71.0479
340.000000	93.839	71.0009
345.000000	93.810	70.9437
350.000000	93.783	70.8966
355.000000	93.751	70.9024
360.000000	93.722	70.9131
365.000000	93.698	70.9222
370.000000	93.676	70.9297
375.000000	93.655	70.9404
382.000000	93.628	70.9700
387.000000	93.611	71.0013
395.000000	93.585	71.0454
400.000000	93.569	71.0779
406.000000	93.554	71.1193
412.000000	93.540	71.1681
418.000000	93.525	71.2204
425.000000	93.508	71.2900
431.000000	93.495	71.3553
437.000000	93.484	71.4241
444.000000	93.471	71.5089
450.000000	93.459	71.5878
455.000000	93.446	71.6545
462.000000	93.429	71.7498
468.000000	93.414	71.8601
475.000000	93.399	71.9987
482.000000	93.389	72.1312
487.000000	93.382	72.2295
494.000000	93.369	72.3801
500.000000	93.358	72.5294
508.000000	93.342	72.7254
515.000000	93.329	72.9059
522.000000	93.315	73.0963
530.000000	93.300	73.3428
538.000000	93.287	73.5915
545.000000	93.273	73.8074
552.000000	93.259	74.0358
560.000000	93.246	74.3175
570.000000	93.230	74.6805
580.000000	93.213	75.0628
590.000000	93.195	75.4614
600.000000	93.177	75.8603
608.000000	93.162	76.1951
615.000000	93.148	76.5120
622.000000	93.133	76.8419
630.000000	93.117	77.2315
640.000000	93.098	77.7436
650.000000	93.079	78.2764
660.000000	93.062	78.8275
670.000000	93.047	79.3990
680.000000	93.032	79.9874
690.000000	93.017	80.5966
700.000000	93.003	81.2260
710.000000	92.991	81.8707
720.000000	92.980	82.5338
730.000000	92.970	83.2163
740.000000	92.961	83.9226
750.000000	92.955	84.6453
762.000000	92.950	85.5280
775.000000	92.947	86.5107
788.000000	92.947	87.5252
800.000000	92.950	88.4818
812.000000	92.958	89.4521
825.000000	92.970	90.5270
838.000000	92.988	91.6192
850.000000	93.008	92.6359
862.000000	93.032	93.6664
875.000000	93.063	94.7897
885.000000	93.091	95.6567
900.000000	93.138	96.9603
912.000000	93.180	97.9957
925.000000	93.231	99.1133
938.000000	93.288	100.2214
950.000000	93.344	101.2308
962.000000	93.404	102.2305
975.000000	93.472	103.2963
988.000000	93.544	104.3359
1000.000000	93.614	105.2740
1015.000000	93.704	106.4237
1030.000000	93.796	107.5374
1044.000000	93.885	108.5404
1060.000000	93.988	109.6458
1075.000000	94.084	110.6442
1090.000000	94.180	111.6024
1106.000000	94.282	112.5862
1120.000000	94.369	113.4208
1138.000000	94.478	114.4556
1150.000000	94.549	115.1244
1172.000000	94.673	116.3208
1180.000000	94.716	116.7466
1206.000000	94.852	118.1013
1220.000000	94.921	118.8166
1241.000000	95.020	119.8820
1250.000000	95.061	120.3369
1265.000000	95.126	121.0971
1280.000000	95.189	121.8601
1315.000000	95.328	123.6434
1320.000000	95.347	123.8992
1340.000000	95.421	124.9284
1360.000000	95.492	125.9722
1380.000000	95.562	127.0302
1400.000000	95.630	128.1009
1430.000000	95.732	129.7253
1450.000000	95.800	130.8227
1475.000000	95.885	132.2059
1500.000000	95.972	133.6010
1525.000000	96.061	135.0068
1550.000000	96.152	136.4183
1575.000000	96.247	137.8309
1600.000000	96.345	139.2370
1625.000000	96.446	140.6338
1650.000000	96.551	142.0168
1675.000000	96.659	143.3860
1700.000000	96.770	144.7350
1725.000000	96.886	146.0582
1750.000000	97.005	147.3517
1775.000000	97.126	148.6091
1800.000000	97.251	149.8272
1825.000000	97.378	151.0032
1850.000000	97.507	152.1331
1875.000000	97.638	153.2102
1900.000000	97.770	154.2321
1925.000000	97.902	155.1949
1950.000000	98.034	156.0956
1975.000000	98.164	156.9355
2000.000000	98.292	157.7118
2030.000000	98.442	158.5522
2060.000000	98.585	159.2959
2090.000000	98.721	159.9437
2120.000000	98.848	160.4919
2140.000000	98.926	160.8036
2180.000000	99.064	161.3080
2200.000000	99.123	161.5051
2240.000000	99.218	161.8026
2270.000000	99.268	161.9577
2300.000000	99.299	162.0670
2330.000000	99.308	162.1436
2360.000000	99.297	162.2059
2400.000000	99.249	162.2959
2430.000000	99.190	162.3883
2470.000000	99.082	162.5711
2500.000000	98.980	162.7723
2540.000000	98.820	163.1454
2580.000000	98.637	163.6552
2620.000000	98.437	164.3178
2650.000000	98.277	164.9196
2690.000000	98.054	165.8632
2720.000000	97.884	166.6736
2760.000000	97.655	167.8836
2800.000000	97.426	169.2299
2850.000000	97.145	171.0789
2900.000000	96.874	173.0782
2950.000000	96.615	175.1882
3000.000000	96.368	177.3710
3040.000000	96.177	179.1452
3070.000000	96.037	-179.5176
3110.000000	95.852	-177.7279
3150.000000	95.667	-175.9212
3200.000000	95.434	-173.6072
3250.000000	95.201	-171.1816
3300.000000	94.977	-168.6072
3350.000000	94.773	-165.8791
3400.000000	94.603	-163.0291
3450.000000	94.478	-160.1244
3500.000000	94.405	-157.2793
3550.000000	94.381	-154.5955
3600.000000	94.401	-152.1436
3650.000000	94.460	-149.9813
3700.000000	94.554	-148.1612
3750.000000	94.678	-146.7373
3820.000000	94.890	-145.5185
3870.000000	95.058	-145.2773
3950.000000	95.321	-146.1189
4000.000000	95.457	-147.4609
4060.000000	95.559	-149.8806
4120.000000	95.562	-153.0726
4180.000000	95.439	-156.8319
4250.000000	95.118	-161.5558
4310.000000	94.696	-165.5487
4370.000000	94.164	-169.2212
4440.000000	93.449	-172.8887
4500.000000	92.802	-175.4289
4550.000000	92.264	-177.1246
4620.000000	91.549	-178.9193
4680.000000	90.996	179.9942
4750.000000	90.445	179.1389
4820.000000	90.015	178.6217
4870.000000	89.789	178.4068
4940.000000	89.590	178.2645
5000.000000	89.533	178.2539
5080.000000	89.619	178.3226
5150.000000	89.841	178.3718
5220.000000	90.190	178.3079
5300.000000	90.726	177.9432
5380.000000	91.377	177.0446
5450.000000	92.005	175.6205
5520.000000	92.638	173.4513
5600.000000	93.294	169.9925
5700.000000	93.879	164.4585
5800.000000	94.086	158.4491
5900.000000	93.888	153.2551
6000.000000	93.386	150.0226
6080.000000	92.863	149.1152
6150.000000	92.371	149.5271
6220.000000	91.880	150.9660
6300.000000	91.351	153.6901
6400.000000	90.767	158.3929
6500.000000	90.286	164.1920
6600.000000	89.914	170.7830
6700.000000	89.651	177.9232
6800.000000	89.491	-174.5735
6900.000000	89.426	-166.8558
7000.000000	89.451	-159.0373
7100.000000	89.561	-151.2328
7200.000000	89.749	-143.5771
7300.000000	90.006	-136.1715
7400.000000	90.325	-129.1039
7500.000000	90.699	-122.5132
7620.000000	91.188	-115.5387
7750.000000	91.690	-109.1938
7880.000000	92.113	-104.0124
8000.000000	92.373	-100.2210
8120.000000	92.452	-97.0589
8250.000000	92.304	-93.7438
8380.000000	91.935	-89.9194
8500.000000	91.451	-85.5607
8620.000000	90.887	-80.2873
8750.000000	90.244	-73.6114
8850.000000	89.749	-67.9015
9000.000000	89.031	-58.5391
