* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 3, 2026 12:46:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor Origin R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.141	-173.8381
20.600000	102.147	-174.3406
20.900000	102.154	-174.8776
21.200001	102.162	-175.4180
21.400000	102.169	-175.7842
21.799999	102.186	-176.5398
22.000000	102.194	-176.9294
22.400000	102.207	-177.7200
22.700001	102.212	-178.3051
23.000000	102.211	-178.8652
23.299999	102.206	-179.3888
23.600000	102.202	-179.8746
24.000000	102.201	179.5147
24.299999	102.206	179.0579
24.700001	102.217	178.4172
25.000000	102.224	177.9106
25.400000	102.226	177.2311
25.799999	102.220	176.5966
26.200001	102.211	176.0286
26.500000	102.208	175.6209
26.900000	102.211	175.0316
27.200001	102.212	174.5155
27.600000	102.202	173.7271
28.000000	102.171	172.9044
28.500000	102.113	172.0172
29.000000	102.074	171.3979
29.500000	102.086	170.9205
30.000000	102.139	170.3526
30.400000	102.185	169.7709
30.700001	102.209	169.2920
31.100000	102.224	168.6652
31.500000	102.224	168.1057
32.000000	102.220	167.4994
32.500000	102.218	166.9222
33.000000	102.212	166.3156
33.500000	102.200	165.6857
34.000000	102.182	165.0563
34.500000	102.167	164.4245
35.000000	102.157	163.7710
35.500000	102.152	163.0957
36.000000	102.147	162.4268
36.500000	102.141	161.7979
37.000000	102.136	161.2195
37.500000	102.129	160.6705
38.200001	102.113	159.8938
38.700001	102.097	159.3207
39.500000	102.072	158.3951
40.000000	102.063	157.8091
40.599998	102.055	157.0990
41.200001	102.042	156.4182
41.799999	102.026	155.7858
42.500000	102.008	155.0540
43.099998	101.990	154.4017
43.700001	101.973	153.7479
44.400002	101.958	152.9763
45.000000	101.942	152.3035
45.500000	101.922	151.7838
46.200001	101.896	151.1428
46.799999	101.887	150.5372
47.500000	101.862	149.6848
48.200001	101.807	148.9816
48.700001	101.782	148.6825
49.400002	101.795	148.2599
50.000000	101.814	147.6078
50.799999	101.779	146.5151
51.500000	101.721	145.7422
52.200001	101.695	145.1191
53.000000	101.683	144.3822
53.799999	101.654	143.6044
54.500000	101.609	142.8397
55.200001	101.551	142.0827
56.000000	101.528	141.5403
57.000000	101.640	140.9970
58.000000	101.694	139.8474
59.000000	101.542	138.7943
60.000000	101.381	138.0780
60.799999	101.318	137.5013
61.500000	101.309	137.0589
62.200001	101.333	136.5674
63.000000	101.351	135.7283
64.000000	101.291	134.5108
65.000000	101.199	133.6427
66.000000	101.154	132.9906
67.000000	101.146	132.1578
68.000000	101.115	131.1008
69.000000	101.029	130.2253
70.000000	100.942	129.7153
71.000000	100.891	129.2118
72.000000	100.865	128.5558
73.000000	100.851	127.8425
74.000000	100.838	127.1015
75.000000	100.805	126.2475
76.199997	100.723	125.1837
77.500000	100.641	124.1878
78.800003	100.570	123.1763
80.000000	100.501	122.3142
81.199997	100.447	121.5333
82.500000	100.391	120.6851
83.800003	100.333	119.8510
85.000000	100.270	119.1579
86.199997	100.196	118.6035
87.500000	100.134	117.8323
88.500000	100.089	117.0571
90.000000	100.011	116.0206
91.199997	99.940	115.2630
92.500000	99.865	114.4224
93.800003	99.795	113.5840
95.000000	99.730	112.8684
96.199997	99.667	112.2229
97.500000	99.605	111.5813
98.800003	99.538	110.9245
100.000000	99.468	110.2820
101.500000	99.381	109.4389
103.000000	99.304	108.6327
104.400002	99.233	107.9374
106.000000	99.137	107.1251
107.500000	99.045	106.3232
109.000000	98.964	105.5699
110.599998	98.885	104.9413
112.000000	98.824	104.4896
113.800003	98.716	103.6997
115.000000	98.639	102.9004
117.199997	98.581	102.2767
118.000000	98.566	102.2137
120.599998	98.477	101.3247
122.000000	98.445	100.8378
124.099998	98.381	100.0569
125.000000	98.355	99.6624
126.500000	98.314	99.0309
128.000000	98.267	98.3573
131.500000	98.146	96.6561
132.000000	98.127	96.4245
134.000000	98.048	95.5284
136.000000	97.961	94.6159
138.000000	97.865	93.7652
140.000000	97.762	93.0147
143.000000	97.629	91.8841
145.000000	97.540	91.1816
147.500000	97.425	90.2773
150.000000	97.312	89.4676
152.500000	97.198	88.6020
155.000000	97.091	87.8339
157.500000	96.982	87.0826
160.000000	96.874	86.3987
162.500000	96.772	85.7416
165.000000	96.676	85.1059
167.500000	96.579	84.4641
170.000000	96.480	83.8614
172.500000	96.381	83.2893
175.000000	96.288	82.7394
177.500000	96.198	82.2215
180.000000	96.110	81.6932
182.500000	96.023	81.1558
185.000000	95.933	80.6534
187.500000	95.845	80.2025
190.000000	95.761	79.7648
192.500000	95.678	79.3423
195.000000	95.597	78.9338
197.500000	95.518	78.5393
200.000000	95.442	78.1667
203.000000	95.349	77.7458
206.000000	95.258	77.3449
209.000000	95.171	76.9550
212.000000	95.086	76.5826
214.000000	95.031	76.3439
218.000000	94.926	75.8943
220.000000	94.874	75.6883
224.000000	94.774	75.2997
227.000000	94.701	75.0258
230.000000	94.630	74.7501
233.000000	94.561	74.4890
236.000000	94.496	74.2574
240.000000	94.410	73.9652
243.000000	94.348	73.7652
247.000000	94.274	73.5188
250.000000	94.221	73.3165
254.000000	94.143	73.1086
258.000000	94.067	72.9554
262.000000	94.004	72.8172
265.000000	93.964	72.7156
269.000000	93.911	72.5575
272.000000	93.871	72.4283
276.000000	93.816	72.2870
280.000000	93.766	72.1693
285.000000	93.706	72.0535
290.000000	93.649	71.9540
295.000000	93.601	71.9109
300.000000	93.565	71.8702
304.000000	93.532	71.7597
307.000000	93.505	71.6583
311.000000	93.472	71.5420
315.000000	93.439	71.5146
320.000000	93.406	71.4430
325.000000	93.375	71.3469
330.000000	93.344	71.2789
335.000000	93.316	71.2285
340.000000	93.289	71.1928
345.000000	93.260	71.1484
350.000000	93.233	71.1020
355.000000	93.212	71.0853
360.000000	93.192	71.0795
365.000000	93.172	71.0795
370.000000	93.154	71.0851
375.000000	93.135	71.0964
382.000000	93.111	71.1166
387.000000	93.095	71.1397
395.000000	93.070	71.1840
400.000000	93.056	71.2196
406.000000	93.042	71.2642
412.000000	93.028	71.3137
418.000000	93.014	71.3758
425.000000	92.998	71.4603
431.000000	92.986	71.5355
437.000000	92.973	71.6197
444.000000	92.961	71.7372
450.000000	92.951	71.8481
455.000000	92.942	71.9280
462.000000	92.929	72.0465
468.000000	92.920	72.1614
475.000000	92.909	72.3014
482.000000	92.898	72.4471
487.000000	92.890	72.5603
494.000000	92.879	72.7238
500.000000	92.869	72.8731
508.000000	92.857	73.0899
515.000000	92.848	73.2816
522.000000	92.838	73.4806
530.000000	92.825	73.7230
538.000000	92.812	73.9749
545.000000	92.801	74.2045
552.000000	92.791	74.4492
560.000000	92.778	74.7343
570.000000	92.762	75.1101
580.000000	92.745	75.4988
590.000000	92.728	75.9102
600.000000	92.712	76.3426
608.000000	92.699	76.7050
615.000000	92.687	77.0311
622.000000	92.676	77.3678
630.000000	92.663	77.7653
640.000000	92.647	78.2774
650.000000	92.631	78.8065
660.000000	92.616	79.3554
670.000000	92.601	79.9273
680.000000	92.587	80.5187
690.000000	92.573	81.1266
700.000000	92.560	81.7540
710.000000	92.549	82.4032
720.000000	92.538	83.0703
730.000000	92.529	83.7538
740.000000	92.522	84.4513
750.000000	92.516	85.1686
762.000000	92.510	86.0595
775.000000	92.508	87.0418
788.000000	92.508	88.0481
800.000000	92.511	88.9959
812.000000	92.518	89.9653
825.000000	92.530	91.0315
838.000000	92.546	92.1096
850.000000	92.564	93.1141
862.000000	92.586	94.1329
875.000000	92.614	95.2441
885.000000	92.639	96.1002
900.000000	92.682	97.3872
912.000000	92.722	98.4137
925.000000	92.768	99.5171
938.000000	92.819	100.6147
950.000000	92.869	101.6224
962.000000	92.923	102.6044
975.000000	92.985	103.6508
988.000000	93.050	104.6841
1000.000000	93.112	105.6195
1015.000000	93.192	106.7601
1030.000000	93.274	107.8664
1044.000000	93.352	108.8725
1060.000000	93.440	109.9893
1075.000000	93.523	111.0063
1090.000000	93.604	112.0031
1106.000000	93.691	113.0553
1120.000000	93.767	113.9647
1138.000000	93.868	115.1092
1150.000000	93.937	115.8466
1172.000000	94.061	117.1216
1180.000000	94.104	117.5574
1206.000000	94.232	118.9164
1220.000000	94.293	119.6377
1241.000000	94.376	120.7261
1250.000000	94.410	121.1967
1265.000000	94.464	121.9893
1280.000000	94.516	122.7946
1315.000000	94.626	124.7184
1320.000000	94.641	124.9997
1340.000000	94.700	126.1458
1360.000000	94.761	127.3229
1380.000000	94.824	128.5117
1400.000000	94.890	129.6874
1430.000000	94.987	131.4272
1450.000000	95.048	132.5882
1475.000000	95.120	134.0711
1500.000000	95.194	135.6093
1525.000000	95.276	137.1809
1550.000000	95.372	138.7223
1575.000000	95.477	140.1962
1600.000000	95.576	141.6104
1625.000000	95.670	142.9849
1650.000000	95.761	144.3577
1675.000000	95.850	145.7358
1700.000000	95.936	147.1188
1725.000000	96.024	148.5123
1750.000000	96.114	149.9165
1775.000000	96.209	151.3270
1800.000000	96.313	152.7308
1825.000000	96.425	154.0803
1850.000000	96.539	155.3440
1875.000000	96.649	156.5406
1900.000000	96.752	157.7203
1925.000000	96.854	158.9247
1950.000000	96.964	160.1632
1975.000000	97.090	161.3889
2000.000000	97.235	162.5018
2030.000000	97.417	163.5806
2060.000000	97.585	164.3762
2090.000000	97.724	164.9970
2120.000000	97.838	165.5605
2140.000000	97.905	165.9286
2180.000000	98.035	166.5523
2200.000000	98.092	166.7394
2240.000000	98.163	166.8364
2270.000000	98.156	166.7905
2300.000000	98.094	166.7930
2330.000000	97.985	166.9562
2360.000000	97.839	167.3675
2400.000000	97.608	168.4221
2430.000000	97.435	169.6417
2470.000000	97.251	171.7490
2500.000000	97.166	173.4919
2540.000000	97.118	175.7137
2580.000000	97.114	177.6548
2620.000000	97.128	179.2396
2650.000000	97.130	-179.8324
2690.000000	97.093	-178.8362
2720.000000	97.026	-178.1240
2760.000000	96.898	-177.0376
2800.000000	96.748	-175.7138
2850.000000	96.561	-173.7781
2900.000000	96.395	-171.6920
2950.000000	96.248	-169.6287
3000.000000	96.100	-167.6720
3040.000000	95.969	-166.1539
3070.000000	95.861	-165.0076
3110.000000	95.705	-163.4236
3150.000000	95.540	-161.7349
3200.000000	95.334	-159.4668
3250.000000	95.138	-157.0573
3300.000000	94.955	-154.5317
3350.000000	94.790	-151.8802
3400.000000	94.654	-149.1096
3450.000000	94.559	-146.2886
3500.000000	94.511	-143.5116
3550.000000	94.513	-140.8646
3600.000000	94.562	-138.4376
3650.000000	94.653	-136.3088
3700.000000	94.781	-134.5389
3750.000000	94.940	-133.1873
3820.000000	95.202	-132.1271
3870.000000	95.404	-132.0490
3950.000000	95.710	-133.2447
4000.000000	95.862	-134.8439
4060.000000	95.969	-137.5751
4120.000000	95.960	-141.0461
4180.000000	95.811	-144.9998
4250.000000	95.449	-149.7943
4310.000000	94.991	-153.7068
4370.000000	94.430	-157.1773
4440.000000	93.698	-160.4865
4500.000000	93.051	-162.6591
4550.000000	92.526	-164.0264
4620.000000	91.845	-165.3559
4680.000000	91.336	-166.0536
4750.000000	90.851	-166.4646
4820.000000	90.499	-166.5406
4870.000000	90.338	-166.4402
4940.000000	90.241	-166.1454
5000.000000	90.281	-165.7960
5080.000000	90.508	-165.2859
5150.000000	90.864	-164.9083
5220.000000	91.358	-164.7334
5300.000000	92.068	-164.9994
5380.000000	92.895	-166.0595
5450.000000	93.662	-167.8894
5520.000000	94.403	-170.7245
5600.000000	95.118	-175.1753
5700.000000	95.653	178.0763
5800.000000	95.701	171.4458
5900.000000	95.315	166.5734
6000.000000	94.682	164.4347
6080.000000	94.116	164.6761
6150.000000	93.630	166.1477
6220.000000	93.182	168.6202
6300.000000	92.737	172.4440
6400.000000	92.301	178.3643
6500.000000	92.007	-174.8062
6600.000000	91.858	-167.3666
6700.000000	91.849	-159.5577
6800.000000	91.980	-151.5980
6900.000000	92.248	-143.6920
7000.000000	92.652	-136.0581
7100.000000	93.188	-128.9568
7200.000000	93.845	-122.7328
7300.000000	94.594	-117.8117
7400.000000	95.369	-114.6439
7500.000000	96.059	-113.5421
7620.000000	96.563	-114.7303
7750.000000	96.492	-117.4645
7880.000000	95.762	-119.1264
8000.000000	94.689	-118.0500
8120.000000	93.464	-114.0890
8250.000000	92.162	-107.0855
8380.000000	90.991	-98.1054
8500.000000	90.055	-88.7094
8620.000000	89.255	-78.6822
8750.000000	88.529	-67.4483
8850.000000	88.057	-58.7052
9000.000000	87.459	-45.5283
9120.000000	87.071	-34.8070
9250.000000	86.789	-22.9610
9380.000000	86.681	-11.5984
9500.000000	86.675	-2.0573
9620.000000	86.701	6.6730
9750.000000	86.735	15.3573
9880.000000	86.755	23.2874
10000.000000	86.734	30.0159
10150.000000	86.622	37.8620
10300.000000	86.390	45.5034
10440.000000	86.064	52.9423
10600.000000	85.611	62.4540
10750.000000	85.208	72.7817
