* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 11, 2025 2:40:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.497	-174.3844
20.600000	102.514	-174.8882
20.900000	102.531	-175.4342
21.200001	102.546	-175.9892
21.400000	102.556	-176.3644
21.799999	102.576	-177.1242
22.000000	102.585	-177.5046
22.400000	102.603	-178.2543
22.700001	102.616	-178.8001
23.000000	102.630	-179.3301
23.299999	102.643	-179.8471
23.600000	102.657	179.6446
24.000000	102.674	178.9736
24.299999	102.686	178.4727
24.700001	102.701	177.8055
25.000000	102.710	177.3048
25.400000	102.720	176.6353
25.799999	102.729	175.9652
26.200001	102.736	175.3023
26.500000	102.741	174.8163
26.900000	102.749	174.1881
27.200001	102.756	173.7282
27.600000	102.770	173.1150
28.000000	102.784	172.4838
28.500000	102.798	171.6652
29.000000	102.801	170.8549
29.500000	102.798	170.1109
30.000000	102.798	169.4420
30.400000	102.803	168.9293
30.700001	102.807	168.5397
31.100000	102.810	168.0067
31.500000	102.808	167.4641
32.000000	102.802	166.7805
32.500000	102.799	166.0775
33.000000	102.801	165.3466
33.500000	102.804	164.6309
34.000000	102.807	163.9861
34.500000	102.815	163.3981
35.000000	102.818	162.7891
35.500000	102.807	162.1252
36.000000	102.783	161.4540
36.500000	102.771	160.8052
37.000000	102.788	160.1243
37.500000	102.814	159.3976
38.200001	102.804	158.6817
38.700001	102.773	158.6958
39.500000	102.798	159.0429
40.000000	102.851	158.6404
40.599998	102.859	157.2869
41.200001	102.781	155.6702
41.799999	102.700	154.4742
42.500000	102.692	153.5858
43.099998	102.717	152.9056
43.700001	102.713	152.2570
44.400002	102.680	151.5886
45.000000	102.660	150.9554
45.500000	102.648	150.3413
46.200001	102.633	149.4947
46.799999	102.627	148.8732
47.500000	102.616	148.1946
48.200001	102.583	147.5299
48.700001	102.552	147.0992
49.400002	102.524	146.5100
50.000000	102.521	145.8996
50.799999	102.518	144.9138
51.500000	102.501	144.0682
52.200001	102.480	143.3322
53.000000	102.459	142.5431
53.799999	102.433	141.7554
54.500000	102.409	141.0772
55.200001	102.389	140.3980
56.000000	102.366	139.6274
57.000000	102.334	138.7034
58.000000	102.299	137.7657
59.000000	102.257	136.8297
60.000000	102.222	135.9279
60.799999	102.198	135.1902
61.500000	102.174	134.5419
62.200001	102.148	133.9112
63.000000	102.120	133.2047
64.000000	102.083	132.3223
65.000000	102.042	131.4511
66.000000	101.998	130.5935
67.000000	101.957	129.7396
68.000000	101.918	128.8908
69.000000	101.878	128.0766
70.000000	101.838	127.2817
71.000000	101.796	126.4633
72.000000	101.752	125.6414
73.000000	101.707	124.8486
74.000000	101.664	124.0668
75.000000	101.623	123.2824
76.199997	101.572	122.3590
77.500000	101.511	121.3405
78.800003	101.466	120.1778
80.000000	101.417	119.1553
81.199997	101.357	118.4399
82.500000	101.292	117.6323
83.800003	101.226	116.7124
85.000000	101.168	115.8864
86.199997	101.111	115.0668
87.500000	101.053	114.1655
88.500000	101.011	113.4929
90.000000	100.944	112.4990
91.199997	100.887	111.6888
92.500000	100.823	110.8282
93.800003	100.760	110.0021
95.000000	100.703	109.2572
96.199997	100.648	108.5313
97.500000	100.590	107.6833
98.800003	100.536	106.7619
100.000000	100.479	106.0150
101.500000	100.394	105.3179
103.000000	100.309	104.5278
104.400002	100.240	103.6956
106.000000	100.169	102.7510
107.500000	100.091	101.9238
109.000000	100.016	101.1687
110.599998	99.932	100.3217
112.000000	99.860	99.5727
113.800003	99.765	98.8253
115.000000	99.694	98.2446
117.199997	99.500	96.9940
118.000000	99.344	96.1956
120.599998	99.056	94.5704
122.000000	99.301	94.8422
124.099998	99.405	94.2764
125.000000	99.389	93.7840
126.500000	99.344	92.9985
128.000000	99.283	92.2129
131.500000	99.121	90.5172
132.000000	99.097	90.2892
134.000000	99.005	89.4033
136.000000	98.916	88.5483
138.000000	98.844	87.7395
140.000000	98.776	86.9474
143.000000	98.626	85.8083
145.000000	98.534	85.0771
147.500000	98.431	84.2233
150.000000	98.332	83.3753
152.500000	98.241	82.4731
155.000000	98.152	81.5924
157.500000	98.055	80.5717
160.000000	97.952	79.5105
162.500000	97.851	79.1341
165.000000	97.756	78.6012
167.500000	97.658	77.9207
170.000000	97.563	77.2576
172.500000	97.471	76.6533
175.000000	97.380	76.0599
177.500000	97.294	75.4086
180.000000	97.208	74.7870
182.500000	97.121	74.2516
185.000000	97.041	73.7183
187.500000	96.968	73.2385
190.000000	96.899	72.7423
192.500000	96.826	72.1655
195.000000	96.753	71.5725
197.500000	96.681	70.9962
200.000000	96.613	70.4661
203.000000	96.528	69.9492
206.000000	96.442	69.4420
209.000000	96.359	68.9358
212.000000	96.280	68.4248
214.000000	96.230	68.0992
218.000000	96.135	67.5059
220.000000	96.090	67.2253
224.000000	96.000	66.6798
227.000000	95.935	66.2792
230.000000	95.874	65.8937
233.000000	95.816	65.5229
236.000000	95.760	65.1600
240.000000	95.686	64.6863
243.000000	95.629	64.3434
247.000000	95.562	63.9188
250.000000	95.517	63.5883
254.000000	95.451	63.1881
258.000000	95.386	62.8342
262.000000	95.326	62.4689
265.000000	95.285	62.1983
269.000000	95.231	61.8636
272.000000	95.192	61.6248
276.000000	95.143	61.3092
280.000000	95.095	60.9992
285.000000	95.039	60.6457
290.000000	94.987	60.3112
295.000000	94.939	59.9834
300.000000	94.894	59.6695
304.000000	94.860	59.4362
307.000000	94.836	59.2654
311.000000	94.806	59.0408
315.000000	94.778	58.8232
320.000000	94.745	58.5619
325.000000	94.715	58.3120
330.000000	94.687	58.0703
335.000000	94.661	57.8328
340.000000	94.637	57.5984
345.000000	94.617	57.3716
350.000000	94.599	57.1528
355.000000	94.578	56.9590
360.000000	94.557	56.7689
365.000000	94.539	56.5677
370.000000	94.524	56.3746
375.000000	94.511	56.1880
382.000000	94.493	55.9363
387.000000	94.481	55.7647
395.000000	94.465	55.4925
400.000000	94.456	55.3343
406.000000	94.444	55.1509
412.000000	94.433	54.9692
418.000000	94.424	54.7945
425.000000	94.416	54.6016
431.000000	94.410	54.4381
437.000000	94.404	54.2769
444.000000	94.397	54.1168
450.000000	94.390	53.9922
455.000000	94.386	53.8453
462.000000	94.380	53.6424
468.000000	94.374	53.4927
475.000000	94.366	53.3324
482.000000	94.357	53.1875
487.000000	94.350	53.0887
