* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 3, 2026 9:09:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor SE100 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.664	-174.4497
20.600000	103.670	-174.9643
20.900000	103.675	-175.5177
21.200001	103.679	-176.0747
21.400000	103.682	-176.4491
21.799999	103.691	-177.2066
22.000000	103.696	-177.5879
22.400000	103.706	-178.3474
22.700001	103.715	-178.9077
23.000000	103.723	-179.4564
23.299999	103.730	-179.9939
23.600000	103.736	179.4773
24.000000	103.743	178.7804
24.299999	103.747	178.2616
24.700001	103.750	177.5756
25.000000	103.751	177.0673
25.400000	103.751	176.4001
25.799999	103.753	175.7447
26.200001	103.755	175.0974
26.500000	103.756	174.6151
26.900000	103.758	173.9759
27.200001	103.759	173.5006
27.600000	103.758	172.8749
28.000000	103.758	172.2595
28.500000	103.757	171.5013
29.000000	103.757	170.7480
29.500000	103.756	169.9955
30.000000	103.753	169.2485
30.400000	103.749	168.6603
30.700001	103.746	168.2265
31.100000	103.741	167.6577
31.500000	103.736	167.0979
32.000000	103.732	166.4061
32.500000	103.728	165.7200
33.000000	103.724	165.0391
33.500000	103.719	164.3640
34.000000	103.712	163.6940
34.500000	103.704	163.0271
35.000000	103.695	162.3635
35.500000	103.686	161.7055
36.000000	103.676	161.0554
36.500000	103.667	160.4140
37.000000	103.658	159.7805
37.500000	103.648	159.1542
38.200001	103.631	158.2890
38.700001	103.619	157.6765
39.500000	103.602	156.7009
40.000000	103.591	156.0963
40.599998	103.578	155.3850
41.200001	103.564	154.6936
41.799999	103.549	154.0105
42.500000	103.530	153.1994
43.099998	103.511	152.4971
43.700001	103.491	151.8126
44.400002	103.470	151.0362
45.000000	103.453	150.3645
45.500000	103.436	149.8037
46.200001	103.410	149.0439
46.799999	103.393	148.3966
47.500000	103.373	147.6071
48.200001	103.339	146.8719
48.700001	103.314	146.4439
49.400002	103.295	145.8887
50.000000	103.291	145.2881
50.799999	103.266	144.2952
51.500000	103.226	143.4650
52.200001	103.193	142.7486
53.000000	103.166	141.9587
53.799999	103.136	141.1697
54.500000	103.108	140.4935
55.200001	103.080	139.8152
56.000000	103.046	139.0520
57.000000	103.003	138.1321
58.000000	102.958	137.2097
59.000000	102.912	136.3017
60.000000	102.870	135.4156
60.799999	102.837	134.7127
61.500000	102.808	134.1023
62.200001	102.780	133.4967
63.000000	102.748	132.8050
64.000000	102.711	131.9306
65.000000	102.674	131.0499
66.000000	102.635	130.1697
67.000000	102.592	129.2886
68.000000	102.545	128.4141
69.000000	102.497	127.5606
70.000000	102.450	126.7276
71.000000	102.401	125.9042
72.000000	102.346	125.0703
73.000000	102.290	124.2403
74.000000	102.242	123.4385
75.000000	102.200	122.6559
76.199997	102.144	121.7602
77.500000	102.075	120.8059
78.800003	102.005	119.8366
80.000000	101.946	118.9509
81.199997	101.886	118.0730
82.500000	101.819	117.1409
83.800003	101.752	116.2291
85.000000	101.691	115.4106
86.199997	101.630	114.5915
87.500000	101.568	113.7043
88.500000	101.521	113.0291
90.000000	101.448	112.0270
91.199997	101.388	111.2151
92.500000	101.323	110.3465
93.800003	101.256	109.4970
95.000000	101.192	108.7313
96.199997	101.128	107.9754
97.500000	101.058	107.1728
98.800003	100.987	106.4072
100.000000	100.923	105.6904
101.500000	100.838	104.7585
103.000000	100.754	103.8690
104.400002	100.675	103.0842
106.000000	100.581	102.2054
107.500000	100.494	101.4203
109.000000	100.412	100.6977
110.599998	100.322	99.9735
112.000000	100.241	99.3787
113.800003	100.146	98.6638
115.000000	100.098	98.2028
117.199997	100.038	97.3228
118.000000	100.023	96.9632
120.599998	99.960	95.5660
122.000000	99.908	94.7448
124.099998	99.816	93.5313
125.000000	99.772	93.0341
126.500000	99.695	92.2490
128.000000	99.616	91.4968
131.500000	99.432	89.8727
132.000000	99.406	89.6513
134.000000	99.304	88.7669
136.000000	99.204	87.9302
138.000000	99.106	87.1516
140.000000	99.008	86.3802
143.000000	98.862	85.2444
145.000000	98.765	84.5179
147.500000	98.640	83.6445
150.000000	98.511	82.7984
152.500000	98.415	81.9357
155.000000	98.314	81.1228
157.500000	98.206	80.3414
160.000000	98.099	79.5844
162.500000	97.993	78.8577
165.000000	97.890	78.1548
167.500000	97.789	77.4669
170.000000	97.687	76.7923
172.500000	97.587	76.1495
175.000000	97.491	75.5297
177.500000	97.397	74.9389
180.000000	97.306	74.3779
182.500000	97.216	73.8187
185.000000	97.125	73.2747
187.500000	97.036	72.7592
190.000000	96.951	72.2639
192.500000	96.869	71.7874
195.000000	96.789	71.3261
197.500000	96.713	70.8557
200.000000	96.640	70.3931
203.000000	96.551	69.9191
206.000000	96.465	69.4507
209.000000	96.382	68.9742
212.000000	96.300	68.5057
214.000000	96.247	68.2017
218.000000	96.144	67.6180
220.000000	96.093	67.3383
224.000000	95.992	66.8004
227.000000	95.920	66.4189
230.000000	95.850	66.0556
233.000000	95.782	65.7094
236.000000	95.716	65.3783
240.000000	95.633	64.9564
243.000000	95.573	64.6542
247.000000	95.496	64.2843
250.000000	95.439	64.0235
254.000000	95.368	63.6471
258.000000	95.301	63.2997
262.000000	95.236	62.9832
265.000000	95.189	62.7587
269.000000	95.130	62.4734
272.000000	95.088	62.2676
276.000000	95.034	62.0029
280.000000	94.983	61.7510
285.000000	94.922	61.4507
290.000000	94.864	61.1721
295.000000	94.811	60.9151
300.000000	94.761	60.6839
304.000000	94.724	60.5066
307.000000	94.697	60.3839
311.000000	94.665	60.2365
315.000000	94.636	60.0975
320.000000	94.605	59.9234
325.000000	94.578	59.7508
330.000000	94.554	59.5720
335.000000	94.533	59.3986
340.000000	94.513	59.2251
345.000000	94.498	59.0488
350.000000	94.485	58.8733
355.000000	94.467	58.7099
360.000000	94.452	58.5497
365.000000	94.439	58.3945
370.000000	94.429	58.2526
375.000000	94.421	58.1193
382.000000	94.414	57.9308
387.000000	94.413	57.7906
395.000000	94.415	57.5390
400.000000	94.416	57.3653
406.000000	94.417	57.1504
412.000000	94.416	56.9293
418.000000	94.413	56.7109
425.000000	94.409	56.4636
431.000000	94.403	56.2640
437.000000	94.396	56.0748
444.000000	94.390	55.8612
450.000000	94.385	55.6856
455.000000	94.378	55.5643
462.000000	94.368	55.4066
468.000000	94.361	55.2765
475.000000	94.354	55.1340
482.000000	94.347	55.0022
487.000000	94.343	54.9148
494.000000	94.336	54.8020
500.000000	94.331	54.7096
508.000000	94.325	54.5844
515.000000	94.319	54.4803
522.000000	94.312	54.3915
530.000000	94.304	54.3113
538.000000	94.298	54.2449
545.000000	94.293	54.2030
552.000000	94.287	54.1549
560.000000	94.277	54.0805
570.000000	94.265	54.0223
580.000000	94.253	53.9916
590.000000	94.240	53.9803
600.000000	94.226	53.9890
608.000000	94.214	54.0139
615.000000	94.203	54.0480
622.000000	94.192	54.0934
630.000000	94.180	54.1583
640.000000	94.164	54.2579
650.000000	94.148	54.3849
660.000000	94.133	54.5353
670.000000	94.119	54.7037
680.000000	94.106	54.8927
690.000000	94.092	55.1001
700.000000	94.080	55.3306
710.000000	94.068	55.5868
720.000000	94.057	55.8636
730.000000	94.047	56.1595
740.000000	94.039	56.4753
750.000000	94.033	56.8100
762.000000	94.028	57.2344
775.000000	94.024	57.7250
788.000000	94.025	58.2410
800.000000	94.029	58.7457
812.000000	94.036	59.2702
825.000000	94.049	59.8559
838.000000	94.066	60.4602
850.000000	94.086	61.0337
862.000000	94.110	61.6164
875.000000	94.142	62.2560
885.000000	94.171	62.7536
900.000000	94.219	63.5073
912.000000	94.262	64.1086
925.000000	94.314	64.7534
938.000000	94.372	65.3871
950.000000	94.429	65.9612
962.000000	94.491	66.5253
975.000000	94.561	67.1176
988.000000	94.635	67.6870
1000.000000	94.707	68.1917
1015.000000	94.800	68.7911
1030.000000	94.896	69.3552
1044.000000	94.988	69.8468
1060.000000	95.095	70.3724
1075.000000	95.197	70.8291
1090.000000	95.299	71.2436
1106.000000	95.406	71.6420
1120.000000	95.499	71.9580
1138.000000	95.615	72.3243
1150.000000	95.691	72.5467
1172.000000	95.825	72.9113
1180.000000	95.872	73.0337
1206.000000	96.019	73.4032
1220.000000	96.094	73.5850
1241.000000	96.201	73.8445
1250.000000	96.244	73.9523
1265.000000	96.315	74.1277
1280.000000	96.384	74.3040
1315.000000	96.533	74.7343
1320.000000	96.553	74.7986
1340.000000	96.634	75.0622
1360.000000	96.713	75.3307
1380.000000	96.790	75.6036
1400.000000	96.864	75.8863
1430.000000	96.975	76.3314
1450.000000	97.048	76.6415
1475.000000	97.140	77.0414
1500.000000	97.233	77.4542
1525.000000	97.327	77.8698
1550.000000	97.424	78.2879
1575.000000	97.522	78.7107
1600.000000	97.624	79.1298
1625.000000	97.729	79.5382
1650.000000	97.838	79.9327
1675.000000	97.951	80.3110
1700.000000	98.067	80.6654
1725.000000	98.187	80.9904
1750.000000	98.310	81.2793
1775.000000	98.435	81.5328
1800.000000	98.563	81.7444
1825.000000	98.692	81.9090
1850.000000	98.824	82.0231
1875.000000	98.956	82.0844
1900.000000	99.088	82.0893
1925.000000	99.220	82.0354
1950.000000	99.350	81.9183
1975.000000	99.479	81.7383
2000.000000	99.604	81.4962
2030.000000	99.750	81.1208
2060.000000	99.888	80.6527
2090.000000	100.018	80.0946
2120.000000	100.139	79.4463
2140.000000	100.214	78.9624
2180.000000	100.350	77.8632
2200.000000	100.408	77.2422
2240.000000	100.498	75.8699
2270.000000	100.538	74.7515
2300.000000	100.553	73.5855
2330.000000	100.543	72.4001
2360.000000	100.507	71.2197
2400.000000	100.422	69.6899
2430.000000	100.333	68.6006
2470.000000	100.184	67.2616
2500.000000	100.054	66.3569
2540.000000	99.860	65.2922
2580.000000	99.648	64.3963
2620.000000	99.423	63.6761
2650.000000	99.249	63.2528
2690.000000	99.014	62.8344
2720.000000	98.837	62.6246
2760.000000	98.604	62.4741
2800.000000	98.376	62.4561
2850.000000	98.104	62.5896
2900.000000	97.848	62.8546
2950.000000	97.612	63.2061
3000.000000	97.396	63.5960
3040.000000	97.236	63.9014
3070.000000	97.122	64.1133
3110.000000	96.976	64.3624
3150.000000	96.832	64.5699
3200.000000	96.652	64.7860
3250.000000	96.468	65.0094
3300.000000	96.283	65.3086
3350.000000	96.111	65.7230
3400.000000	95.968	66.2341
3450.000000	95.869	66.7629
3500.000000	95.820	67.1975
3550.000000	95.821	67.4157
3600.000000	95.870	67.3091
3650.000000	95.957	66.7870
3700.000000	96.072	65.7703
3750.000000	96.203	64.1921
3820.000000	96.385	60.9398
3870.000000	96.488	57.8363
3950.000000	96.548	51.5750
4000.000000	96.488	46.9734
4060.000000	96.292	40.9814
4120.000000	95.952	34.7673
4180.000000	95.476	28.6372
4250.000000	94.786	21.9185
4310.000000	94.122	16.6912
4370.000000	93.433	12.0038
4440.000000	92.644	7.1866
4500.000000	92.016	3.5382
4550.000000	91.544	0.7742
4620.000000	90.982	-2.7656
4680.000000	90.605	-5.5747
4750.000000	90.300	-8.6696
4820.000000	90.147	-11.6421
4870.000000	90.132	-13.7369
4940.000000	90.240	-16.6948
5000.000000	90.448	-19.3198
5080.000000	90.872	-23.0892
5150.000000	91.358	-26.8056
5220.000000	91.915	-31.1018
5300.000000	92.571	-36.9216
5380.000000	93.157	-43.7920
5450.000000	93.527	-50.5202
5520.000000	93.703	-57.5838
5600.000000	93.633	-65.4545
5700.000000	93.167	-73.9033
5800.000000	92.422	-79.8019
5900.000000	91.587	-83.0010
6000.000000	90.768	-83.9532
6080.000000	90.161	-83.3644
6150.000000	89.682	-82.0445
6220.000000	89.259	-80.1149
6300.000000	88.847	-77.3173
6400.000000	88.436	-73.1323
6500.000000	88.137	-68.3651
6600.000000	87.942	-63.1708
6700.000000	87.847	-57.6666
6800.000000	87.849	-51.9471
6900.000000	87.944	-46.0885
7000.000000	88.131	-40.1650
7100.000000	88.414	-34.2573
7200.000000	88.791	-28.4723
7300.000000	89.261	-22.9047
7400.000000	89.824	-17.6450
7500.000000	90.482	-12.8073
7620.000000	91.395	-7.8033
7750.000000	92.518	-3.7948
7880.000000	93.723	-1.7632
8000.000000	94.824	-2.0286
8120.000000	95.789	-4.5420
8250.000000	96.514	-9.4471
8380.000000	96.773	-15.5263
8500.000000	96.584	-20.8884
8620.000000	96.062	-25.0062
8750.000000	95.263	-27.5015
8850.000000	94.570	-27.9547
9000.000000	93.531	-26.3181
9120.000000	92.818	-23.2194
9250.000000	92.282	-18.9198
9380.000000	91.979	-14.8218
9500.000000	91.816	-11.6364
9620.000000	91.714	-8.9607
9750.000000	91.654	-6.5903
9880.000000	91.634	-4.8430
10000.000000	91.632	-3.8770
10150.000000	91.608	-3.6140
10300.000000	91.501	-4.3204
10440.000000	91.277	-5.5945
10600.000000	90.838	-7.2792
10750.000000	90.245	-8.5159
10900.000000	89.513	-8.8683
11060.000000	88.665	-7.8105
11200.000000	87.956	-5.7512
11380.000000	87.141	-1.9664
11500.000000	86.675	1.2595
11720.000000	86.075	8.1943
11800.000000	85.944	10.7664
12060.000000	85.732	18.7250
12200.000000	85.717	22.8342
12410.000000	85.812	28.7587
12500.000000	85.893	31.2028
12650.000000	86.082	35.1436
12800.000000	86.344	38.8797
13150.000000	87.248	46.1762
13200.000000	87.407	47.0011
13400.000000	88.120	49.7984
13600.000000	89.023	51.5955
13800.000000	90.159	51.4047
14000.000000	91.444	48.0674
14300.000000	93.211	35.6635
14500.000000	93.894	22.9819
14750.000000	93.924	5.0312
15000.000000	93.227	-12.1127
15250.000000	92.255	-27.2012
15500.000000	91.405	-40.9413
15750.000000	90.899	-54.7913
16000.000000	90.793	-70.1918
16250.000000	91.007	-88.2809
16500.000000	91.327	-109.6938
16750.000000	91.469	-134.2070
17000.000000	91.215	-160.7042
17250.000000	90.534	172.1331
17500.000000	89.569	144.8902
17750.000000	88.501	116.9979
18000.000000	87.426	87.0853
18250.000000	86.286	53.6017
18500.000000	84.883	15.3608
18750.000000	82.955	-27.9897
19000.000000	80.332	-76.3265
19250.000000	77.014	-129.9688
19500.000000	73.075	169.8604
19750.000000	68.638	99.6653
20000.000000	64.751	17.5099
