* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 3, 2026 12:27:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor Velvet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.102	-173.9939
20.600000	103.106	-174.4969
20.900000	103.109	-175.0389
21.200001	103.112	-175.5856
21.400000	103.115	-175.9547
21.799999	103.127	-176.7087
22.000000	103.135	-177.0919
22.400000	103.149	-177.8555
22.700001	103.156	-178.4086
23.000000	103.161	-178.9322
23.299999	103.164	-179.4252
23.600000	103.167	-179.8985
24.000000	103.171	179.4662
24.299999	103.175	178.9640
24.700001	103.178	178.2543
25.000000	103.177	177.7122
25.400000	103.176	177.0225
25.799999	103.179	176.4020
26.200001	103.191	175.8329
26.500000	103.203	175.4062
26.900000	103.211	174.8035
27.200001	103.203	174.3321
27.600000	103.169	173.7296
28.000000	103.118	173.2203
28.500000	103.066	172.7160
29.000000	103.063	172.1826
29.500000	103.106	171.4070
30.000000	103.154	170.3973
30.400000	103.174	169.5703
30.700001	103.177	169.0207
31.100000	103.175	168.4192
31.500000	103.172	167.9324
32.000000	103.173	167.3575
32.500000	103.169	166.7185
33.000000	103.155	166.0234
33.500000	103.137	165.3357
34.000000	103.125	164.6876
34.500000	103.120	164.0723
35.000000	103.118	163.4753
35.500000	103.116	162.8825
36.000000	103.111	162.2741
36.500000	103.103	161.6400
37.000000	103.089	160.9967
37.500000	103.072	160.3741
38.200001	103.053	159.5489
38.700001	103.044	158.9660
39.500000	103.027	158.0226
40.000000	103.013	157.4429
40.599998	102.995	156.7617
41.200001	102.979	156.0819
41.799999	102.963	155.4003
42.500000	102.945	154.6132
43.099998	102.927	153.9547
43.700001	102.905	153.3226
44.400002	102.882	152.6044
45.000000	102.868	151.9565
45.500000	102.856	151.3880
46.200001	102.834	150.6225
46.799999	102.815	150.0303
47.500000	102.789	149.3290
48.200001	102.739	148.5887
48.700001	102.693	148.1144
49.400002	102.648	147.5518
50.000000	102.642	147.0300
50.799999	102.642	146.1515
51.500000	102.624	145.3615
52.200001	102.605	144.6438
53.000000	102.592	143.8573
53.799999	102.572	143.1300
54.500000	102.535	142.5216
55.200001	102.483	141.8491
56.000000	102.447	140.9064
57.000000	102.478	139.3054
58.000000	102.460	137.8809
59.000000	102.365	137.5522
60.000000	102.287	137.2948
60.799999	102.225	136.6721
61.500000	102.187	136.1147
62.200001	102.175	135.6216
63.000000	102.168	135.0212
64.000000	102.128	134.1201
65.000000	102.060	133.0885
66.000000	101.965	132.2003
67.000000	101.887	131.5857
68.000000	101.860	130.9361
69.000000	101.845	130.1451
70.000000	101.804	129.4878
71.000000	101.776	128.8122
72.000000	101.761	127.7421
73.000000	101.717	126.6556
74.000000	101.658	125.9034
75.000000	101.592	125.2408
76.199997	101.507	124.4714
77.500000	101.448	123.6579
78.800003	101.381	122.6413
80.000000	101.309	121.7253
81.199997	101.263	120.8683
82.500000	101.205	119.9648
83.800003	101.136	119.0324
85.000000	101.080	118.2353
86.199997	101.051	117.6037
87.500000	100.999	116.8204
88.500000	100.929	116.1696
90.000000	100.827	115.2541
91.199997	100.754	114.5329
92.500000	100.667	113.7230
93.800003	100.594	112.9442
95.000000	100.534	112.1743
96.199997	100.470	111.4144
97.500000	100.398	110.7473
98.800003	100.307	110.0705
100.000000	100.212	109.2993
101.500000	100.139	108.3543
103.000000	100.102	107.6127
104.400002	100.045	107.2104
106.000000	99.941	106.8007
107.500000	99.816	105.8683
109.000000	99.713	104.9161
110.599998	99.645	104.0214
112.000000	99.619	103.2346
113.800003	99.607	102.3147
115.000000	99.575	101.9990
117.199997	99.431	101.0670
118.000000	99.373	100.6364
120.599998	99.277	99.6107
122.000000	99.201	99.0663
124.099998	99.032	98.2332
125.000000	98.982	97.8399
126.500000	98.933	97.0207
128.000000	98.875	96.1748
131.500000	98.692	94.6447
132.000000	98.665	94.4312
134.000000	98.544	93.6546
136.000000	98.431	93.0520
138.000000	98.345	92.4329
140.000000	98.265	91.7439
143.000000	98.132	90.5889
145.000000	98.036	89.8898
147.500000	97.934	89.2321
150.000000	97.838	88.6616
152.500000	97.707	87.6854
155.000000	97.583	86.8114
157.500000	97.469	86.1118
160.000000	97.354	85.4567
162.500000	97.241	84.7994
165.000000	97.137	84.1671
167.500000	97.034	83.5717
