* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Mar 3, 2026 12:25:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor XWB R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.631	-173.6649
20.600000	102.639	-174.1596
20.900000	102.645	-174.6934
21.200001	102.649	-175.2334
21.400000	102.651	-175.5979
21.799999	102.658	-176.3383
22.000000	102.662	-176.7122
22.400000	102.671	-177.4581
22.700001	102.678	-178.0080
23.000000	102.687	-178.5444
23.299999	102.694	-179.0647
23.600000	102.701	-179.5683
24.000000	102.708	179.7816
24.299999	102.711	179.3032
24.700001	102.714	178.6630
25.000000	102.715	178.1717
25.400000	102.713	177.4971
25.799999	102.709	176.8126
26.200001	102.706	176.1455
26.500000	102.707	175.6711
26.900000	102.717	175.0745
27.200001	102.733	174.6400
27.600000	102.760	174.0471
28.000000	102.787	173.4169
28.500000	102.802	172.5961
29.000000	102.789	171.8176
29.500000	102.760	171.1449
30.000000	102.735	170.5469
30.400000	102.726	170.0601
30.700001	102.723	169.6662
31.100000	102.721	169.1041
31.500000	102.718	168.5261
32.000000	102.712	167.8246
32.500000	102.709	167.1498
33.000000	102.710	166.4645
33.500000	102.708	165.7531
34.000000	102.701	165.0516
34.500000	102.690	164.4048
35.000000	102.680	163.8158
35.500000	102.668	163.2554
36.000000	102.649	162.7079
36.500000	102.621	162.1817
37.000000	102.596	161.6700
37.500000	102.584	161.1262
38.200001	102.588	160.2290
38.700001	102.593	159.5235
39.500000	102.587	158.4801
40.000000	102.578	157.9261
40.599998	102.567	157.2960
41.200001	102.551	156.6369
41.799999	102.531	155.9521
42.500000	102.512	155.1639
43.099998	102.500	154.5054
43.700001	102.487	153.8634
44.400002	102.464	153.1384
45.000000	102.446	152.5068
45.500000	102.432	151.9526
46.200001	102.413	151.1797
46.799999	102.397	150.5858
47.500000	102.380	149.9371
48.200001	102.343	149.2401
48.700001	102.299	148.7430
49.400002	102.240	148.1241
50.000000	102.224	147.6005
50.799999	102.238	146.7397
51.500000	102.237	145.9375
52.200001	102.211	145.2598
53.000000	102.175	144.5743
53.799999	102.147	143.8497
54.500000	102.128	143.1748
55.200001	102.093	142.5537
56.000000	102.028	142.0955
57.000000	101.989	141.5846
58.000000	101.981	140.3903
59.000000	101.932	139.1349
60.000000	101.901	138.2658
60.799999	101.880	137.5874
61.500000	101.853	136.9853
62.200001	101.824	136.3713
63.000000	101.788	135.6517
64.000000	101.746	134.7915
65.000000	101.714	133.9010
66.000000	101.665	133.0828
67.000000	101.613	132.3328
68.000000	101.551	131.4591
69.000000	101.506	130.6767
70.000000	101.503	129.9612
71.000000	101.482	129.2111
72.000000	101.420	128.4867
73.000000	101.356	127.6853
74.000000	101.303	126.8447
75.000000	101.263	126.0794
76.199997	101.216	125.2372
77.500000	101.157	124.3449
78.800003	101.088	123.4086
80.000000	101.027	122.5867
81.199997	100.975	121.7580
82.500000	100.912	120.8240
83.800003	100.847	119.9251
85.000000	100.793	119.1245
86.199997	100.735	118.3289
87.500000	100.666	117.5037
88.500000	100.611	116.8560
90.000000	100.523	115.8647
91.199997	100.453	115.0680
92.500000	100.385	114.2650
93.800003	100.326	113.5283
95.000000	100.266	112.8726
96.199997	100.206	112.2317
97.500000	100.147	111.5428
98.800003	100.066	110.8392
100.000000	99.995	110.2468
101.500000	99.955	109.5105
103.000000	99.890	108.7870
