* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 20, 2025 7:11:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Titan ASMR R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.606	151.0931
20.600000	106.571	150.2943
20.900000	106.526	149.4260
21.200001	106.479	148.5588
21.400000	106.447	147.9878
21.799999	106.391	146.8704
22.000000	106.366	146.3251
22.400000	106.325	145.2560
22.700001	106.298	144.4652
23.000000	106.271	143.6793
23.299999	106.240	142.9018
23.600000	106.202	142.1440
24.000000	106.141	141.1880
24.299999	106.091	140.5193
24.700001	106.027	139.6720
25.000000	105.983	139.0359
25.400000	105.931	138.1329
25.799999	105.879	137.1413
26.200001	105.818	136.0910
26.500000	105.766	135.3049
26.900000	105.695	134.3019
27.200001	105.645	133.5882
27.600000	105.588	132.6624
28.000000	105.538	131.7396
28.500000	105.470	130.6248
29.000000	105.389	129.6799
29.500000	105.312	128.9594
30.000000	105.257	128.3001
30.400000	105.224	127.6352
30.700001	105.193	127.0051
31.100000	105.129	126.0243
31.500000	105.038	124.9930
32.000000	104.904	123.8138
32.500000	104.785	122.8174
33.000000	104.700	121.9066
33.500000	104.631	120.9814
34.000000	104.558	120.0535
34.500000	104.472	119.1809
35.000000	104.382	118.3639
35.500000	104.295	117.5474
36.000000	104.208	116.7014
36.500000	104.119	115.8535
37.000000	104.031	115.0405
37.500000	103.947	114.2600
38.200001	103.832	113.1702
38.700001	103.747	112.3854
39.500000	103.607	111.1643
40.000000	103.522	110.4308
40.599998	103.422	109.5718
41.200001	103.319	108.7462
41.799999	103.213	107.9657
42.500000	103.091	107.0766
43.099998	102.989	106.2834
43.700001	102.884	105.4543
44.400002	102.760	104.4751
45.000000	102.656	103.6530
45.500000	102.572	102.9979
46.200001	102.458	102.1501
46.799999	102.361	101.4757
47.500000	102.235	100.7167
48.200001	102.092	99.9962
48.700001	101.993	99.4885
49.400002	101.877	98.6808
50.000000	101.792	97.8561
50.799999	101.673	96.7778
51.500000	101.566	96.0518
52.200001	101.464	95.4490
53.000000	101.338	94.7309
53.799999	101.200	93.9945
54.500000	101.086	93.3369
55.200001	100.975	92.6256
56.000000	100.840	91.8064
57.000000	100.676	90.8897
58.000000	100.540	90.0321
59.000000	100.415	89.2096
60.000000	100.272	88.3765
60.799999	100.136	87.6662
61.500000	100.015	87.0495
62.200001	99.905	86.4510
63.000000	99.790	85.7928
64.000000	99.636	85.0554
