* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: May 24, 2025 10:50:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Titan Epro R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.590	150.1743
20.600000	106.555	149.3907
20.900000	106.512	148.5435
21.200001	106.468	147.6912
21.400000	106.440	147.1201
21.799999	106.387	145.9678
22.000000	106.362	145.3876
22.400000	106.313	144.2304
22.700001	106.276	143.3800
23.000000	106.236	142.5603
23.299999	106.194	141.7813
23.600000	106.150	141.0433
24.000000	106.092	140.0993
24.299999	106.049	139.3904
24.700001	105.990	138.3971
25.000000	105.942	137.6013
25.400000	105.867	136.4906
25.799999	105.781	135.3835
26.200001	105.691	134.3522
26.500000	105.630	133.6516
26.900000	105.563	132.8015
27.200001	105.525	132.1973
27.600000	105.485	131.3878
28.000000	105.446	130.5446
28.500000	105.382	129.4516
29.000000	105.297	128.3634
29.500000	105.196	127.3132
30.000000	105.095	126.2917
30.400000	105.018	125.4770
30.700001	104.964	124.8618
31.100000	104.896	124.0394
31.500000	104.831	123.2279
32.000000	104.750	122.2569
32.500000	104.672	121.3504
33.000000	104.597	120.4860
33.500000	104.524	119.6115
34.000000	104.446	118.6944
34.500000	104.355	117.7558
35.000000	104.255	116.8480
35.500000	104.153	115.9975
36.000000	104.058	115.1832
36.500000	103.967	114.3701
37.000000	103.875	113.5532
37.500000	103.782	112.7554
38.200001	103.655	111.6865
38.700001	103.573	110.9238
39.500000	103.445	109.6550
40.000000	103.356	108.8692
40.599998	103.240	107.9994
41.200001	103.123	107.2093
41.799999	103.016	106.4219
42.500000	102.898	105.4261
43.099998	102.795	104.5634
43.700001	102.689	103.7908
44.400002	102.570	102.9819
45.000000	102.466	102.2321
45.500000	102.371	101.5271
46.200001	102.230	100.5124
46.799999	102.119	99.7195
47.500000	102.003	98.9514
48.200001	101.873	98.4541
48.700001	101.777	98.2726
49.400002	101.662	97.9725
50.000000	101.582	97.3172
50.799999	101.451	95.8825
51.500000	101.310	94.6856
52.200001	101.186	93.8746
53.000000	101.072	93.1627
53.799999	100.946	92.4301
54.500000	100.826	91.7765
55.200001	100.714	91.1085
56.000000	100.592	90.3440
57.000000	100.435	89.4680
58.000000	100.275	88.6107
59.000000	100.115	87.7289
60.000000	99.959	86.8969
60.799999	99.836	86.2485
61.500000	99.726	85.6831
62.200001	99.618	85.1299
63.000000	99.500	84.5013
64.000000	99.355	83.7159
65.000000	99.205	82.9788
66.000000	99.054	82.2892
67.000000	98.909	81.6203
68.000000	98.770	80.9280
69.000000	98.622	80.2806
70.000000	98.471	79.7147
71.000000	98.329	79.1212
72.000000	98.192	78.5164
73.000000	98.060	77.9245
74.000000	97.927	77.2936
75.000000	97.799	76.6365
76.199997	97.649	75.9588
77.500000	97.447	75.3799
78.800003	97.199	74.6560
80.000000	97.041	74.0394
81.199997	96.954	73.4040
82.500000	96.817	72.8154
83.800003	96.672	72.2141
85.000000	96.539	71.6192
86.199997	96.384	71.1108
87.500000	96.213	70.5729
88.500000	96.101	70.2583
90.000000	95.950	69.7799
91.199997	95.808	69.1343
92.500000	95.660	68.6807
93.800003	95.518	68.3143
95.000000	95.382	67.7172
96.199997	95.262	67.2822
97.500000	95.074	66.4236
98.800003	94.844	63.4362
100.000000	94.610	61.2359
101.500000	94.593	63.7125
103.000000	94.626	65.7745
104.400002	94.566	65.9098
106.000000	94.455	65.1604
107.500000	94.309	64.5059
109.000000	94.228	64.3605
110.599998	94.141	64.2881
112.000000	94.024	64.0922
113.800003	93.929	63.4302
115.000000	93.892	62.7708
117.199997	93.719	61.8454
118.000000	93.647	61.5768
120.599998	93.483	60.7986
122.000000	93.407	60.3155
124.099998	93.250	59.3963
125.000000	93.168	59.1479
126.500000	93.036	59.0415
128.000000	92.932	58.8316
131.500000	92.693	58.2058
132.000000	92.666	58.1805
134.000000	92.596	57.8912
136.000000	92.493	57.0275
138.000000	92.351	56.1333
140.000000	92.252	55.5821
143.000000	92.019	55.5442
145.000000	91.955	55.5207
147.500000	91.855	55.1999
150.000000	91.782	54.8586
152.500000	91.647	54.2109
155.000000	91.496	53.6979
157.500000	91.383	53.3974
160.000000	91.251	53.0483
162.500000	91.112	52.7611
165.000000	91.013	52.6849
167.500000	90.957	52.1373
170.000000	90.848	51.3150
172.500000	90.727	50.7638
175.000000	90.665	50.6814
177.500000	90.597	50.2843
180.000000	90.512	49.9341
182.500000	90.430	49.8842
185.000000	90.311	49.6438
187.500000	90.212	49.4331
190.000000	90.148	49.1284
192.500000	90.077	48.7585
195.000000	89.987	48.5759
197.500000	89.923	48.4705
200.000000	89.863	48.1205
203.000000	89.769	47.5778
206.000000	89.703	47.2104
209.000000	89.617	46.9694
212.000000	89.586	46.9413
214.000000	89.559	46.7205
218.000000	89.455	46.4247
220.000000	89.398	46.0802
224.000000	89.277	45.5403
227.000000	89.227	45.1450
230.000000	89.169	44.9469
233.000000	89.108	44.8476
236.000000	89.057	44.6311
240.000000	88.982	44.3054
243.000000	88.957	43.8974
247.000000	88.934	43.8542
250.000000	88.851	43.7259
254.000000	88.739	43.3748
258.000000	88.638	42.7768
262.000000	88.618	42.4935
265.000000	88.624	42.6150
269.000000	88.560	42.6537
272.000000	88.464	42.5032
276.000000	88.335	42.2693
280.000000	88.258	41.8411
285.000000	88.283	40.9944
290.000000	88.247	40.8166
295.000000	88.151	41.0430
300.000000	88.094	40.6712
304.000000	88.049	40.4163
307.000000	88.013	40.4607
311.000000	87.973	40.2687
315.000000	87.928	40.1311
320.000000	87.935	40.3113
325.000000	87.975	40.2312
330.000000	87.956	39.9477
335.000000	87.915	39.5678
340.000000	87.886	39.6512
345.000000	87.862	39.6718
350.000000	87.849	39.6914
355.000000	87.840	39.5483
360.000000	87.832	39.3462
365.000000	87.821	39.1547
370.000000	87.810	38.7904
375.000000	87.800	38.4625
382.000000	87.793	37.9501
387.000000	87.773	37.7322
395.000000	87.704	37.5708
400.000000	87.650	37.4330
406.000000	87.596	37.2414
412.000000	87.568	37.1293
418.000000	87.554	37.0024
425.000000	87.527	37.0114
431.000000	87.507	36.9143
437.000000	87.490	36.7574
444.000000	87.464	36.6729
450.000000	87.438	36.6287
455.000000	87.424	36.5776
462.000000	87.416	36.5615
468.000000	87.402	36.5585
475.000000	87.375	36.5383
482.000000	87.360	36.5070
487.000000	87.352	36.4991
494.000000	87.341	36.4731
500.000000	87.332	36.4573
508.000000	87.315	36.4747
515.000000	87.301	36.5220
522.000000	87.293	36.5564
530.000000	87.283	36.6006
538.000000	87.272	36.6923
545.000000	87.261	36.8010
552.000000	87.254	36.8699
560.000000	87.256	36.8995
570.000000	87.253	37.0052
580.000000	87.251	37.1618
590.000000	87.254	37.3230
600.000000	87.256	37.4819
608.000000	87.259	37.6079
615.000000	87.261	37.7266
622.000000	87.262	37.8769
630.000000	87.265	38.0569
640.000000	87.271	38.2995
650.000000	87.285	38.5732
660.000000	87.298	38.7825
670.000000	87.310	39.0256
680.000000	87.322	39.2526
690.000000	87.335	39.5135
700.000000	87.355	39.8168
710.000000	87.378	40.0732
720.000000	87.400	40.3653
730.000000	87.426	40.7064
740.000000	87.454	41.0077
750.000000	87.487	41.3268
762.000000	87.525	41.7726
775.000000	87.567	42.1821
788.000000	87.623	42.6073
800.000000	87.670	43.0397
812.000000	87.714	43.4582
825.000000	87.766	43.9356
838.000000	87.822	44.3900
850.000000	87.875	44.7990
862.000000	87.935	45.2384
875.000000	88.004	45.7203
885.000000	88.057	46.1014
900.000000	88.142	46.5856
912.000000	88.220	46.9746
925.000000	88.307	47.4393
938.000000	88.391	47.8519
950.000000	88.477	48.1906
962.000000	88.569	48.5505
975.000000	88.671	48.9012
988.000000	88.775	49.2397
1000.000000	88.871	49.5263
1015.000000	88.995	49.8342
1030.000000	89.122	50.1133
1044.000000	89.243	50.3354
1060.000000	89.380	50.5410
1075.000000	89.507	50.6902
1090.000000	89.634	50.7923
1106.000000	89.770	50.8599
1120.000000	89.888	50.8941
1138.000000	90.036	50.8889
1150.000000	90.131	50.8611
1172.000000	90.302	50.7761
1180.000000	90.363	50.7306
1206.000000	90.550	50.5493
1220.000000	90.647	50.4294
1241.000000	90.789	50.2267
1250.000000	90.849	50.1318
1265.000000	90.949	49.9639
1280.000000	91.046	49.7895
1315.000000	91.264	49.4193
1320.000000	91.295	49.3703
1340.000000	91.415	49.1795
1360.000000	91.529	48.9881
