* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2025 6:18:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Titan FusionG R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.539	151.5493
20.600000	107.501	150.8696
20.900000	107.460	150.1644
21.200001	107.423	149.4635
21.400000	107.403	148.9848
21.799999	107.370	147.9671
22.000000	107.355	147.4196
22.400000	107.323	146.2483
22.700001	107.292	145.3223
23.000000	107.251	144.3861
23.299999	107.199	143.4718
23.600000	107.139	142.6073
24.000000	107.053	141.5558
24.299999	106.989	140.8361
24.700001	106.912	139.9252
25.000000	106.862	139.2414
25.400000	106.801	138.2902
25.799999	106.740	137.2922
26.200001	106.671	136.2870
26.500000	106.615	135.5615
26.900000	106.537	134.6610
27.200001	106.479	134.0362
27.600000	106.405	133.2454
28.000000	106.337	132.4640
28.500000	106.255	131.4626
29.000000	106.176	130.4438
29.500000	106.102	129.4429
30.000000	106.040	128.4659
30.400000	105.994	127.6866
30.700001	105.958	127.1004
31.100000	105.902	126.3288
31.500000	105.832	125.5911
32.000000	105.732	124.7298
32.500000	105.630	123.8868
33.000000	105.535	122.9721
33.500000	105.442	121.9504
34.000000	105.351	120.8840
34.500000	105.263	119.8679
35.000000	105.185	118.9437
35.500000	105.115	118.0923
36.000000	105.042	117.2902
36.500000	104.959	116.5354
37.000000	104.866	115.8160
37.500000	104.768	115.0908
38.200001	104.622	114.0102
38.700001	104.515	113.2142
39.500000	104.363	111.9469
40.000000	104.284	111.1385
40.599998	104.191	110.1785
41.200001	104.089	109.3303
41.799999	103.987	108.6170
42.500000	103.869	107.8028
43.099998	103.759	107.0254
43.700001	103.646	106.1935
44.400002	103.525	105.1735
45.000000	103.429	104.2813
45.500000	103.344	103.6055
46.200001	103.220	102.8605
46.799999	103.118	102.3064
47.500000	102.991	101.5330
48.200001	102.845	100.6214
48.700001	102.742	99.9679
49.400002	102.627	99.0917
50.000000	102.551	98.3827
50.799999	102.458	97.5606
51.500000	102.366	96.9338
52.200001	102.253	96.2690
53.000000	102.091	95.4350
53.799999	101.928	94.6276
54.500000	101.812	93.9581
55.200001	101.714	93.2783
56.000000	101.600	92.4778
57.000000	101.432	91.5161
58.000000	101.261	90.6734
59.000000	101.108	89.8883
60.000000	100.948	89.1082
60.799999	100.813	88.4939
61.500000	100.703	87.9467
62.200001	100.606	87.3833
63.000000	100.504	86.7142
64.000000	100.360	85.8291
65.000000	100.189	85.0066
66.000000	100.039	84.3335
67.000000	99.922	83.6742
68.000000	99.797	82.9754
69.000000	99.644	82.2839
70.000000	99.483	81.6892
71.000000	99.345	81.1529
72.000000	99.220	80.4724
73.000000	99.083	79.7351
74.000000	98.952	79.0956
75.000000	98.826	78.4917
76.199997	98.659	77.8894
77.500000	98.487	77.3419
78.800003	98.331	76.7948
80.000000	98.204	76.1156
81.199997	98.065	75.3429
82.500000	97.911	74.6687
83.800003	97.760	74.0450
85.000000	97.620	73.4129
86.199997	97.477	72.8402
87.500000	97.324	72.3212
88.500000	97.206	71.9109
90.000000	97.035	71.2995
91.199997	96.911	70.8027
92.500000	96.779	70.2453
93.800003	96.648	69.7601
95.000000	96.528	69.3441
96.199997	96.406	68.8992
97.500000	96.276	68.4212
98.800003	96.151	67.9531
100.000000	96.039	67.4794
