* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2025 5:59:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Titan Prem L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.696	158.9524
20.600000	106.671	158.1351
20.900000	106.641	157.2543
21.200001	106.611	156.3692
21.400000	106.592	155.7757
21.799999	106.556	154.5791
22.000000	106.537	153.9797
22.400000	106.498	152.7967
22.700001	106.466	151.9382
23.000000	106.435	151.1111
23.299999	106.405	150.3105
23.600000	106.378	149.5219
24.000000	106.348	148.4592
24.299999	106.325	147.6403
24.700001	106.289	146.5267
25.000000	106.255	145.6981
25.400000	106.198	144.6448
25.799999	106.136	143.6787
26.200001	106.077	142.7899
26.500000	106.036	142.1463
26.900000	105.986	141.2764
27.200001	105.949	140.5985
27.600000	105.896	139.6640
28.000000	105.837	138.7229
28.500000	105.760	137.5851
29.000000	105.685	136.5037
29.500000	105.617	135.4471
30.000000	105.551	134.3867
30.400000	105.494	133.5410
30.700001	105.450	132.9184
31.100000	105.390	132.1120
31.500000	105.331	131.3296
32.000000	105.260	130.3615
32.500000	105.190	129.3807
33.000000	105.114	128.3936
33.500000	105.032	127.4344
34.000000	104.948	126.5271
34.500000	104.868	125.6585
35.000000	104.794	124.7901
35.500000	104.722	123.8955
36.000000	104.646	122.9811
36.500000	104.567	122.0743
37.000000	104.486	121.1967
37.500000	104.407	120.3510
38.200001	104.300	119.2056
38.700001	104.221	118.4102
39.500000	104.089	117.1849
40.000000	104.005	116.4446
40.599998	103.909	115.5619
41.200001	103.821	114.6683
41.799999	103.733	113.7699
42.500000	103.626	112.7474
43.099998	103.528	111.9004
43.700001	103.430	111.0551
44.400002	103.319	110.0469
45.000000	103.224	109.2056
45.500000	103.142	108.5666
46.200001	103.027	107.7594
46.799999	102.929	107.0552
47.500000	102.818	106.1421
48.200001	102.723	105.1863
48.700001	102.667	104.5076
49.400002	102.572	103.6098
50.000000	102.437	103.0482
50.799999	102.208	102.8013
51.500000	102.064	102.6023
52.200001	101.997	101.7315
53.000000	101.927	100.1603
53.799999	101.830	98.9669
54.500000	101.744	98.4086
55.200001	101.644	97.9177
56.000000	101.504	97.1601
57.000000	101.337	95.9859
58.000000	101.197	94.8756
59.000000	101.039	93.9926
60.000000	100.865	93.1936
60.799999	100.760	92.4733
61.500000	100.698	91.7405
62.200001	100.629	91.0247
63.000000	100.517	90.3970
64.000000	100.351	89.7948
65.000000	100.209	88.9638
66.000000	100.090	87.8652
67.000000	99.949	86.9779
68.000000	99.797	86.4358
69.000000	99.661	85.8466
70.000000	99.535	85.1889
71.000000	99.415	84.6360
72.000000	99.289	84.1006
73.000000	99.157	83.5608
74.000000	99.041	83.1062
75.000000	98.931	82.5607
76.199997	98.756	81.6817
77.500000	98.569	80.7944
78.800003	98.411	80.0173
80.000000	98.253	79.2393
81.199997	98.089	78.4270
82.500000	97.962	77.7782
83.800003	97.855	77.2186
85.000000	97.715	76.7155
86.199997	97.566	76.1961
87.500000	97.424	75.4999
88.500000	97.308	74.9626
90.000000	97.145	74.4158
91.199997	97.040	73.8727
92.500000	96.901	73.3037
93.800003	96.751	72.7160
95.000000	96.630	72.1994
96.199997	96.536	71.7261
97.500000	96.403	71.2419
98.800003	96.273	70.5719
100.000000	96.170	69.8837
101.500000	96.024	69.7201
103.000000	95.864	69.8072
104.400002	95.758	69.2211
106.000000	95.633	68.2778
107.500000	95.501	67.7451
109.000000	95.376	67.3191
110.599998	95.240	66.8147
112.000000	95.115	66.4510
113.800003	94.949	66.0326
115.000000	94.864	65.6642
117.199997	94.746	64.8556
118.000000	94.694	64.6738
120.599998	94.551	64.2538
122.000000	94.466	64.0472
124.099998	94.309	63.6188
125.000000	94.239	63.3616
126.500000	94.144	62.9071
128.000000	94.051	62.4857
131.500000	93.815	61.6902
132.000000	93.785	61.5562
134.000000	93.688	60.9370
136.000000	93.623	60.4753
138.000000	93.517	60.0772
140.000000	93.379	59.5139
143.000000	93.203	58.7606
145.000000	93.092	58.3314
147.500000	92.916	57.8735
150.000000	92.686	57.4215
152.500000	92.751	56.5805
155.000000	92.871	54.7913
157.500000	92.611	55.4617
160.000000	92.387	55.6167
162.500000	92.271	55.2348
165.000000	92.169	54.7950
167.500000	92.062	54.3940
170.000000	91.956	54.0271
172.500000	91.835	53.8235
175.000000	91.708	53.6436
177.500000	91.618	53.1238
180.000000	91.535	52.6539
182.500000	91.455	52.3325
185.000000	91.383	51.9967
187.500000	91.305	51.6551
190.000000	91.226	51.3223
192.500000	91.147	51.0275
195.000000	91.069	50.7091
197.500000	90.996	50.4180
200.000000	90.919	50.1168
203.000000	90.826	49.6968
206.000000	90.737	49.3684
209.000000	90.672	49.1302
212.000000	90.613	48.8344
214.000000	90.568	48.5663
218.000000	90.472	48.1032
220.000000	90.426	47.9093
224.000000	90.331	47.6927
227.000000	90.272	47.4139
230.000000	90.216	47.0240
233.000000	90.151	46.7051
236.000000	90.089	46.4180
240.000000	90.017	46.0929
243.000000	89.965	45.8652
247.000000	89.897	45.6600
250.000000	89.852	45.5830
254.000000	89.788	45.1382
258.000000	89.723	44.7923
262.000000	89.664	44.4446
265.000000	89.623	44.1667
269.000000	89.561	43.8260
272.000000	89.514	43.6109
276.000000	89.452	43.3726
280.000000	89.400	43.1127
285.000000	89.341	42.7680
290.000000	89.286	42.4167
295.000000	89.225	42.0670
300.000000	89.162	41.6297
304.000000	89.120	41.4782
307.000000	89.088	41.3652
311.000000	89.046	41.1733
315.000000	89.009	41.0084
320.000000	88.961	40.7853
