* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2025 6:02:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Titan RDMZ L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.467	158.1319
20.600000	106.441	157.3322
20.900000	106.408	156.4243
21.200001	106.369	155.4749
21.400000	106.341	154.8331
21.799999	106.286	153.5688
22.000000	106.262	152.9613
22.400000	106.224	151.8079
22.700001	106.205	150.9862
23.000000	106.189	150.1867
23.299999	106.169	149.4054
23.600000	106.141	148.6517
24.000000	106.088	147.7182
24.299999	106.041	147.0803
24.700001	105.981	146.2786
25.000000	105.944	145.6614
25.400000	105.907	144.7354
25.799999	105.876	143.6556
26.200001	105.839	142.4688
26.500000	105.804	141.5711
26.900000	105.748	140.4415
27.200001	105.705	139.6682
27.600000	105.649	138.7222
28.000000	105.597	137.8270
28.500000	105.531	136.7203
29.000000	105.459	135.6208
29.500000	105.383	134.5585
30.000000	105.309	133.5425
30.400000	105.252	132.7499
30.700001	105.208	132.1591
31.100000	105.148	131.3700
31.500000	105.083	130.5753
32.000000	104.998	129.5695
32.500000	104.909	128.5509
33.000000	104.822	127.5344
33.500000	104.739	126.5435
34.000000	104.661	125.5910
34.500000	104.586	124.6729
35.000000	104.511	123.7785
35.500000	104.433	122.9039
36.000000	104.354	122.0500
36.500000	104.278	121.2121
37.000000	104.202	120.3791
37.500000	104.124	119.5474
38.200001	104.002	118.4178
38.700001	103.908	117.6603
39.500000	103.768	116.4723
40.000000	103.692	115.6700
40.599998	103.604	114.6386
41.200001	103.512	113.6218
41.799999	103.422	112.6897
42.500000	103.321	111.6856
43.099998	103.228	110.8691
43.700001	103.126	110.1035
44.400002	103.003	109.2368
45.000000	102.901	108.4492
45.500000	102.818	107.7617
46.200001	102.711	106.8200
46.799999	102.628	106.0659
47.500000	102.521	105.2393
48.200001	102.389	104.4541
48.700001	102.286	103.9007
49.400002	102.156	103.1185
50.000000	102.086	102.4434
50.799999	102.057	101.4823
51.500000	102.022	100.5499
52.200001	101.908	99.7153
53.000000	101.707	99.0742
53.799999	101.529	98.4389
54.500000	101.405	97.6338
55.200001	101.291	96.7778
56.000000	101.175	95.9592
57.000000	101.048	95.0835
58.000000	100.910	94.2330
59.000000	100.723	93.4342
60.000000	100.517	92.7393
60.799999	100.403	92.0073
61.500000	100.332	91.2040
62.200001	100.266	90.4799
63.000000	100.183	89.8582
64.000000	100.042	89.1506
65.000000	99.877	88.2751
66.000000	99.714	87.1721
67.000000	99.548	86.3144
68.000000	99.416	85.8311
69.000000	99.294	85.3512
70.000000	99.166	84.7790
71.000000	99.046	83.9580
72.000000	98.930	83.0748
73.000000	98.837	82.3972
74.000000	98.746	81.7979
75.000000	98.603	81.1990
76.199997	98.372	80.7139
77.500000	98.182	79.8408
78.800003	97.968	78.1338
80.000000	97.752	77.3799
81.199997	97.620	77.4113
82.500000	97.534	77.4878
83.800003	97.458	76.9543
85.000000	97.308	76.0486
86.199997	97.137	75.4251
87.500000	97.037	74.8092
88.500000	96.966	74.2902
90.000000	96.786	73.7506
91.199997	96.574	73.2645
92.500000	96.377	72.4655
93.800003	96.253	71.9020
95.000000	96.099	71.8030
96.199997	95.862	71.4091
97.500000	95.542	70.9882
98.800003	95.220	71.2886
100.000000	95.103	71.8311
101.500000	95.378	71.6273
103.000000	95.580	71.5699
104.400002	95.503	70.8425
106.000000	95.376	69.8946
107.500000	95.324	69.2998
109.000000	95.229	68.1889
110.599998	95.091	67.6133
112.000000	94.988	67.1662
113.800003	94.839	66.0866
115.000000	94.733	65.5105
117.199997	94.501	64.7893
118.000000	94.416	64.5639
120.599998	94.250	63.7933
122.000000	94.155	63.3735
124.099998	94.039	62.7523
125.000000	94.000	62.5230
126.500000	93.902	62.1655
128.000000	93.781	61.8322
131.500000	93.540	60.9501
132.000000	93.511	60.8304
134.000000	93.403	60.3961
136.000000	93.288	59.9093
138.000000	93.166	59.5316
140.000000	93.043	59.1797
143.000000	92.888	58.5774
145.000000	92.818	58.2698
147.500000	92.751	57.5479
150.000000	92.554	56.0695
152.500000	92.238	55.1399
155.000000	92.273	54.9586
157.500000	92.186	55.3237
160.000000	92.065	55.2907
162.500000	91.954	54.9757
165.000000	91.858	54.5532
167.500000	91.749	54.1695
170.000000	91.650	53.7687
172.500000	91.560	53.4015
175.000000	91.473	53.0735
177.500000	91.378	52.6939
180.000000	91.277	52.3301
182.500000	91.181	51.9994
185.000000	91.089	51.6496
187.500000	91.001	51.3026
190.000000	90.917	50.9851
192.500000	90.835	50.6788
195.000000	90.758	50.3868
197.500000	90.681	50.1151
200.000000	90.607	49.8646
203.000000	90.540	49.5637
206.000000	90.489	49.2982
209.000000	90.401	48.9067
212.000000	90.306	48.4927
214.000000	90.255	48.2492
218.000000	90.163	47.8612
220.000000	90.125	47.6580
224.000000	90.045	47.2630
227.000000	89.981	46.9982
230.000000	89.922	46.7407
233.000000	89.863	46.4369
236.000000	89.805	46.1394
240.000000	89.729	45.7862
243.000000	89.675	45.5185
247.000000	89.611	45.1380
250.000000	89.562	44.8359
254.000000	89.492	44.5563
258.000000	89.429	44.2577
262.000000	89.367	43.9668
265.000000	89.321	43.7485
269.000000	89.261	43.4455
272.000000	89.217	43.2024
276.000000	89.161	42.9062
280.000000	89.109	42.6806
285.000000	89.045	42.3890
290.000000	88.985	42.0920
295.000000	88.929	41.7816
300.000000	88.873	41.4144
304.000000	88.827	41.2320
307.000000	88.794	41.1273
311.000000	88.753	40.9558
315.000000	88.713	40.7587
320.000000	88.665	40.5138
325.000000	88.617	40.2822
330.000000	88.573	40.0625
335.000000	88.532	39.8679
340.000000	88.493	39.6765
345.000000	88.454	39.4916
350.000000	88.416	39.3068
355.000000	88.383	39.1146
360.000000	88.350	38.9432
365.000000	88.316	38.7950
370.000000	88.281	38.6555
375.000000	88.247	38.5231
382.000000	88.213	38.3579
387.000000	88.189	38.2293
395.000000	88.148	38.0430
400.000000	88.122	37.9263
406.000000	88.096	37.8092
412.000000	88.070	37.7157
418.000000	88.046	37.6188
425.000000	88.018	37.5146
431.000000	87.997	37.4458
437.000000	87.977	37.3892
444.000000	87.956	37.3250
450.000000	87.939	37.2853
455.000000	87.925	37.2478
462.000000	87.905	37.1977
468.000000	87.890	37.1700
475.000000	87.875	37.1485
482.000000	87.863	37.1326
487.000000	87.853	37.1189
494.000000	87.840	37.1001
500.000000	87.830	37.0983
508.000000	87.823	37.1082
515.000000	87.816	37.1221
522.000000	87.809	37.1345
530.000000	87.802	37.1598
538.000000	87.795	37.1940
545.000000	87.790	37.2350
552.000000	87.785	37.2831
560.000000	87.780	37.3426
570.000000	87.776	37.4312
580.000000	87.774	37.5352
590.000000	87.773	37.6640
600.000000	87.774	37.7808
608.000000	87.776	37.8891
615.000000	87.779	38.0043
622.000000	87.782	38.1236
630.000000	87.788	38.2633
640.000000	87.796	38.4536
650.000000	87.805	38.6531
660.000000	87.816	38.8497
670.000000	87.831	39.0541
680.000000	87.846	39.2828
690.000000	87.860	39.5199
700.000000	87.877	39.7611
710.000000	87.898	40.0171
720.000000	87.919	40.2814
730.000000	87.941	40.5579
740.000000	87.966	40.8392
750.000000	87.994	41.1267
762.000000	88.029	41.4939
775.000000	88.068	41.8960
788.000000	88.110	42.3145
800.000000	88.152	42.7139
812.000000	88.195	43.1205
825.000000	88.243	43.5658
838.000000	88.295	44.0146
850.000000	88.347	44.4339
862.000000	88.404	44.8553
875.000000	88.470	45.3094
885.000000	88.524	45.6526
900.000000	88.609	46.1618
912.000000	88.683	46.5636
925.000000	88.767	46.9918
938.000000	88.857	47.3993
950.000000	88.943	47.7585
962.000000	89.034	48.1049
975.000000	89.135	48.4589
988.000000	89.237	48.7822
1000.000000	89.334	49.0564
1015.000000	89.460	49.3656
1030.000000	89.589	49.6316
1044.000000	89.711	49.8369
1060.000000	89.850	50.0199
1075.000000	89.981	50.1438
1090.000000	90.112	50.2245
1106.000000	90.249	50.2686
1120.000000	90.368	50.2711
1138.000000	90.517	50.2336
1150.000000	90.614	50.1859
1172.000000	90.787	50.0532
1180.000000	90.848	49.9928
1206.000000	91.040	49.7617
1220.000000	91.139	49.6140
1241.000000	91.283	49.3635
1250.000000	91.344	49.2497
1265.000000	91.447	49.0575
1280.000000	91.548	48.8610
1315.000000	91.774	48.3775
1320.000000	91.805	48.3083
1340.000000	91.925	48.0415
1360.000000	92.040	47.7787
1380.000000	92.150	47.5206
1400.000000	92.257	47.2797
1430.000000	92.411	46.9230
1450.000000	92.510	46.7011
1475.000000	92.632	46.4463
1500.000000	92.752	46.2077
1525.000000	92.869	45.9894
1550.000000	92.985	45.7906
1575.000000	93.100	45.6047
1600.000000	93.215	45.4331
1625.000000	93.328	45.2614
1650.000000	93.442	45.0836
1675.000000	93.556	44.8924
1700.000000	93.669	44.6839
1725.000000	93.782	44.4629
1750.000000	93.895	44.2304
1775.000000	94.006	43.9941
1800.000000	94.116	43.7575
1825.000000	94.227	43.5144
1850.000000	94.337	43.2608
1875.000000	94.447	42.9919
1900.000000	94.559	42.7108
1925.000000	94.670	42.4156
1950.000000	94.780	42.1047
1975.000000	94.891	41.7790
2000.000000	95.002	41.4348
2030.000000	95.137	40.9922
2060.000000	95.272	40.5209
2090.000000	95.406	40.0158
2120.000000	95.538	39.4746
2140.000000	95.624	39.0952
2180.000000	95.793	38.2917
2200.000000	95.875	37.8678
2240.000000	96.035	36.9821
2270.000000	96.150	36.2815
2300.000000	96.261	35.5538
2330.000000	96.367	34.7989
2360.000000	96.468	34.0207
2400.000000	96.596	32.9527
2430.000000	96.687	32.1303
2470.000000	96.804	31.0074
2500.000000	96.889	30.1396
2540.000000	96.999	28.9331
2580.000000	97.104	27.6531
2620.000000	97.199	26.2865
2650.000000	97.260	25.2057
2690.000000	97.326	23.7090
2720.000000	97.361	22.5614
2760.000000	97.391	21.0188
2800.000000	97.403	19.4836
2850.000000	97.394	17.5913
2900.000000	97.362	15.7405
2950.000000	97.310	13.9343
3000.000000	97.238	12.1803
3040.000000	97.168	10.8177
3070.000000	97.108	9.8219
3110.000000	97.019	8.5314
3150.000000	96.922	7.2838
3200.000000	96.788	5.7874
3250.000000	96.641	4.3666
3300.000000	96.484	3.0279
3350.000000	96.316	1.7685
3400.000000	96.138	0.5810
3450.000000	95.950	-0.5352
3500.000000	95.751	-1.5784
3550.000000	95.538	-2.5395
3600.000000	95.312	-3.4100
3650.000000	95.070	-4.1739
3700.000000	94.811	-4.8114
3750.000000	94.535	-5.2913
3820.000000	94.117	-5.6238
3870.000000	93.797	-5.5509
3950.000000	93.259	-4.7243
4000.000000	92.917	-3.6485
4060.000000	92.524	-1.6700
4120.000000	92.190	1.1158
4180.000000	91.966	4.6442
4250.000000	91.909	9.3898
4310.000000	92.067	13.5269
4370.000000	92.408	17.2125
4440.000000	92.982	20.4274
4500.000000	93.557	22.0411
4550.000000	94.051	22.5748
4620.000000	94.713	22.2151
4680.000000	95.220	21.0626
4750.000000	95.714	18.9877
4820.000000	96.090	16.3939
4870.000000	96.285	14.3627
4940.000000	96.459	11.4306
5000.000000	96.524	8.9555
5080.000000	96.505	5.8640
5150.000000	96.406	3.4532
5220.000000	96.245	1.3791
5300.000000	96.005	-0.5353
5380.000000	95.724	-1.9543
5450.000000	95.458	-2.8029
5520.000000	95.182	-3.3058
5600.000000	94.865	-3.4879
5700.000000	94.478	-3.1861
5800.000000	94.112	-2.3808
5900.000000	93.776	-1.1446
6000.000000	93.476	0.4583
6080.000000	93.265	1.9648
6150.000000	93.106	3.4154
6220.000000	92.974	4.9608
6300.000000	92.866	6.8114
6400.000000	92.804	9.1959
6500.000000	92.814	11.5871
6600.000000	92.888	13.8944
6700.000000	93.028	16.0239
6800.000000	93.235	17.8513
6900.000000	93.510	19.2160
7000.000000	93.844	19.9077
7100.000000	94.210	19.6716
7200.000000	94.550	18.3246
7300.000000	94.782	16.0260
7400.000000	94.889	13.4030
7500.000000	94.962	10.6036
7620.000000	94.963	5.9782
7750.000000	94.573	0.0512
7880.000000	93.765	-4.2860
8000.000000	92.902	-5.7135
8120.000000	92.171	-5.1732
8250.000000	91.686	-3.9017
8380.000000	91.493	-3.3548
8500.000000	91.450	-4.0312
8620.000000	91.428	-5.7444
8750.000000	91.355	-8.3450
8850.000000	91.246	-10.5625
9000.000000	91.005	-13.7579
9120.000000	90.768	-15.9378
9250.000000	90.498	-17.7648
9380.000000	90.238	-18.9901
9500.000000	90.029	-19.5209
9620.000000	89.889	-19.5770
9750.000000	89.816	-19.4718
9880.000000	89.791	-19.2850
10000.000000	89.808	-19.0476
10150.000000	89.879	-18.7782
10300.000000	89.988	-18.6878
10440.000000	90.101	-18.8860
10600.000000	90.210	-19.5598
10750.000000	90.258	-20.6626
10900.000000	90.216	-22.1700
11060.000000	90.036	-24.0597
11200.000000	89.745	-25.7050
11380.000000	89.192	-27.2521
11500.000000	88.762	-27.6548
11720.000000	88.013	-27.7674
11800.000000	87.742	-27.9188
12060.000000	86.752	-28.5261
12200.000000	86.176	-28.7160
12410.000000	85.336	-29.0850
12500.000000	85.003	-29.4308
12650.000000	84.500	-30.5093
12800.000000	84.068	-32.5228
13150.000000	83.368	-43.3766
13200.000000	83.309	-45.9132
13400.000000	83.175	-59.2244
13600.000000	83.171	-77.9159
13800.000000	83.181	-100.9013
14000.000000	83.077	-125.1536
14300.000000	82.662	-156.5818
14500.000000	82.327	-171.9527
14750.000000	81.960	174.6408
15000.000000	81.710	165.8808
15250.000000	81.598	159.9299
15500.000000	81.643	155.3605
15750.000000	81.878	150.9165
16000.000000	82.324	145.2422
16250.000000	82.847	137.4739
16500.000000	83.277	128.3002
16750.000000	83.751	117.8615
17000.000000	84.334	104.6558
17250.000000	84.921	87.1547
17500.000000	85.288	64.0198
17750.000000	84.995	34.6125
18000.000000	83.463	0.3013
18250.000000	80.270	-35.1638
18500.000000	75.408	-64.4404
18750.000000	71.011	-19.7210
19000.000000	71.742	-12.7864
19250.000000	73.257	-56.8405
19500.000000	73.222	-112.0223
19750.000000	71.845	-176.4321
20000.000000	70.287	119.1037
