* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2025 6:06:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Titan RDMZ R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.557	151.8837
20.600000	107.526	151.1513
20.900000	107.493	150.3739
21.200001	107.463	149.5853
21.400000	107.444	149.0452
21.799999	107.397	147.9312
22.000000	107.368	147.3681
22.400000	107.301	146.2660
22.700001	107.247	145.4749
23.000000	107.196	144.7020
23.299999	107.152	143.9150
23.600000	107.114	143.0799
24.000000	107.062	141.8724
24.299999	107.012	140.9291
24.700001	106.926	139.7291
25.000000	106.850	138.9486
25.400000	106.749	138.1210
25.799999	106.669	137.4845
26.200001	106.618	136.8932
26.500000	106.594	136.3908
26.900000	106.565	135.5880
27.200001	106.538	134.8983
27.600000	106.487	133.9224
28.000000	106.424	132.9482
28.500000	106.339	131.7820
29.000000	106.253	130.6665
29.500000	106.164	129.5925
30.000000	106.073	128.5801
30.400000	106.001	127.8225
30.700001	105.951	127.2744
31.100000	105.890	126.5420
31.500000	105.835	125.7737
32.000000	105.766	124.7367
32.500000	105.684	123.6484
33.000000	105.585	122.5976
33.500000	105.478	121.6587
34.000000	105.378	120.8258
34.500000	105.290	120.0229
35.000000	105.207	119.1886
35.500000	105.118	118.3400
36.000000	105.025	117.5396
36.500000	104.935	116.8123
37.000000	104.855	116.1190
37.500000	104.777	115.4083
38.200001	104.651	114.3762
38.700001	104.546	113.6478
39.500000	104.368	112.5151
40.000000	104.265	111.8069
40.599998	104.158	110.9399
41.200001	104.063	110.0539
41.799999	103.965	109.1713
42.500000	103.836	108.1767
43.099998	103.724	107.3201
43.700001	103.622	106.4168
44.400002	103.516	105.3711
45.000000	103.434	104.5807
45.500000	103.364	103.9970
46.200001	103.241	103.2233
46.799999	103.116	102.5475
47.500000	102.987	101.6093
48.200001	102.894	100.3621
48.700001	102.828	99.3774
49.400002	102.715	98.1673
50.000000	102.599	97.3656
50.799999	102.413	96.4448
51.500000	102.229	95.8351
52.200001	102.094	95.5566
53.000000	102.038	95.3229
53.799999	101.987	94.8712
54.500000	101.883	94.4258
55.200001	101.750	93.9543
56.000000	101.602	93.1764
57.000000	101.419	91.8496
58.000000	101.235	90.6627
59.000000	101.119	89.5905
60.000000	101.005	88.3287
60.799999	100.859	87.7792
61.500000	100.742	87.7116
62.200001	100.647	87.5548
63.000000	100.524	87.0495
64.000000	100.356	86.3092
65.000000	100.192	85.5569
66.000000	99.994	84.9278
67.000000	99.836	84.3133
68.000000	99.735	83.2719
69.000000	99.634	82.2867
70.000000	99.527	81.7533
71.000000	99.371	81.3600
72.000000	99.171	80.8075
73.000000	99.029	79.7888
74.000000	98.952	78.4092
75.000000	98.821	77.6005
76.199997	98.612	77.7811
77.500000	98.540	77.5920
78.800003	98.589	76.3574
80.000000	98.450	75.4055
81.199997	98.169	75.0805
82.500000	97.909	74.3514
83.800003	97.697	73.4119
85.000000	97.554	73.0767
86.199997	97.475	72.7853
87.500000	97.376	72.3325
88.500000	97.265	72.1549
90.000000	97.030	71.9301
91.199997	96.908	71.2365
92.500000	96.826	70.5492
93.800003	96.710	70.7570
95.000000	96.593	70.9193
96.199997	96.451	70.7238
97.500000	96.273	70.3578
98.800003	96.169	69.5128
100.000000	96.086	68.4161
101.500000	96.019	66.4455
103.000000	96.061	63.7070
104.400002	95.852	64.2494
106.000000	95.483	66.3049
107.500000	95.291	66.3332
109.000000	95.250	65.8259
110.599998	95.114	65.8152
112.000000	94.994	65.7154
113.800003	94.897	64.2431
115.000000	94.875	63.6398
117.199997	94.761	62.1047
118.000000	94.707	61.1021
120.599998	94.579	61.0573
122.000000	94.465	61.3082
124.099998	94.233	60.9411
125.000000	94.144	60.7264
126.500000	94.029	60.3348
128.000000	93.942	59.9893
131.500000	93.734	58.9159
132.000000	93.704	58.7917
134.000000	93.598	58.3468
136.000000	93.507	57.8780
138.000000	93.369	57.4972
140.000000	93.211	57.1590
143.000000	93.049	56.8761
