* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2025 5:53:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Titan SDP L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.455	157.7505
20.600000	106.432	156.9264
20.900000	106.403	156.0336
21.200001	106.372	155.1387
21.400000	106.352	154.5448
21.799999	106.313	153.3694
22.000000	106.294	152.7905
22.400000	106.257	151.6522
22.700001	106.229	150.8105
23.000000	106.199	149.9720
23.299999	106.165	149.1318
23.600000	106.126	148.2910
24.000000	106.066	147.1834
24.299999	106.016	146.3775
24.700001	105.950	145.3512
25.000000	105.905	144.6153
25.400000	105.857	143.6569
25.799999	105.821	142.6923
26.200001	105.789	141.7023
26.500000	105.763	140.9498
26.900000	105.718	139.9624
27.200001	105.676	139.2555
27.600000	105.612	138.3737
28.000000	105.546	137.5436
28.500000	105.471	136.4962
29.000000	105.402	135.3354
29.500000	105.328	134.0478
30.000000	105.238	132.7523
30.400000	105.159	131.8194
30.700001	105.103	131.2116
31.100000	105.040	130.5076
31.500000	104.992	129.8631
32.000000	104.946	129.0287
32.500000	104.892	128.1093
33.000000	104.820	127.1451
33.500000	104.733	126.1976
34.000000	104.646	125.2791
34.500000	104.563	124.3677
35.000000	104.485	123.4559
35.500000	104.409	122.5575
36.000000	104.334	121.6774
36.500000	104.256	120.8055
37.000000	104.172	119.9420
37.500000	104.083	119.1074
38.200001	103.964	118.0053
38.700001	103.888	117.2297
39.500000	103.775	115.9410
40.000000	103.698	115.1324
40.599998	103.598	114.2124
41.200001	103.497	113.3481
41.799999	103.398	112.4985
42.500000	103.283	111.4963
43.099998	103.184	110.6459
43.700001	103.085	109.8206
44.400002	102.972	108.8815
45.000000	102.875	108.0881
45.500000	102.795	107.4397
46.200001	102.682	106.5537
46.799999	102.586	105.8034
47.500000	102.467	104.9597
48.200001	102.344	104.2222
48.700001	102.265	103.7521
49.400002	102.171	103.0333
50.000000	102.091	102.2524
50.799999	101.951	101.0842
51.500000	101.812	100.1810
52.200001	101.689	99.4437
53.000000	101.572	98.6669
53.799999	101.454	97.8810
54.500000	101.344	97.1576
55.200001	101.228	96.3920
56.000000	101.097	95.5499
57.000000	100.950	94.6670
58.000000	100.819	93.8541
59.000000	100.685	92.8070
60.000000	100.521	91.6969
60.799999	100.391	91.1111
61.500000	100.300	90.7101
62.200001	100.212	90.2131
63.000000	100.096	89.5448
64.000000	99.951	88.7182
65.000000	99.808	87.8098
66.000000	99.631	86.9094
67.000000	99.469	86.2447
68.000000	99.362	85.6048
69.000000	99.254	84.8915
70.000000	99.132	84.2498
71.000000	99.023	83.6678
72.000000	98.903	83.2085
73.000000	98.739	82.9824
74.000000	98.572	82.7181
75.000000	98.440	81.8832
76.199997	98.295	80.5987
