* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2025 6:14:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Titan Type E R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.074	152.7909
20.600000	108.035	152.0300
20.900000	107.988	151.2027
21.200001	107.940	150.3683
21.400000	107.908	149.8115
21.799999	107.850	148.7033
22.000000	107.823	148.1557
22.400000	107.775	147.0798
22.700001	107.743	146.2903
23.000000	107.711	145.5133
23.299999	107.677	144.7463
23.600000	107.639	143.9879
24.000000	107.581	142.9888
24.299999	107.531	142.2474
24.700001	107.460	141.2636
25.000000	107.405	140.5238
25.400000	107.334	139.5284
25.799999	107.267	138.5235
26.200001	107.206	137.5198
26.500000	107.164	136.7778
26.900000	107.111	135.8161
27.200001	107.072	135.1227
27.600000	107.016	134.2415
28.000000	106.955	133.4107
28.500000	106.869	132.4276
29.000000	106.776	131.4631
29.500000	106.684	130.4588
30.000000	106.597	129.3815
30.400000	106.529	128.4809
30.700001	106.479	127.8060
31.100000	106.412	126.9418
31.500000	106.344	126.1498
32.000000	106.260	125.2720
32.500000	106.176	124.4680
33.000000	106.088	123.6471
33.500000	105.993	122.7504
34.000000	105.889	121.7984
34.500000	105.784	120.8630
35.000000	105.691	119.9931
35.500000	105.616	119.1709
36.000000	105.551	118.3468
36.500000	105.478	117.5010
37.000000	105.391	116.6564
37.500000	105.293	115.8405
38.200001	105.160	114.7459
38.700001	105.074	113.9823
39.500000	104.950	112.7945
40.000000	104.871	112.0744
40.599998	104.765	111.2230
41.200001	104.647	110.3854
41.799999	104.532	109.5613
42.500000	104.418	108.5938
43.099998	104.333	107.7601
43.700001	104.244	106.9620
44.400002	104.121	106.1053
45.000000	104.000	105.4023
45.500000	103.898	104.8056
46.200001	103.767	103.9346
46.799999	103.670	103.1824
47.500000	103.562	102.3702
48.200001	103.440	101.6647
48.700001	103.343	101.2094
49.400002	103.218	100.5907
50.000000	103.154	99.9754
50.799999	103.136	98.7832
51.500000	103.094	97.4853
52.200001	102.957	96.4753
53.000000	102.740	95.9775
53.799999	102.554	95.5913
54.500000	102.419	94.9523
55.200001	102.301	94.1826
56.000000	102.185	93.3481
57.000000	102.035	92.4465
58.000000	101.878	91.6623
59.000000	101.722	90.8873
60.000000	101.574	90.1386
60.799999	101.456	89.3994
61.500000	101.336	88.7106
62.200001	101.215	88.1506
63.000000	101.100	87.6238
64.000000	100.965	86.8721
65.000000	100.826	85.9494
66.000000	100.692	84.8396
67.000000	100.532	83.9731
68.000000	100.383	83.5907
69.000000	100.261	83.1238
70.000000	100.126	82.4216
71.000000	99.983	81.8031
72.000000	99.846	81.2380
73.000000	99.721	80.6141
74.000000	99.626	79.9235
75.000000	99.523	79.2430
76.199997	99.338	78.6812
77.500000	99.130	77.8690
78.800003	98.943	76.6549
80.000000	98.796	76.1939
81.199997	98.697	76.1272
82.500000	98.566	75.6203
83.800003	98.384	74.9445
85.000000	98.221	74.4343
86.199997	98.089	73.8451
87.500000	97.962	73.2178
88.500000	97.861	72.7602
90.000000	97.687	72.0041
91.199997	97.573	71.4571
92.500000	97.449	70.9945
93.800003	97.302	70.5624
95.000000	97.178	70.0357
96.199997	97.059	69.5566
97.500000	96.912	69.1890
98.800003	96.773	68.7233
100.000000	96.667	68.1214
101.500000	96.524	67.5571
103.000000	96.362	67.0545
104.400002	96.216	66.5817
106.000000	96.091	66.1425
107.500000	95.980	65.7459
109.000000	95.868	65.4102
110.599998	95.745	65.1426
112.000000	95.623	64.9381
113.800003	95.466	64.3823
115.000000	95.377	63.8657
117.199997	95.248	63.1366
118.000000	95.198	62.9192
120.599998	94.995	62.4078
122.000000	94.897	62.1146
124.099998	94.760	61.5947
125.000000	94.704	61.4181
126.500000	94.614	61.1254
128.000000	94.526	60.8300
131.500000	94.311	59.8021
132.000000	94.274	59.6788
134.000000	94.138	59.2985
136.000000	94.048	59.0473
138.000000	93.948	58.5614
140.000000	93.807	57.8643
143.000000	93.622	57.2783
145.000000	93.513	56.9056
147.500000	93.302	56.0243
150.000000	93.024	54.9959
152.500000	93.011	55.3731
155.000000	92.889	55.4875
157.500000	92.845	55.0508
160.000000	92.818	54.6401
162.500000	92.728	54.2063
165.000000	92.624	53.7837
167.500000	92.526	53.4089
170.000000	92.424	53.0929
172.500000	92.322	52.7599
175.000000	92.230	52.4108
177.500000	92.145	51.9907
180.000000	92.058	51.6006
