* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2025 6:08:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Titan VelW L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.144	158.1163
20.600000	107.114	157.3489
20.900000	107.076	156.5181
21.200001	107.037	155.6708
21.400000	107.012	155.0897
21.799999	106.962	153.8723
22.000000	106.937	153.2374
22.400000	106.884	151.9463
22.700001	106.840	151.0037
23.000000	106.796	150.1252
23.299999	106.757	149.3327
23.600000	106.728	148.6206
24.000000	106.707	147.7360
24.299999	106.700	147.0599
24.700001	106.690	146.0732
25.000000	106.668	145.2628
25.400000	106.610	144.1375
25.799999	106.522	143.0451
26.200001	106.418	142.0480
26.500000	106.343	141.3608
26.900000	106.258	140.4790
27.200001	106.207	139.8072
27.600000	106.152	138.8713
28.000000	106.101	137.9061
28.500000	106.033	136.7269
29.000000	105.959	135.6350
29.500000	105.882	134.6171
30.000000	105.805	133.6094
30.400000	105.742	132.7720
30.700001	105.693	132.1183
31.100000	105.624	131.2222
31.500000	105.548	130.3273
32.000000	105.449	129.2727
32.500000	105.353	128.3347
33.000000	105.272	127.4860
33.500000	105.207	126.6369
34.000000	105.146	125.7173
34.500000	105.074	124.7358
35.000000	104.988	123.7591
35.500000	104.894	122.8441
36.000000	104.807	121.9960
36.500000	104.732	121.1752
37.000000	104.665	120.3372
37.500000	104.596	119.4724
38.200001	104.478	118.2904
38.700001	104.382	117.5207
39.500000	104.241	116.3364
40.000000	104.162	115.5368
40.599998	104.064	114.5565
41.200001	103.958	113.6826
41.799999	103.859	112.8970
42.500000	103.745	111.8656
43.099998	103.628	110.8568
43.700001	103.500	109.9182
44.400002	103.382	109.0438
45.000000	103.315	108.3774
45.500000	103.261	107.7956
46.200001	103.157	106.9052
46.799999	103.037	106.0991
47.500000	102.888	105.2144
