* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2025 6:21:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Titan Velvet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.610	158.5270
20.600000	107.571	157.6760
20.900000	107.522	156.8004
21.200001	107.475	155.9646
21.400000	107.448	155.4192
21.799999	107.404	154.3141
22.000000	107.386	153.7386
22.400000	107.349	152.5328
22.700001	107.315	151.6024
23.000000	107.273	150.6869
23.299999	107.225	149.8201
23.600000	107.176	149.0197
24.000000	107.119	148.0403
24.299999	107.085	147.3325
24.700001	107.049	146.3596
25.000000	107.021	145.5870
25.400000	106.972	144.5198
25.799999	106.906	143.4722
26.200001	106.830	142.5007
26.500000	106.773	141.8238
26.900000	106.706	140.9486
27.200001	106.663	140.2764
27.600000	106.609	139.3311
28.000000	106.551	138.3500
28.500000	106.466	137.1623
29.000000	106.376	136.0952
29.500000	106.296	135.1226
30.000000	106.225	134.1488
30.400000	106.169	133.3293
30.700001	106.125	132.6957
31.100000	106.062	131.8482
31.500000	105.997	131.0171
32.000000	105.919	129.9999
32.500000	105.845	128.9794
33.000000	105.767	127.9516
33.500000	105.682	126.9604
34.000000	105.593	126.0483
34.500000	105.511	125.1976
35.000000	105.433	124.3440
35.500000	105.350	123.4548
36.000000	105.257	122.5639
36.500000	105.162	121.7124
37.000000	105.077	120.8759
37.500000	105.003	119.9933
38.200001	104.893	118.7215
38.700001	104.802	117.9460
39.500000	104.678	116.9998
40.000000	104.625	116.3511
40.599998	104.551	115.3184
41.200001	104.432	114.1968
41.799999	104.289	113.2993
42.500000	104.160	112.5324
43.099998	104.085	111.7964
43.700001	104.003	110.8567
44.400002	103.869	109.7119
45.000000	103.744	108.8777
45.500000	103.653	108.2859
46.200001	103.551	107.4900
46.799999	103.472	106.7445
47.500000	103.365	105.7803
48.200001	103.231	104.8051
48.700001	103.128	104.1667
49.400002	102.991	103.3690
50.000000	102.886	102.7317
50.799999	102.758	101.8806
51.500000	102.657	101.0732
52.200001	102.555	100.1806
53.000000	102.421	99.2577
53.799999	102.290	98.6609
54.500000	102.201	98.2225
55.200001	102.120	97.5869
56.000000	102.004	96.6723
57.000000	101.853	95.6410
58.000000	101.728	94.6537
59.000000	101.569	93.4001
60.000000	101.354	92.3025
60.799999	101.213	91.7422
61.500000	101.123	91.3001
62.200001	101.034	90.8229
63.000000	100.924	90.2781
64.000000	100.794	89.5316
65.000000	100.641	88.7034
66.000000	100.435	88.0844
67.000000	100.241	87.5532
