* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2025 6:22:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Titan Velvet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.986	152.3150
20.600000	107.945	151.6167
20.900000	107.900	150.8683
21.200001	107.858	150.1036
21.400000	107.832	149.5770
21.799999	107.783	148.4765
22.000000	107.759	147.9074
22.400000	107.706	146.7546
22.700001	107.663	145.8949
23.000000	107.618	145.0489
23.299999	107.570	144.2185
23.600000	107.519	143.4035
24.000000	107.447	142.3441
24.299999	107.392	141.5753
24.700001	107.320	140.5890
25.000000	107.270	139.8741
25.400000	107.210	138.9387
25.799999	107.156	138.0083
26.200001	107.103	137.0818
26.500000	107.062	136.3982
26.900000	107.004	135.5139
27.200001	106.959	134.8721
27.600000	106.898	134.0347
28.000000	106.836	133.2024
28.500000	106.755	132.1583
29.000000	106.669	131.1168
29.500000	106.584	130.0780
30.000000	106.500	129.0252
30.400000	106.432	128.1726
30.700001	106.379	127.5390
31.100000	106.305	126.7232
31.500000	106.232	125.9545
32.000000	106.148	125.0445
32.500000	106.070	124.1428
33.000000	105.992	123.2207
33.500000	105.907	122.3030
34.000000	105.815	121.4304
34.500000	105.724	120.6095
35.000000	105.638	119.8079
35.500000	105.556	118.9907
36.000000	105.472	118.1468
36.500000	105.386	117.2895
37.000000	105.295	116.4437
37.500000	105.203	115.6376
38.200001	105.076	114.6004
38.700001	104.992	113.8957
39.500000	104.864	112.7136
40.000000	104.778	111.9204
40.599998	104.667	110.9679
41.200001	104.554	110.0739
41.799999	104.446	109.2491
42.500000	104.326	108.3477
43.099998	104.225	107.5816
43.700001	104.125	106.7387
44.400002	103.999	105.6005
45.000000	103.872	104.6184
45.500000	103.763	103.9369
46.200001	103.638	103.2416
46.799999	103.564	102.7205
47.500000	103.481	102.0073
48.200001	103.372	101.2292
48.700001	103.284	100.6874
49.400002	103.163	99.9157
50.000000	103.064	99.2013
50.799999	102.926	98.2503
51.500000	102.803	97.5154
52.200001	102.685	96.8499
53.000000	102.552	96.0938
53.799999	102.418	95.3276
54.500000	102.304	94.6429
55.200001	102.193	93.9250
56.000000	102.062	93.1050
57.000000	101.902	92.1981
58.000000	101.753	91.3913
59.000000	101.596	90.6532
60.000000	101.445	89.9295
