* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 12, 2025 4:41:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim Bunny 3.5mm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.776	-141.7974
20.600000	96.801	-142.4509
20.900000	96.823	-143.1086
21.200001	96.846	-143.6869
21.400000	96.866	-144.0252
21.799999	96.923	-144.6242
22.000000	96.960	-144.9083
22.400000	97.038	-145.4956
22.700001	97.093	-145.9653
23.000000	97.135	-146.4445
23.299999	97.163	-146.9023
23.600000	97.181	-147.3096
24.000000	97.201	-147.7576
24.299999	97.224	-148.0450
24.700001	97.273	-148.4331
25.000000	97.319	-148.7700
25.400000	97.381	-149.2969
25.799999	97.432	-149.8711
26.200001	97.469	-150.4265
26.500000	97.490	-150.8109
26.900000	97.517	-151.3005
27.200001	97.539	-151.6818
27.600000	97.568	-152.2443
28.000000	97.593	-152.8621
28.500000	97.618	-153.6352
29.000000	97.644	-154.3206
29.500000	97.673	-154.9032
30.000000	97.701	-155.4197
30.400000	97.716	-155.8014
30.700001	97.724	-156.0750
31.100000	97.735	-156.4429
31.500000	97.749	-156.8486
32.000000	97.769	-157.4350
32.500000	97.784	-158.0393
33.000000	97.793	-158.5201
33.500000	97.810	-158.8259
34.000000	97.839	-159.0775
34.500000	97.867	-159.4409
35.000000	97.874	-159.9495
35.500000	97.866	-160.4933
36.000000	97.868	-160.9606
36.500000	97.904	-161.3374
37.000000	97.968	-161.6582
37.500000	98.030	-161.9066
38.200001	98.066	-162.0154
38.700001	98.058	-161.9562
39.500000	98.022	-162.1288
40.000000	97.986	-162.6413
40.599998	97.923	-163.4810
41.200001	97.883	-164.1053
41.799999	97.936	-164.4201
42.500000	98.103	-165.0100
43.099998	98.205	-165.9520
43.700001	98.198	-166.8455
44.400002	98.130	-167.2926
45.000000	98.112	-167.4339
45.500000	98.121	-167.6888
46.200001	98.121	-168.2474
46.799999	98.119	-168.7065
47.500000	98.149	-169.2980
48.200001	98.175	-170.0450
48.700001	98.168	-170.4776
49.400002	98.148	-170.6722
50.000000	98.158	-170.5572
50.799999	98.203	-170.5097
51.500000	98.218	-170.7635
52.200001	98.189	-171.1403
53.000000	98.146	-171.5481
53.799999	98.143	-172.0071
54.500000	98.163	-172.4466
55.200001	98.180	-172.7857
56.000000	98.178	-173.0592
57.000000	98.132	-173.4560
58.000000	98.108	-174.0450
59.000000	98.135	-174.7284
60.000000	98.158	-175.0657
60.799999	98.168	-175.1548
61.500000	98.165	-175.3244
62.200001	98.150	-175.5799
63.000000	98.133	-175.8510
64.000000	98.139	-176.1439
65.000000	98.167	-176.5877
66.000000	98.171	-176.9789
67.000000	98.151	-177.0866
68.000000	98.111	-177.2719
69.000000	98.076	-177.6508
70.000000	98.088	-178.1268
71.000000	98.098	-178.5328
72.000000	98.082	-178.7774
73.000000	98.067	-179.1167
74.000000	98.062	-179.5979
75.000000	98.052	179.9208
76.199997	98.017	179.5243
77.500000	97.996	179.2125
78.800003	97.986	178.8547
80.000000	97.975	178.5350
81.199997	97.962	178.1522
82.500000	97.940	177.7753
83.800003	97.914	177.3808
85.000000	97.894	177.0273
86.199997	97.887	176.8279
87.500000	97.874	176.6145
88.500000	97.844	176.2810
90.000000	97.814	175.8780
91.199997	97.810	175.6422
92.500000	97.773	175.3322
93.800003	97.740	175.0340
95.000000	97.722	174.9421
96.199997	97.702	174.8458
97.500000	97.670	174.4774
98.800003	97.636	174.1289
100.000000	97.603	174.0041
101.500000	97.578	173.8068
103.000000	97.566	173.5345
104.400002	97.540	173.2892
106.000000	97.507	172.8790
107.500000	97.491	172.5401
109.000000	97.463	172.3057
110.599998	97.424	172.0639
112.000000	97.392	171.8352
113.800003	97.362	171.5049
115.000000	97.350	171.2465
117.199997	97.297	170.8598
118.000000	97.271	170.7695
120.599998	97.220	170.7892
122.000000	97.162	170.7093
124.099998	97.064	170.4577
125.000000	97.044	170.4325
126.500000	97.042	170.4197
128.000000	97.042	170.3234
131.500000	97.030	169.8357
132.000000	97.035	169.8564
134.000000	97.017	169.9089
136.000000	96.993	169.5667
138.000000	96.981	169.2650
140.000000	96.955	169.1302
143.000000	96.893	168.8982
145.000000	96.852	168.4425
147.500000	96.813	167.8641
150.000000	96.754	167.6628
152.500000	96.708	167.7534
155.000000	96.668	167.6342
157.500000	96.632	167.4186
160.000000	96.587	167.2595
162.500000	96.536	167.1137
165.000000	96.474	166.8901
