* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 7, 2024 6:36:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim ONE L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.480	-135.5441
20.600000	99.541	-136.1799
20.900000	99.597	-136.8382
21.200001	99.645	-137.4568
21.400000	99.675	-137.8465
21.799999	99.735	-138.5954
22.000000	99.769	-138.9702
22.400000	99.843	-139.7560
22.700001	99.900	-140.3869
23.000000	99.954	-141.0405
23.299999	100.000	-141.6882
23.600000	100.039	-142.2979
24.000000	100.084	-143.0190
24.299999	100.116	-143.4963
24.700001	100.162	-144.0972
25.000000	100.198	-144.5632
25.400000	100.244	-145.2455
25.799999	100.284	-145.9949
26.200001	100.320	-146.7702
26.500000	100.345	-147.3390
26.900000	100.383	-148.0551
27.200001	100.414	-148.5544
27.600000	100.460	-149.1708
28.000000	100.508	-149.7379
28.500000	100.564	-150.4047
29.000000	100.613	-151.0817
29.500000	100.648	-151.8180
30.000000	100.663	-152.5838
30.400000	100.664	-153.1486
30.700001	100.665	-153.5139
31.100000	100.676	-153.9280
31.500000	100.705	-154.3119
32.000000	100.757	-154.8626
32.500000	100.805	-155.5440
33.000000	100.833	-156.2881
33.500000	100.851	-157.0025
34.000000	100.874	-157.6820
34.500000	100.906	-158.3741
35.000000	100.932	-159.0602
35.500000	100.944	-159.6430
36.000000	100.954	-160.0743
36.500000	100.974	-160.4488
37.000000	101.000	-160.9126
37.500000	101.017	-161.5029
38.200001	101.026	-162.3690
38.700001	101.043	-162.9419
39.500000	101.090	-163.9065
40.000000	101.105	-164.5235
40.599998	101.100	-165.1134
41.200001	101.101	-165.5305
41.799999	101.122	-165.9796
42.500000	101.135	-166.6505
43.099998	101.122	-167.1654
43.700001	101.113	-167.5432
44.400002	101.122	-167.9994
45.000000	101.128	-168.5024
45.500000	101.127	-168.9394
46.200001	101.127	-169.4982
46.799999	101.135	-169.9691
47.500000	101.143	-170.5481
48.200001	101.142	-171.1035
48.700001	101.143	-171.4696
49.400002	101.150	-171.9575
50.000000	101.158	-172.3624
50.799999	101.164	-172.9062
51.500000	101.155	-173.4197
52.200001	101.132	-173.9433
53.000000	101.109	-174.4895
53.799999	101.104	-174.9897
54.500000	101.101	-175.3994
55.200001	101.089	-175.7654
56.000000	101.074	-176.1760
57.000000	101.068	-176.8274
58.000000	101.058	-177.5389
59.000000	101.029	-177.9604
60.000000	101.015	-178.3184
60.799999	101.006	-178.8759
61.500000	100.990	-179.4461
62.200001	100.976	-179.9288
63.000000	100.969	179.6348
64.000000	100.952	179.1718
65.000000	100.928	178.7088
66.000000	100.902	178.1758
67.000000	100.873	177.6854
68.000000	100.854	177.2129
69.000000	100.835	176.7135
70.000000	100.812	176.2749
71.000000	100.781	175.8712
72.000000	100.745	175.4559
73.000000	100.721	175.0153
74.000000	100.703	174.5518
75.000000	100.677	174.1450
76.199997	100.646	173.7272
77.500000	100.623	173.2624
78.800003	100.595	172.7654
80.000000	100.550	172.3158
81.199997	100.501	171.9072
82.500000	100.462	171.5027
83.800003	100.424	171.1322
85.000000	100.385	170.8110
86.199997	100.348	170.4021
87.500000	100.312	169.9253
88.500000	100.285	169.5898
90.000000	100.237	169.1581
91.199997	100.195	168.8480
92.500000	100.155	168.5017
93.800003	100.116	168.1364
95.000000	100.080	167.8102
96.199997	100.044	167.4913
97.500000	100.000	167.1814
98.800003	99.957	166.8954
100.000000	99.919	166.6221
101.500000	99.874	166.2872
103.000000	99.826	165.9600
104.400002	99.780	165.6597
106.000000	99.727	165.3364
107.500000	99.678	165.0384
109.000000	99.633	164.7401
110.599998	99.584	164.4272
112.000000	99.537	164.1510
113.800003	99.479	163.8170
115.000000	99.443	163.6223
117.199997	99.377	163.2611
118.000000	99.349	163.1198
120.599998	99.256	162.7314
122.000000	99.211	162.5494
124.099998	99.148	162.2966
125.000000	99.120	162.1802
126.500000	99.069	161.9589
128.000000	99.025	161.7860
131.500000	98.906	161.4164
132.000000	98.886	161.3851
134.000000	98.816	161.4132
136.000000	98.773	161.3840
138.000000	98.721	161.1163
140.000000	98.657	160.7355
143.000000	98.548	160.4874
145.000000	98.485	160.4134
147.500000	98.417	160.2966
150.000000	98.361	160.1400
152.500000	98.297	159.9147
155.000000	98.227	159.8200
157.500000	98.156	159.7989
160.000000	98.102	159.6226
162.500000	98.033	159.4925
165.000000	97.966	159.4883
167.500000	97.904	159.4424
170.000000	97.851	159.3737
172.500000	97.787	159.4242
175.000000	97.713	159.5320
177.500000	97.670	159.4841
180.000000	97.651	159.2293
182.500000	97.580	159.3237
185.000000	97.500	159.4929
187.500000	97.441	159.5205
190.000000	97.395	159.4478
192.500000	97.348	159.3161
195.000000	97.295	159.1659
197.500000	97.242	159.0491
200.000000	97.188	158.9430
203.000000	97.121	158.8597
206.000000	97.050	158.8226
209.000000	96.979	158.7499
212.000000	96.917	158.6333
214.000000	96.874	158.6194
218.000000	96.780	158.7379
220.000000	96.734	158.7818
224.000000	96.645	158.8643
227.000000	96.580	158.9055
230.000000	96.513	158.9327
233.000000	96.451	158.9609
236.000000	96.392	159.0460
240.000000	96.312	159.1900
243.000000	96.250	159.2872
247.000000	96.170	159.4208
250.000000	96.111	159.4828
254.000000	96.021	159.5849
258.000000	95.945	159.7281
262.000000	95.883	159.9620
265.000000	95.838	160.1431
269.000000	95.775	160.3157
272.000000	95.725	160.4582
276.000000	95.656	160.6501
280.000000	95.589	160.8490
285.000000	95.507	161.1428
290.000000	95.434	161.4061
295.000000	95.374	161.6540
300.000000	95.313	161.8690
304.000000	95.246	162.0779
307.000000	95.197	162.2282
311.000000	95.133	162.4208
315.000000	95.070	162.6357
320.000000	95.000	162.9335
325.000000	94.936	163.2246
330.000000	94.870	163.5001
335.000000	94.801	163.8187
340.000000	94.733	164.1723
345.000000	94.670	164.5366
350.000000	94.608	164.9186
355.000000	94.552	165.2941
360.000000	94.501	165.6812
365.000000	94.459	166.0535
370.000000	94.425	166.3744
375.000000	94.393	166.6589
382.000000	94.337	167.0328
387.000000	94.290	167.3011
395.000000	94.215	167.7653
400.000000	94.168	168.0705
406.000000	94.114	168.4216
412.000000	94.058	168.7834
418.000000	93.994	169.1216
425.000000	93.935	169.5995
431.000000	93.893	170.0395
437.000000	93.848	170.4477
444.000000	93.795	170.9272
450.000000	93.752	171.3447
455.000000	93.715	171.6939
462.000000	93.666	172.1842
468.000000	93.626	172.6066
475.000000	93.582	173.1032
482.000000	93.537	173.5980
487.000000	93.507	173.9485
494.000000	93.466	174.4237
500.000000	93.432	174.8331
508.000000	93.387	175.3987
515.000000	93.350	175.8984
522.000000	93.315	176.3878
530.000000	93.275	176.9563
538.000000	93.238	177.5536
545.000000	93.206	178.0406
552.000000	93.175	178.5115
560.000000	93.141	179.0707
570.000000	93.101	179.7886
580.000000	93.062	-179.4917
590.000000	93.026	-178.7721
600.000000	92.992	-178.0502
608.000000	92.968	-177.4675
615.000000	92.949	-176.9546
622.000000	92.930	-176.4452
630.000000	92.909	-175.8674
640.000000	92.885	-175.1388
650.000000	92.864	-174.3989
660.000000	92.846	-173.6618
670.000000	92.827	-172.9202
680.000000	92.809	-172.1716
690.000000	92.794	-171.4248
700.000000	92.782	-170.6784
710.000000	92.773	-169.9198
720.000000	92.768	-169.1578
730.000000	92.765	-168.4121
740.000000	92.762	-167.6630
750.000000	92.763	-166.9081
762.000000	92.766	-165.9930
775.000000	92.776	-165.0130
788.000000	92.786	-164.0150
800.000000	92.796	-163.0750
812.000000	92.808	-162.1504
825.000000	92.825	-161.1581
838.000000	92.848	-160.1761
850.000000	92.872	-159.2566
862.000000	92.901	-158.3354
875.000000	92.938	-157.3592
885.000000	92.970	-156.6232
900.000000	93.027	-155.5407
912.000000	93.074	-154.6625
925.000000	93.129	-153.7264
938.000000	93.191	-152.8241
950.000000	93.254	-152.0232
962.000000	93.320	-151.2424
975.000000	93.395	-150.4039
988.000000	93.475	-149.5966
1000.000000	93.551	-148.8835
1015.000000	93.648	-148.0387
1030.000000	93.750	-147.2448
1044.000000	93.850	-146.5473
1060.000000	93.966	-145.8029
1075.000000	94.075	-145.1633
1090.000000	94.185	-144.5617
1106.000000	94.301	-143.9652
1120.000000	94.403	-143.4893
1138.000000	94.531	-142.9419
1150.000000	94.615	-142.6048
1172.000000	94.767	-142.0434
1180.000000	94.820	-141.8586
1206.000000	94.987	-141.3138
1220.000000	95.074	-141.0413
1241.000000	95.201	-140.6662
1250.000000	95.255	-140.5164
1265.000000	95.346	-140.2840
1280.000000	95.436	-140.0657
1315.000000	95.639	-139.5664
1320.000000	95.667	-139.4958
1340.000000	95.777	-139.2230
1360.000000	95.885	-138.9685
1380.000000	95.989	-138.7324
1400.000000	96.088	-138.4996
1430.000000	96.231	-138.1385
1450.000000	96.325	-137.8939
1475.000000	96.441	-137.6023
1500.000000	96.554	-137.3230
1525.000000	96.663	-137.0429
1550.000000	96.769	-136.7617
1575.000000	96.873	-136.4755
1600.000000	96.974	-136.1890
1625.000000	97.072	-135.9029
1650.000000	97.168	-135.6133
1675.000000	97.264	-135.3273
1700.000000	97.361	-135.0522
1725.000000	97.458	-134.7874
1750.000000	97.555	-134.5282
1775.000000	97.653	-134.2748
1800.000000	97.750	-134.0367
1825.000000	97.848	-133.8050
1850.000000	97.946	-133.5854
1875.000000	98.044	-133.3764
1900.000000	98.144	-133.1780
1925.000000	98.244	-132.9958
1950.000000	98.344	-132.8332
1975.000000	98.444	-132.6854
2000.000000	98.546	-132.5540
2030.000000	98.669	-132.4185
2060.000000	98.792	-132.3070
2090.000000	98.915	-132.2218
2120.000000	99.038	-132.1637
2140.000000	99.119	-132.1391
2180.000000	99.279	-132.1229
2200.000000	99.358	-132.1333
2240.000000	99.515	-132.1879
2270.000000	99.630	-132.2579
2300.000000	99.742	-132.3542
2330.000000	99.852	-132.4754
2360.000000	99.960	-132.6192
2400.000000	100.100	-132.8470
2430.000000	100.201	-133.0437
2470.000000	100.331	-133.3367
2500.000000	100.425	-133.5810
2540.000000	100.547	-133.9354
2580.000000	100.662	-134.3192
2620.000000	100.769	-134.7276
2650.000000	100.845	-135.0475
2690.000000	100.939	-135.4875
2720.000000	101.004	-135.8257
2760.000000	101.083	-136.2827
2800.000000	101.153	-136.7418
2850.000000	101.229	-137.3064
2900.000000	101.293	-137.8494
2950.000000	101.344	-138.3595
3000.000000	101.385	-138.8194
3040.000000	101.411	-139.1412
3070.000000	101.428	-139.3522
3110.000000	101.449	-139.5897
3150.000000	101.470	-139.7755
3200.000000	101.501	-139.9429
3250.000000	101.540	-140.0591
3300.000000	101.589	-140.1667
3350.000000	101.648	-140.3077
3400.000000	101.710	-140.5148
3450.000000	101.770	-140.7912
3500.000000	101.823	-141.1234
3550.000000	101.865	-141.4865
3600.000000	101.896	-141.8473
3650.000000	101.917	-142.1820
3700.000000	101.931	-142.4750
3750.000000	101.940	-142.7191
3820.000000	101.948	-142.9736
3870.000000	101.953	-143.0910
3950.000000	101.965	-143.1695
4000.000000	101.978	-143.1609
4060.000000	101.998	-143.1145
4120.000000	102.027	-143.0609
4180.000000	102.065	-143.0176
4250.000000	102.121	-142.9990
4310.000000	102.178	-143.0203
4370.000000	102.242	-143.0824
4440.000000	102.323	-143.2110
4500.000000	102.399	-143.3767
4550.000000	102.467	-143.5646
4620.000000	102.567	-143.9199
4680.000000	102.655	-144.3152
4750.000000	102.757	-144.8855
4820.000000	102.857	-145.5824
4870.000000	102.925	-146.1618
4940.000000	103.012	-147.0844
5000.000000	103.079	-147.9745
5080.000000	103.150	-149.2961
5150.000000	103.192	-150.5658
5220.000000	103.207	-151.9152
5300.000000	103.186	-153.4771
5380.000000	103.124	-154.8997
5450.000000	103.062	-155.9139
5520.000000	103.027	-156.8090
5600.000000	103.021	-158.0628
5700.000000	102.974	-160.1998
5800.000000	102.821	-162.4600
5900.000000	102.592	-164.4246
6000.000000	102.325	-166.0154
6080.000000	102.098	-167.0352
6150.000000	101.898	-167.7591
6220.000000	101.702	-168.3400
6300.000000	101.495	-168.8484
6400.000000	101.273	-169.2859
6500.000000	101.085	-169.5413
6600.000000	100.926	-169.6585
6700.000000	100.797	-169.6880
6800.000000	100.699	-169.6786
6900.000000	100.636	-169.6797
7000.000000	100.608	-169.7460
7100.000000	100.618	-169.9343
7200.000000	100.666	-170.3330
7300.000000	100.748	-171.0538
7400.000000	100.850	-172.1860
7500.000000	100.958	-173.7921
7620.000000	101.070	-176.4229
7750.000000	101.127	179.7885
7880.000000	101.045	175.1024
8000.000000	100.774	170.2418
8120.000000	100.255	165.2636
8250.000000	99.425	160.3356
8380.000000	98.367	156.5324
8500.000000	97.254	154.4713
8620.000000	96.085	154.0723
8750.000000	94.860	155.6268
8850.000000	94.023	158.1427
9000.000000	93.077	163.4393
9120.000000	92.658	168.0574
9250.000000	92.520	172.2070
9380.000000	92.580	174.6188
9500.000000	92.658	175.1747
9620.000000	92.642	174.5233
9750.000000	92.453	173.1778
9880.000000	92.082	171.9461
10000.000000	91.621	171.4395
10150.000000	90.979	172.0866
10300.000000	90.370	174.2875
10440.000000	89.933	177.6379
10600.000000	89.707	-177.4284
10750.000000	89.849	-172.5414
10900.000000	90.350	-168.5516
11060.000000	91.167	-166.5008
11200.000000	91.953	-167.0218
11380.000000	92.828	-170.3733
11500.000000	93.255	-173.6013
11720.000000	93.740	-179.9683
11800.000000	93.854	177.8397
12060.000000	94.185	171.4982
12200.000000	94.426	168.4247
12410.000000	94.984	163.6917
12500.000000	95.318	161.3865
12650.000000	96.013	156.7955
12800.000000	96.859	150.8139
13150.000000	98.977	128.3682
13200.000000	99.214	124.0284
13400.000000	99.724	104.3815
13600.000000	99.318	83.4112
13800.000000	98.078	64.5192
14000.000000	96.405	49.5327
14300.000000	93.971	33.5620
14500.000000	92.710	25.3563
14750.000000	91.613	15.7016
15000.000000	90.970	5.2654
15250.000000	90.673	-6.7105
15500.000000	90.690	-20.5746
15750.000000	91.089	-36.9417
16000.000000	91.996	-57.2290
16250.000000	93.289	-83.5272
16500.000000	94.289	-117.1901
16750.000000	94.146	-156.3738
17000.000000	92.542	163.9421
17250.000000	89.920	127.6213
17500.000000	86.957	94.9093
17750.000000	84.076	64.1385
18000.000000	81.393	33.5440
18250.000000	78.877	1.7688
18500.000000	76.471	-32.3181
18750.000000	74.115	-69.8458
19000.000000	71.741	-111.8943
19250.000000	69.227	-159.6335
19500.000000	66.438	146.0040
19750.000000	63.344	82.4397
20000.000000	60.814	15.6848
