* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 7, 2024 6:39:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim ONE R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.713	-133.6037
20.600000	99.767	-134.1883
20.900000	99.830	-134.8566
21.200001	99.893	-135.5513
21.400000	99.935	-136.0135
21.799999	100.015	-136.8976
22.000000	100.054	-137.3079
22.400000	100.130	-138.0606
22.700001	100.188	-138.5835
23.000000	100.245	-139.0953
23.299999	100.299	-139.6155
23.600000	100.351	-140.1533
24.000000	100.413	-140.8920
24.299999	100.455	-141.4475
24.700001	100.510	-142.1684
25.000000	100.551	-142.6873
25.400000	100.604	-143.3558
25.799999	100.655	-144.0135
26.200001	100.698	-144.6723
26.500000	100.725	-145.1656
26.900000	100.752	-145.8102
27.200001	100.772	-146.2767
27.600000	100.802	-146.8772
28.000000	100.845	-147.4715
28.500000	100.917	-148.2429
29.000000	100.995	-149.0538
29.500000	101.062	-149.8526
30.000000	101.108	-150.5750
30.400000	101.131	-151.0887
30.700001	101.144	-151.4505
31.100000	101.157	-151.9245
31.500000	101.168	-152.4046
32.000000	101.185	-153.0132
32.500000	101.215	-153.6279
33.000000	101.259	-154.2677
33.500000	101.308	-154.9489
34.000000	101.345	-155.6391
34.500000	101.367	-156.2765
35.000000	101.382	-156.8424
35.500000	101.400	-157.3897
36.000000	101.420	-157.9749
36.500000	101.437	-158.5822
37.000000	101.452	-159.1462
37.500000	101.472	-159.6395
38.200001	101.512	-160.3098
38.700001	101.534	-160.8415
39.500000	101.541	-161.7106
40.000000	101.543	-162.2088
40.599998	101.560	-162.8046
41.200001	101.590	-163.4575
41.799999	101.616	-164.1238
42.500000	101.632	-164.7932
43.099998	101.637	-165.2617
43.700001	101.640	-165.7007
44.400002	101.638	-166.2369
45.000000	101.638	-166.7166
45.500000	101.643	-167.1234
46.200001	101.656	-167.7002
46.799999	101.668	-168.1895
47.500000	101.676	-168.7329
48.200001	101.677	-169.2496
48.700001	101.675	-169.6149
49.400002	101.675	-170.1353
50.000000	101.678	-170.6002
50.799999	101.685	-171.2364
51.500000	101.688	-171.7440
52.200001	101.690	-172.1745
53.000000	101.694	-172.6818
53.799999	101.678	-173.2577
54.500000	101.651	-173.7137
55.200001	101.635	-174.1066
56.000000	101.634	-174.5840
57.000000	101.636	-175.2193
58.000000	101.626	-175.8157
59.000000	101.589	-176.2977
60.000000	101.560	-176.6973
60.799999	101.556	-177.1899
61.500000	101.552	-177.7093
62.200001	101.548	-178.1679
63.000000	101.549	-178.6079
64.000000	101.542	-179.1381
65.000000	101.526	-179.6475
66.000000	101.514	179.8363
67.000000	101.494	179.3444
68.000000	101.469	178.8697
69.000000	101.442	178.3817
70.000000	101.418	177.9322
71.000000	101.395	177.5126
72.000000	101.365	177.1099
73.000000	101.343	176.6992
74.000000	101.330	176.2695
75.000000	101.315	175.8493
76.199997	101.280	175.3519
77.500000	101.237	174.8639
78.800003	101.211	174.3470
80.000000	101.184	173.8615
81.199997	101.151	173.4257
82.500000	101.115	173.0229
83.800003	101.074	172.5866
85.000000	101.027	172.1705
86.199997	100.994	171.7881
87.500000	100.966	171.3765
88.500000	100.940	171.0735
90.000000	100.898	170.5799
91.199997	100.868	170.1946
92.500000	100.836	169.8163
93.800003	100.799	169.4886
95.000000	100.762	169.1946
96.199997	100.724	168.8758
97.500000	100.683	168.5074
98.800003	100.645	168.1615
100.000000	100.609	167.8784
101.500000	100.561	167.5302
103.000000	100.512	167.1782
104.400002	100.472	166.8852
106.000000	100.421	166.5290
107.500000	100.377	166.1387
109.000000	100.337	165.8284
110.599998	100.282	165.5856
112.000000	100.235	165.3082
113.800003	100.182	164.9330
115.000000	100.143	164.7050
117.199997	100.075	164.3010
118.000000	100.045	164.1824
120.599998	99.943	163.7798
122.000000	99.902	163.5300
124.099998	99.839	163.2203
125.000000	99.806	163.1284
126.500000	99.743	163.0016
128.000000	99.676	162.9266
131.500000	99.572	162.6877
132.000000	99.553	162.6278
134.000000	99.468	162.3626
136.000000	99.419	162.2663
138.000000	99.420	162.1900
140.000000	99.430	161.9680
143.000000	99.355	161.9879
145.000000	99.261	162.0951
147.500000	99.202	161.6204
150.000000	99.244	161.0966
152.500000	99.168	161.0352
155.000000	99.085	160.6047
157.500000	99.022	160.0925
160.000000	98.899	159.9758
162.500000	98.836	160.0020
165.000000	98.771	159.8412
167.500000	98.704	159.6235
170.000000	98.650	159.7785
172.500000	98.607	159.6707
175.000000	98.546	159.5049
177.500000	98.479	159.3892
180.000000	98.416	159.2897
182.500000	98.325	159.0962
185.000000	98.230	159.0284
187.500000	98.139	159.1288
190.000000	98.055	159.2816
192.500000	97.998	159.4564
195.000000	97.961	159.6591
197.500000	97.928	159.7726
200.000000	97.898	159.7106
203.000000	97.856	159.5695
206.000000	97.795	159.3243
209.000000	97.734	159.1121
212.000000	97.668	158.9841
214.000000	97.625	158.9578
218.000000	97.540	158.9719
220.000000	97.493	158.9870
224.000000	97.403	159.0100
227.000000	97.336	159.0291
230.000000	97.274	159.0604
233.000000	97.215	159.1069
236.000000	97.156	159.1384
240.000000	97.071	159.2154
243.000000	97.007	159.2777
247.000000	96.926	159.3819
250.000000	96.868	159.4360
254.000000	96.787	159.6097
258.000000	96.716	159.7515
262.000000	96.650	159.8519
265.000000	96.591	159.9172
269.000000	96.515	160.0746
272.000000	96.461	160.2132
276.000000	96.394	160.3980
280.000000	96.329	160.5794
285.000000	96.243	160.7877
290.000000	96.159	161.0151
295.000000	96.081	161.2761
300.000000	96.002	161.5237
304.000000	95.939	161.6951
307.000000	95.893	161.8330
311.000000	95.835	162.0168
315.000000	95.776	162.2227
320.000000	95.704	162.4993
325.000000	95.633	162.7744
330.000000	95.560	163.0430
335.000000	95.492	163.3221
340.000000	95.424	163.6387
345.000000	95.352	163.9561
350.000000	95.280	164.2646
355.000000	95.211	164.5987
360.000000	95.144	164.9752
365.000000	95.079	165.3931
370.000000	95.020	165.8646
375.000000	94.971	166.3778
382.000000	94.927	167.0391
387.000000	94.905	167.3789
395.000000	94.863	167.8052
400.000000	94.831	168.0589
406.000000	94.787	168.3627
412.000000	94.741	168.6605
418.000000	94.691	169.0184
425.000000	94.628	169.4101
431.000000	94.572	169.7338
437.000000	94.519	170.1022
444.000000	94.460	170.5544
450.000000	94.409	170.9497
455.000000	94.369	171.2807
462.000000	94.315	171.7498
468.000000	94.270	172.1663
475.000000	94.221	172.6476
482.000000	94.175	173.1364
487.000000	94.142	173.4886
494.000000	94.095	173.9697
500.000000	94.058	174.3795
508.000000	94.010	174.9488
515.000000	93.969	175.4473
522.000000	93.929	175.9494
530.000000	93.886	176.5163
538.000000	93.846	177.0709
545.000000	93.810	177.5906
552.000000	93.776	178.1223
560.000000	93.740	178.7100
570.000000	93.697	179.4465
580.000000	93.656	-179.8090
590.000000	93.620	-179.0663
600.000000	93.586	-178.3267
608.000000	93.558	-177.7527
615.000000	93.535	-177.2508
622.000000	93.513	-176.7372
630.000000	93.489	-176.1381
640.000000	93.462	-175.3819
650.000000	93.436	-174.6319
660.000000	93.413	-173.8884
670.000000	93.395	-173.1260
680.000000	93.378	-172.3604
690.000000	93.362	-171.5942
700.000000	93.348	-170.8316
710.000000	93.337	-170.0683
720.000000	93.327	-169.3029
730.000000	93.321	-168.5229
740.000000	93.316	-167.7368
750.000000	93.315	-166.9500
762.000000	93.316	-166.0107
775.000000	93.320	-164.9918
788.000000	93.330	-163.9688
800.000000	93.342	-163.0244
812.000000	93.354	-162.0791
825.000000	93.370	-161.0592
838.000000	93.390	-160.0363
850.000000	93.415	-159.0952
862.000000	93.444	-158.1626
875.000000	93.480	-157.1603
885.000000	93.510	-156.3928
900.000000	93.562	-155.2493
912.000000	93.612	-154.3580
925.000000	93.670	-153.4133
938.000000	93.733	-152.4860
950.000000	93.795	-151.6458
962.000000	93.861	-150.8229
975.000000	93.938	-149.9666
988.000000	94.018	-149.1429
1000.000000	94.096	-148.4083
1015.000000	94.197	-147.5275
1030.000000	94.300	-146.6990
1044.000000	94.398	-145.9730
1060.000000	94.514	-145.1919
