* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 12:56:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Waner L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.437	-158.6776
20.600000	97.454	-159.1429
20.900000	97.471	-159.6578
21.200001	97.488	-160.1876
21.400000	97.498	-160.5439
21.799999	97.516	-161.2495
22.000000	97.525	-161.5939
22.400000	97.545	-162.2659
22.700001	97.561	-162.7645
23.000000	97.578	-163.2705
23.299999	97.593	-163.7916
23.600000	97.605	-164.3285
24.000000	97.613	-165.0540
24.299999	97.612	-165.5861
24.700001	97.606	-166.2499
25.000000	97.600	-166.7021
25.400000	97.596	-167.2503
25.799999	97.601	-167.7700
26.200001	97.613	-168.3055
26.500000	97.623	-168.7318
26.900000	97.631	-169.3202
27.200001	97.631	-169.7528
27.600000	97.627	-170.2840
28.000000	97.623	-170.7560
28.500000	97.627	-171.3163
29.000000	97.635	-171.9214
29.500000	97.629	-172.5666
30.000000	97.608	-173.1611
30.400000	97.588	-173.5626
30.700001	97.578	-173.8362
31.100000	97.572	-174.2098
31.500000	97.570	-174.6312
32.000000	97.561	-175.2123
32.500000	97.542	-175.7701
33.000000	97.522	-176.2447
33.500000	97.512	-176.6647
34.000000	97.509	-177.0906
34.500000	97.505	-177.5404
35.000000	97.498	-177.9957
35.500000	97.488	-178.4491
36.000000	97.476	-178.9093
36.500000	97.462	-179.3740
37.000000	97.447	-179.8279
37.500000	97.434	179.7347
38.200001	97.418	179.1465
38.700001	97.405	178.7638
39.500000	97.385	178.2390
40.000000	97.376	177.9106
40.599998	97.359	177.4651
41.200001	97.324	177.0216
41.799999	97.286	176.6526
42.500000	97.257	176.2450
43.099998	97.241	175.8068
43.700001	97.219	175.3134
44.400002	97.190	174.7936
45.000000	97.171	174.4142
45.500000	97.158	174.1121
46.200001	97.136	173.7007
46.799999	97.111	173.3799
47.500000	97.081	173.0190
48.200001	97.055	172.6087
48.700001	97.035	172.2842
