* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 7, 2024 8:47:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Tangzu Waner Sancai
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.755	-148.0883
20.600000	94.756	-148.5801
20.900000	94.757	-149.0981
21.200001	94.764	-149.5877
21.400000	94.775	-149.8890
21.799999	94.822	-150.4243
22.000000	94.857	-150.6649
22.400000	94.952	-151.1351
22.700001	95.033	-151.5244
23.000000	95.112	-151.9812
23.299999	95.177	-152.5175
23.600000	95.218	-153.1210
24.000000	95.231	-153.9680
24.299999	95.214	-154.5756
24.700001	95.176	-155.2744
25.000000	95.152	-155.6973
25.400000	95.149	-156.1651
25.799999	95.187	-156.6218
26.200001	95.253	-157.1668
26.500000	95.303	-157.6487
26.900000	95.348	-158.3365
27.200001	95.359	-158.8267
27.600000	95.349	-159.3789
28.000000	95.329	-159.8173
28.500000	95.319	-160.3379
29.000000	95.332	-160.9829
29.500000	95.352	-161.7085
30.000000	95.374	-162.2986
30.400000	95.405	-162.5908
30.700001	95.440	-162.7403
31.100000	95.498	-162.9485
31.500000	95.551	-163.2615
32.000000	95.585	-163.8217
32.500000	95.576	-164.4560
33.000000	95.547	-165.0473
33.500000	95.525	-165.5758
34.000000	95.520	-166.0603
34.500000	95.527	-166.4966
35.000000	95.545	-166.8937
35.500000	95.565	-167.3088
36.000000	95.574	-167.7771
36.500000	95.561	-168.2417
37.000000	95.538	-168.6153
37.500000	95.527	-168.9027
38.200001	95.544	-169.3589
38.700001	95.558	-169.7919
39.500000	95.558	-170.4881
40.000000	95.554	-170.8467
40.599998	95.552	-171.2316
41.200001	95.548	-171.5804
41.799999	95.547	-171.8797
42.500000	95.557	-172.2724
43.099998	95.567	-172.7628
43.700001	95.559	-173.3513
44.400002	95.536	-173.9742
45.000000	95.523	-174.3817
45.500000	95.523	-174.6680
46.200001	95.528	-175.0656
46.799999	95.525	-175.4151
47.500000	95.508	-175.7970
48.200001	95.492	-176.1560
48.700001	95.484	-176.4255
49.400002	95.473	-176.8193
50.000000	95.462	-177.1398
50.799999	95.442	-177.5350
51.500000	95.419	-177.8681
52.200001	95.396	-178.1846
53.000000	95.385	-178.5693
53.799999	95.383	-179.0050
54.500000	95.376	-179.3453
55.200001	95.360	-179.6226
56.000000	95.328	-179.9823
57.000000	95.270	179.3904
58.000000	95.253	178.7721
59.000000	95.316	178.3454
60.000000	95.359	177.9716
60.799999	95.309	177.7524
61.500000	95.244	177.5917
62.200001	95.204	177.3033
63.000000	95.190	176.8541
64.000000	95.181	176.5449
65.000000	95.141	176.4774
66.000000	95.065	176.2720
67.000000	95.020	175.8466
