* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2025 10:56:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Blue2 Foam 5ohm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.142	-167.4654
20.600000	105.159	-168.0410
20.900000	105.174	-168.6805
21.200001	105.184	-169.3335
21.400000	105.189	-169.7684
21.799999	105.195	-170.6205
22.000000	105.198	-171.0326
22.400000	105.205	-171.8271
22.700001	105.212	-172.4035
23.000000	105.220	-172.9711
23.299999	105.226	-173.5346
23.600000	105.230	-174.0953
24.000000	105.232	-174.8354
24.299999	105.232	-175.3813
24.700001	105.232	-176.0929
25.000000	105.232	-176.6129
25.400000	105.235	-177.2869
25.799999	105.240	-177.9388
26.200001	105.247	-178.5708
26.500000	105.252	-179.0348
26.900000	105.255	-179.6442
27.200001	105.252	179.9033
27.600000	105.242	179.3047
28.000000	105.224	178.7107
28.500000	105.197	177.9723
29.000000	105.170	177.2357
29.500000	105.148	176.5029
30.000000	105.134	175.7818
30.400000	105.127	175.2174
30.700001	105.123	174.8018
31.100000	105.118	174.2573
31.500000	105.112	173.7239
32.000000	105.099	173.0739
32.500000	105.081	172.4413
33.000000	105.059	171.8238
33.500000	105.032	171.2257
34.000000	105.001	170.6579
34.500000	104.970	170.1169
35.000000	104.944	169.5686
35.500000	104.925	168.9699
36.000000	104.907	168.3115
36.500000	104.888	167.6346
37.000000	104.869	166.9961
37.500000	104.852	166.4227
38.200001	104.831	165.6991
38.700001	104.810	165.2043
39.500000	104.760	164.4260
40.000000	104.722	163.9461
40.599998	104.678	163.3750
41.200001	104.639	162.8138
41.799999	104.607	162.2683
42.500000	104.570	161.6538
43.099998	104.534	161.1480
43.700001	104.495	160.6429
44.400002	104.451	159.9891
45.000000	104.409	159.3560
45.500000	104.368	158.8285
46.200001	104.313	158.1905
46.799999	104.278	157.7317
47.500000	104.244	157.1961
48.200001	104.198	156.6276
48.700001	104.157	156.2339
49.400002	104.102	155.7111
50.000000	104.065	155.2514
50.799999	104.023	154.5974
51.500000	103.980	154.0352
52.200001	103.931	153.5057
53.000000	103.874	152.9029
53.799999	103.819	152.3003
54.500000	103.771	151.8198
55.200001	103.719	151.3959
56.000000	103.654	150.9220
57.000000	103.571	150.2314
58.000000	103.502	149.4727
59.000000	103.443	148.8411
60.000000	103.374	148.2949
60.799999	103.302	147.7853
61.500000	103.235	147.2864
62.200001	103.176	146.8005
63.000000	103.120	146.3262
64.000000	103.049	145.8560
65.000000	102.969	145.3844
66.000000	102.893	144.8160
67.000000	102.820	144.2354
68.000000	102.735	143.7474
69.000000	102.640	143.2942
70.000000	102.555	142.8008
71.000000	102.476	142.3560
72.000000	102.386	142.0442
73.000000	102.298	141.7145
74.000000	102.226	141.1654
75.000000	102.159	140.5555
76.199997	102.071	140.0078
77.500000	101.958	139.4600
78.800003	101.843	138.8820
80.000000	101.744	138.4362
81.199997	101.641	138.0426
82.500000	101.529	137.5727
83.800003	101.425	137.0982
85.000000	101.331	136.7337
86.199997	101.236	136.3665
87.500000	101.127	135.9219
88.500000	101.041	135.5714
90.000000	100.913	135.1021
91.199997	100.814	134.7738
92.500000	100.706	134.4151
93.800003	100.596	134.0234
95.000000	100.491	133.7056
96.199997	100.386	133.4558
97.500000	100.276	133.1908
98.800003	100.171	132.8998
100.000000	100.075	132.6156
101.500000	99.949	132.2263
103.000000	99.825	131.9028
104.400002	99.717	131.7150
106.000000	99.593	131.4824
107.500000	99.463	131.2360
109.000000	99.332	131.0414
110.599998	99.212	130.7828
112.000000	99.110	130.5621
113.800003	98.964	130.3466
