* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2025 10:59:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Blue2 Foam R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.910	-164.9992
20.600000	99.919	-165.5541
20.900000	99.928	-166.1509
21.200001	99.937	-166.7493
21.400000	99.945	-167.1494
21.799999	99.961	-167.9541
22.000000	99.970	-168.3576
22.400000	99.987	-169.1590
22.700001	99.997	-169.7463
23.000000	100.005	-170.3125
23.299999	100.009	-170.8501
23.600000	100.011	-171.3547
24.000000	100.012	-171.9782
24.299999	100.013	-172.4188
24.700001	100.018	-172.9958
25.000000	100.023	-173.4395
25.400000	100.030	-174.0650
25.799999	100.035	-174.7296
26.200001	100.035	-175.4099
26.500000	100.032	-175.9096
26.900000	100.025	-176.5396
27.200001	100.020	-176.9812
27.600000	100.016	-177.5415
28.000000	100.012	-178.0939
28.500000	100.003	-178.8000
29.000000	99.983	-179.5122
29.500000	99.956	179.8084
30.000000	99.931	179.1762
30.400000	99.918	178.6840
30.700001	99.913	178.3078
31.100000	99.908	177.7897
31.500000	99.902	177.2640
32.000000	99.888	176.6357
32.500000	99.872	176.0710
33.000000	99.860	175.5548
33.500000	99.854	175.0331
34.000000	99.850	174.4646
34.500000	99.838	173.8574
35.000000	99.816	173.2606
35.500000	99.787	172.7194
36.000000	99.760	172.2363
36.500000	99.738	171.7695
37.000000	99.718	171.2747
37.500000	99.695	170.7472
38.200001	99.651	170.0273
38.700001	99.619	169.5709
39.500000	99.587	168.8900
40.000000	99.575	168.4319
40.599998	99.556	167.8378
41.200001	99.523	167.2454
41.799999	99.484	166.6904
42.500000	99.439	166.0750
43.099998	99.404	165.5733
43.700001	99.373	165.1206
44.400002	99.344	164.6144
45.000000	99.317	164.1038
45.500000	99.285	163.6150
46.200001	99.230	162.9461
46.799999	99.194	162.4594
47.500000	99.167	161.9815
48.200001	99.125	161.6719
48.700001	99.084	161.6057
49.400002	99.041	161.5354
50.000000	99.023	161.1741
50.799999	98.981	160.1859
51.500000	98.919	159.3081
52.200001	98.866	158.7076
53.000000	98.821	158.1961
53.799999	98.762	157.7244
54.500000	98.705	157.3498
55.200001	98.656	156.9693
56.000000	98.606	156.5030
57.000000	98.546	155.9225
58.000000	98.500	155.3223
59.000000	98.457	154.7120
60.000000	98.396	154.1512
60.799999	98.333	153.7452
61.500000	98.277	153.3924
62.200001	98.219	153.0223
63.000000	98.148	152.6074
64.000000	98.058	152.1382
65.000000	97.985	151.6237
66.000000	97.923	151.0529
67.000000	97.855	150.5546
68.000000	97.773	150.1609
69.000000	97.684	149.8542
70.000000	97.609	149.5632
71.000000	97.546	149.1916
72.000000	97.484	148.7390
73.000000	97.416	148.2520
74.000000	97.339	147.7953
75.000000	97.257	147.4088
76.199997	97.160	146.9800
77.500000	97.054	146.5713
78.800003	96.954	146.2010
80.000000	96.864	145.8554
81.199997	96.784	145.5073
82.500000	96.692	145.0815
83.800003	96.591	144.7207
85.000000	96.501	144.3464
86.199997	96.412	144.0057
87.500000	96.311	143.6530
88.500000	96.223	143.3964
90.000000	96.104	143.1234
91.199997	96.022	142.9153
92.500000	95.929	142.6551
93.800003	95.831	142.3930
95.000000	95.742	142.1190
96.199997	95.656	141.8729
97.500000	95.557	141.8138
98.800003	95.446	141.8779
100.000000	95.353	141.6450
101.500000	95.244	141.0487
103.000000	95.135	140.7877
104.400002	95.018	140.7108
106.000000	94.890	140.5581
107.500000	94.792	140.4044
109.000000	94.686	140.1900
110.599998	94.565	139.9471
112.000000	94.461	139.8439
113.800003	94.327	139.7579
115.000000	94.243	139.7191
117.199997	94.079	139.7186
118.000000	94.012	139.6871
120.599998	93.810	139.4490
122.000000	93.714	139.4175
124.099998	93.581	139.4766
125.000000	93.521	139.5133
126.500000	93.421	139.5450
128.000000	93.321	139.5475
131.500000	93.082	139.5654
132.000000	93.050	139.5951
134.000000	92.923	139.7327
136.000000	92.783	139.8240
138.000000	92.646	139.9970
140.000000	92.518	140.1348
143.000000	92.337	140.3792
145.000000	92.222	140.5733
147.500000	92.085	140.8931
150.000000	91.939	141.2551
152.500000	91.777	141.4929
155.000000	91.631	141.8234
157.500000	91.494	142.2320
160.000000	91.357	142.6299
162.500000	91.217	143.0437
165.000000	91.079	143.4753
167.500000	90.942	143.9319
170.000000	90.808	144.4278
172.500000	90.682	144.9410
175.000000	90.561	145.4930
177.500000	90.443	146.0693
180.000000	90.331	146.6138
182.500000	90.213	147.1409
185.000000	90.098	147.7054
187.500000	89.995	148.2760
190.000000	89.897	148.9117
192.500000	89.798	149.5469
195.000000	89.701	150.1907
197.500000	89.612	150.8491
200.000000	89.527	151.4841
203.000000	89.428	152.1906
206.000000	89.332	152.8891
209.000000	89.241	153.5952
212.000000	89.159	154.4125
214.000000	89.112	154.9991
218.000000	89.025	156.1826
220.000000	88.980	156.7100
224.000000	88.906	157.6765
227.000000	88.858	158.3828
230.000000	88.803	159.1361
233.000000	88.747	159.8727
236.000000	88.701	160.5770
240.000000	88.654	161.5753
243.000000	88.621	162.3186
247.000000	88.586	163.2691
250.000000	88.567	163.9612
254.000000	88.530	164.8576
258.000000	88.502	165.7794
262.000000	88.482	166.7254
265.000000	88.467	167.3965
269.000000	88.451	168.2527
272.000000	88.441	168.8723
276.000000	88.428	169.6882
280.000000	88.419	170.4771
285.000000	88.414	171.4186
290.000000	88.412	172.3625
295.000000	88.419	173.2516
300.000000	88.428	174.0855
304.000000	88.435	174.7703
307.000000	88.441	175.2736
311.000000	88.450	175.9127
315.000000	88.463	176.5427
320.000000	88.481	177.2938
325.000000	88.501	178.0256
330.000000	88.520	178.7278
335.000000	88.540	179.3945
340.000000	88.560	-179.9588
345.000000	88.579	-179.3557
350.000000	88.601	-178.7892
355.000000	88.626	-178.1838
360.000000	88.650	-177.5984
365.000000	88.675	-177.0336
370.000000	88.702	-176.5053
375.000000	88.728	-175.9821
382.000000	88.758	-175.2743
387.000000	88.780	-174.7802
395.000000	88.818	-174.0310
400.000000	88.842	-173.5791
406.000000	88.869	-173.0304
412.000000	88.896	-172.4943
418.000000	88.926	-171.9653
425.000000	88.960	-171.3693
431.000000	88.989	-170.8774
437.000000	89.019	-170.3875
444.000000	89.053	-169.8306
450.000000	89.081	-169.3864
455.000000	89.110	-169.0161
462.000000	89.152	-168.5172
468.000000	89.185	-168.1237
475.000000	89.221	-167.6951
482.000000	89.255	-167.2870
487.000000	89.277	-167.0029
494.000000	89.306	-166.6108
500.000000	89.329	-166.2859
508.000000	89.357	-165.8560
515.000000	89.382	-165.4812
522.000000	89.405	-165.1053
530.000000	89.427	-164.6695
538.000000	89.450	-164.2605
545.000000	89.471	-163.9207
552.000000	89.491	-163.5482
560.000000	89.510	-163.0711
570.000000	89.536	-162.4986
580.000000	89.560	-161.9637
590.000000	89.584	-161.4312
600.000000	89.607	-160.8982
608.000000	89.625	-160.4583
615.000000	89.640	-160.0716
622.000000	89.656	-159.6880
630.000000	89.674	-159.2480
640.000000	89.696	-158.6997
650.000000	89.718	-158.1441
660.000000	89.745	-157.5879
670.000000	89.771	-157.0252
680.000000	89.794	-156.4557
690.000000	89.817	-155.8892
700.000000	89.840	-155.3155
710.000000	89.867	-154.7455
720.000000	89.894	-154.1684
730.000000	89.923	-153.5751
740.000000	89.954	-152.9684
750.000000	89.986	-152.3656
762.000000	90.023	-151.6722
775.000000	90.066	-150.9062
788.000000	90.111	-150.1186
800.000000	90.155	-149.3876
812.000000	90.199	-148.6584
825.000000	90.248	-147.8648
838.000000	90.299	-147.0793
850.000000	90.350	-146.3602
862.000000	90.405	-145.6323
875.000000	90.470	-144.8566
885.000000	90.522	-144.2769
