* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2025 10:49:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Blue2 Stock 5ohm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.803	-170.2719
20.600000	106.807	-170.8507
20.900000	106.809	-171.4684
21.200001	106.812	-172.0868
21.400000	106.814	-172.5021
21.799999	106.820	-173.3419
22.000000	106.822	-173.7633
22.400000	106.825	-174.5944
22.700001	106.826	-175.1967
23.000000	106.826	-175.7771
23.299999	106.827	-176.3384
23.600000	106.828	-176.8874
24.000000	106.829	-177.6111
24.299999	106.829	-178.1502
24.700001	106.825	-178.8606
25.000000	106.820	-179.3830
25.400000	106.811	179.9360
25.799999	106.801	179.2679
26.200001	106.789	178.6059
26.500000	106.780	178.1122
26.900000	106.768	177.4611
27.200001	106.760	176.9809
27.600000	106.751	176.3515
28.000000	106.744	175.7296
28.500000	106.738	174.9570
29.000000	106.728	174.1986
29.500000	106.709	173.4762
30.000000	106.686	172.7973
30.400000	106.666	172.2722
30.700001	106.651	171.8783
31.100000	106.632	171.3452
31.500000	106.615	170.8034
32.000000	106.594	170.1257
32.500000	106.576	169.4596
33.000000	106.558	168.8057
33.500000	106.536	168.1610
34.000000	106.509	167.5303
34.500000	106.478	166.9206
35.000000	106.449	166.3259
35.500000	106.422	165.7290
36.000000	106.396	165.1235
36.500000	106.365	164.5301
37.000000	106.329	163.9789
37.500000	106.293	163.4741
38.200001	106.249	162.7756
38.700001	106.223	162.2313
39.500000	106.179	161.3153
40.000000	106.149	160.7766
40.599998	106.114	160.1837
41.200001	106.079	159.6078
41.799999	106.038	159.0103
42.500000	105.982	158.2882
43.099998	105.933	157.6833
43.700001	105.891	157.1243
44.400002	105.850	156.5309
45.000000	105.816	156.0413
45.500000	105.783	155.6339
46.200001	105.730	155.0584
46.799999	105.685	154.5324
47.500000	105.627	153.8724
48.200001	105.556	153.2995
48.700001	105.506	153.0127
49.400002	105.460	152.6582
50.000000	105.436	152.1973
50.799999	105.387	151.3407
51.500000	105.324	150.6366
52.200001	105.267	150.1052
53.000000	105.212	149.5853
53.799999	105.150	149.0501
54.500000	105.087	148.5511
55.200001	105.026	148.0306
56.000000	104.966	147.4421
57.000000	104.900	146.7366
58.000000	104.818	146.1065
59.000000	104.728	145.5510
60.000000	104.649	144.9381
60.799999	104.586	144.4084
61.500000	104.529	143.9535
62.200001	104.468	143.5230
63.000000	104.397	143.0645
64.000000	104.311	142.5131
65.000000	104.222	141.9654
66.000000	104.131	141.4319
67.000000	104.046	140.9017
68.000000	103.968	140.3438
69.000000	103.886	139.7825
70.000000	103.796	139.2971
71.000000	103.709	138.8518
72.000000	103.624	138.3723
73.000000	103.532	137.8955
74.000000	103.440	137.4662
75.000000	103.355	137.0294
76.199997	103.246	136.4791
77.500000	103.123	135.9777
78.800003	103.015	135.4924
80.000000	102.920	134.9951
81.199997	102.810	134.5266
82.500000	102.683	134.0741
83.800003	102.562	133.6158
85.000000	102.455	133.1953
86.199997	102.353	132.7939
87.500000	102.244	132.4221
88.500000	102.155	132.1595
90.000000	102.013	131.7215
91.199997	101.906	131.3776
92.500000	101.795	131.0851
93.800003	101.685	130.7723
95.000000	101.580	130.4456
96.199997	101.462	130.1698
97.500000	101.326	129.8884
98.800003	101.211	129.5107
100.000000	101.119	129.1825
101.500000	101.000	128.9513
103.000000	100.870	128.7462
104.400002	100.752	128.5133
106.000000	100.622	128.2388
107.500000	100.492	127.9936
109.000000	100.358	127.7324
110.599998	100.220	127.5412
112.000000	100.104	127.4662
113.800003	99.960	127.2989
115.000000	99.861	127.1750
117.199997	99.664	126.9778
118.000000	99.597	126.9144
120.599998	99.392	126.7855
122.000000	99.289	126.7414
124.099998	99.136	126.6634
125.000000	99.069	126.6186
126.500000	98.956	126.5220
128.000000	98.839	126.4280
131.500000	98.568	126.3683
132.000000	98.529	126.3853
134.000000	98.373	126.4672
136.000000	98.224	126.4734
138.000000	98.082	126.4102
140.000000	97.940	126.4272
143.000000	97.725	126.5575
145.000000	97.582	126.6996
147.500000	97.401	126.8806
150.000000	97.218	127.0522
152.500000	97.054	127.3061
155.000000	96.890	127.5830
157.500000	96.724	127.8728
160.000000	96.564	128.2132
162.500000	96.402	128.5796
165.000000	96.240	129.0065
167.500000	96.084	129.4394
170.000000	95.936	129.8883
172.500000	95.797	130.3354
175.000000	95.657	130.7661
177.500000	95.516	131.2099
180.000000	95.386	131.6779
182.500000	95.260	132.1479
185.000000	95.134	132.6874
187.500000	95.008	133.2057
190.000000	94.887	133.6726
192.500000	94.780	134.1774
195.000000	94.674	134.6613
197.500000	94.571	135.1592
200.000000	94.473	135.6936
203.000000	94.352	136.3273
206.000000	94.239	136.9636
209.000000	94.133	137.6324
212.000000	94.027	138.2907
214.000000	93.959	138.7206
218.000000	93.837	139.5677
220.000000	93.779	139.9986
224.000000	93.667	140.8628
227.000000	93.588	141.5330
230.000000	93.514	142.2080
233.000000	93.440	142.8740
236.000000	93.372	143.5186
240.000000	93.288	144.3570
243.000000	93.224	144.9883
247.000000	93.146	145.8244
250.000000	93.095	146.4392
254.000000	93.032	147.1763
258.000000	92.971	147.9315
262.000000	92.911	148.7244
265.000000	92.868	149.3397
269.000000	92.815	150.0945
272.000000	92.779	150.6148
276.000000	92.734	151.3149
280.000000	92.692	152.0013
285.000000	92.645	152.8181
290.000000	92.600	153.6358
295.000000	92.558	154.4177
300.000000	92.519	155.1682
304.000000	92.489	155.7559
307.000000	92.467	156.1887
311.000000	92.438	156.7668
315.000000	92.411	157.3460
320.000000	92.380	158.0594
325.000000	92.354	158.7416
330.000000	92.332	159.3924
335.000000	92.310	160.0111
340.000000	92.291	160.6429
345.000000	92.272	161.2864
350.000000	92.257	161.8919
355.000000	92.242	162.4431
360.000000	92.226	162.9748
365.000000	92.212	163.4423
370.000000	92.201	163.9331
375.000000	92.191	164.4347
382.000000	92.169	165.0984
387.000000	92.151	165.5642
395.000000	92.125	166.3068
400.000000	92.111	166.7881
406.000000	92.096	167.3438
412.000000	92.083	167.8763
418.000000	92.072	168.3993
425.000000	92.057	168.9996
431.000000	92.044	169.4925
437.000000	92.030	169.9821
444.000000	92.017	170.5518
450.000000	92.007	171.0523
455.000000	91.997	171.4850
462.000000	91.987	172.0748
468.000000	91.983	172.5430
475.000000	91.979	173.0493
482.000000	91.975	173.5408
487.000000	91.972	173.8774
494.000000	91.966	174.3321
500.000000	91.959	174.7047
508.000000	91.949	175.1988
515.000000	91.940	175.6392
522.000000	91.930	176.0813
530.000000	91.915	176.5800
538.000000	91.899	177.0768
545.000000	91.883	177.5122
552.000000	91.867	177.9490
560.000000	91.854	178.4680
570.000000	91.836	179.1079
580.000000	91.818	179.7427
590.000000	91.800	-179.6125
600.000000	91.781	-178.9711
608.000000	91.766	-178.4484
615.000000	91.753	-177.9828
622.000000	91.742	-177.5198
630.000000	91.729	-176.9885
640.000000	91.714	-176.3179
650.000000	91.702	-175.6384
660.000000	91.692	-174.9703
670.000000	91.682	-174.2876
680.000000	91.675	-173.5991
690.000000	91.669	-172.9064
700.000000	91.664	-172.2206
710.000000	91.661	-171.5386
720.000000	91.659	-170.8546
730.000000	91.659	-170.1613
740.000000	91.659	-169.4575
750.000000	91.661	-168.7542
762.000000	91.668	-167.8974
775.000000	91.678	-166.9624
788.000000	91.691	-166.0351
800.000000	91.704	-165.1644
812.000000	91.719	-164.2838
825.000000	91.740	-163.3279
838.000000	91.764	-162.3866
850.000000	91.790	-161.5264
862.000000	91.823	-160.6590
875.000000	91.864	-159.7296
885.000000	91.898	-159.0263
900.000000	91.956	-157.9870
912.000000	92.006	-157.1726
925.000000	92.065	-156.3174
938.000000	92.129	-155.4845
950.000000	92.192	-154.7361
962.000000	92.259	-154.0154
975.000000	92.334	-153.2632
988.000000	92.413	-152.5410
1000.000000	92.489	-151.9019
1015.000000	92.586	-151.1478
1030.000000	92.686	-150.4420
1044.000000	92.779	-149.8263
1060.000000	92.888	-149.1768
1075.000000	92.990	-148.6201
1090.000000	93.092	-148.1100
1106.000000	93.199	-147.6137
1120.000000	93.290	-147.2168
1138.000000	93.404	-146.7509
1150.000000	93.478	-146.4686
1172.000000	93.609	-145.9931
1180.000000	93.654	-145.8322
1206.000000	93.796	-145.3428
1220.000000	93.869	-145.0983
1241.000000	93.974	-144.7527
1250.000000	94.019	-144.6074
1265.000000	94.095	-144.3664
1280.000000	94.172	-144.1281
1315.000000	94.344	-143.5789
1320.000000	94.367	-143.5002
1340.000000	94.459	-143.1815
1360.000000	94.550	-142.8460
1380.000000	94.640	-142.4960
1400.000000	94.730	-142.1358
1430.000000	94.869	-141.5840
1450.000000	94.965	-141.2115
1475.000000	95.090	-140.7447
1500.000000	95.220	-140.3003
1525.000000	95.358	-139.8984
1550.000000	95.501	-139.5525
1575.000000	95.647	-139.2848
1600.000000	95.790	-139.0913
1625.000000	95.927	-138.9760
1650.000000	96.057	-138.9376
1675.000000	96.177	-138.9663
1700.000000	96.287	-139.0401
1725.000000	96.385	-139.1351
1750.000000	96.474	-139.2331
1775.000000	96.553	-139.3182
1800.000000	96.625	-139.3843
1825.000000	96.691	-139.4264
1850.000000	96.754	-139.4403
1875.000000	96.814	-139.4231
1900.000000	96.873	-139.3813
1925.000000	96.932	-139.3163
1950.000000	96.991	-139.2335
1975.000000	97.050	-139.1382
2000.000000	97.112	-139.0315
2030.000000	97.189	-138.8922
2060.000000	97.270	-138.7495
2090.000000	97.354	-138.6094
2120.000000	97.440	-138.4688
2140.000000	97.498	-138.3787
2180.000000	97.618	-138.2116
2200.000000	97.679	-138.1361
2240.000000	97.802	-138.0092
2270.000000	97.897	-137.9350
2300.000000	97.993	-137.8782
2330.000000	98.090	-137.8383
2360.000000	98.187	-137.8223
2400.000000	98.317	-137.8389
2430.000000	98.415	-137.8756
2470.000000	98.545	-137.9630
2500.000000	98.643	-138.0561
2540.000000	98.773	-138.2163
2580.000000	98.903	-138.4175
2620.000000	99.030	-138.6595
2650.000000	99.124	-138.8661
2690.000000	99.246	-139.1767
2720.000000	99.336	-139.4354
2760.000000	99.452	-139.8126
2800.000000	99.564	-140.2225
2850.000000	99.698	-140.7850
2900.000000	99.825	-141.4039
2950.000000	99.944	-142.0707
3000.000000	100.053	-142.7849
3040.000000	100.133	-143.3876
3070.000000	100.189	-143.8551
3110.000000	100.257	-144.4959
3150.000000	100.319	-145.1521
3200.000000	100.387	-145.9907
3250.000000	100.445	-146.8422
3300.000000	100.492	-147.7010
3350.000000	100.527	-148.5598
3400.000000	100.551	-149.4117
3450.000000	100.566	-150.2541
3500.000000	100.570	-151.0815
3550.000000	100.565	-151.8862
3600.000000	100.552	-152.6657
3650.000000	100.530	-153.4165
3700.000000	100.501	-154.1329
3750.000000	100.465	-154.8177
3820.000000	100.404	-155.7222
3870.000000	100.354	-156.3240
3950.000000	100.262	-157.2079
4000.000000	100.198	-157.7106
4060.000000	100.113	-158.2671
4120.000000	100.021	-158.7733
4180.000000	99.925	-159.2302
4250.000000	99.810	-159.7052
4310.000000	99.709	-160.0626
4370.000000	99.606	-160.3761
4440.000000	99.484	-160.6900
4500.000000	99.379	-160.9151
4550.000000	99.291	-161.0734
4620.000000	99.168	-161.2553
4680.000000	99.063	-161.3785
4750.000000	98.940	-161.4891
4820.000000	98.817	-161.5694
4870.000000	98.729	-161.6086
4940.000000	98.604	-161.6371
5000.000000	98.498	-161.6373
5080.000000	98.355	-161.6027
5150.000000	98.229	-161.5343
5220.000000	98.102	-161.4272
5300.000000	97.956	-161.2595
5380.000000	97.810	-161.0427
5450.000000	97.682	-160.8123
5520.000000	97.554	-160.5405
5600.000000	97.408	-160.1706
5700.000000	97.229	-159.6131
5800.000000	97.059	-158.9557
5900.000000	96.900	-158.2199
6000.000000	96.755	-157.4251
6080.000000	96.648	-156.7574
6150.000000	96.563	-156.1537
6220.000000	96.487	-155.5330
6300.000000	96.420	-154.8080
6400.000000	96.375	-153.8837
6500.000000	96.359	-152.9463
6600.000000	96.365	-152.0114
6700.000000	96.393	-151.0936
6800.000000	96.443	-150.2110
6900.000000	96.518	-149.3798
7000.000000	96.621	-148.6164
7100.000000	96.756	-147.9535
7200.000000	96.925	-147.4502
7300.000000	97.124	-147.1704
7400.000000	97.349	-147.1379
7500.000000	97.598	-147.3531
7620.000000	97.932	-147.9966
7750.000000	98.333	-149.2785
7880.000000	98.762	-151.2670
8000.000000	99.154	-153.8425
8120.000000	99.515	-157.2495
8250.000000	99.881	-162.0912
8380.000000	100.195	-168.4498
8500.000000	100.349	-175.8295
8620.000000	100.261	175.5713
8750.000000	99.786	165.7089
8850.000000	99.137	158.5058
9000.000000	97.803	149.5303
9120.000000	96.563	144.3607
9250.000000	95.188	140.6880
9380.000000	93.871	138.6580
9500.000000	92.749	137.8529
9620.000000	91.728	137.7506
9750.000000	90.732	138.1917
9880.000000	89.840	139.0302
10000.000000	89.103	140.0410
10150.000000	88.288	141.5234
