* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2025 10:44:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Blue2 Stock L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.465	-168.3783
20.600000	100.473	-168.9073
20.900000	100.478	-169.4780
21.200001	100.481	-170.0550
21.400000	100.484	-170.4444
21.799999	100.488	-171.2349
22.000000	100.490	-171.6325
22.400000	100.492	-172.4175
22.700001	100.491	-172.9851
23.000000	100.489	-173.5283
23.299999	100.485	-174.0483
23.600000	100.479	-174.5527
24.000000	100.469	-175.2200
24.299999	100.460	-175.7291
24.700001	100.446	-176.4269
25.000000	100.433	-176.9599
25.400000	100.417	-177.6652
25.799999	100.404	-178.3417
26.200001	100.400	-178.9780
26.500000	100.402	-179.4344
26.900000	100.410	179.9664
27.200001	100.415	179.5133
27.600000	100.415	178.9050
28.000000	100.401	178.3148
28.500000	100.368	177.6476
29.000000	100.333	177.0640
29.500000	100.312	176.4926
30.000000	100.300	175.8524
30.400000	100.290	175.2878
30.700001	100.277	174.8583
31.100000	100.254	174.3141
31.500000	100.228	173.8244
32.000000	100.199	173.2716
32.500000	100.175	172.7301
33.000000	100.150	172.1678
33.500000	100.118	171.6069
34.000000	100.080	171.0850
34.500000	100.044	170.6028
35.000000	100.014	170.1135
35.500000	99.988	169.5688
36.000000	99.960	168.9720
36.500000	99.925	168.3837
37.000000	99.892	167.8640
37.500000	99.867	167.4110
38.200001	99.843	166.7792
38.700001	99.819	166.2924
39.500000	99.755	165.5696
40.000000	99.711	165.2005
40.599998	99.670	164.7823
41.200001	99.634	164.3239
41.799999	99.597	163.8323
42.500000	99.553	163.2403
43.099998	99.515	162.6936
43.700001	99.471	162.1255
44.400002	99.412	161.5248
45.000000	99.364	161.0780
45.500000	99.326	160.7039
46.200001	99.261	160.1419
46.799999	99.193	159.7037
47.500000	99.128	159.3204
48.200001	99.104	158.9143
48.700001	99.097	158.4972
49.400002	99.060	157.8188
50.000000	98.990	157.3581
50.799999	98.889	157.0135
51.500000	98.822	156.7215
