* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2025 10:50:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Blue2 Stock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.500	-168.1752
20.600000	101.503	-168.7556
20.900000	101.501	-169.3683
21.200001	101.497	-169.9642
21.400000	101.495	-170.3509
21.799999	101.496	-171.1038
22.000000	101.499	-171.4729
22.400000	101.512	-172.2048
22.700001	101.524	-172.7539
23.000000	101.536	-173.3061
23.299999	101.544	-173.8596
23.600000	101.548	-174.4087
24.000000	101.544	-175.1186
24.299999	101.536	-175.6250
24.700001	101.523	-176.2637
25.000000	101.517	-176.7254
25.400000	101.513	-177.3446
25.799999	101.516	-177.9938
26.200001	101.519	-178.6788
26.500000	101.519	-179.2022
26.900000	101.511	-179.8820
27.200001	101.501	179.6397
27.600000	101.486	179.0530
28.000000	101.472	178.5091
28.500000	101.460	177.8424
29.000000	101.448	177.1534
29.500000	101.431	176.4565
30.000000	101.407	175.8018
30.400000	101.385	175.3296
30.700001	101.370	175.0004
31.100000	101.354	174.5711
31.500000	101.340	174.1232
32.000000	101.323	173.5121
32.500000	101.300	172.8636
33.000000	101.275	172.2244
33.500000	101.252	171.6172
34.000000	101.232	171.0269
34.500000	101.210	170.4369
35.000000	101.180	169.8585
35.500000	101.145	169.3102
36.000000	101.111	168.7799
36.500000	101.083	168.2349
37.000000	101.057	167.6728
37.500000	101.028	167.1409
38.200001	100.991	166.5219
38.700001	100.970	166.1285
39.500000	100.936	165.4123
40.000000	100.901	164.9012
40.599998	100.852	164.2969
41.200001	100.812	163.7351
41.799999	100.787	163.1896
42.500000	100.759	162.5605
43.099998	100.726	162.0511
43.700001	100.686	161.5615
44.400002	100.635	160.9788
45.000000	100.590	160.4860
45.500000	100.555	160.1111
46.200001	100.506	159.6408
46.799999	100.459	159.2367
47.500000	100.397	158.6937
48.200001	100.341	158.0197
48.700001	100.309	157.4565
49.400002	100.268	156.6721
50.000000	100.227	156.1811
50.799999	100.170	155.8850
51.500000	100.126	155.7240
52.200001	100.074	155.4099
53.000000	100.004	154.8837
53.799999	99.936	154.3394
54.500000	99.885	153.9251
55.200001	99.837	153.5779
56.000000	99.786	153.1812
57.000000	99.712	152.5762
58.000000	99.629	151.9683
59.000000	99.565	151.4067
60.000000	99.507	150.8349
60.799999	99.445	150.4100
61.500000	99.380	150.0653
62.200001	99.311	149.7368
63.000000	99.239	149.4037
64.000000	99.174	149.0316
65.000000	99.116	148.5410
66.000000	99.031	147.9066
67.000000	98.932	147.3096
68.000000	98.844	146.8354
69.000000	98.764	146.4403
70.000000	98.689	146.0333
71.000000	98.612	145.6021
72.000000	98.527	145.2441
73.000000	98.434	144.9213
74.000000	98.338	144.5473
75.000000	98.259	144.1605
76.199997	98.179	143.7134
77.500000	98.074	143.3017
78.800003	97.967	142.8832
80.000000	97.871	142.5128
81.199997	97.772	142.2708
82.500000	97.660	142.0105
83.800003	97.559	141.6759
85.000000	97.465	141.3208
86.199997	97.362	141.0096
87.500000	97.251	140.6302
88.500000	97.160	140.3530
90.000000	97.028	140.0970
91.199997	96.935	139.9056
92.500000	96.829	139.6065
93.800003	96.724	139.3488
95.000000	96.644	139.1589
96.199997	96.557	138.9832
97.500000	96.453	138.8326
98.800003	96.368	138.7374
100.000000	96.291	138.6280
101.500000	96.153	138.4215
103.000000	96.009	138.1682
104.400002	95.884	138.0025
106.000000	95.756	137.9327
107.500000	95.644	137.8982
109.000000	95.524	137.8296
110.599998	95.411	137.5912
112.000000	95.318	137.4481
113.800003	95.174	137.4489
115.000000	95.074	137.4417
117.199997	94.905	137.2673
118.000000	94.848	137.2182
120.599998	94.669	137.2800
122.000000	94.569	137.3061
124.099998	94.404	137.3663
125.000000	94.334	137.4244
126.500000	94.221	137.5437
128.000000	94.115	137.6960
131.500000	93.908	137.8115
132.000000	93.880	137.8584
134.000000	93.762	138.0980
136.000000	93.627	138.1792
138.000000	93.500	138.1985
140.000000	93.370	138.3433
143.000000	93.196	138.7034
145.000000	93.074	138.8721
147.500000	92.921	139.2362
150.000000	92.778	139.6634
152.500000	92.605	139.8533
155.000000	92.448	140.1873
157.500000	92.302	140.6187
160.000000	92.164	141.0656
162.500000	92.022	141.5298
165.000000	91.879	141.9894
167.500000	91.741	142.4673
170.000000	91.603	143.0381
172.500000	91.472	143.6608
175.000000	91.358	144.3017
177.500000	91.245	144.9295
180.000000	91.140	145.4814
182.500000	91.034	146.0872
185.000000	90.921	146.7368
187.500000	90.814	147.3625
190.000000	90.718	147.9645
192.500000	90.628	148.6517
195.000000	90.546	149.3586
197.500000	90.465	150.0413
200.000000	90.385	150.6571
203.000000	90.310	151.3320
206.000000	90.236	152.0400
209.000000	90.164	152.7962
212.000000	90.098	153.5345
214.000000	90.051	154.0094
218.000000	89.952	155.0569
220.000000	89.906	155.5830
224.000000	89.824	156.5954
227.000000	89.770	157.3337
230.000000	89.718	158.0117
233.000000	89.672	158.6879
236.000000	89.637	159.4481
240.000000	89.591	160.4769
243.000000	89.554	161.2660
247.000000	89.517	162.2281
250.000000	89.486	162.8606
254.000000	89.451	163.6487
258.000000	89.431	164.5574
262.000000	89.412	165.4427
265.000000	89.401	166.0416
269.000000	89.388	166.8047
272.000000	89.376	167.3828
276.000000	89.365	168.1993
280.000000	89.365	168.9961
285.000000	89.357	169.9539
290.000000	89.347	170.8297
295.000000	89.347	171.6459
300.000000	89.354	172.4582
304.000000	89.359	173.1069
307.000000	89.364	173.5851
311.000000	89.370	174.2073
315.000000	89.375	174.8138
320.000000	89.389	175.5581
325.000000	89.403	176.2218
330.000000	89.416	176.8932
335.000000	89.429	177.5646
340.000000	89.439	178.2068
345.000000	89.456	178.8237
350.000000	89.481	179.3807
355.000000	89.504	179.9621
360.000000	89.528	-179.4624
365.000000	89.549	-178.9023
370.000000	89.566	-178.3732
375.000000	89.586	-177.8476
382.000000	89.616	-177.1801
387.000000	89.635	-176.6864
395.000000	89.664	-175.9491
400.000000	89.683	-175.4972
406.000000	89.707	-174.9387
412.000000	89.731	-174.3896
418.000000	89.759	-173.8459
425.000000	89.795	-173.2441
431.000000	89.829	-172.7372
437.000000	89.863	-172.2586
444.000000	89.903	-171.7664
450.000000	89.937	-171.3858
455.000000	89.960	-171.0963
462.000000	89.986	-170.6946
468.000000	90.005	-170.3448
475.000000	90.026	-169.9418
482.000000	90.043	-169.5433
487.000000	90.054	-169.2527
494.000000	90.076	-168.8225
500.000000	90.096	-168.4451
508.000000	90.121	-167.9462
515.000000	90.143	-167.5228
522.000000	90.165	-167.1351
530.000000	90.189	-166.7048
538.000000	90.209	-166.2707
545.000000	90.227	-165.8758
552.000000	90.244	-165.4885
560.000000	90.259	-165.0857
570.000000	90.279	-164.5689
580.000000	90.299	-164.0406
590.000000	90.320	-163.4999
600.000000	90.341	-162.9694
608.000000	90.354	-162.5387
615.000000	90.365	-162.1650
622.000000	90.377	-161.7863
630.000000	90.390	-161.3435
640.000000	90.405	-160.7867
650.000000	90.418	-160.2230
660.000000	90.440	-159.6534
670.000000	90.462	-159.0881
680.000000	90.483	-158.5067
690.000000	90.504	-157.9174
700.000000	90.525	-157.3412
710.000000	90.548	-156.7564
720.000000	90.572	-156.1685
730.000000	90.597	-155.5781
740.000000	90.626	-154.9877
750.000000	90.654	-154.3899
762.000000	90.687	-153.6584
775.000000	90.726	-152.8673
788.000000	90.767	-152.0719
800.000000	90.806	-151.3434
812.000000	90.847	-150.6026
825.000000	90.892	-149.7947
838.000000	90.941	-148.9896
850.000000	90.991	-148.2469
862.000000	91.042	-147.5079
875.000000	91.103	-146.7072
885.000000	91.153	-146.1045
900.000000	91.234	-145.2184
912.000000	91.302	-144.5241
925.000000	91.381	-143.7917
938.000000	91.464	-143.0833
950.000000	91.544	-142.4548
962.000000	91.627	-141.8423
975.000000	91.720	-141.2023
988.000000	91.816	-140.5974
1000.000000	91.906	-140.0683
1015.000000	92.021	-139.4431
1030.000000	92.138	-138.8729
1044.000000	92.248	-138.3927
1060.000000	92.373	-137.8764
1075.000000	92.490	-137.4316
1090.000000	92.606	-137.0350
1106.000000	92.728	-136.6607
1120.000000	92.833	-136.3722
1138.000000	92.963	-136.0448
1150.000000	93.048	-135.8489
1172.000000	93.198	-135.5329
1180.000000	93.251	-135.4301
1206.000000	93.415	-135.1371
1220.000000	93.499	-134.9992
1241.000000	93.620	-134.8056
1250.000000	93.671	-134.7250
1265.000000	93.757	-134.5876
1280.000000	93.842	-134.4485
1315.000000	94.037	-134.1239
1320.000000	94.063	-134.0750
1340.000000	94.169	-133.8717
1360.000000	94.272	-133.6592
1380.000000	94.374	-133.4348
1400.000000	94.477	-133.1977
1430.000000	94.633	-132.8215
1450.000000	94.739	-132.5654
1475.000000	94.876	-132.2499
1500.000000	95.019	-131.9585
1525.000000	95.168	-131.7024
1550.000000	95.319	-131.4956
1575.000000	95.475	-131.3623
1600.000000	95.628	-131.3074
1625.000000	95.773	-131.3286
1650.000000	95.909	-131.4233
1675.000000	96.035	-131.5758
1700.000000	96.150	-131.7621
1725.000000	96.254	-131.9623
1750.000000	96.348	-132.1638
1775.000000	96.432	-132.3486
1800.000000	96.509	-132.5072
1825.000000	96.581	-132.6337
1850.000000	96.650	-132.7302
1875.000000	96.716	-132.8033
1900.000000	96.781	-132.8493
1925.000000	96.846	-132.8703
1950.000000	96.911	-132.8722
1975.000000	96.977	-132.8613
2000.000000	97.044	-132.8412
2030.000000	97.129	-132.8079
2060.000000	97.216	-132.7679
2090.000000	97.306	-132.7237
2120.000000	97.397	-132.6812
2140.000000	97.459	-132.6559
2180.000000	97.584	-132.6165
2200.000000	97.648	-132.6025
2240.000000	97.778	-132.5907
2270.000000	97.877	-132.5984
2300.000000	97.977	-132.6255
2330.000000	98.078	-132.6731
2360.000000	98.178	-132.7393
2400.000000	98.312	-132.8580
2430.000000	98.412	-132.9704
2470.000000	98.545	-133.1504
2500.000000	98.646	-133.3091
2540.000000	98.780	-133.5550
2580.000000	98.914	-133.8383
2620.000000	99.045	-134.1640
2650.000000	99.141	-134.4320
2690.000000	99.267	-134.8197
2720.000000	99.359	-135.1337
2760.000000	99.478	-135.5807
2800.000000	99.593	-136.0593
2850.000000	99.731	-136.7030
2900.000000	99.862	-137.3971
2950.000000	99.985	-138.1378
3000.000000	100.099	-138.9231
3040.000000	100.184	-139.5805
3070.000000	100.242	-140.0870
3110.000000	100.315	-140.7782
3150.000000	100.381	-141.4861
3200.000000	100.455	-142.3888
3250.000000	100.517	-143.3049
3300.000000	100.569	-144.2270
3350.000000	100.610	-145.1459
3400.000000	100.640	-146.0572
3450.000000	100.660	-146.9561
3500.000000	100.670	-147.8382
3550.000000	100.671	-148.6985
3600.000000	100.663	-149.5318
3650.000000	100.647	-150.3352
3700.000000	100.624	-151.1062
3750.000000	100.594	-151.8454
3820.000000	100.543	-152.8247
3870.000000	100.499	-153.4817
3950.000000	100.419	-154.4549
4000.000000	100.361	-155.0142
4060.000000	100.283	-155.6387
4120.000000	100.199	-156.2141
4180.000000	100.111	-156.7429
4250.000000	100.004	-157.2999
4310.000000	99.910	-157.7292
4370.000000	99.814	-158.1158
4440.000000	99.700	-158.5179
4500.000000	99.601	-158.8208
4550.000000	99.518	-159.0431
4620.000000	99.401	-159.3149
4680.000000	99.300	-159.5152
4750.000000	99.183	-159.7140
4820.000000	99.065	-159.8781
4870.000000	98.980	-159.9755
4940.000000	98.860	-160.0852
5000.000000	98.757	-160.1537
5080.000000	98.619	-160.2104
5150.000000	98.496	-160.2197
5220.000000	98.372	-160.1880
5300.000000	98.230	-160.1034
5380.000000	98.087	-159.9688
5450.000000	97.961	-159.8087
5520.000000	97.835	-159.6071
5600.000000	97.691	-159.3184
5700.000000	97.515	-158.8606
5800.000000	97.345	-158.2981
5900.000000	97.187	-157.6453
6000.000000	97.041	-156.9254
6080.000000	96.934	-156.3116
6150.000000	96.849	-155.7513
6220.000000	96.773	-155.1730
6300.000000	96.706	-154.4940
6400.000000	96.660	-153.6233
6500.000000	96.645	-152.7339
6600.000000	96.652	-151.8431
6700.000000	96.680	-150.9648
6800.000000	96.731	-150.1127
6900.000000	96.807	-149.3067
7000.000000	96.913	-148.5643
7100.000000	97.050	-147.9215
7200.000000	97.222	-147.4375
7300.000000	97.426	-147.1711
7400.000000	97.657	-147.1544
7500.000000	97.913	-147.3956
7620.000000	98.257	-148.0745
7750.000000	98.669	-149.4109
7880.000000	99.106	-151.4828
8000.000000	99.500	-154.1391
8120.000000	99.858	-157.6040
8250.000000	100.217	-162.4475
8380.000000	100.526	-168.7154
8500.000000	100.693	-175.9451
8620.000000	100.638	175.5825
8750.000000	100.219	165.7017
8850.000000	99.613	158.3352
9000.000000	98.316	148.9489
9120.000000	97.077	143.4449
9250.000000	95.685	139.5108
9380.000000	94.343	137.3198
9500.000000	93.200	136.4427
9620.000000	92.163	136.3185
9750.000000	91.154	136.7567
9880.000000	90.256	137.6006
10000.000000	89.516	138.6232
10150.000000	88.700	140.1155
10300.000000	87.989	141.7626
10440.000000	87.408	143.3914
10600.000000	86.830	145.3229
10750.000000	86.365	147.1628
10900.000000	85.965	149.0182
11060.000000	85.607	150.9757
11200.000000	85.346	152.6555
11380.000000	85.080	154.7691
11500.000000	84.944	156.1284
11720.000000	84.769	158.4660
11800.000000	84.730	159.2688
12060.000000	84.689	161.6666
12200.000000	84.722	162.8013
12410.000000	84.850	164.2675
12500.000000	84.938	164.8005
12650.000000	85.136	165.5446
12800.000000	85.392	166.0925
13150.000000	86.214	166.4289
13200.000000	86.359	166.3476
13400.000000	87.019	165.6420
13600.000000	87.823	164.2197
13800.000000	88.806	161.8957
14000.000000	90.016	158.3893
14300.000000	92.454	149.7041
14500.000000	94.627	139.8123
14750.000000	97.744	119.0911
15000.000000	100.157	86.2705
15250.000000	100.358	46.0311
15500.000000	98.302	9.5430
15750.000000	95.445	-18.3942
16000.000000	93.050	-40.7784
16250.000000	91.508	-61.5942
16500.000000	90.651	-83.2516
16750.000000	90.233	-107.0067
17000.000000	90.074	-133.5146
17250.000000	89.996	-163.0521
17500.000000	89.821	164.4688
17750.000000	89.406	129.4340
18000.000000	88.686	92.3180
18250.000000	87.671	53.3010
18500.000000	86.403	12.1470
18750.000000	84.927	-31.7993
19000.000000	83.259	-79.5761
19250.000000	81.350	-132.3883
19500.000000	79.114	168.4358
19750.000000	76.556	99.7944
20000.000000	74.486	28.7781
