* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2025 10:36:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Blue2 TypeE 5ohm L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.798	-169.9077
20.600000	105.803	-170.4908
20.900000	105.806	-171.1210
21.200001	105.809	-171.7538
21.400000	105.810	-172.1753
21.799999	105.813	-173.0130
22.000000	105.814	-173.4262
22.400000	105.817	-174.2347
22.700001	105.819	-174.8235
23.000000	105.822	-175.3986
23.299999	105.824	-175.9635
23.600000	105.825	-176.5205
24.000000	105.823	-177.2509
24.299999	105.818	-177.7858
24.700001	105.807	-178.4755
25.000000	105.797	-178.9738
25.400000	105.783	-179.6200
25.799999	105.771	179.7383
26.200001	105.762	179.0840
26.500000	105.756	178.5812
26.900000	105.748	177.9017
27.200001	105.741	177.3953
27.600000	105.730	176.7396
28.000000	105.718	176.1143
28.500000	105.703	175.3700
29.000000	105.687	174.6478
29.500000	105.666	173.9339
30.000000	105.642	173.2295
30.400000	105.622	172.6762
30.700001	105.607	172.2670
31.100000	105.589	171.7273
31.500000	105.572	171.1932
32.000000	105.550	170.5372
32.500000	105.527	169.9011
33.000000	105.502	169.2841
33.500000	105.474	168.6742
34.000000	105.443	168.0639
34.500000	105.409	167.4623
35.000000	105.375	166.8817
35.500000	105.347	166.3110
36.000000	105.325	165.7225
36.500000	105.301	165.1142
37.000000	105.270	164.5336
37.500000	105.234	164.0366
38.200001	105.196	163.4488
38.700001	105.180	162.9847
39.500000	105.140	162.0499
40.000000	105.094	161.4438
40.599998	105.029	160.8196
41.200001	104.976	160.2935
41.799999	104.937	159.7751
42.500000	104.897	159.1295
43.099998	104.857	158.5679
43.700001	104.810	158.0236
44.400002	104.751	157.4147
45.000000	104.700	156.9018
45.500000	104.660	156.4701
46.200001	104.604	155.8673
46.799999	104.557	155.3693
47.500000	104.496	154.7927
48.200001	104.420	154.2085
48.700001	104.355	153.8284
49.400002	104.271	153.3928
50.000000	104.227	153.0426
50.799999	104.196	152.4471
51.500000	104.162	151.8492
52.200001	104.108	151.3135
53.000000	104.039	150.7703
53.799999	103.970	150.2147
54.500000	103.911	149.7302
55.200001	103.856	149.2769
56.000000	103.793	148.8015
57.000000	103.709	148.2372
58.000000	103.622	147.5972
59.000000	103.525	146.9313
60.000000	103.435	146.3736
60.799999	103.370	145.9691
61.500000	103.308	145.6300
62.200001	103.244	145.2928
63.000000	103.175	144.8448
64.000000	103.089	144.1757
65.000000	102.996	143.6120
66.000000	102.899	143.2207
67.000000	102.799	142.8058
68.000000	102.701	142.3471
69.000000	102.618	141.9152
70.000000	102.533	141.5086
71.000000	102.433	141.1309
72.000000	102.328	140.7309
73.000000	102.224	140.3104
74.000000	102.127	139.9633
75.000000	102.042	139.6310
76.199997	101.938	139.1692
77.500000	101.821	138.6603
78.800003	101.696	138.1899
80.000000	101.583	137.8521
81.199997	101.478	137.5224
82.500000	101.357	137.1774
83.800003	101.230	136.8802
85.000000	101.119	136.5813
86.199997	101.006	136.3002
87.500000	100.884	136.0327
88.500000	100.792	135.8179
90.000000	100.658	135.5585
91.199997	100.552	135.3828
92.500000	100.425	135.1708
93.800003	100.299	134.9210
95.000000	100.190	134.6903
96.199997	100.088	134.5289
97.500000	99.977	134.3912
98.800003	99.867	134.3074
