* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2025 10:39:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Blue2 TypeE 5ohm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.795	-169.9430
20.600000	106.796	-170.5182
20.900000	106.798	-171.1390
21.200001	106.802	-171.7644
21.400000	106.806	-172.1829
21.799999	106.816	-173.0164
22.000000	106.821	-173.4256
22.400000	106.829	-174.2157
22.700001	106.833	-174.7798
23.000000	106.834	-175.3241
23.299999	106.834	-175.8582
23.600000	106.833	-176.3920
24.000000	106.831	-177.1145
24.299999	106.829	-177.6659
24.700001	106.827	-178.4082
25.000000	106.826	-178.9643
25.400000	106.825	-179.6958
25.799999	106.821	179.5946
26.200001	106.813	178.9193
26.500000	106.803	178.4405
26.900000	106.787	177.8372
27.200001	106.774	177.4025
27.600000	106.758	176.8270
28.000000	106.744	176.2386
28.500000	106.728	175.4812
29.000000	106.710	174.7267
29.500000	106.694	174.0023
30.000000	106.679	173.3044
30.400000	106.666	172.7521
30.700001	106.655	172.3387
31.100000	106.638	171.7937
31.500000	106.619	171.2625
32.000000	106.595	170.6179
32.500000	106.573	169.9815
33.000000	106.550	169.3449
33.500000	106.524	168.7146
34.000000	106.499	168.0920
34.500000	106.474	167.4636
35.000000	106.449	166.8269
35.500000	106.422	166.2119
36.000000	106.393	165.6526
36.500000	106.365	165.1392
37.000000	106.335	164.6225
37.500000	106.297	164.0741
38.200001	106.225	163.3114
38.700001	106.179	162.8149
39.500000	106.145	162.0161
40.000000	106.139	161.4520
40.599998	106.123	160.7615
41.200001	106.089	160.1544
41.799999	106.046	159.6340
42.500000	105.996	159.0267
43.099998	105.955	158.4631
43.700001	105.916	157.8884
44.400002	105.876	157.2303
45.000000	105.835	156.6781
45.500000	105.794	156.2386
46.200001	105.735	155.6631
46.799999	105.693	155.1639
47.500000	105.648	154.5377
48.200001	105.590	153.9755
48.700001	105.545	153.6830
49.400002	105.493	153.3388
50.000000	105.459	152.9291
50.799999	105.404	152.1525
51.500000	105.343	151.4583
52.200001	105.290	150.8765
53.000000	105.240	150.2789
53.799999	105.183	149.6884
54.500000	105.127	149.1714
55.200001	105.070	148.6432
56.000000	105.005	148.0499
57.000000	104.924	147.4012
58.000000	104.846	146.8215
59.000000	104.769	146.1953
60.000000	104.689	145.5526
60.799999	104.624	145.0908
61.500000	104.568	144.7266
62.200001	104.511	144.3645
63.000000	104.443	143.9039
64.000000	104.353	143.2582
65.000000	104.264	142.6222
66.000000	104.177	142.0553
67.000000	104.088	141.5788
68.000000	104.002	141.1284
69.000000	103.922	140.6251
70.000000	103.840	140.0934
71.000000	103.752	139.5901
72.000000	103.662	139.1210
73.000000	103.575	138.6665
74.000000	103.491	138.2352
75.000000	103.407	137.8297
76.199997	103.306	137.3206
77.500000	103.196	136.7433
78.800003	103.083	136.1888
80.000000	102.973	135.7456
81.199997	102.866	135.3258
82.500000	102.755	134.8499
83.800003	102.646	134.3552
85.000000	102.541	133.9102
86.199997	102.432	133.5348
87.500000	102.319	133.1721
88.500000	102.234	132.8741
90.000000	102.101	132.3984
91.199997	101.995	132.0432
92.500000	101.886	131.6913
93.800003	101.775	131.3659
95.000000	101.665	131.0758
96.199997	101.555	130.7808
97.500000	101.444	130.4281
98.800003	101.334	130.1161
100.000000	101.231	129.9169
101.500000	101.102	129.6509
103.000000	100.980	129.3148
104.400002	100.859	129.0109
106.000000	100.706	128.7662
107.500000	100.574	128.5722
109.000000	100.455	128.3605
110.599998	100.327	128.1523
112.000000	100.208	127.9419
113.800003	100.044	127.6944
115.000000	99.938	127.5581
117.199997	99.756	127.3929
118.000000	99.694	127.3650
120.599998	99.492	127.2476
122.000000	99.379	127.1793
124.099998	99.208	127.0795
125.000000	99.136	127.0460
126.500000	99.022	126.9961
128.000000	98.909	126.9625
131.500000	98.652	126.9857
132.000000	98.616	126.9691
134.000000	98.467	126.8795
136.000000	98.324	126.8705
138.000000	98.183	126.9642
140.000000	98.045	127.1044
143.000000	97.830	127.1940
145.000000	97.682	127.3779
147.500000	97.510	127.5430
150.000000	97.351	127.5963
152.500000	97.185	127.8766
155.000000	97.007	128.1273
157.500000	96.846	128.3712
