* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2025 10:33:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Blue2 TypeE L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.432	-168.0731
20.600000	100.430	-168.6132
20.900000	100.424	-169.1935
21.200001	100.418	-169.7755
21.400000	100.416	-170.1655
21.799999	100.417	-170.9531
22.000000	100.419	-171.3495
22.400000	100.429	-172.1404
22.700001	100.438	-172.7258
23.000000	100.446	-173.3004
23.299999	100.453	-173.8614
23.600000	100.456	-174.4055
24.000000	100.453	-175.0982
24.299999	100.447	-175.5889
24.700001	100.436	-176.2070
25.000000	100.428	-176.6527
25.400000	100.420	-177.2442
25.799999	100.415	-177.8511
26.200001	100.408	-178.4739
26.500000	100.402	-178.9391
26.900000	100.390	-179.5352
27.200001	100.379	-179.9554
27.600000	100.367	179.5159
28.000000	100.357	179.0010
28.500000	100.346	178.3355
29.000000	100.332	177.6252
29.500000	100.313	176.8855
30.000000	100.290	176.1457
30.400000	100.271	175.5676
30.700001	100.256	175.1461
31.100000	100.235	174.6053
31.500000	100.213	174.0967
32.000000	100.183	173.5156
32.500000	100.154	172.9877
33.000000	100.128	172.4796
33.500000	100.105	171.9533
34.000000	100.079	171.3989
34.500000	100.051	170.8377
35.000000	100.025	170.2895
35.500000	100.003	169.7470
36.000000	99.983	169.1951
36.500000	99.959	168.6491
37.000000	99.931	168.1494
37.500000	99.904	167.7101
38.200001	99.877	167.1142
38.700001	99.854	166.6478
39.500000	99.789	165.9221
40.000000	99.739	165.5478
40.599998	99.689	165.1140
41.200001	99.650	164.5773
41.799999	99.609	163.9447
42.500000	99.554	163.2497
43.099998	99.510	162.7689
43.700001	99.469	162.3604
44.400002	99.417	161.9004
45.000000	99.370	161.4706
45.500000	99.332	161.0670
46.200001	99.281	160.4549
46.799999	99.241	159.9529
47.500000	99.194	159.4623
48.200001	99.140	159.0589
48.700001	99.096	158.7768
49.400002	99.029	158.3269
50.000000	98.972	157.8872
50.799999	98.908	157.3134
51.500000	98.868	156.8763
52.200001	98.831	156.4728
53.000000	98.774	156.0202
53.799999	98.707	155.5659
54.500000	98.647	155.1593
55.200001	98.586	154.7729
56.000000	98.513	154.3746
57.000000	98.420	153.8768
58.000000	98.339	153.3882
59.000000	98.279	152.8756
60.000000	98.197	152.3021
60.799999	98.110	151.8981
61.500000	98.043	151.5833
62.200001	97.992	151.2618
63.000000	97.943	150.8909
64.000000	97.864	150.4857
65.000000	97.771	150.1489
66.000000	97.691	149.7918
67.000000	97.617	149.4201
68.000000	97.526	149.1561
69.000000	97.433	148.8898
70.000000	97.342	148.4678
71.000000	97.251	148.0508
72.000000	97.162	147.7904
73.000000	97.084	147.5910
74.000000	97.009	147.2709
75.000000	96.915	146.8836
76.199997	96.801	146.5393
77.500000	96.696	146.1950
78.800003	96.572	145.9573
80.000000	96.455	145.7487
81.199997	96.344	145.4338
82.500000	96.234	145.2238
83.800003	96.131	145.1305
85.000000	96.034	145.0210
86.199997	95.928	144.8288
87.500000	95.805	144.5476
88.500000	95.715	144.3771
90.000000	95.600	144.2607
91.199997	95.499	144.1768
92.500000	95.376	144.0371
93.800003	95.257	143.9499
95.000000	95.155	143.9105
96.199997	95.058	143.8201
97.500000	94.965	143.7148
98.800003	94.876	143.6989
100.000000	94.781	143.7527
101.500000	94.644	143.7961
103.000000	94.512	143.7521
104.400002	94.403	143.7639
