* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2025 10:40:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Blue2 TypeE R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.506	-167.6300
20.600000	101.508	-168.1982
20.900000	101.510	-168.8058
21.200001	101.516	-169.4105
21.400000	101.523	-169.8122
21.799999	101.539	-170.6100
22.000000	101.547	-171.0027
22.400000	101.560	-171.7633
22.700001	101.566	-172.3052
23.000000	101.568	-172.8214
23.299999	101.568	-173.3161
23.600000	101.568	-173.7961
24.000000	101.568	-174.4249
24.299999	101.570	-174.8956
24.700001	101.577	-175.5323
25.000000	101.584	-176.0226
25.400000	101.593	-176.6964
25.799999	101.594	-177.3812
26.200001	101.583	-178.0486
26.500000	101.569	-178.5195
26.900000	101.545	-179.1008
27.200001	101.529	-179.5142
27.600000	101.511	179.9306
28.000000	101.496	179.3403
28.500000	101.476	178.5628
29.000000	101.448	177.8195
29.500000	101.424	177.1726
30.000000	101.414	176.5808
30.400000	101.414	176.0836
30.700001	101.413	175.6804
31.100000	101.406	175.1189
31.500000	101.390	174.5694
32.000000	101.365	173.9444
32.500000	101.342	173.3716
33.000000	101.323	172.7968
33.500000	101.303	172.2018
34.000000	101.279	171.6121
34.500000	101.255	171.0443
35.000000	101.233	170.4897
35.500000	101.206	169.9528
36.000000	101.174	169.4594
36.500000	101.143	168.9977
37.000000	101.117	168.4858
37.500000	101.089	167.8477
38.200001	101.021	166.8546
38.700001	100.959	166.2991
39.500000	100.906	165.8212
40.000000	100.914	165.5625
40.599998	100.928	165.0798
41.200001	100.910	164.4847
41.799999	100.863	163.9430
42.500000	100.812	163.3874
43.099998	100.778	162.8786
43.700001	100.743	162.3349
44.400002	100.694	161.7126
45.000000	100.649	161.1896
45.500000	100.610	160.7621
46.200001	100.558	160.2167
46.799999	100.524	159.8105
47.500000	100.486	159.3907
48.200001	100.435	159.0582
48.700001	100.396	158.8551
49.400002	100.353	158.4566
50.000000	100.318	157.9048
50.799999	100.252	157.0649
51.500000	100.192	156.4983
52.200001	100.149	156.0535
53.000000	100.097	155.5239
53.799999	100.035	155.0123
54.500000	99.990	154.5830
55.200001	99.949	154.1276
56.000000	99.890	153.6553
57.000000	99.815	153.1350
58.000000	99.741	152.5343
59.000000	99.679	151.9537
60.000000	99.617	151.2652
60.799999	99.525	150.8153
61.500000	99.448	150.6761
62.200001	99.411	150.5424
63.000000	99.385	150.0870
64.000000	99.298	149.3826
65.000000	99.198	148.9980
66.000000	99.128	148.5716
67.000000	99.039	148.0148
68.000000	98.944	147.5910
69.000000	98.869	147.1845
70.000000	98.798	146.7638
71.000000	98.724	146.4211
72.000000	98.644	146.1017
73.000000	98.562	145.7498
74.000000	98.489	145.3333
75.000000	98.415	144.8619
76.199997	98.303	144.4436
77.500000	98.199	144.1553
78.800003	98.112	143.6685
80.000000	98.016	143.2510
81.199997	97.914	142.9603
82.500000	97.810	142.5984
83.800003	97.701	142.1851
85.000000	97.605	141.8914
86.199997	97.509	141.5760
87.500000	97.397	141.2042
88.500000	97.316	140.9810
90.000000	97.209	140.7768
91.199997	97.114	140.5596
92.500000	97.000	140.2496
93.800003	96.898	139.9640
95.000000	96.808	139.7477
96.199997	96.717	139.5405
97.500000	96.614	139.2866
98.800003	96.508	139.0677
